股票代码,股票简称,现金成长系数,误差,股价安全水平
000006,深振业A,3.08636544325,53546.6262364,4.07155409694
000029,深深房A,2.46415003759,52405.5732887,4.00128820063
000062,深圳华强,2.0264086204,44105.6478756,4.00417153038
000338,潍柴动力,2.02391657024,2948.782494,4.03471065364
000419,通程控股,2.45480971384,7217.57535058,4.0015081043
000525,红太阳,2.00111581724,39190.824513,4.00615586306
000527,美的电器,2.28166565046,9717.77540343,4.0049287061
000548,湖南投资,3.4529238707,54625.4342756,4.0020913386
000568,泸州老窖,2.47572982935,2240.1348995,4.00210069748
000581,威孚高科,2.2756495667,3197.5414752,4.01212023571
000603,盛达矿业,2.69378534446,4908.88606818,4.03183680748
000651,格力电器,2.19167363762,5851.97607032,4.01074145994
000657,中钨高新,2.00555477441,27253.3680238,4.00065608784
000718,苏宁环球,2.02326289055,51096.3726337,4.10611618336
000726,鲁泰A,2.69819601677,1502.26868696,4.00147429363
000789,万年青,2.10444075774,5052.34392363,4.10923054603
000825,太钢不锈,2.04530891945,44597.4892287,4.13270189002
000883,湖北能源,2.40243517822,18034.593879,4.02732219256
000885,同力水泥,2.1455086926,3543.00926958,4.50967862128
000887,中鼎股份,2.52970157691,12442.9007281,4.00229470103
000910,大亚圣象,2.61937975526,4143.14559384,4.00812248114
000921,海信科龙,2.00325145105,17047.2575088,4.01368637278
000975,银泰资源,2.47834411217,11462.4643592,4.00597579535
002001,新和成,2.47738104813,6358.29775529,4.03335114557
002051,中工国际,2.24763124801,13176.3018379,4.00144383352
002075,沙钢股份,2.5354650405,3405.96872257,4.00466182772
002110,三钢闽光,2.14274591572,29333.8777193,4.03180837144
002128,露天煤业,2.35877482718,1612.53952952,4.00388035269
002133,广宇集团,2.35331230581,49118.4351712,4.04840795019
002142,宁波银行,2.51521562412,3812.77111701,4.00790541221
002233,塔牌集团,2.88986924393,9221.45664021,4.02916309463
002360,同德化工,2.94050557968,7700.10612178,4.00167604558
002394,联发股份,3.324766672,31028.8879365,4.00010661236
002396,星网锐捷,2.37393053658,6241.47094189,4.01058234798
002398,建研集团,2.59681937897,75697.777667,4.00128007291
002440,闰土股份,2.47489978725,24180.3442405,4.006232913
002478,常宝股份,2.09658723859,15236.1405808,4.01243305308
002517,恺英网络,2.37011229087,31914.4851152,4.00506908435
002565,顺灏股份,2.4699707978,4721.41426368,4.00582583599
002597,金禾实业,2.39525148798,50097.7672806,4.00410102724
002724,海洋王,2.86157565266,1709.03032076,4.01048462757
002807,江阴银行,9.87428492447,1958.94981263,4.00024004937
300046,台基股份,2.67770058448,12392.6824139,4.00119907667
300193,佳士科技,3.48745247256,49375.9215919,4.00004778962
300230,永利股份,2.47758112631,12712.6084494,4.00352451736
300251,光线传媒,3.43774241445,9735.28137156,4.02594674861
300298,三诺生物,3.09939639995,1196.42412204,4.00382035682
300400,劲拓股份,4.14619779236,7787.41434114,4.00860553499
300467,迅游科技,3.98404646678,1050.27361856,4.00430441931
300470,日机密封,6.25184020846,643.505716666,4.00216696565
300481,濮阳惠成,6.10188523495,17107.0424537,4.00068682852
300525,博思软件,3.25036204269,13742.0601619,4.00459836886
300528,幸福蓝海,12.5800424811,3961.89033329,4.00909611104
300537,广信材料,2.90646729986,4874.12886439,4.0057668956
300559,佳发安泰,6.42189318892,900.501980752,4.0090958644
300599,雄塑科技,4.68561549367,2418.29946593,4.01134463388
300602,飞荣达,5.61838498081,1543.20344371,4.0002287504
300625,三雄极光,6.33580670296,3660.01313153,4.01041546244
300626,华瑞股份,8.52697453422,2977.85493632,4.01342764992
600000,浦发银行,2.27220917367,5029.45864764,4.01556633708
600012,皖通高速,2.3670481317,2017.39403229,4.00352628188
600015,华夏银行,2.53345299589,8284.63231503,4.01771441381
600018,上港集团,2.54050243183,2599.37395307,4.01316037576
600036,招商银行,2.21113760686,5041.73709797,4.00783010258
600064,南京高科,2.25119009051,70112.2919477,4.0429301105
600067,冠城大通,2.33979309403,4182.17142826,4.00333132156
600075,新疆天业,2.53692332846,3777.59970201,4.00140832549
600098,广州发展,2.33883046074,6216.88362578,4.02852049229
600102,莱钢股份,4.69612136205,5252.20744417,4.01123238441
600104,上汽集团,2.37530523124,8490.67398869,4.00511742074
600106,重庆路桥,3.15258854125,5828.87443242,4.00319501542
600132,重庆啤酒,2.25945439471,12665.727527,4.00118678656
600240,华业资本,2.2088369447,48495.3148627,4.01110444618
600332,白云山,2.07932657599,8482.24314051,4.00775745465
600350,山东高速,2.42946164984,4035.4265694,4.00581094751
600360,华微电子,3.26233148243,27524.1402143,4.00002831425
600373,中文传媒,2.08128567836,7013.30759217,4.00045728115
600377,宁沪高速,2.39614185035,627.019614564,4.00380054345
600389,江山股份,2.97405116791,63219.2973351,4.02122773404
600395,盘江股份,2.50187987954,6767.5749971,4.00237333665
600483,福能股份,2.45280723571,20581.1991451,4.00055193003
600486,扬农化工,2.59425729233,7400.0529478,4.00678103532
600548,深高速,3.20853801817,34888.7529636,4.00427162869
600569,安阳钢铁,2.85984399468,41770.1020689,4.01305713122
600585,海螺水泥,2.24426546141,11423.2004624,4.05580868923
600607,上实医药,11.75316373,136.977526731,4.01289199807
600628,新世界,2.34610045907,318.313674513,4.00273437102
600631,百联股份,6.11535300472,455.113683744,4.00869107289
600658,电子城,2.2143127484,9413.3245803,4.08575058549
600664,哈药股份,2.10352152221,5324.56523202,4.02967311911
600674,川投能源,3.43011364061,22614.5689184,4.00193614069
600676,交运股份,2.99780231482,35631.5581503,4.00134916616
600690,青岛海尔,2.21582477816,1119.5386929,4.00019939558
600694,大商股份,2.57475229895,1637.30290585,4.0040099564
600723,首商股份,2.62291858277,2885.72061473,4.00178953132
600729,重庆百货,2.23711760354,8954.93845466,4.00189817223
600741,华域汽车,2.49711429336,1609.16435538,4.00122197525
600757,长江传媒,2.07851802929,16384.2753468,4.00939108411
600761,安徽合力,2.14558550905,6376.39179496,4.00385166721
600790,轻纺城,2.92080066545,51919.1393423,4.00007481791
600801,华新水泥,2.0701100105,82546.1303426,4.01816582693
600803,新奥股份,2.50754071101,10341.1280923,4.0136023851
600859,王府井,2.34782296312,2423.79871969,4.03294560678
600894,广日股份,2.27725257006,18336.0914121,4.00032399881
600897,厦门空港,2.16703353956,11129.5057856,4.00069130463
600908,无锡银行,7.14992455776,3050.19834693,4.00525616156
600919,江苏银行,3.10013506052,5637.74269015,4.01587124105
600926,杭州银行,11.5999276454,413.135916648,4.00445525087
600939,重庆建工,4.15723283768,4191.04506185,4.00141483133
600976,健民集团,2.22701361034,2368.96706803,4.00316946092
600987,航民股份,2.43764120029,4840.72956787,4.00530120631
601006,大秦铁路,2.41950704682,2945.21344738,4.01229873908
601009,南京银行,2.45276818983,6205.77406918,4.01682725256
601020,华钰矿业,2.80370039514,3832.26056357,4.01225519762
601088,中国神华,2.06777091288,1972.43038074,4.00414585695
601128,常熟银行,3.25574829905,7645.99900481,4.0079492062
601166,兴业银行,2.58722130411,10969.2515373,4.01774147342
601169,北京银行,2.59423348864,3778.48434471,4.01217115038
601229,上海银行,4.49164243966,2670.87258705,4.01141833961
601288,农业银行,2.54445489977,4526.02541146,4.01522525927
601318,中国平安,2.35291936564,1218.29449896,4.00380295523
601328,交通银行,2.08998521044,7692.08360445,4.013455791
601333,广深铁路,2.7014368,4669.3125632,4.00531706931
601398,工商银行,2.12616359012,1462.21332961,4.01141020401
601515,东风股份,2.41187124773,887.939424836,4.0008070319
601566,九牧王,3.23384959865,526.509717845,4.00150780983
601567,三星医疗,2.64971865376,6794.47819977,4.00154094869
601601,中国太保,2.12761438285,306.996539534,4.01618807777
601628,中国人寿,2.05209637613,1632.12338517,4.02658524812
601801,皖新传媒,2.87684364333,2687.81138302,4.00076703212
601818,光大银行,2.90458241003,2962.39417978,4.01407702293
601877,正泰电器,2.38969245037,2448.30660434,4.01907541594
601939,建设银行,2.15042501699,2191.14410549,4.01147990813
601988,中国银行,2.12607095435,2665.07531409,4.01338704991
601997,贵阳银行,8.4964451143,1991.20933532,4.01982164599
603018,中设集团,3.90380120894,32632.4901118,4.00144617493
603025,大豪科技,5.34483120568,603.10522264,4.00616670936
603026,石大胜华,7.28440305283,5404.78032299,4.00773277548
603040,新坐标,11.1279963444,650.615646887,4.00541068432
603116,红蜻蜓,4.29000308827,4833.63656448,4.00000179806
603165,荣晟环保,2.81371489775,5498.27683738,4.00300338131
603167,渤海轮渡,3.36836154808,34966.5291972,4.00089423186
603268,松发股份,3.49102935516,18266.6586328,4.00352684244
603323,吴江银行,5.5395463471,29085.4817923,4.00424925336
603393,新天然气,7.10753164545,498.053333628,4.00143986066
603429,集友股份,11.909489254,2252.77613633,4.00052698003
603518,维格娜丝,3.5143670491,1342.20325162,4.02848134881
603528,多伦科技,4.60422042353,2133.34582257,4.00116757345
603585,苏利股份,10.6388696154,180.879443632,4.00290172597
603608,天创时尚,6.04989003982,1301.43541029,4.02515258106
603637,镇海股份,3.33569083547,2576.70675438,4.01289738152
603766,隆鑫通用,3.32738582451,933.3436081,4.00012606125
603788,宁波高发,4.23055159801,1163.11421516,4.00021916272
603822,嘉澳环保,3.16485518385,7245.21990242,4.00308268022
603823,百合花,4.2377069174,2444.48730272,4.00015516525
603877,太平鸟,6.33538509669,4299.05121999,4.01077244916
603878,武进不锈,7.44220151755,3758.88367906,4.03659157795
603898,好莱客,3.60821037467,4572.09585461,4.0002160133
