股票代码,股票简称,现金成长系数,营投比,误差,股价安全水平
000006,深振业A,3.06909110007,2.96072703156,51535.1926643,4.07155409694
000011,深物业A,2.1396549559,8.12112860965,11062.8958903,0.861520850374
000012,南玻A,2.28071548812,1.17021656169,185.762982153,2.88310116827
000021,深科技,2.09302197999,0.614702006197,1872.14194819,2.12210847709
000022,深赤湾A,2.1055342024,3.1213473711,88.3696809461,2.00494733827
000025,特力A,2.08535066768,0.226039989099,19349.3249275,2.85116587694
000027,深圳能源,2.2632819828,0.610134485144,85.6830830619,1.09881276005
000029,深深房A,2.45738019775,27.1594310397,49001.5946276,4.00128820063
000039,中集集团,2.53935137551,0.382108259382,6812.18375781,2.96289579324
000049,德赛电池,2.21904988589,0.94906276158,4732.51361345,3.39580221606
000050,深天马A,2.16269153328,0.655119364328,5801.89061843,4.00364685547
000059,华锦股份,2.00323053575,0.798732977016,6067.63582611,4.00535233095
000060,中金岭南,2.06311216567,0.9183637479,343.694860349,4.00671422499
000062,深圳华强,2.06950640136,2.76945747102,24531.5968358,4.00417153038
000063,中兴通讯,2.11659320448,1.19467799563,8742.35282099,4.01146626413
000065,北方国际,2.00579604324,1.81912682578,4069.58584147,4.00154100972
000089,深圳机场,2.28586231738,0.960863504889,388.276105636,2.70182811742
000096,广聚能源,2.26238007376,0.255390927768,20840.1036689,0.520426973629
000099,中信海直,2.27455617282,0.748869930554,1023.85753964,1.36053921974
000100,TCL集团,2.15698033939,0.409742584734,5719.65930957,4.02193702139
000151,中成股份,2.26178782859,3.08148229289,16170.7366062,0.720979087163
000156,华数传媒,2.20670259632,0.600212251176,9499.54260789,2.62061581713
000301,东方市场,2.41405097271,1.08135211356,10807.7130275,4.02177452442
000333,美的集团,5.48704674465,1.07411035877,122.142310741,3.95022881075
000338,潍柴动力,2.14454544874,1.34491571502,1957.423475,4.03471065364
000400,许继电气,2.33182495905,3.06179161596,2281.65043647,2.33037134354
000401,冀东水泥,2.24255812784,0.652171207594,705.824957526,0.845795237591
000403,ST生化,2.43446508264,1.65847747093,1204.06195274,0.517495045766
000404,华意压缩,2.18914933682,0.868469004926,4577.72636661,0.426141536922
000417,合肥百货,2.20760304134,1.72111556501,809.038004523,2.56050059375
000418,小天鹅A,2.09614266557,1.17497496334,8527.22643079,3.12555835126
000419,通程控股,2.26195450128,1.62762804482,1424.44983036,4.0015081043
000422,湖北宜化,2.42930674641,0.752330047067,3738.41024133,6.15266505725
000423,东阿阿胶,2.07421870931,2.0004565735,1164.34979642,3.13644779838
000428,华天酒店,2.40473505339,0.524883713868,3671.47008344,2.68443679752
000430,张家界,2.42089369515,0.617223536479,3116.62966044,0
000501,鄂武商A,2.50581761764,0.886811730565,675.690447496,4.00726458019
000510,金路集团,2.29203673451,2.91363891584,2004.18974347,1.05045897219
