行业类别,股票代码,股票名称,安全边际,利润成长,营收增长,营运现金,供应链地位
保险业,601628,中国人寿,4.02640486366,4.0019840624491785,0,4.00034905654897,5
保险业,601601,中国太保,4.01453295413,3.502,0.5917233999372709,3.682935921331705,5
保险业,601318,中国平安,4.00313153418,0.45963648982778776,0.6747251009813925,3.1615437800737443,5
仓储业,002492,恒基达鑫,1.27765013169,0,0.2747131627566315,2.95441181637302,2.90341751979
仓储业,300350,华鹏飞,0.558619341796,0,0,1.8107683243009725,2.12774325625
仓储业,300013,新宁物流,2.25305146055,0,0.631110175246774,0.5687280175075958,1.75401631773
仓储业,002711,欧浦智网,4.03378451228,4.014957503897365,0.8909787831016871,3.491332867023226,1.63105532354
仓储业,300240,飞力达,1.29099930401,0,0.35288036812108636,2.682379748027688,1.79495640948
仓储业,600794,保税科技,4.00616886862,0,2.9552501065028527,2.2702543646358944,2.84375430424
仓储业,600787,中储股份,2.66769968518,0,0.04919762971739505,1.318899156373195,3.56730597131
畜牧业,002477,雏鹰农牧,1.71723972841,4.011543306499242,0,0.6004547240258398,4.00696568049
畜牧业,600965,福成股份,1.89408118896,1.8585524522119135,0.7061157504219437,4.006765719338663,4.00673514623
畜牧业,002714,牧原股份,0.471936043736,0,1.6011063361350422,1.0676159310516904,4.13549794924
畜牧业,300106,西部牧业,0,4.000317578554254,0,0,4.00944949724
畜牧业,002299,圣农发展,4.00132750866,4.0062,0.6866184144174206,2.1953814657398687,4.00944718802
畜牧业,600975,新五丰,0,0,0,1.810211446771962,4.0030235856
畜牧业,002458,益生股份,0,4.011187013954129,0.23543863312664381,1.644855982707491,4.01532921649
畜牧业,002505,大康农业,0.0412329809348,0,0,0,4.00530152943
畜牧业,002234,民和股份,0,0,1.3252110762543108,1.1365739411228852,4.02506362626
畜牧业,002321,华英农业,2.07657228174,1.8360444517014454,2.6251383213698194,2.429086446905951,4.00416841736
畜牧业,300313,天山生物,0.168635493864,0.34703761230231045,0,0.1569332876543735,4.00492817865
畜牧业,002746,仙坛股份,4.00129993761,3.820851402318281,0,2.8060682636029037,4.01199344373
畜牧业,000735,罗牛山,3.1498123218,4.00571816359316,0,1.8159540607019782,4.3807385029
餐饮业,000796,凯撒旅游,2.44365070944,0.803462475195456,0.44049431432659425,4.0009842662426625,3.41148007308
餐饮业,002186,全聚德,1.88782680367,0.18543660181554333,0.06058947181132801,4.012259855745211,4.00871993289
餐饮业,000721,西安饮食,0,0,0.004884355413053321,4.083650278395431,4.01307911372
电力、热力生产和供应业,000899,赣能股份,0.0651149061031,0,0,4.007954213230719,4.00225320906
电力、热力生产和供应业,600021,上海电力,3.84313246445,0.757768192931203,1.0765778691139571,3.4557230099001335,4.00013465031
电力、热力生产和供应业,600027,华电国际,4.01124858003,4.560703785062521,0.7039065221633551,3.750694765551705,4.00677811531
电力、热力生产和供应业,600758,红阳能源,0.988146979998,0,0,4.0292450788489695,2.65728821358
电力、热力生产和供应业,600167,联美控股,4.00227644736,1.2685779608954286,0.5979609386077103,4.00288161125594,4.01055649412
电力、热力生产和供应业,600726,华电能源,0,0,0.49707088000713107,3.48563885537355,4.00185668237
电力、热力生产和供应业,600098,广州发展,4.02822188383,4.013160920688031,1.2226146180957898,4.00384834471816,4.00674599591
电力、热力生产和供应业,600011,华能国际,4.00330074078,4.0070287533857245,0.6143448630283812,4.000226601683543,2.46757420331
电力、热力生产和供应业,600900,长江电力,3.54760152651,0.18344736759509406,0.14999797114005542,4.008876740448764,0.256639872344
