股票代码,股票简称,报告期,上下游关系比率,现金比率,核心利润率%,核心利润含金量
600102,莱钢股份,2011-09-30,1.82,0.00,0.74,4.99
600103,青山纸业,2016-09-30,0.77,0.22,4.10,3.74
600104,上汽集团,2016-09-30,1.92,0.31,1.47,2.05
600105,永鼎股份,2016-09-30,0.88,0.06,6.00,-1.49
600106,重庆路桥,2016-09-30,0.90,0.22,31.85,2.12
600107,美尔雅,2016-09-30,0.90,0.03,-6.95,-3.72
600108,亚盛集团,2016-09-30,0.27,0.09,2.67,0.31
600109,国金证券,2016-09-30,0.00,0.44,-24.83,11.45
600110,诺德股份,2016-09-30,0.41,0.04,1.98,-17.81
600111,北方稀土,2016-09-30,0.65,0.08,4.99,5.52
600112,天成控股,2016-09-30,0.72,0.02,-1.36,-1.23
600113,浙江东日,2016-09-30,3.21,0.01,38.57,1.33
600114,东睦股份,2016-09-30,0.33,0.03,12.44,1.61
600115,东方航空,2016-09-30,2.14,0.01,6.96,3.66
600116,三峡水利,2016-09-30,3.69,0.07,25.37,1.87
600117,西宁特钢,2016-09-30,6.79,0.52,-7.84,0.82
600118,中国卫星,2016-09-30,0.90,0.06,8.10,-2.96
600119,长江投资,2016-09-30,0.19,0.07,3.50,-5.45
600120,浙江东方,2016-09-30,1.06,0.03,3.20,-0.24
600121,郑州煤电,2016-09-30,1.51,0.35,-1.43,-6.00
600122,宏图高科,2016-09-30,0.65,0.44,1.70,0.25
600123,兰花科创,2016-09-30,0.86,0.25,-13.37,0.41
600125,铁龙物流,2016-09-30,1.66,0.04,4.87,1.20
600126,杭钢股份,2016-09-30,3.88,0.23,3.73,4.06
600127,金健米业,2016-09-30,0.38,0.05,-1.19,1.22
600128,弘业股份,2016-09-30,0.77,0.14,0.52,4.31
600129,太极集团,2016-09-30,1.80,0.19,-3.38,0.11
600130,波导股份,2016-09-30,2.04,0.03,1.03,-8.54
600131,岷江水电,2016-09-30,4.75,0.04,11.54,2.12
600132,重庆啤酒,2016-09-30,4.40,0.06,12.49,2.38
600133,东湖高新,2016-09-30,1.36,0.33,3.50,1.59
600135,乐凯胶片,2016-09-30,0.34,0.08,4.01,-0.28
600136,当代明诚,2016-09-30,0.26,0.00,26.04,-2.51
600137,浪莎股份,2016-09-30,1.64,0.04,6.56,0.03
600138,中青旅,2016-09-30,0.98,0.05,7.08,0.83
600139,西部资源,2016-09-30,0.97,0.07,-29.02,2.04
600141,兴发集团,2016-09-30,1.07,0.15,1.83,2.60
600143,金发科技,2016-09-30,0.56,0.00,5.48,1.57
600146,商赢环球,2016-09-30,0.00,0.00,-240.41,0.65
600148,长春一东,2016-09-30,0.67,0.02,6.60,0.94
600149,廊坊发展,2016-09-30,0.04,0.00,-77.15,-1.11
600150,中国船舶,2016-09-30,1.59,0.35,-0.58,35.01
600151,航天机电,2016-09-30,1.18,0.00,1.22,1.35
600152,维科精华,2016-09-30,1.63,0.00,-23.27,-0.15
600153,建发股份,2016-09-30,3.71,0.46,2.03,-3.36
600156,华升股份,2016-09-30,1.04,0.05,-13.08,-1.08
600157,永泰能源,2016-09-30,0.34,0.21,-0.38,-106.98
600158,中体产业,2016-09-30,8.12,0.03,0.42,44.77
600159,大龙地产,2016-09-30,2.02,0.13,18.57,0.01
600160,巨化股份,2016-09-30,0.98,0.13,1.26,4.30
600161,天坛生物,2016-09-30,0.65,0.00,22.29,0.28
600162,香江控股,2016-09-30,29.36,0.29,18.84,2.68
600163,中闽能源,2016-09-30,1.24,0.07,26.69,2.34
600165,新日恒力,2016-09-30,0.78,0.03,-3.68,-1.39
600166,福田汽车,2016-09-30,1.86,0.19,-1.26,4.02
600167,联美控股,2016-09-30,8.54,0.02,33.13,-0.14
600168,武汉控股,2016-09-30,0.57,0.09,13.97,1.50
600169,太原重工,2016-09-30,0.89,0.16,-41.70,1.40
600170,上海建工,2016-09-30,3.82,0.99,2.00,-7.13
600171,上海贝岭,2016-09-30,0.58,0.13,10.18,1.06
600172,黄河旋风,2016-09-30,0.33,0.04,17.51,0.32
600173,卧龙地产,2016-09-30,11.72,0.00,10.72,9.25
600175,美都能源,2016-09-30,1.11,0.20,-4.16,1.75
600176,中国巨石,2016-09-30,0.58,0.10,24.85,1.75
600177,雅戈尔,2016-09-30,21.20,0.23,7.88,-1.36
600178,东安动力,2016-09-30,1.03,0.04,0.54,-13.14
600179,安通控股,2016-09-30,1.88,0.05,12.46,2.26
600180,瑞茂通,2016-09-30,1.38,0.24,1.65,-3.64
600181,S*ST云大,2007-03-31,0.78,0.00,-491.79,-0.20
600182,S佳通,2016-09-30,0.17,0.01,15.00,1.94
600183,生益科技,2016-09-30,0.47,0.03,9.38,1.28
600184,光电股份,2016-09-30,1.30,0.03,3.24,-42.60
600185,格力地产,2016-09-30,188.96,0.55,21.85,-0.56
600186,莲花健康,2016-09-30,0.98,0.04,-6.69,-0.23
600187,国中水务,2016-09-30,0.30,0.01,-12.40,-4.18
600188,兖州煤业,2016-09-30,0.72,0.39,0.59,5.60
600189,吉林森工,2016-09-30,0.35,0.05,-55.23,2.25
600190,锦州港,2016-09-30,1.01,0.14,-1.26,-13.24
600191,华资实业,2016-09-30,0.48,0.02,-143.76,-0.31
