股票代码,股票简称,报告期,上下游关系比率,现金比率,核心利润率%,核心利润含金量
600490,鹏欣资源,2016-09-30,2.24,0.00,5.32,2.29
600491,龙元建设,2016-09-30,1.43,0.12,3.39,-1.35
600493,凤竹纺织,2016-09-30,1.23,0.02,5.37,3.15
600495,晋西车轴,2016-09-30,1.09,0.01,-4.92,5.03
600496,精工钢构,2016-09-30,2.10,0.14,3.26,1.87
600497,驰宏锌锗,2016-09-30,4.47,0.05,2.03,5.93
600498,烽火通信,2016-09-30,2.03,0.08,4.26,-3.46
600499,科达洁能,2016-09-30,1.38,0.05,10.60,1.05
600500,中化国际,2016-09-30,0.85,0.24,2.92,1.88
600501,航天晨光,2016-09-30,0.80,0.05,-0.21,69.82
600502,安徽水利,2016-09-30,1.15,0.21,4.17,-1.48
600503,华丽家族,2016-09-30,15.96,0.07,17.26,11.05
600505,西昌电力,2016-09-30,2.54,0.05,7.74,2.04
600506,香梨股份,2016-09-30,6.09,0.01,-15.23,3.41
600507,方大特钢,2016-09-30,1.50,0.11,10.03,1.45
600508,上海能源,2016-09-30,0.99,0.03,0.78,29.55
600509,天富能源,2016-09-30,1.57,0.19,11.63,1.71
600510,黑牡丹,2016-09-30,0.44,0.34,8.97,0.54
600511,国药股份,2016-09-30,0.85,0.08,4.80,0.59
600512,腾达建设,2016-09-30,3.31,0.24,3.38,0.95
600513,联环药业,2016-09-30,0.26,0.11,11.74,0.90
600515,海航基础,2016-09-30,0.51,0.18,-20.41,-1.90
600516,方大炭素,2016-09-30,0.31,0.10,-0.28,-63.21
600517,置信电气,2016-09-30,0.78,0.06,7.18,-0.97
600518,康美药业,2016-09-30,0.60,0.30,18.45,0.22
600519,贵州茅台,2016-09-30,7.12,0.14,65.12,1.88
600520,*ST中发,2016-09-30,2.23,0.03,-11.56,0.24
600521,华海药业,2016-09-30,0.56,0.05,13.21,0.86
600522,中天科技,2016-09-30,0.76,0.11,7.92,0.17
600523,贵航股份,2016-09-30,0.58,0.07,4.57,1.54
600525,长园集团,2016-09-30,0.42,0.04,10.50,-0.13
600526,菲达环保,2016-09-30,1.88,0.10,2.70,-1.74
600527,江南高纤,2016-09-30,0.19,0.07,4.52,-0.29
600528,中铁工业,2016-09-30,1.02,0.13,0.47,-4.67
600529,山东药玻,2016-09-30,1.08,0.07,15.90,1.73
600530,交大昂立,2016-09-30,0.27,0.04,-26.16,-0.69
600531,豫光金铅,2016-09-30,1.25,0.16,2.16,-1.17
600532,宏达矿业,2016-09-30,7.54,0.04,-33.99,-1.56
600533,栖霞建设,2016-09-30,10.33,0.37,-3.21,41.25
600535,天士力,2016-09-30,0.34,0.02,13.13,0.57
600536,中国软件,2016-09-30,0.81,0.10,-11.95,3.15
600537,亿晶光电,2016-09-30,1.28,0.12,12.11,0.66
600538,国发股份,2016-09-30,0.79,0.01,-9.36,0.92
600539,ST狮头,2016-09-30,3.78,0.00,-44.18,0.36
600540,新赛股份,2016-09-30,1.39,0.13,-3.83,-0.75
600543,莫高股份,2016-09-30,2.50,0.04,3.42,8.83
600545,新疆城建,2016-09-30,0.20,0.09,-1.55,10.30
600546,*ST山煤,2016-09-30,0.76,0.48,-0.84,-2.52
600547,山东黄金,2016-09-30,8.73,0.02,3.32,1.20
600548,深高速,2016-09-30,0.70,0.23,31.14,1.52
600549,厦门钨业,2016-09-30,1.54,0.03,4.11,4.31
600550,保变电气,2016-09-30,0.94,0.13,-2.80,-3.69
600551,时代出版,2016-09-30,0.88,0.00,5.52,-1.67
600552,凯盛科技,2016-09-30,0.64,0.07,3.69,0.12
600553,太行水泥,2010-09-30,1.06,0.00,4.18,-0.09
600555,海航创新,2016-09-30,20.62,0.06,-592.81,0.85
600556,ST慧球,2016-09-30,0.28,0.00,-53.96,1.77
600557,康缘药业,2016-09-30,0.16,0.02,14.51,0.79
600558,大西洋,2016-09-30,0.34,0.04,4.42,0.43
600559,老白干酒,2016-09-30,6.84,0.00,6.40,4.62
600560,金自天正,2016-09-30,1.84,0.02,5.27,-2.96
600561,江西长运,2016-09-30,0.87,0.25,-3.19,-4.79
600562,国睿科技,2016-09-30,0.92,0.03,21.71,-0.79
600563,法拉电子,2016-09-30,0.19,0.04,30.12,0.95
600565,迪马股份,2016-09-30,22.36,0.24,3.64,-9.59
600566,济川药业,2016-09-30,0.23,0.06,21.80,0.87
600567,山鹰纸业,2016-09-30,0.60,0.21,1.36,6.58
600568,中珠医疗,2016-09-30,1.41,0.10,18.33,1.58
600569,安阳钢铁,2016-09-30,9.28,0.68,0.76,16.42
600570,恒生电子,2016-09-30,2.23,0.01,-1.30,18.47
600571,信雅达,2016-09-30,0.51,0.02,6.90,-2.90
600572,康恩贝,2016-09-30,0.51,0.14,11.42,1.33
600573,惠泉啤酒,2016-09-30,6.95,0.01,0.24,50.56
600575,皖江物流,2016-09-30,1.24,0.07,7.19,3.08
600576,万家文化,2016-09-30,0.35,0.01,18.10,-0.12
600577,精达股份,2016-09-30,0.56,0.07,3.52,1.89
600578,京能电力,2016-09-30,2.21,0.13,9.41,3.87
600579,天华院,2016-09-30,0.35,0.07,-0.88,25.86
600580,卧龙电气,2016-09-30,0.65,0.17,3.03,-0.47
600581,*ST八钢,2016-09-30,23.82,0.12,-6.13,-1.04
600582,天地科技,2016-09-30,0.52,0.20,7.55,-1.13
600583,海油工程,2016-09-30,1.76,0.17,8.35,3.29
600584,长电科技,2016-09-30,1.62,0.14,-4.14,-2.70
600585,海螺水泥,2016-09-30,0.77,0.12,18.52,1.17
600586,金晶科技,2016-09-30,3.78,0.19,4.36,3.76
600587,新华医疗,2016-09-30,1.04,0.08,4.25,-0.37
600588,用友网络,2016-09-30,0.73,0.13,-23.14,1.06
600589,广东榕泰,2016-09-30,0.40,0.16,9.90,0.02
600590,泰豪科技,2016-09-30,0.98,0.00,1.73,-9.77
600591,*ST上航,2009-09-30,3.22,0.00,-8.68,-0.43
600592,龙溪股份,2016-09-30,0.59,0.03,-7.16,0.55
600593,大连圣亚,2016-09-30,0.20,0.11,33.77,1.36
600594,益佰制药,2016-09-30,0.27,0.08,13.86,0.71
600595,中孚实业,2016-09-30,8.73,0.34,2.31,5.35
600596,新安股份,2016-09-30,1.43,0.10,-0.64,-10.89
600597,光明乳业,2016-09-30,1.03,0.16,4.79,1.97
600598,北大荒,2016-09-30,5.20,0.05,32.12,2.14
600599,熊猫金控,2016-09-30,0.67,0.07,21.21,-1.79
600600,青岛啤酒,2016-09-30,12.54,0.24,9.16,2.17
600601,方正科技,2016-09-30,1.40,0.13,-2.10,0.85
600602,云赛智联,2016-09-30,0.57,0.00,8.70,-1.25
600603,*ST兴业,2016-09-30,1100.22,0.00,-4328.88,1.15
600604,市北高新,2016-09-30,16.11,0.13,22.47,-1.21
600605,汇通能源,2016-09-30,0.14,0.03,1.62,0.00
600606,绿地控股,2016-09-30,4.57,0.56,4.57,-0.88
600607,上实医药,2009-09-30,0.80,0.00,8.71,1.04
600608,上海科技,2016-09-30,0.88,0.02,-29.58,1.66
600609,金杯汽车,2016-09-30,0.77,0.62,3.12,-0.71
600610,中毅达,2016-09-30,0.41,0.01,-5.70,3.36
600611,大众交通,2016-09-30,11.59,0.17,5.35,14.15
600612,老凤祥,2016-09-30,0.63,0.18,4.59,-1.52
600613,神奇制药,2016-09-30,0.29,0.03,12.17,0.76
600614,鹏起科技,2016-09-30,1.08,0.03,14.97,-0.14
600615,丰华股份,2016-09-30,0.26,0.01,5.52,-1.01
600616,金枫酒业,2016-09-30,0.71,0.04,8.06,0.88
600617,国新能源,2016-09-30,0.72,0.19,10.28,0.40
600618,氯碱化工,2016-09-30,0.77,0.03,-1.86,-2.79
600619,海立股份,2016-09-30,0.95,0.07,1.31,8.76
600620,天宸股份,2016-09-30,14.03,0.03,-60.13,0.71
600621,华鑫股份,2016-09-30,2.07,0.07,23.08,-3.63
600622,嘉宝集团,2016-09-30,276.69,0.28,15.54,7.02
600623,华谊集团,2016-09-30,0.97,0.21,-0.30,-12.29
600624,复旦复华,2016-09-30,0.39,0.05,8.77,-0.97
600625,PT水仙,2015-12-31,1.40,0.00,7.82,1.88
600626,申达股份,2016-09-30,0.95,0.08,1.93,-0.34
600627,上电股份,2008-09-30,1.05,0.00,1.74,-1.96
600628,新世界,2016-09-30,2.47,0.21,9.76,0.83
600629,华建集团,2016-09-30,1.84,0.55,6.03,-1.80
600630,龙头股份,2016-09-30,0.73,0.06,1.68,-2.57
600631,百联股份,2011-06-30,22.77,0.00,7.52,0.77
600632,华联商厦,2004-09-30,3.05,0.00,-0.26,-10.98
600633,浙报传媒,2016-09-30,1.22,0.00,14.91,0.68
600634,中技控股,2016-09-30,0.51,0.28,1.71,-3.18
600635,大众公用,2016-09-30,6.56,0.15,-1.47,-15.64
600636,三爱富,2016-09-30,0.62,0.00,4.53,3.22
600637,东方明珠,2016-09-30,1.08,0.19,11.43,0.65
600638,新黄浦,2016-09-30,22.78,0.24,-3.38,-11.56
600639,浦东金桥,2016-09-30,3.60,0.05,48.52,0.80
600640,号百控股,2016-09-30,0.94,0.07,0.88,-2.10
600641,万业企业,2016-09-30,110.93,0.09,6.43,18.46
600642,申能股份,2016-09-30,2.50,0.27,6.56,2.34
600643,爱建集团,2016-09-30,0.92,0.08,-35.68,-4.58
600644,乐山电力,2016-09-30,2.17,0.05,11.28,1.79
600645,中源协和,2016-09-30,2.23,0.00,14.10,1.15
600646,ST国嘉,2015-12-31,0.00,0.00,30.16,0.00
600647,同达创业,2016-09-30,1.42,0.04,-33.61,0.31
600648,外高桥,2016-09-30,2.13,0.08,12.23,-0.32
600649,城投控股,2016-09-30,5.89,0.00,17.49,0.39
600650,锦江投资,2016-09-30,1.70,0.06,5.07,2.19
600651,飞乐音响,2016-09-30,1.02,0.06,2.21,-12.31
600652,游久游戏,2016-09-30,0.27,0.01,34.53,0.42
600653,申华控股,2016-09-30,1.49,0.14,-4.04,0.47
600654,中安消,2016-09-30,0.28,0.00,9.14,-0.42
600655,豫园商城,2016-09-30,0.49,0.00,4.70,0.23
600657,信达地产,2016-09-30,22.86,0.00,0.39,-284.70
600658,电子城,2016-09-30,1.15,0.43,34.72,-2.19
600659,*ST花雕,2005-03-31,0.34,0.00,-5.43,-0.12
600660,福耀玻璃,2016-09-30,0.40,0.15,22.30,1.06
600661,新南洋,2016-09-30,8.25,0.06,8.46,3.71
600662,强生控股,2016-09-30,2.07,0.08,3.66,8.12
600663,陆家嘴,2016-09-30,52.91,0.03,29.23,2.26
600664,哈药股份,2016-09-30,1.17,0.18,7.32,3.02
600665,天地源,2016-09-30,6.39,0.61,-17.77,-3.84
600666,奥瑞德,2016-09-30,0.72,0.02,23.45,-1.75
600667,太极实业,2016-09-30,0.60,0.07,4.74,-0.38
600668,尖峰集团,2016-09-30,1.08,0.02,8.98,1.28
600669,*ST鞍成,2015-12-31,0.00,0.00,-53190.60,1.92
600671,天目药业,2016-09-30,1.65,0.01,-18.96,0.21
600672,*ST华圣,2015-12-31,0.45,0.00,7.81,1.28
600673,东阳光科,2016-09-30,0.50,0.00,2.82,5.63
600674,川投能源,2016-09-30,0.40,0.01,-2.34,-16.34
600675,中华企业,2016-09-30,690.59,0.48,8.35,8.69
600676,交运股份,2016-09-30,0.89,0.15,4.00,1.20
600677,航天通信,2016-09-30,0.95,0.10,2.63,-4.78
600678,四川金顶,2016-09-30,0.70,0.00,-38.36,-0.12
600679,上海凤凰,2016-09-30,0.93,0.02,7.90,0.09
600680,上海普天,2016-09-30,0.67,0.00,-8.86,0.74
600681,百川能源,2016-09-30,2.91,0.00,38.27,0.53
600682,南京新百,2016-09-30,45.95,0.13,-4.82,-2.04
600683,京投发展,2016-09-30,68.13,0.50,11.92,14.08
600684,珠江实业,2016-09-30,0.71,0.53,11.58,1.17
600685,中船防务,2016-09-30,1.97,0.32,-0.82,42.25
600686,金龙汽车,2016-09-30,1.00,0.49,0.58,-34.76
600687,刚泰控股,2016-09-30,0.24,0.08,8.78,-4.31
600688,上海石化,2016-09-30,1.65,0.05,9.06,1.07
600689,上海三毛,2016-09-30,0.98,0.06,-2.87,-2.87
600690,青岛海尔,2016-09-30,1.29,0.29,5.24,1.12
600691,阳煤化工,2016-09-30,2.79,0.71,-6.89,-1.58
600692,亚通股份,2016-09-30,5.04,0.07,6.28,3.49
600693,东百集团,2016-09-30,7.42,0.04,-0.00,2964.47
600694,大商股份,2016-09-30,11.62,0.59,4.60,1.79
600696,匹凸匹,2016-09-30,0.48,0.00,-59.34,-0.16
600697,欧亚集团,2016-09-30,3.80,0.34,4.90,0.33
600698,湖南天雁,2016-09-30,0.49,0.03,1.48,-4.43
600699,均胜电子,2016-09-30,0.77,0.08,4.97,0.75
600700,*ST数码,2015-12-31,1.27,0.00,-1527.92,0.01
600701,工大高新,2016-12-31,0.42,0.03,-2.18,2.08
600702,沱牌舍得,2016-09-30,6.44,0.03,11.60,0.52
600703,三安光电,2016-09-30,0.28,0.10,30.46,0.74
600704,物产中大,2016-09-30,1.86,0.32,1.12,-0.01
600705,中航资本,2016-09-30,2.58,0.29,-8.36,173.89
600706,曲江文旅,2016-09-30,0.55,0.04,10.34,0.86
600707,彩虹股份,2016-09-30,4.20,0.07,-61.93,0.77
600708,光明地产,2016-09-30,7.35,0.53,5.28,11.21
600709,ST生态,2015-12-31,0.62,0.00,3.96,4.68
600710,*ST常林,2016-09-30,0.65,0.00,-7.67,0.28
600711,盛屯矿业,2016-09-30,0.46,0.07,2.18,-0.93
600712,南宁百货,2016-09-30,8.17,0.04,-0.90,5.14
600713,南京医药,2016-09-30,0.63,0.23,1.33,-2.91
600714,金瑞矿业,2016-09-30,0.32,0.00,-57.30,1.08
600715,文投控股,2016-09-30,0.46,0.01,33.95,-0.66
600716,凤凰股份,2016-09-30,63.33,0.45,-0.38,45.14
600717,天津港,2016-09-30,1.06,0.34,16.27,1.48
600718,东软集团,2016-09-30,0.75,0.08,-0.37,80.34
600719,大连热电,2016-09-30,1.34,0.03,-3.72,6.18
600720,祁连山,2016-09-30,1.00,0.16,5.96,3.93
600721,*ST百花,2016-09-30,0.97,0.02,-51.69,0.25
600722,金牛化工,2016-09-30,0.36,0.03,3.47,-3.97
600723,首商股份,2016-09-30,8.94,0.41,5.54,0.40
600724,宁波富达,2016-09-30,3.05,0.21,19.77,1.26
600725,*ST云维,2016-09-30,3.78,0.00,-52.04,0.03
600726,华电能源,2016-09-30,1.49,0.11,4.06,4.44
600727,鲁北化工,2016-09-30,0.81,0.02,6.39,2.44
600728,佳都科技,2016-09-30,1.72,0.02,-0.63,53.26
600729,重庆百货,2016-09-30,2.78,0.16,1.75,1.06
600730,中国高科,2016-09-30,0.45,0.24,-5.86,0.54
600731,湖南海利,2016-09-30,2.08,0.04,3.45,5.22
600732,*ST新梅,2016-09-30,140.07,0.00,-45.54,-0.90
600733,S前锋,2016-09-30,13.77,0.00,-142.81,6.71
600734,实达集团,2016-09-30,0.82,0.12,2.70,-2.79
600735,新华锦,2016-09-30,1.04,0.00,9.61,0.84
600736,苏州高新,2016-09-30,13.88,0.00,3.48,23.71
600737,中粮糖业,2016-09-30,0.94,0.10,3.24,7.01
600738,兰州民百,2016-09-30,215.82,0.08,9.67,-1.30
600739,辽宁成大,2016-09-30,0.66,0.04,0.89,6.05
600740,山西焦化,2016-09-30,2.02,0.46,-1.73,-1.46
600741,华域汽车,2016-09-30,1.32,0.51,4.78,1.90
600742,一汽富维,2016-09-30,1.38,0.16,1.88,2.70
600743,华远地产,2016-09-30,25.92,0.46,9.78,1.27
600744,华银电力,2016-09-30,0.79,0.03,-2.89,-14.26
600745,中茵股份,2016-09-30,3.31,0.04,1.63,4.51
600746,江苏索普,2016-09-30,3.21,0.04,6.79,1.63
600747,大连控股,2016-09-30,0.05,0.00,-3.00,8.50
600748,上实发展,2016-09-30,15.42,0.64,14.53,6.22
600749,西藏旅游,2016-09-30,1.02,0.00,-24.01,-0.47
600750,江中药业,2016-09-30,0.37,0.08,26.94,1.98
600751,天海投资,2016-09-30,0.58,0.37,2.09,-16.46
600753,东方银星,2016-09-30,205.24,0.00,-20.59,3.98
600754,锦江股份,2016-09-30,2.39,0.26,4.31,5.23
600755,厦门国贸,2016-09-30,1.92,0.25,1.91,-4.93
600756,浪潮软件,2016-09-30,1.24,0.01,-0.05,606.77
600757,长江传媒,2016-09-30,1.29,0.07,3.51,0.04
600758,红阳能源,2016-09-30,0.77,0.16,-7.58,-1.31
600759,洲际油气,2016-09-30,0.38,0.02,-9.26,-2.02
600760,*ST黑豹,2016-09-30,2.16,0.02,-12.28,-0.52
600761,安徽合力,2016-09-30,1.24,0.11,7.96,1.87
600762,S*ST金荔,2007-09-30,69795.02,0.00,-1040.97,0.01
600763,通策医疗,2016-09-30,1.07,0.03,24.14,0.48
600764,中电广通,2016-09-30,0.86,0.01,5.59,2.61
600765,中航重机,2016-09-30,0.80,0.06,9.18,-0.03
600766,园城黄金,2016-09-30,31011044.46,0.00,46.00,-0.12
600767,运盛医疗,2016-09-30,0.87,0.00,-138.58,0.77
600768,宁波富邦,2016-09-30,1.94,0.00,-4.79,-1.56
600769,祥龙电业,2016-09-30,2.08,0.01,-5.87,4.61
600770,综艺股份,2016-09-30,0.71,0.08,-11.76,-0.26
600771,广誉远,2016-09-30,0.19,0.02,16.91,-1.61
600772,S*ST龙昌,2005-09-30,2.41,0.00,-41.56,-0.91
600773,西藏城投,2016-09-30,6.21,0.16,2.34,-7.06
600774,汉商集团,2016-09-30,13.80,0.03,0.27,29.02
600775,南京熊猫,2016-09-30,0.87,0.07,0.49,-5.33
600776,东方通信,2016-09-30,0.38,0.07,1.25,-17.38
600777,新潮能源,2016-09-30,0.33,0.16,-57.08,0.74
600778,友好集团,2016-09-30,7.21,0.07,-4.59,0.01
600779,水井坊,2016-09-30,14.66,0.05,26.22,1.26
600780,通宝能源,2016-09-30,2.26,0.25,4.89,5.23
600781,辅仁药业,2016-09-30,0.62,0.04,7.63,2.82
600782,新钢股份,2016-09-30,1.46,0.58,1.12,1.32
600783,鲁信创投,2016-09-30,0.58,0.01,-49.56,1.05
600784,鲁银投资,2016-09-30,1.64,0.12,-5.23,-5.69
600785,新华百货,2016-09-30,3.01,0.07,1.57,1.00
600786,东方锅炉,2007-09-30,1.10,0.00,9.06,-0.63
600787,中储股份,2016-09-30,0.75,0.09,0.87,-52.74
600788,*ST达曼,2010-12-31,103392208.69,0.00,-210335.51,0.01
600789,鲁抗医药,2016-09-30,1.02,0.08,0.87,8.01
600790,轻纺城,2016-09-30,566.23,0.03,39.06,1.30
600791,京能置业,2016-09-30,4.79,0.34,13.84,-4.23
600792,云煤能源,2016-09-30,2.31,0.04,-9.46,-0.28
600793,宜宾纸业,2016-09-30,5.09,0.03,-25.10,-0.08
600794,保税科技,2016-09-30,5.67,0.10,10.32,2.01
600795,国电电力,2016-09-30,1.69,0.07,17.69,2.53
600796,钱江生化,2016-09-30,0.56,0.02,13.49,0.44
600797,浙大网新,2016-09-30,0.90,0.06,1.97,-3.65
600798,宁波海运,2016-09-30,1.13,0.04,11.16,4.07
600799,*ST龙科,2005-09-30,155.94,0.00,-394.02,-0.36
600800,天津磁卡,2016-09-30,0.89,0.02,-44.61,1.80
600801,华新水泥,2016-09-30,2.28,0.17,2.33,8.02
600802,福建水泥,2016-09-30,30.92,0.06,-36.06,-0.07
600803,新奥股份,2016-09-30,1.19,0.13,6.48,1.10
600804,鹏博士,2016-09-30,12.94,0.09,10.71,4.12
600805,悦达投资,2016-09-30,2.62,0.10,-16.08,-0.82
600806,*ST昆机,2016-09-30,1.16,0.02,-50.83,-0.45
600807,天业股份,2016-09-30,1.03,0.00,2.95,-57.27
600808,马钢股份,2016-09-30,2.47,0.17,4.09,1.69
600809,山西汾酒,2016-09-30,0.73,0.05,20.85,0.82
600810,神马股份,2016-09-30,1.42,0.36,1.02,7.05
600811,东方集团,2016-09-30,8.53,0.47,-18.34,5.02
600812,华北制药,2016-09-30,1.26,0.10,0.49,-13.65
600813,ST鞍一工,2015-12-31,0.00,0.00,9.31,-47.44
600814,杭州解百,2016-09-30,30.45,0.22,8.32,0.79
600815,厦工股份,2016-09-30,0.42,0.10,-15.17,-0.60
600816,安信信托,2016-12-31,0.00,0.00,53.36,1.07
600817,*ST宏盛,2016-09-30,0.00,0.01,19.34,-34.12
600818,中路股份,2016-09-30,1.53,0.02,-34.81,-0.82
600819,耀皮玻璃,2016-09-30,0.94,0.06,-2.94,-4.49
600820,隧道股份,2016-09-30,1.52,0.26,2.20,0.89
600821,津劝业,2016-09-30,333.22,0.03,-16.96,2.40
600822,上海物贸,2016-09-30,2.07,0.05,-0.07,30.30
600823,世茂股份,2016-09-30,6.01,0.48,12.28,0.83
600824,益民集团,2016-09-30,0.64,0.04,6.96,1.43
600825,新华传媒,2016-09-30,14.70,0.05,1.78,2.23
600826,兰生股份,2016-09-30,1.59,0.10,2.02,-7.61
600827,百联股份,2016-09-30,13.11,0.38,2.44,1.24
600828,茂业商业,2016-09-30,9.52,0.04,10.46,0.18
600829,人民同泰,2016-09-30,0.72,0.04,4.29,-0.52
600830,香溢融通,2016-09-30,1.13,0.12,1.83,-3.46
600831,广电网络,2016-09-30,4.53,0.08,6.76,3.23
600832,东方明珠,2015-03-31,2.01,0.00,20.60,-1.63
600833,第一医药,2016-09-30,1.56,0.05,3.83,1.15
600834,申通地铁,2016-09-30,10.58,0.00,5.39,5.46
600835,上海机电,2016-09-30,3.76,0.64,12.10,1.12
600836,界龙实业,2016-09-30,3.17,0.00,-0.06,-138.55
600837,海通证券,2016-09-30,1.14,0.68,3.97,-74.34
600838,上海九百,2016-09-30,2.62,0.04,-42.99,0.50
600839,四川长虹,2016-09-30,1.26,0.70,1.77,2.66
600840,新湖创业,2009-06-30,29.29,0.00,44.76,2.49
600841,上柴股份,2016-09-30,0.76,0.13,-2.57,1.00
600842,中西药业,2009-09-30,0.19,0.00,14.58,0.62
600843,上工申贝,2016-09-30,0.36,0.07,9.23,0.00
600844,丹化科技,2016-09-30,1.51,0.09,-36.72,-1.51
600845,宝信软件,2016-09-30,0.94,0.12,9.27,2.63
600846,同济科技,2016-09-30,7.13,0.25,8.84,5.42
600847,万里股份,2016-09-30,0.25,0.03,-1.90,19.24
600848,上海临港,2016-09-30,14.47,0.06,30.55,-0.19
600850,华东电脑,2016-09-30,1.86,0.06,5.93,-1.65
600851,海欣股份,2016-09-30,0.52,0.03,-5.18,1.75
600852,*ST中川,2015-12-31,5682424.01,0.00,-171.53,-0.00
600853,龙建股份,2016-09-30,2.09,0.30,0.69,-34.75
600854,春兰股份,2016-09-30,5.43,0.01,-50.48,0.04
600855,航天长峰,2016-09-30,1.06,0.00,3.26,-11.32
600856,中天能源,2016-09-30,0.39,0.09,12.52,-0.29
600857,宁波中百,2016-09-30,4.53,0.03,3.76,0.15
600858,银座股份,2016-09-30,16.61,0.24,0.70,1.25
600859,王府井,2016-09-30,24.31,0.00,4.71,0.38
600860,京城股份,2016-09-30,1.26,0.03,-18.03,-0.27
600861,北京城乡,2016-09-30,16.54,0.18,6.69,4.15
600862,中航高科,2016-09-30,1.74,0.06,6.38,2.78
600863,内蒙华电,2016-09-30,0.99,0.01,7.52,3.59
600864,哈投股份,2016-09-30,2.37,0.47,-58.75,8.26
600865,百大集团,2016-09-30,4.30,0.03,11.66,0.24
600866,*ST星湖,2016-09-30,0.85,0.03,-7.79,-0.71
600867,通化东宝,2016-09-30,0.06,0.02,39.76,0.96
600868,梅雁吉祥,2016-09-30,0.53,0.00,34.20,1.39
600869,智慧能源,2016-09-30,0.55,0.12,4.23,-0.13
600870,厦华电子,2016-09-30,0.53,0.01,0.71,-1.68
600871,石化油服,2016-09-30,1.88,0.04,-31.24,0.53
600872,中炬高新,2016-09-30,5.38,0.02,13.33,1.55
600873,梅花生物,2016-09-30,1.16,0.07,8.37,3.57
600874,创业环保,2016-09-30,0.59,0.13,25.82,0.92
600875,东方电气,2016-09-30,2.47,0.00,-0.66,-35.21
600876,洛阳玻璃,2016-09-30,1.73,0.00,-33.65,1.32
600877,中国嘉陵,2016-09-30,4.99,0.03,-29.16,1.43
600878,*ST北科,2004-06-30,0.60,0.00,-176.17,0.00
600879,航天电子,2016-09-30,0.61,0.03,4.19,-4.47
600880,博瑞传播,2016-09-30,0.78,0.11,-1.65,-1.84
600881,亚泰集团,2016-09-30,1.09,0.40,-7.61,-3.46
600882,广泽股份,2016-09-30,0.84,0.17,-19.81,0.18
600883,博闻科技,2016-09-30,0.12,0.07,-125.27,3.46
600884,杉杉股份,2016-09-30,0.50,0.15,7.38,-2.69
600885,宏发股份,2016-09-30,0.40,0.02,22.44,0.35
600886,国投电力,2016-09-30,0.90,0.14,31.18,2.04
600887,伊利股份,2016-09-30,7.95,0.14,8.63,3.10
600888,新疆众和,2016-09-30,0.67,0.23,-0.55,29.08
600889,南京化纤,2016-09-30,2.47,0.08,4.93,5.17
600890,中房股份,2016-09-30,3.18,0.00,-855.18,1.00
600891,秋林集团,2016-09-30,0.91,0.02,9.52,-2.97
600892,大晟文化,2016-09-30,0.13,0.01,43.91,1.18
600893,中航动力,2016-09-30,1.15,0.07,2.49,-20.77
600894,广日股份,2016-09-30,1.47,0.21,9.28,1.06
600895,张江高科,2016-09-30,2.35,0.05,16.47,-0.49
600896,览海投资,2016-09-30,0.13,0.07,-16.96,-0.50
600897,厦门空港,2016-09-30,1.60,0.03,38.61,0.95
600898,三联商社,2016-09-30,2.46,0.03,0.94,8.28
600900,长江电力,2016-09-30,0.04,0.01,45.35,1.64
600908,无锡银行,2016-09-30,0.00,0.00,12.96,-10.87
600909,华安证券,2016-09-30,0.00,0.00,100.00,-3.48
600917,重庆燃气,2016-09-30,2.94,0.12,7.38,2.88
600919,江苏银行,2016-09-30,0.00,0.00,13.83,26.13
600926,杭州银行,2016-09-30,0.00,0.00,5.78,82.74
600936,广西广电,2016-09-30,5.25,0.08,14.42,1.08
600939,重庆建工,2016-09-30,1.76,0.18,1.08,-0.74
600958,东方证券,2016-09-30,0.16,0.42,-9.14,50.83
600959,江苏有线,2016-09-30,4.82,0.09,21.20,1.42
600960,渤海活塞,2016-09-30,0.47,0.13,6.85,4.51
600961,株冶集团,2016-09-30,1.57,0.03,1.15,0.62
600962,国投中鲁,2016-09-30,0.43,0.03,0.07,771.59
600963,岳阳林纸,2016-09-30,1.38,0.05,-0.02,-882.08
600965,福成股份,2016-09-30,2.05,0.07,16.55,0.49
600966,博汇纸业,2016-09-30,0.68,0.21,1.63,5.75
600967,北方创业,2016-09-30,0.96,0.05,-1.31,6.60
600969,郴电国际,2016-09-30,1.00,0.71,8.89,1.88
600970,中材国际,2016-09-30,2.03,0.70,5.01,2.18
600971,恒源煤电,2016-09-30,1.00,0.40,2.99,19.23
600973,宝胜股份,2016-09-30,0.45,0.26,2.02,0.19
600975,新五丰,2016-09-30,1.48,0.10,15.29,0.53
600976,健民集团,2016-09-30,0.41,0.07,2.43,0.10
600977,中国电影,2016-09-30,2.10,0.18,13.96,0.39
600978,宜华生活,2016-09-30,0.65,0.22,18.46,1.57
600979,广安爱众,2016-09-30,3.13,0.00,12.39,2.21
600980,北矿科技,2016-09-30,0.79,0.04,9.32,-1.82
600981,汇鸿集团,2016-09-30,0.87,0.32,-1.16,-3.24
600982,宁波热电,2016-09-30,1.48,0.11,6.96,-3.09
600983,惠而浦,2016-09-30,1.10,0.39,4.71,2.51
600984,建设机械,2016-09-30,0.92,0.03,6.83,-0.69
600985,雷鸣科化,2016-09-30,0.53,0.06,16.31,0.64
600986,科达股份,2016-09-30,1.53,0.09,7.88,1.04
600987,航民股份,2016-09-30,0.24,0.07,20.73,1.09
600988,赤峰黄金,2016-09-30,0.44,0.02,17.24,-0.56
600990,四创电子,2016-09-30,1.14,0.03,2.49,-14.92
