code,name,type,report_date,pre_eps,range
000668,荣丰控股,预盈,2017-12-30,-0.28,117.1%~131.76%
000683,远兴能源,预盈,2017-12-30,-0.16,234.56%~254.06%
000008,神州高铁,预增,2017-12-29,0.192,55%~65%
300146,汤臣倍健,预增,2017-12-29,0.37,35%~55%
300287,飞利信,预升,2017-12-27,0.25,17.62%~47.02%
600351,亚宝药业,预增,2017-12-26,0.0286,788%~818%
000627,天茂集团,预降,2017-12-26,0.44,-26.91%~-19.61%
300684,中石科技,预增,2017-12-26,0.5659,60%~79%
000410,*ST沈机,预盈,2017-12-25,-1.83,0
300347,泰格医药,预增,2017-12-25,0.3,100%~129.9%
002756,永兴特钢,预增,2017-12-22,0.7,30%~50%
300249,依米康,预增,2017-12-22,0.1262,80.06%~109.33%
300633,开立医疗,预增,2017-12-22,0.36,45.68%~60.01%
300349,金卡智能,预增,2017-12-22,0.48,290%~319.9%
603996,中新科技,预增,2017-12-21,0.39,20%~50%
300041,回天新材,预升,2017-12-19,0.2421,10%~30%
300701,森霸股份,预升,2017-12-19,0.78,25.96%~32.36%
603776,永安行,预增,2017-12-18,1.62,330%~360%
002921,联诚精密,预升,2017-12-13,0.79,1.36%~3.59%
601216,君正集团,预增,2017-12-12,0.1877,25%~55%
603329,上海雅仕,预升,2017-12-12,0.66,20%~30%
002922,伊戈尔,预升,2017-12-12,0.72,5%~10%
300677,英科医疗,预增,2017-12-12,1.18,63.31%~74.98%
300418,昆仑万维,预增,2017-12-11,0.47,95.67%~124.84%
603655,朗博科技,预升,2017-12-11,0.38,10.04%~16.07%
300735,光弘科技,预升,2017-12-11,0.61,16.74%~23.22%
002644,佛慈制药,预增,2017-12-08,0.1193,20%~50%
002254,泰和新材,预增,2017-12-08,0.1,35.97%~52.96%
600545,卓郎智能,预升,2017-12-07,-0.3374,26.5%~36.8%
300192,科斯伍德,预减,2017-12-07,0.15,-85%~-55%
603456,九洲药业,预增,2017-12-05,0.25,30%~50%
603283,赛腾股份,预增,2017-12-05,0.4,87.31%~128.93%
002920,德赛西威,预升,2017-12-05,1.31,0%~5%
002404,嘉欣丝绸,预增,2017-11-30,0.19,100%~150%
300221,银禧科技,预增,2017-11-29,0.38,43.8%~56.87%
002919,名臣健康,预升,2017-11-29,0.78,0%~5%
002918,蒙娜丽莎,预升,2017-11-29,1.97,20.17%~33.05%
300038,梅泰诺,预增,2017-11-28,0.5677,350%~380%
603477,振静股份,预升,2017-11-28,0.32,18.4%~23.55%
300732,设研院,预升,2017-11-28,2.4,35%~42.71%
603809,豪能股份,预升,2017-11-27,1.5784,0
300727,润禾材料,预升,2017-11-24,0.51,29.72%~32.75%
603890,春秋电子,预升,2017-11-21,1.54,2.23%~13.14%
002916,深南电路,预增,2017-11-21,1.31,49.38%~74.89%
002917,金奥博,预升,2017-11-21,0.99,1%~10%
300726,宏达电子,预升,2017-11-20,0.5463,1.88%~4.43%
300731,科创新源,预升,2017-11-20,0.83,15.41%~21.38%
603365,水星家纺,预升,2017-11-17,0.99,21.54%~41.31%
300639,凯普生物,预升,2017-11-17,1.13,15.65%~24.84%
603619,中曼石油,预升,2017-11-16,1.09,1.49%~6.57%
002864,盘龙药业,预升,2017-11-15,0.61,8.64%~18.75%
300723,一品红,预升,2017-11-15,1.14,9.21%~16.49%
300721,怡达股份,预升,2017-11-14,1.0349,0.05%~4.25%
603605,珀莱雅,预升,2017-11-14,1.02,16%~26%
603917,合力科技,预升,2017-11-14,0.9329,6.4%~9%
002915,中欣氟材,预增,2017-11-14,0.39,41.63%~50.77%
300730,科创信息,预升,2017-11-14,0.54,11.7
603711,香飘飘,预降,2017-11-13,0.74,-3.97
