code,股票名称,市盈率,type,上年同期每股收益,预增范围,增长率,GPE水准
2524,光正集团,0.0,预增,0.01,-58.69%~65.22%,58.0,inf
2671,龙泉股份,0.0,预增,0.07,60%~90%,60.0,inf
68,华控赛格,0.0,预增,0.0099,150.62%~250.87%,150.0,inf
615,京汉股份,0.0,预增,0.14,127.93%~241.43%,127.0,inf
2480,新筑股份,0.0,预增,0.029,33.67%~81.8%,33.0,inf
2316,键桥通讯,0.0,预增,0.0065,81%~129.79%,81.0,inf
513,丽珠集团,6.59,预增,1.98,451.04%~470.56%,451.0,68.43702579666162
600380,健康元,6.64,预增,0.289,337.19%~370.25%,337.0,50.75301204819277
2016,世荣兆业,16.79,预增,0.1157,786.46%~835.59%,786.0,46.81357951161406
2346,柘中股份,25.8,预增,0.05,1115.16%~1164.76%,1115.0,43.21705426356589
980,众泰汽车,38.28,预增,0.16,1350.72%~1469.41%,1350.0,35.26645768025078
2601,龙蟒佰利,13.11,预增,0.43,450%~500%,450.0,34.32494279176201
830,鲁西化工,17.32,预增,0.09,494%~541%,494.0,28.521939953810623
2110,三钢闽光,8.58,预增,0.98,236%~286%,236.0,27.505827505827504
600351,亚宝药业,29.78,预增,0.0286,788%~818%,788.0,26.460711887172597
2068,黑猫股份,17.31,预增,0.16,409.91%~452.4%,409.0,23.627960716348934
600641,万业企业,5.17,预增,0.8912,115%~135%,115.0,22.243713733075435
2515,金字火腿,45.63,预增,0.03,925.32%~1055.99%,925.0,20.27175104098181
2164,宁波东力,66.68,预增,0.03,1110%~1280%,1110.0,16.646670665866825
426,兴业矿业,35.11,预增,0.0568,525.99%~570.7%,525.0,14.953004841925377
2235,安妮股份,51.14,预增,0.0366,757.67%~800.55%,757.0,14.802502933124755
2136,安 纳 达,18.69,预增,0.1977,266.96%~302.25%,266.0,14.232209737827715
2145,中核钛白,23.94,预增,0.05,340%~387.57%,340.0,14.202172096908939
2109,兴化股份,28.57,预增,0.04,398.53%~448.39%,398.0,13.93069653482674
600210,紫江企业,8.19,预增,0.14800000000000002,110%~160%,110.0,13.431013431013431
338,潍柴动力,11.26,预增,0.61,150%~166%,150.0,13.321492007104796
2094,青岛金王,13.65,预增,0.53,160%~190%,160.0,11.72161172161172
2295,精艺股份,45.61,预增,0.0365,531.51%~575.07%,531.0,11.642183731637799
601006,大秦铁路,9.06,预增,0.48,105,105.0,11.589403973509933
2617,露笑科技,38.37,预增,0.09,409.55%~455.87%,409.0,10.659369298931457
2388,新亚制程,49.46,预增,0.03,515.15%~561.06%,515.0,10.412454508693894
2061,浙江交科,53.27,预增,0.12,541.22%~654.38%,541.0,10.15581002440398
600260,凯乐科技,29.84,预增,0.2733,300%~350%,300.0,10.053619302949063
2648,卫星石化,19.82,预增,0.39,192.07%~220.96%,192.0,9.687184661957618
2039,黔源电力,10.36,预增,0.4244,100%~150%,100.0,9.652509652509654
2067,景兴纸业,10.32,预增,0.29,91.33%~119.55%,91.0,8.817829457364342
601088,中国神华,9.96,预增,1.142,80%,80.0,8.032128514056224
2335,科华恒盛,18.3,预增,0.67,145%~190%,145.0,7.923497267759562
2334,英威腾,27.71,预增,0.0933,215%~245%,215.0,7.758931793576326
300038,梅泰诺,47.97,预增,0.5677,350%~380%,350.0,7.29622680842193
2496,辉丰股份,19.24,预增,0.12,140%~190%,140.0,7.276507276507277
300349,金卡智能,40.04,预增,0.48,290%~319.9%,290.0,7.242757242757243
2566,益盛药业,49.85,预增,0.0399,350%~400%,350.0,7.021063189568706
2434,万里扬,18.32,预增,0.3,125%~175%,125.0,6.823144104803493
2534,杭锅股份,16.8,预增,0.31,108.84%~140.17%,108.0,6.428571428571428
631,顺发恒业,12.48,预增,0.16,80.64%~101.81%,80.0,6.41025641025641
2530,金财互联,59.79,预增,0.16,383.93%~426.88%,383.0,6.405753470480014
2682,龙洲股份,29.55,预增,0.19,188.2%~231.93%,188.0,6.362098138747885
2055,得润电子,58.68,预增,0.0858,370%~420%,370.0,6.305385139740968
603776,永安行,53.8,预增,1.62,330%~360%,330.0,6.133828996282528
2562,兄弟科技,26.96,预增,0.32,165%~195%,165.0,6.120178041543027
2517,恺英网络,22.43,预增,1.0,135.76%~172.43%,135.0,6.018724921979492
2366,台海核电,26.28,预增,0.9,154.88%~167.63%,154.0,5.859969558599695
2078,太阳纸业,13.72,预增,0.42,80%~100%,80.0,5.830903790087463
926,福星股份,9.67,预增,0.61,55%~100%,55.0,5.6876938986556365
2384,东山精密,60.04,预增,0.17,336%~386%,336.0,5.596269153897402
2128,露天煤业,11.62,预增,0.5,65%~115%,65.0,5.593803786574871
600251,冠农股份,50.74,预增,0.0337,270,270.0,5.321245565628695
600025,华能水电,44.66,预增,0.03,235.48%~272.42%,235.0,5.261979399910435
2753,永东股份,24.36,预增,0.535,127.25%~171.43%,127.0,5.213464696223317
11,深物业A,13.25,预增,0.5954,69.08,69.0,5.2075471698113205
2221,东华能源,19.6,预增,0.325,100%~150%,100.0,5.1020408163265305
2319,乐通股份,198.46,预增,0.004,979.54%~1320.45%,979.0,4.9329839766199735
2460,赣锋锂业,39.42,预增,0.6155,185%~235%,185.0,4.693049213597159
2536,西泵股份,20.4,预增,0.32,95%~135%,95.0,4.6568627450980395
2526,山东矿机,79.5,预增,0.02,367.84%~414.62%,367.0,4.616352201257862
300004,南风股份,30.4,预增,0.18,135.14%~165.13%,135.0,4.440789473684211
2759,天际股份,38.58,预增,0.3,170%~220%,170.0,4.406428201140487
2008,大族激光,26.71,预增,0.71,115%~135%,115.0,4.305503556720329
603167,渤海轮渡,11.65,预增,0.4621,50%~80%,50.0,4.291845493562231
2354,天神娱乐,16.07,预增,1.87,64.61%~105.77%,64.0,3.9825762289981332
2597,金禾实业,15.98,预增,0.97,63.13%~70.39%,63.0,3.942428035043805
600585,海螺水泥,12.95,预增,1.61,50%~70%,50.0,3.8610038610038613
2365,永安药业,41.95,预增,0.3331,160%~210%,160.0,3.814064362336114
603283,赛腾股份,23.02,预增,0.4,87.31%~128.93%,87.0,3.7793223284100783
2416,爱施德,27.43,预增,0.1861,102.39%~139.68%,102.0,3.7185563251913964
603260,合盛硅业,30.03,预增,1.09,111.65%~122.79%,111.0,3.6963036963036964
601208,东材科技,33.75,预增,0.07,120%~170%,120.0,3.5555555555555554
2683,宏大爆破,36.9,预增,0.09,131.51%~179.41%,131.0,3.5501355013550135
2435,长江润发,26.03,预增,0.48,92.32%~137.28%,92.0,3.5343834037648865
2089,新 海 宜,65.73,预增,0.04,230%~280%,230.0,3.499163243572189
2469,三维工程,67.28,预增,0.02,230%~280%,230.0,3.418549346016647
2611,东方精工,55.85,预增,0.15,190%~240%,190.0,3.4019695613249774
2608,江苏国信,17.54,预增,0.33,59.16%~108.81%,59.0,3.3637400228050174
2381,双箭股份,30.06,预增,0.13,100%~130%,100.0,3.32667997338656
600382,广东明珠,18.21,预增,0.5,60%~90%,60.0,3.2948929159802307
2404,嘉欣丝绸,30.58,预增,0.19,100%~150%,100.0,3.270111183780249
2574,明牌珠宝,36.2,预增,0.08,117.32%~163.07%,117.0,3.2320441988950273
2101,广东鸿图,23.31,预增,0.69,75%~105%,75.0,3.217503217503218
2282,博深工具,90.35,预增,0.04,290%~320%,290.0,3.2097399003873828
2171,楚江新材,21.97,预增,0.421,70%~95%,70.0,3.186162949476559
2451,摩恩电气,244.39,预增,0.02,773.32%~819.29%,773.0,3.1629772085600885
2717,岭南园林,25.59,预增,0.67,80%~100%,80.0,3.1262211801484954
2582,好想你,51.18,预增,0.21,158%~208%,158.0,3.0871434153966395
2377,国创高新,201.3,预增,0.01,616.81%~666.81%,616.0,3.060109289617486
300418,昆仑万维,31.13,预增,0.47,95.67%~124.84%,95.0,3.05171859942178
42,中洲控股,33.58,预增,0.3959,100%~150%,100.0,2.9779630732578917
2627,宜昌交运,26.94,预增,0.3812,80%~130%,80.0,2.969561989606533
2080,中材科技,27.26,预增,0.5276,80%~120%,80.0,2.9347028613352895
