code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603919,金徽酒,0.27,18.57,18.52,18.66,18.33,18.52,1424140,1.22942,26307327,21.847,3.86,675948.0,215112.00165
603918,金桥信息,-0.711,18.16,18.3,18.31,18.04,18.29,471120,0.38196,8540466,113.5,6.725,322022.2,223992.704
603917,合力科技,3.787,28.5,27.5,28.57,26.91,27.46,7496058,26.77164,208400035,30.55,5.39,319200.0,79800.0
603916,苏博特,6.094,18.28,17.17,18.49,17.01,17.23,14925513,19.63883,267967878,31.517,3.379,555712.0,138928.0
603912,佳力图,1.034,26.37,25.95,26.6,25.42,26.1,6635286,17.93321,173011166,48.833,9.351,390276.0,97569.0
603909,合诚股份,-0.781,31.76,32.17,32.24,31.53,32.01,155300,0.6212,4936788,48.041,5.166,317600.0,79400.0
603908,牧高笛,0.98,36.06,35.67,36.19,35.6,35.71,379800,2.27561,13611255,37.958,5.378,240484.14,60184.14
603906,龙蟠科技,-0.065,15.43,15.44,15.48,15.32,15.44,721484,1.38747,11096853,27.07,2.754,320944.0,80236.0
603903,中持股份,-0.46,38.91,39.6,39.6,38.55,39.09,1300457,5.07803,50524515,63.787,5.841,402080.376,99646.5645
603901,永创智能,-0.674,8.84,8.9,8.98,8.81,8.9,1228700,0.79786,10859814,40.182,3.779,353600.0,136136.0
603900,莱绅通灵,8.104,32.55,30.2,32.99,29.52,30.11,4910850,5.76943,154365177,27.585,4.991,1108242.3492,277060.5873
603899,晨光文具,0.843,25.11,24.96,26.29,24.91,24.9,7699354,3.43721,197255127,46.865,8.586,2310120.0,562464.0
603898,好莱客,2.224,30.8,30.2,30.98,29.83,30.13,1982300,2.2272,60560079,35.814,5.097,979804.32088,274132.32
603896,寿仙谷,-2.918,54.9,56.01,56.44,54.0,56.55,2234672,6.39391,122383470,71.299,9.229,767502.0,191875.5
603890,春秋电子,2.803,41.81,40.7,41.88,40.41,40.67,7455212,21.76704,307839138,27.149,7.874,572797.0,143199.25
