股票代码,股票简称,预测日期,同期每股收益,增长率（%）,估值,最新价,安全度
600725,ST云维,2017-10-26,2.48,0.0,32.49192069176347,3.03,10.723406168898835
338,潍柴动力,2017-10-31,0.61,150.0,45.99638362120411,8.67,5.305234558385711
2354,天神娱乐,2017-10-26,1.87,64.0,85.97201130618284,17.84,4.819058929718769
600641,万业企业,2017-10-27,0.8912,115.0,62.82725215112963,14.16,4.436952835531753
2110,三钢闽光,2017-10-25,0.98,236.0,97.33775055282794,23.24,4.188371366300686
601006,大秦铁路,2017-10-26,0.48,105.0,33.165838253179764,9.75,3.4016244362235657
2503,搜于特,2017-03-24,0.26,121.0,18.548006623899166,5.82,3.186942718883018
513,丽珠集团,2017-10-26,1.98,451.0,216.9702945549748,73.98,2.93282366254359
603776,永安行,2017-12-18,1.62,330.0,169.13639244417536,60.25,2.807243028119093
2171,楚江新材,2017-10-27,0.421,70.0,19.91061576477271,7.12,2.7964347984231335
2601,龙蟒佰利,2017-10-24,0.43,450.0,47.103158388256595,17.25,2.7306178775800927
2067,景兴纸业,2017-10-27,0.29,91.0,15.129029515982564,6.05,2.5006660356995973
2537,海联金汇,2017-10-24,0.6,65.0,27.71511757992925,11.16,2.4834334749040545
600380,健康元,2017-10-27,0.289,337.0,30.269088943527287,12.49,2.423465888192737
603528,多伦科技,2017-10-18,1.6299,0.0,21.354266748187612,9.13,2.3389120206120055
601088,中国神华,2017-10-28,1.142,80.0,56.604687094041864,24.36,2.3236735260279913
926,福星股份,2017-10-26,0.61,55.0,26.876580317891502,11.71,2.2951819229625534
2094,青岛金王,2017-10-25,0.53,160.0,40.707061669350175,18.18,2.239112303044564
2091,江苏国泰,2017-10-31,0.75,40.0,19.259323958424314,8.99,2.1423052234064865
300366,创意信息,2017-10-28,0.5149,80.0,25.521675468233063,12.06,2.1162251632034046
600210,紫江企业,2017-10-31,0.14800000000000002,110.0,10.329871779154105,4.89,2.1124482165959315
2434,万里扬,2017-10-25,0.3,125.0,21.56977040356446,10.34,2.0860512962828297
2128,露天煤业,2017-10-26,0.5,65.0,23.095931316607707,11.12,2.076972240702132
2078,太阳纸业,2017-10-30,0.42,80.0,20.817835883973363,10.07,2.0673124015862325
2503,搜于特,2017-10-30,0.26,65.0,12.009884284636009,5.82,2.063554000796565
2619,艾格拉斯,2017-10-31,0.27,78.0,13.258215190000262,6.46,2.0523552925697
