报表日期,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,0.0,0.0,2129610.54,3751056.14,2365203.76,4934349.06,0.0,4756620.36,781204.05,1804500.71,0.0,3658840.85,544258.09,1535565.11,2188368.03,2833508.85,378950.86,945901.55,1333066.34,2365445.43,350849.7,870646.74,1619429.4,3217739.8,932541.0,2119626.82,3259506.97,5673884.77,1195317.22,2462641.75,3921632.0,6168618.02,1325026.78,3123822.43,5116203.14
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,0.0,0.0,73630.93,69293.1,21695.98,99415.34,0.0,86654.16,498903.9,41837.53,0.0,87728.76,14429.11,47912.76,60079.42,84485.62,9144.73,68756.02,95745.32,200520.49,7352.7,71616.56,118725.33,146269.68,33051.74,114608.0,212338.33,78109.27,41697.13,47046.27,52367.65,71593.98,168542.48,42622.45,66389.9
经营活动现金流入小计,0.0,0.0,2203241.47,3820349.24,2386899.74,5033764.4,0.0,4843274.53,1280107.95,1846338.23,0.0,3746569.6,558687.21,1583477.88,2248447.45,2917994.47,388095.59,1014657.57,1428811.66,2567928.97,358202.4,942263.3,1738154.73,3364009.48,965592.74,2234234.82,3471845.31,5751994.03,1237014.35,2509688.03,3973999.65,6240212.0,1493569.26,3166444.88,5182593.04
购买商品、接受劳务支付的现金,0.0,0.0,760989.28,1338769.26,892038.43,1823216.07,0.0,2214488.61,129506.29,634243.9,0.0,1493379.62,191404.99,666444.55,994635.73,920284.86,80539.28,177692.03,339348.44,847444.34,71096.83,272147.7,437007.13,1125332.85,210994.72,619295.63,902145.87,2116509.75,324017.8,637765.29,971571.99,2361616.45,329691.29,768324.67,1843281.16
支付给职工以及为职工支付的现金,0.0,0.0,346860.32,501973.94,308022.69,725672.08,0.0,798416.47,176111.54,368265.17,0.0,744257.8,160218.02,310815.64,470879.18,656938.84,111410.6,272708.94,367946.36,534848.03,98334.96,160856.17,234517.26,418767.15,84349.82,204313.87,262596.1,449567.97,91956.03,194678.59,304059.96,490713.79,124639.49,246367.89,384388.24
支付的各项税费,0.0,0.0,304873.59,606599.96,445691.9,803082.58,0.0,1103444.97,117350.54,340809.89,0.0,699773.03,117547.99,293524.85,448949.11,578480.31,109881.52,230629.35,347164.92,447613.33,81810.86,192635.02,302594.02,455618.66,219452.95,517283.08,753053.38,1003709.65,360174.12,723527.29,953491.68,1077874.07,419242.5,779948.5,1029626.35
支付的其他与经营活动有关的现金,0.0,0.0,185557.21,228451.81,122442.54,171457.05,0.0,235116.33,539939.67,208564.66,0.0,212368.91,99391.94,278123.94,328534.21,750148.87,106478.17,248352.03,340900.35,826882.04,78991.59,253480.58,267634.36,537637.03,118871.93,315283.21,461364.93,489120.19,138036.82,318552.15,460206.37,334180.81,80836.31,268405.68,365114.78
经营活动现金流出小计,0.0,0.0,1598280.4,2675794.98,1768195.56,3523427.78,0.0,4351466.39,962908.04,1551883.62,0.0,3149779.36,568562.94,1548908.99,2242998.24,2905852.88,408309.57,929382.36,1395360.08,2656787.74,330234.23,879119.47,1241752.78,2537355.69,633669.42,1656175.79,2379160.28,4058907.57,914184.77,1874523.32,2689329.99,4264385.12,954409.59,2063046.75,3622410.53
经营活动产生的现金流量净额,104035.19,0.0,604961.07,1144554.27,618704.18,1510336.62,278380.84,491808.14,317199.91,294454.61,317144.84,596790.24,-9875.74,34568.89,5449.21,12141.59,-20213.98,85275.21,33451.58,-88858.76,27968.16,63143.83,496401.95,826653.79,331923.32,578059.03,1092685.03,1693086.46,322829.58,635164.71,1284669.66,1975826.88,539159.66,1103398.13,1560182.5
