报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一、营业总收入,53702.56,111660.11,169731.61,234583.77,68239.59,141132.54,214251.82,267649.51,44826.68,87342.68,130299.97,172023.65,54395.31,118531.01,175295.58,227307.5,58555.59,122307.07,189400.68,256028.68,51549.55,110535.66,162449.54,210809.04,46422.28,75488.35,103422.34,135419.92,28280.42,52688.96,76588.58,98187.5,20236.43,39624.64,58857.67,76998.97,14969.71,30878.71,48654.37,71210.11,18012.54,37689.65,59805.74,83243.2,21179.13,45906.72,64521.0,84053.97,18384.44
营业收入,53702.56,111660.11,169731.61,234583.77,68239.59,141132.54,214251.82,267649.51,44826.68,87342.68,130299.97,172023.65,54395.31,118531.01,175295.58,227307.5,58555.59,122307.07,189400.68,256028.68,51549.55,110535.66,162449.54,210809.04,46422.28,75488.35,103422.34,135419.92,28280.42,52688.96,76588.58,98187.5,20236.43,39624.64,58857.67,76998.97,14969.71,30878.71,48654.37,71210.11,18012.54,37689.65,59805.74,83243.2,21179.13,45906.72,64521.0,84053.97,18384.44
二、营业总成本,52402.46,106689.79,162665.21,218012.04,63270.94,126539.34,194453.17,255756.98,50203.71,99625.45,154256.7,216225.37,59003.03,120365.9,190012.18,243087.43,75239.49,153452.78,236116.39,357117.4,78873.59,162550.08,238458.99,317295.16,65679.27,111494.25,155037.45,260435.15,28050.87,52238.82,76022.95,95972.67,19864.17,38775.94,57894.25,75118.15,14607.11,31636.52,48238.49,68987.02,17535.05,36242.17,56712.42,78361.9,19678.12,39442.58,57356.46,76773.03,17911.29
营业成本,45315.08,93644.77,142881.87,192333.23,55279.26,108864.14,167368.53,218461.03,42460.79,84657.93,130985.62,184189.88,50373.84,102253.24,163197.81,203845.82,64270.13,129848.87,200181.36,274591.25,64363.63,132881.46,201262.66,262276.75,54862.38,91302.96,128400.56,156765.23,24570.51,45724.38,67111.27,85842.49,17803.31,34404.18,51348.18,66215.42,12973.33,26667.9,40831.63,57754.02,15534.83,32645.98,50640.11,69558.67,17226.42,34585.48,50655.47,67858.93,16281.1
营业税金及附加,1858.21,3866.04,5891.57,8178.33,2366.9,4893.51,7429.41,9309.07,1536.28,2997.5,4474.53,5893.42,1614.1,3491.26,5025.68,6969.68,1670.56,3340.35,5006.92,6434.86,686.63,1361.38,2005.2,2352.43,88.93,167.54,219.16,469.31,125.94,227.57,294.44,342.25,40.05,92.33,185.49,246.34,50.96,104.9,123.01,343.9,57.3,165.73,342.76,484.88,121.43,141.16,188.19,259.58,41.21
销售费用,927.96,1854.03,2816.4,4038.72,961.81,2039.58,3238.58,4646.01,860.49,1847.09,2956.51,4418.86,1000.61,2023.26,3064.61,4349.48,930.85,1943.04,2987.19,3842.55,867.15,1916.85,2954.44,3966.95,1119.66,1535.83,1904.21,2222.15,151.05,354.02,588.7,809.05,247.85,488.61,757.3,1091.35,253.3,521.97,751.11,1049.57,249.94,499.67,783.7,1042.35,225.43,442.57,688.63,985.94,136.11
管理费用,1943.68,3241.95,4461.18,4348.17,1342.92,2785.55,4499.53,6646.68,1389.26,2570.25,4280.84,6214.87,1338.94,2948.07,4452.78,6669.77,1774.79,3690.31,5318.31,13572.13,1739.43,3226.52,4873.41,13773.67,1728.12,2882.49,4705.55,33237.3,1744.74,4318.02,6270.27,7680.53,1783.7,3167.49,4970.88,6670.74,1333.04,2872.1,4226.04,6114.72,1711.6,3235.39,4927.92,6946.48,2177.01,4677.23,6249.06,8027.74,1427.52
财务费用,2357.53,4649.78,7173.11,9810.2,3320.11,7545.65,11506.21,15860.14,3956.89,7814.05,11820.57,16162.5,4675.53,9869.47,14490.69,21534.85,6593.16,14576.23,22568.63,32993.32,11216.76,22834.03,27058.18,34585.22,7880.18,15507.97,19710.49,28914.09,1458.63,1605.02,1748.46,1200.24,-6.95,5.26,-20.25,-70.12,-3.52,-27.67,-37.0,-76.03,-2.62,15.36,14.73,66.89,-52.15,-25.04,-19.38,-61.36,26.34
资产减值损失,0.0,-566.77,-558.93,-696.62,-0.05,410.91,410.91,834.05,0.0,-261.37,-261.37,-654.17,0.0,-219.4,-219.4,-282.17,0.0,53.98,53.98,25683.28,0.0,329.83,329.83,340.15,0.0,97.47,97.47,38827.07,0.0,9.81,9.81,98.12,-3.78,618.08,652.65,964.41,0.0,1497.32,2343.71,3800.83,-16.0,-319.95,3.19,262.62,-20.0,-378.82,-405.51,-297.79,-1.0
公允价值变动收益,0.0,0.0,0.0,36.77,-418.58,-1039.64,-1901.45,-4675.99,2182.04,4540.47,4639.22,4639.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
