报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
货币资金,23814.25,47746.05,51316.47,44599.44,45940.62,28204.64,25406.45,16664.82,20015.99,22878.59,30977.26,46986.96,39876.6,40221.6,31748.21,29430.88,21296.29,17546.59,19688.28,18926.04,11893.43,8184.52,7084.63,17462.81,13951.02,13959.69,11046.23,14997.91,8441.8,7402.54,7567.99,5777.77,5299.28,6952.33,11446.98,317646.33,841816.37,355748.18,451085.8,444548.67,392493.08,817718.35,460412.04,393026.28,334721.54,345985.58,365894.92,367159.1,126706.26,245714.23,282990.37,386052.19,331487.92,461333.82,511672.54,473028.64,561536.52,555284.25,517009.84
交易性金融资产,67.24,86.07,2199.65,1339.67,2138.82,1231.9,1061.08,3463.45,6337.04,3372.66,1344.49,772.91,3970.44,3905.93,729.12,980.45,1106.13,1205.22,904.31,1388.1,1369.42,1080.17,1037.33,749.7,747.6,741.6,678.93,814.14,819.98,852.36,905.22,1332.37,1377.07,1428.23,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293397.32,203325.31,234198.31,337664.77,328021.38,296648.98,147595.99,144491.17,307433.73,355189.87
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177.91,2848.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308991.39,315630.36,475191.14,535837.38,501962.26,422054.61,435980.69,443465.93,416952.99,372676.67,347878.08,361538.15,361891.3,350389.72,329048.92,321918.11
应收票据,4034.41,2806.71,2630.85,4632.41,4436.5,1851.84,1405.02,669.68,753.75,882.29,481.65,351.4,1084.76,467.8,2338.13,1224.59,880.81,2764.59,1743.35,1783.83,1180.33,1087.64,476.28,616.56,439.6,530.67,266.79,256.54,234.23,414.49,105.79,122.02,324.84,0.0,0.0,1710.62,3255.6,7062.87,6693.22,8251.43,7730.46,6909.75,6028.12,10966.84,6735.88,8663.51,16920.92,19653.93,14706.69,10154.93,10655.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,28723.42,33242.49,36519.81,32163.67,32485.15,33359.93,20995.31,21004.76,20883.34,20443.96,17725.44,16159.98,15697.76,16819.06,18835.36,14748.75,17289.88,14885.19,10295.8,12713.25,12866.92,8992.47,12732.28,14024.89,13211.51,8792.92,8358.0,2046.19,1659.67,1319.51,1468.24,3055.89,2523.5,1472.99,1748.39,218165.45,205024.06,238932.88,225985.66,216176.31,194010.31,262864.79,345285.15,298024.55,308894.48,466527.62,518916.46,482308.33,407347.92,425825.76,432810.08,416952.99,372676.67,347878.08,361538.15,361891.3,350389.72,329048.92,321918.11
预付款项,2591.06,1776.84,2307.86,2803.58,2516.87,2705.52,2603.19,962.48,711.63,1133.83,922.82,415.91,624.07,423.2,640.07,1116.83,1307.67,1039.63,1269.71,1744.4,1864.87,2049.46,1432.71,4038.8,3119.04,2966.11,4347.67,368.83,2347.1,1404.45,1035.25,719.75,829.2,1868.5,1399.63,60432.23,66085.36,66731.24,71097.69,70966.34,68844.58,67100.09,70864.42,72678.68,79262.45,129610.71,184395.09,137377.38,123729.89,113780.23,97363.64,86714.75,71795.79,59881.83,74545.97,63156.67,11399.76,14682.77,13203.96
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20342.4,22680.56,25106.36,27420.68,30221.02,31905.43,34176.46,36532.72,39084.54,41304.85,44004.7,0.0,610.04,924.16,88.07,164.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,3087.0,1484.79,754.61,2066.63,2096.92,1899.01,2105.84,1638.43,1549.95,1835.79,1696.18,952.69,1057.15,1081.21,1001.65,1942.63,2059.3,2076.45,1834.52,1271.24,1999.09,4622.78,3650.89,1590.68,1588.97,1824.65,1413.07,3265.61,959.8,1995.95,1064.74,741.62,929.92,886.08,654.43,494712.49,5654.16,8721.93,17382.56,10717.24,9340.55,15185.4,21021.71,6952.69,8759.93,9367.04,58267.03,9516.18,0.0,8498.85,0.0,6027.82,0.0,5995.04,0.0,6167.75,0.0,7090.22,0.0
