报表日期,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,143.78,1284.6,4091.57,3955.9,4406.3,5248.28,57617.37,55520.68,55090.34,53850.83,50291.08,38175.88,35758.99,34704.65,27908.06,26019.66,23000.18,28172.7,33370.13,28473.91,21731.76,24134.63,21458.67,23289.4,20381.32,45628.22,22819.01,98569.14,44300.34,56894.84,34084.35,79248.13,83195.13,91154.29,52971.31,46946.76,68719.9,118085.3,64038.19,76898.45,62197.49
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70866.97,0.0,93826.26,0.0,110782.3,0.0,124454.39,129698.02,139554.92,137178.89,171154.04,168686.77,168547.06,173966.12
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,50.28,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,1104.37,443.28,340.35,339.94,389.7,350.8,1516.6,2120.41,1602.26,1741.94,3450.18,2182.25,2441.83,2226.4,915.29,2506.23,3987.84,2987.67,3493.84,2291.28,4373.52,4692.11,4502.85,4478.63
应收账款,1938.09,2079.55,2921.74,4429.49,3759.06,6571.82,7820.9,7700.55,7356.47,10139.63,11477.38,11449.21,11028.58,15167.99,18216.08,19723.44,22246.4,30533.02,29347.16,30722.16,31762.22,47796.92,47852.26,50430.75,52043.05,69010.6,70857.12,67416.8,66975.6,91384.43,101969.54,109867.02,105409.18,120466.55,126710.35,136061.08,134887.61,166780.52,163994.66,164044.21,169487.49
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,16.63,17.32,0.0,0.0,0.0,23.15,0.0,0.0,0.0,141.95,369.69,9929.44,10135.75,10389.46,12049.36,11706.42,12442.5,2025.34,3272.51,5071.66,5767.03,4698.12,5597.92,4444.08,4441.14,2358.41,5019.39,4697.88,4082.81,2784.5,4313.33,5221.14,5346.35,2640.27,6958.71,10616.98,14033.89,4770.83,5589.28,5369.14,5846.17
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617.47,0.0,5078.15,0.0,4836.72,0.0,4974.76,5042.4,5696.77,6974.27,5557.11,6765.89,7557.32,8050.41
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.92,177.04,458.57,122.43,198.72,99.29,131.62,46.16,110.61,45.57,77.48,30.15,86.93,30.48,33.12,42.41,1.23,8.77,0.0,0.0,0.0,0.0,294.72,137.85,255.99,146.29,104.25,95.64,75.21,0.0,32.9,205.04,77.87,381.52
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,112.54,464.64,196.89,226.5,278.32,151.77,336.5,547.14,664.98,1678.23,1531.46,1303.38,2311.01,1442.5,2438.33,3068.32,3104.88,2560.78,2840.98,3562.53,4482.48,2376.61,2805.05,3269.5,2904.93,2537.95,3549.1,3617.47,4626.37,4783.43,5291.36,4580.73,4957.83,4870.51,4946.76,5621.56,6974.27,5524.21,0.0,7479.45,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
