报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
货币资金,1215.37,7916.83,5835.71,4948.32,2973.89,5416.5,14377.33,8078.5,7984.82,11077.74,15828.22,12418.09,19802.02,17954.0,12228.12,10865.5,34505.62,29244.46,27242.35,23330.32,27590.19,22227.32,24866.21,52183.29,36109.79,36673.77,33950.28,37995.91,38773.2,37388.42,40112.35,37247.24,50966.87,56379.89,59334.14,127448.54,127701.85,190623.2,169639.29,131549.43,164279.85,172676.63,151419.86,160835.61,146637.9,206066.82,211025.18,169955.45,273398.45,150013.77,168216.36,300046.78,176398.42
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.13,632.01,1275.53,624.47,350.16,664.02,801.8,723.34,662.5,771.07,535.42,563.23,547.66,552.87,1457.01,1437.66,1428.85,1496.0,1611.93,1544.25,163810.87,140720.6,4059.0,176794.34
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45,9.77,0.0,0.0,185.82,145.23,330.84,232.14,298.76,296.29,195.26,204.44,41.38,39.87,43.73,43.38,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291429.89,0.0,0.0,309513.94,334148.88,329968.26,328201.44,347629.34,334291.84,320524.93,316082.95,301854.03,262286.12
应收票据,209.26,688.93,1211.08,761.79,382.0,1598.65,1029.0,1852.98,2687.09,5250.67,6565.45,8987.8,7858.18,6910.47,6644.94,6980.38,9451.5,8719.59,12319.41,14170.47,16022.86,17041.07,16310.52,17610.25,16969.86,22401.74,27582.09,24345.29,20954.3,21688.32,0.0,25728.75,26022.76,31776.13,31331.76,31439.5,30637.83,45593.23,48748.55,43349.99,52065.28,66018.5,63913.98,50385.86,49853.27,48613.83,48200.0,52925.52,48875.38,44040.36,41499.14,8294.75,8550.04
应收账款,10759.49,14909.25,14646.27,14098.5,14902.66,16843.41,21833.64,27690.1,27903.36,31162.03,36253.32,42889.82,53507.08,59431.78,59341.58,66170.6,69677.04,74865.18,75425.23,74358.88,75869.65,85092.41,92730.73,84537.79,89824.8,110837.08,99603.44,99537.28,107777.84,141629.05,26973.04,123011.98,134029.93,156061.72,150247.61,143837.41,158846.85,155148.64,161320.72,198581.38,239364.62,211612.86,232083.33,259128.08,284295.61,281354.43,280001.44,294703.82,285416.46,276484.57,274583.81,293559.29,253736.08
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38263.77,39775.8
预付款项,1658.69,1448.7,3189.69,1020.54,2007.32,1339.7,2325.47,1553.6,470.35,420.98,639.27,2935.24,2063.61,2298.19,1970.35,5437.3,4189.48,4836.02,6624.51,9633.11,9106.89,10791.79,7589.55,6772.79,6626.53,13768.81,7794.62,10015.96,12820.43,9988.82,128776.25,8922.51,10329.45,8838.08,9972.75,5583.38,6771.0,6247.46,7033.91,11198.19,14340.48,12412.22,12046.29,9348.18,11548.9,11377.49,10147.05,8053.11,6381.65,11961.64,13472.21,11716.1,14580.73
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18632.19,0.0,0.0,16003.34,13703.06,13516.84,14748.09,17286.56,20639.31,21084.54,21402.77,20121.08,25464.93
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2029.91,2097.68,1643.54,0.0,1709.92,559.03,313.77,569.45,0.0,459.85
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,2022.85,435.96,768.08,262.99,846.77,275.57,1161.02,1204.18,2355.17,2224.7,2482.07,2652.99,1412.78,3391.5,1494.53,2784.21,3208.44,3464.64,3300.13,3315.02,3019.27,3467.62,3330.06,2820.5,2184.38,2912.05,2892.83,2105.4,1862.98,3048.03,1815.38,2483.18,2744.61,4815.2,2383.37,4981.27,5386.76,5943.48,4811.44,13091.08,18632.19,17712.33,15023.69,13973.43,11605.38,11873.3,14748.09,15576.63,0.0,20770.77,0.0,0.0,0.0
