报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
一、营业总收入,300985.26,434288.05,604306.31,732855.58,308614.75,459727.77,657867.97,793306.87,333885.07,534088.99,802968.01,1112922.05,449362.58,757654.59,1147171.02,1554130.05,624455.71,1059483.02,1564877.45,2035059.45,823065.15,1504970.94,2112660.34,2720104.6,867579.99,1551987.76,1916583.72,2471858.86,671985.16,1166253.28,1506831.45,2101149.15,673543.51,1121541.4,1513134.14,2165928.74,882556.42,1325563.86,1769964.38,2454379.27,1015880.75,1562112.77,2197759.66,3018678.04,1389766.0,2142118.12,2925028.74,4003018.96,1759025.32,2715104.49,3710163.21,5011810.59,2023822.64,3076752.6,4249276.72,5732105.95,2432483.96,3675154.78,4972079.73
营业收入,300985.26,434288.05,604306.31,732855.58,308614.75,459727.77,657867.97,793306.87,333885.07,534088.99,802968.01,1112922.05,449362.58,757654.59,1147171.02,1554130.05,624455.71,1059483.02,1564877.45,2035059.45,823065.15,1504970.94,2112660.34,2720104.6,867579.99,1551987.76,1916583.72,2471858.86,671985.16,1166253.28,1506831.45,2101149.15,673543.51,1121541.4,1513134.14,2165928.74,882556.42,1325563.86,1769964.38,2454379.27,1015880.75,1562112.77,2197759.66,3018678.04,1389766.0,2142118.12,2925028.74,4003018.96,1759025.32,2715104.49,3710163.21,5011810.59,2023822.64,3076752.6,4249276.72,5732105.95,2432483.96,3675154.78,4972079.73
二、营业总成本,188726.87,264885.99,407261.51,514815.04,173479.0,285570.67,444542.57,550351.95,167955.93,319571.58,487650.21,656118.53,241245.2,447665.04,680038.97,944302.04,340108.23,598714.97,903530.83,1185359.65,404183.52,811568.32,1042719.94,1350268.99,346370.62,728305.71,911258.2,1328338.36,305752.43,611889.63,862901.79,1299357.77,373545.54,676301.59,892867.64,1344719.45,486271.27,797334.97,1075416.35,1534001.04,521924.86,868115.35,1235163.57,1695432.97,701398.68,1165883.8,1618223.96,2152416.38,843224.38,1418696.66,1973049.75,2612314.41,950427.96,1578678.82,2236661.17,2973855.43,1133295.68,1859644.93,2579394.37
营业成本,126035.57,172606.8,269191.67,337797.96,121086.3,190993.11,299469.76,361807.29,108695.33,202959.22,303091.2,386066.0,135404.85,247092.76,386201.23,486318.96,213810.74,358935.69,531881.17,689541.13,251955.85,525228.54,647562.05,801572.44,203306.45,437669.72,533945.1,661041.09,168200.47,285724.84,378792.06,577202.94,205582.37,337631.28,465619.83,667196.33,266163.5,397615.33,528716.96,731425.25,299335.33,442852.91,635010.67,845008.73,372555.32,581858.32,775983.86,1048678.29,425989.14,710960.01,971707.94,1280225.99,474958.93,783363.79,1082260.46,1481196.15,573289.59,920440.01,1230162.51
营业税金及附加,20316.91,31591.38,44960.15,58263.35,19321.52,31463.14,45947.23,56574.74,22919.52,35301.64,53445.56,79858.53,36204.93,63943.77,94995.95,139217.07,46775.73,81881.86,122074.5,160164.41,64933.28,112580.95,155802.76,200570.42,58714.63,109756.92,135914.63,184903.0,44881.77,83477.37,105656.79,151723.64,49684.29,88517.49,118588.2,178467.57,68154.98,103644.25,136957.47,194117.45,76197.79,142860.27,233049.6,349469.61,195479.18,302657.01,439932.06,590849.73,245267.47,381550.53,514864.33,698434.31,269655.6,415625.89,580354.23,809234.86,334058.57,508303.2,705685.97
销售费用,28316.51,36486.84,57240.1,78275.82,19125.97,41226.86,64205.7,89083.27,20134.13,48468.38,77295.01,116415.38,35159.43,77341.59,103656.17,180323.38,38663.52,95481.7,148029.62,206999.14,48296.17,121512.56,160489.13,225896.63,50418.51,119504.11,155203.1,338217.7,63810.18,179103.29,289473.78,430889.74,81694.88,185033.25,219727.22,356806.14,112578.14,219562.18,304271.09,469454.51,109646.36,217413.37,269662.61,362539.79,100289.2,215568.98,307713.18,377843.37,127370.44,264936.84,404257.46,498557.93,172862.25,318415.72,487324.48,557891.85,172401.08,355485.75,539947.66
管理费用,14395.57,27849.69,39971.41,49794.06,15562.71,29499.27,43822.62,58898.61,17303.72,36891.98,60412.87,83897.31,35675.02,67015.08,105707.66,156185.22,43199.68,81853.57,125726.39,175068.5,53229.2,92270.82,140898.94,200918.43,57797.43,108569.44,152123.14,226363.79,53371.58,97769.06,137720.64,204702.85,53890.1,100674.6,144313.16,212880.57,57283.43,110739.66,161457.43,214370.34,58379.58,107610.39,161294.22,226902.47,59498.63,118161.2,167381.89,234049.87,77656.63,126608.38,179288.32,265534.71,70074.64,129605.77,187380.81,260952.97,95038.6,153373.43,215714.82
财务费用,-337.7,-3648.72,-4101.83,-9222.76,-1561.47,-7481.01,-8772.02,-15995.43,-1096.77,-4064.79,-6601.85,-10973.22,-1199.02,-7728.16,-10523.04,-19247.08,-2341.44,-18767.48,-23510.45,-47658.74,-14230.98,-40024.55,-62032.94,-78958.6,-23866.41,-47194.49,-65940.42,-82687.97,-24511.56,-34489.9,-49045.49,-65777.56,-17306.1,-35765.41,-55591.14,-73211.14,-17908.74,-34163.7,-55923.85,-76586.41,-21671.05,-42740.5,-63972.43,-89050.59,-26423.64,-52661.84,-79418.4,-108501.08,-35255.32,-69185.35,-103032.8,-143074.59,-40074.68,-74326.53,-109873.72,-148551.92,-45415.56,-85771.07,-124282.48
资产减值损失,0.0,0.0,0.0,-93.37,-56.02,-130.7,-130.7,-16.52,0.0,15.16,7.41,854.54,0.0,0.0,1.0,1504.49,0.0,-670.37,-670.39,1245.21,0.0,0.0,0.0,269.69,0.0,0.0,12.66,500.75,0.0,304.97,304.01,616.15,0.0,210.37,210.37,2580.0,-0.05,-62.75,-62.75,1219.9,36.86,118.91,118.91,562.96,0.0,300.13,300.13,1087.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,29.4,3.71,0.0,-18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.17,-180.82,-688.49,-690.34,-691.14,176.25,-10.12,-293.44,-245.63,-52.68,-193.73,-294.03,77.21,-117.48,-707.1,-707.1,-707.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
