报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,11711.92,12202.33,19867.0,26045.8,16570.63,15099.54,18269.83,30031.73,27600.2,29242.84,29151.44,35231.13,35865.71,37749.94,34702.78,41085.1,39882.93,36337.3,36391.25,37632.34,30973.82,23706.02,24797.4,35943.24,31316.25,21719.21,10448.21,21808.07,31031.8,9578.53,5291.84,21873.89,5274.03,6996.11,9941.45,15509.22,84624.01,16515.94,9666.2,35930.83,24541.63,26478.87,20526.28,28970.41,33518.19,20390.62,14504.83,32047.3,35271.86,27444.42,9277.68,84529.79,89944.04,81871.08
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4003.14,4050.52,0.0,0.0,0.0,0.0,0.0,0.0,20392.03,22189.15,2000.0,17000.0,36095.87,11796.43,0.0,4710.53,36951.99,0.0,0.0,0.0,9700.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45413.42,46432.89,47249.29,46729.12,32790.71,38293.95,41234.65,38011.2,36536.37,42285.49,33503.84
应收票据,55.8,10.0,82.68,96.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7,0.0,340.66,566.99,481.25,7.3,14.78,87.78,80.09,655.74,871.61,670.0,473.57,972.0,523.06,22.0,52.06,31.15,0.0,143.87,215.0,0.0,216.14,0.0,10.0,107.2,167.75,5.0,47.4,0.0,0.0,95.0,95.0,34.0,84.0,10.0,10.0,10.0,0.0,0.0,155.0
应收账款,17846.5,17700.96,18531.36,19254.19,13346.25,16011.2,15898.15,15537.0,15137.09,15011.85,17362.99,14262.2,10290.64,11069.68,13155.68,14994.99,14183.69,15752.06,17022.17,22191.04,21323.56,23737.28,23505.28,27029.17,29515.51,29267.84,26747.71,26343.54,28385.5,27658.76,32015.61,36681.3,41920.08,42155.35,41917.2,38647.54,39130.79,42243.29,48412.19,51935.05,47296.67,46813.82,53100.85,45413.42,46337.89,47154.29,46695.12,32706.71,38283.95,41224.65,38001.2,36536.37,42285.49,33348.84
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,4714.27,6506.02,7798.92,4375.15,5023.14,3155.29,4461.41,3696.38,4162.1,5437.42,6088.16,4201.71,4941.2,4268.34,5049.63,2791.25,3975.33,3049.22,3535.47,3889.77,3165.74,3798.92,4430.6,4181.05,7133.88,4930.33,6263.58,3300.53,4729.42,4728.83,5035.03,3653.33,4157.87,4097.64,3093.27,2421.67,2454.83,2424.6,2305.34,2068.74,2253.09,2780.86,2528.58,1793.15,1875.96,2043.27,2050.95,1461.87,1693.85,1606.7,1587.26,1428.67,1762.47,1629.08
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7045.53,7136.37,16022.16,9928.58,6955.74,7822.41,10395.36,9910.55,9196.53,8375.05,8145.02
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
