报表日期,2016-12-31,2017-12-31,2018-12-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
一、营业总收入,124081.19,158678.0,202398.86,102855.29,162410.04,228937.48,70423.35,133459.19,202389.04,279013.39,83091.65,159337.77,240622.88
营业收入,124081.19,158678.0,202398.86,102855.29,162410.04,228937.48,70423.35,133459.19,202389.04,279013.39,83091.65,159337.77,240622.88
二、营业总成本,120512.66,152991.86,195228.75,0.0,0.0,221400.51,67903.17,129638.65,197500.76,272541.3,82152.18,158348.59,239494.3
营业成本,113554.27,144310.66,185078.53,0.0,0.0,208086.65,63960.02,121837.68,186047.11,259183.23,77246.56,150020.14,226896.4
营业税金及附加,269.88,307.89,294.22,0.0,0.0,456.12,119.29,248.3,396.01,525.56,141.39,262.8,370.67
销售费用,3718.51,6158.26,7931.82,0.0,0.0,10235.6,2880.1,6203.22,9056.32,10177.48,3328.59,6086.05,9594.41
管理费用,2604.04,2249.24,1657.7,0.0,0.0,2183.37,792.13,1133.14,1733.65,2323.92,1428.5,1930.3,2558.26
财务费用,-55.85,-34.19,266.48,0.0,0.0,438.78,151.63,216.31,267.68,331.11,7.14,49.31,74.56
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值损失,421.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,21.2,0.0,-50.13,0.0,0.0,64.48,0.0,-15.04,15.8,17.7,0.0,1053.32,1052.02
其中:对联营企业和合营企业的投资收益,0.0,0.0,-57.76,0.0,0.0,0.0,0.0,-15.04,-23.76,-37.65,0.0,722.77,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,3601.29,5407.67,6799.93,3629.73,3445.16,7504.5,1290.1,2574.95,3437.46,6119.06,212.52,1413.95,1552.24
加:营业外收入,5.32,6.01,14.41,0.0,0.0,6.78,0.24,0.34,220.22,177.34,6.66,0.14,0.31
减：营业外支出,10.99,8.76,28.16,0.0,0.0,24.56,4.72,43.14,45.03,113.46,16.0,24.91,57.85
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,3595.62,5404.92,6786.18,3619.83,3427.25,7486.73,1285.61,2532.15,3612.65,6182.94,203.18,1389.19,1494.7
减：所得税费用,705.65,945.13,1144.89,0.0,0.0,1253.72,336.03,398.2,580.5,941.08,73.79,178.26,239.51
五、净利润,2889.96,4459.79,5641.29,3035.93,2669.03,6233.0,949.58,2133.95,3032.14,5241.86,129.39,1210.93,1255.19
归属于母公司所有者的净利润,2889.96,4459.79,5655.78,3023.28,2808.31,6466.35,1047.87,2249.74,3241.83,5401.77,107.93,891.12,1098.28
少数股东损益,0.0,0.0,-14.49,0.0,0.0,-233.34,-98.28,-115.78,-209.68,-159.91,21.45,319.81,156.91
基本每股收益(元/股),0.51,0.7093,0.8215,0.0,0.0,0.9012,0.15,0.3136,0.45,0.75,0.01,0.1,0.12
稀释每股收益(元/股),0.51,0.7093,0.8215,0.0,0.0,0.9012,0.15,0.3136,0.45,0.75,0.01,0.1,0.12
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
八、综合收益总额,2889.96,4459.79,5641.29,0.0,0.0,6233.0,949.58,2133.95,3032.14,5241.86,129.39,1210.93,1255.19
归属于母公司所有者的综合收益总额,2889.96,4459.79,5655.78,0.0,0.0,6466.35,1047.87,2249.74,3241.83,5401.77,107.93,891.12,1098.28
归属于少数股东的综合收益总额,0.0,0.0,-14.49,0.0,0.0,-233.34,-98.28,-115.78,-209.68,-159.91,21.45,319.81,156.91
