报表日期,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,365.35,3500.11,4516.1,8067.34,1817.12,5897.86,7198.36,10559.1,2464.65,5352.17,9314.09,15277.07,4417.74,10368.95,17692.52,26632.83,6803.31,14200.37,24204.09,35865.3,11102.28,23170.38,41666.66,68419.28,21322.62,43291.02,75338.23,108759.76,41680.12,76774.41,125668.85,179427.42,43070.74,83597.91,126704.94,189345.78,65079.66,121100.66,166543.93,215687.99,49743.74,87488.63,133025.99,170811.85,25947.81,50638.56,86941.18
收到的税费返还,0.0,91.8,64.89,135.54,27.07,27.07,180.99,234.21,34.91,34.91,34.91,200.52,0.0,0.0,0.0,98.37,95.39,95.39,186.29,216.04,29.53,37.53,39.53,100.67,0.0,6.42,18.59,58.3,226.7,282.01,385.94,450.02,86.19,112.1,259.08,2934.3,76.64,123.6,1176.53,2048.21,1.96,2.31,4.26,1391.41,0.0,41.31,41.31
收到的其他与经营活动有关的现金,40.2,63.7,238.93,284.75,11.87,420.42,538.49,823.95,492.98,647.53,1630.99,2516.48,307.31,1185.56,2004.63,2458.29,771.16,1136.93,2370.98,3021.2,4511.58,4862.45,7665.36,6638.2,732.62,2349.35,3413.96,3568.35,2092.28,3500.67,15919.48,10653.8,8390.17,3255.52,8300.13,6038.59,3403.64,4216.14,7261.03,9545.5,6623.94,6089.05,13522.19,8242.85,10058.22,11576.84,13856.94
经营活动现金流入小计,405.55,3655.61,4819.92,8487.63,1856.06,6345.36,7917.84,11617.27,2992.53,6034.61,10979.98,17994.07,4725.04,11554.51,19697.15,29189.49,7669.86,15432.7,26761.35,39102.55,15643.39,28070.37,49371.56,75158.15,22055.24,45646.79,78770.78,112386.42,43999.09,80557.09,141974.27,190531.24,51547.09,86965.52,135264.15,198318.67,68559.94,125440.4,174981.48,227281.7,56369.63,93579.99,146552.45,180446.11,36006.02,62256.71,100839.43
购买商品、接受劳务支付的现金,21.14,160.01,270.1,374.29,119.57,305.24,479.64,537.47,190.73,451.68,701.6,570.51,525.3,795.58,1433.72,2284.34,1368.0,1424.89,2809.62,4616.22,2620.19,4818.41,7727.48,12979.63,4042.42,8908.68,15142.34,17976.45,6177.67,16955.04,30166.5,44932.96,10422.24,18988.09,29217.13,48986.17,22844.14,46747.97,63262.28,77698.53,16699.61,29621.42,47971.91,59443.6,10587.52,20363.94,41968.45
支付给职工以及为职工支付的现金,66.02,426.6,1254.1,1761.76,799.04,1653.32,2611.98,3881.79,1055.5,2360.64,4490.41,4760.72,1955.1,3463.28,6023.59,7537.53,2786.38,5166.64,7879.96,10064.81,5521.22,9177.05,13492.7,17304.06,6646.76,11833.61,15074.45,21011.89,8955.91,16529.38,21508.59,31187.73,14590.72,22185.06,26867.86,35304.91,15126.8,21742.85,26164.11,36641.58,16679.4,29735.51,40269.21,47126.24,19173.1,28720.35,36320.9
支付的各项税费,28.07,427.26,599.8,1132.65,199.82,567.92,1272.1,1638.34,488.26,916.68,1390.46,2084.49,756.12,1472.3,2473.38,3503.71,966.17,1902.93,2385.17,3691.55,1416.41,1729.24,2886.51,4562.63,1798.36,3921.1,6068.05,8673.48,3229.62,6524.66,15976.76,14300.93,4878.63,9781.57,12154.65,17802.96,5951.31,9903.87,13860.45,17756.6,5120.76,9385.57,10820.71,15350.33,1652.89,3251.75,4329.89
支付的其他与经营活动有关的现金,110.38,680.67,1019.05,1538.64,841.78,1634.87,2498.13,2995.57,1330.52,1876.81,2224.89,3383.91,709.88,2480.0,4127.61,5715.58,1243.06,3203.06,5336.45,6389.61,3202.88,7021.36,10774.35,13142.68,5270.61,8566.72,18522.63,20641.75,13170.69,12972.18,26664.77,31356.43,15946.87,15015.12,28019.81,28631.8,14676.4,20156.45,29359.69,31850.75,15467.5,12755.14,26298.71,30818.9,14785.51,18211.38,23842.87
经营活动现金流出小计,225.61,1694.54,3143.06,4807.35,1960.21,4161.36,6861.86,9053.17,3065.01,5605.81,8807.36,10799.63,3946.41,8211.16,14058.31,19041.15,6363.61,11697.52,18411.2,24762.18,12760.7,22746.07,34881.04,47989.01,17758.15,33230.11,54807.47,68303.57,31533.9,52981.25,94316.63,121778.05,45838.47,65969.83,96259.45,130725.84,58598.64,98551.14,132646.52,163947.46,53967.28,81497.65,125360.54,152739.07,46199.01,70547.42,106462.11
经营活动产生的现金流量净额,179.94,1961.07,1676.86,3680.29,-104.15,2183.99,1055.98,2564.1,-72.48,428.8,2172.62,7194.44,778.64,3343.35,5638.84,10148.34,1306.25,3735.18,8350.15,14340.37,2882.69,5324.3,14490.52,27169.14,4297.08,12416.68,23963.31,44082.85,12465.19,27575.83,47657.64,68753.19,5708.63,20995.69,39004.69,67592.83,9961.29,26889.26,42334.95,63334.24,2402.36,12082.34,21191.91,27707.04,-10192.99,-8290.71,-5622.68
