报表日期,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,16082.9,16634.65,15768.11,10127.35,11603.95,18154.06,4443.39,9033.91,11069.53,18707.96,3781.46,9217.62,14655.44,21344.58,7030.22,13771.99,16386.58,24087.58,8152.87,14612.98,18908.77,26394.29,7373.47,19707.81,23955.02,144018.08,28472.82,65057.22,96111.96
营业收入,16082.9,16634.65,15768.11,10127.35,11603.95,18154.06,4443.39,9033.91,11069.53,18707.96,3781.46,9217.62,14655.44,21344.58,7030.22,13771.99,16386.58,24087.58,8152.87,14612.98,18908.77,26394.29,7373.47,19707.81,23955.02,144018.08,28472.82,65057.22,96111.96
二、营业总成本,12247.13,11185.94,10538.69,7298.2,8439.9,12720.62,4076.37,6671.86,8469.27,14761.9,3049.92,6630.42,11048.68,17265.04,6768.45,12423.17,14449.33,20463.02,6374.56,12529.15,16333.11,23521.7,5444.59,15465.0,18970.82,114135.86,24656.78,51875.69,77512.83
营业成本,9155.83,8158.45,6634.4,5768.41,6326.5,9021.58,2830.99,4932.87,5843.4,9626.29,2054.44,5072.46,8249.06,12602.46,5370.76,9664.91,10852.91,14615.64,4519.63,9059.58,11551.79,16715.85,4089.04,12436.74,14607.82,72475.49,14192.06,32999.7,48922.3
营业税金及附加,100.39,78.14,58.23,42.89,47.94,60.76,23.79,38.26,58.11,108.65,31.08,28.88,38.29,96.42,16.06,90.57,156.83,223.41,78.67,122.4,166.49,296.16,30.89,95.35,209.12,808.04,214.44,338.0,598.73
销售费用,528.12,577.1,616.47,220.06,318.37,574.93,155.35,279.73,402.21,600.36,184.51,275.66,460.69,691.58,120.17,270.72,372.7,558.27,120.99,337.46,457.72,794.82,243.64,359.49,485.28,22621.88,1939.48,6766.5,10632.97
管理费用,2128.46,2301.42,2924.64,1130.44,1771.39,2559.57,705.8,1033.12,1665.29,2655.02,856.86,1492.81,2328.9,3459.48,971.09,1894.73,2862.72,4288.94,1191.51,2387.1,2299.97,3426.29,759.24,1442.97,2148.86,13195.94,4944.16,7105.71,8755.36
财务费用,-55.23,-156.01,-143.45,-61.23,-221.73,-16.45,-8.09,-87.22,-82.44,-115.84,19.85,12.94,-11.83,-140.3,-67.77,-132.05,-148.47,-180.93,-14.66,-151.79,-135.42,-136.39,-14.66,-40.41,-107.63,47.45,174.09,526.37,893.86
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.99,1971.89,440.33,1170.87,1627.37,4987.06,3192.55,4139.4,7709.62
资产减值损失,389.57,226.84,535.24,197.64,197.43,978.93,368.53,475.1,582.69,1887.42,-96.83,-252.33,-16.43,555.4,358.13,634.3,352.65,957.7,478.42,774.4,640.57,453.09,-103.89,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,32.28,0.0,86.83,138.82,138.82,458.7,86.63,151.8,325.24,537.47,81.96,278.82,442.13,625.18,160.66,197.79,368.53,618.52,1333.97,1206.95,1179.9,1358.06,-158.8,-51.34,14.45,371.54,24.96,-120.52,60.21
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.72,0.0,5.49,0.0,-12.97,12.72,-114.31,1063.88,-494.41,-204.17,-320.64,-471.17,-516.25,-501.9,-329.77,-416.55
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,3868.05,5448.71,5229.42,2967.97,3302.86,5433.44,453.65,2513.85,2925.51,4483.52,813.51,2866.02,4048.89,4704.72,422.43,2237.3,3015.46,4578.11,3112.27,4061.51,4534.48,5009.56,1770.08,3506.22,5031.66,31426.05,4490.06,14125.57,21947.31
加:营业外收入,310.48,568.42,541.12,424.71,459.66,612.99,5.62,21.61,44.56,519.33,17.91,417.55,567.39,820.14,20.47,5.69,42.83,478.82,52.19,227.11,283.38,930.85,67.27,267.75,331.24,488.06,62.21,290.58,395.7
减：营业外支出,12.71,64.96,35.15,0.0,1.5,0.0,1.0,1.74,1.72,1.74,2.74,18.85,2.99,7.09,0.0,0.0,10.0,10.04,0.33,0.33,0.45,4.39,0.0,0.0,1.43,6.67,21.0,21.0,44.66
其中：非流动资产处置损失,2.54,30.81,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.74,0.0,2.99,2.99,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,4165.82,5952.17,5735.39,3392.68,3761.03,6046.43,458.27,2533.72,2968.35,5001.11,828.68,3264.72,4613.29,5517.78,442.9,2242.99,3048.29,5046.89,3164.14,4288.29,4817.4,5936.01,1837.35,3773.97,5361.48,31907.43,4531.26,14395.16,22298.35
减：所得税费用,592.22,869.37,819.97,480.02,605.72,864.1,79.3,344.88,445.29,766.16,133.76,561.52,721.95,680.13,-13.98,364.43,531.0,643.21,483.81,575.1,678.26,717.6,326.19,519.55,804.43,4191.96,354.01,2008.34,3449.97
五、净利润,3573.6,5082.8,4915.42,2912.66,3155.3,5182.33,378.97,2188.83,2523.06,4234.95,694.92,2703.2,3891.33,4837.65,456.88,1878.56,2517.29,4403.68,2680.33,3713.2,4139.15,5218.41,1511.16,3254.42,4557.05,27715.47,4177.26,12386.82,18848.38
归属于母公司所有者的净利润,3573.6,5082.8,4915.42,2912.66,3155.3,5182.33,378.97,2188.83,2523.06,4234.95,694.92,2703.2,3899.21,4857.38,479.53,1929.67,2610.22,4523.1,2759.12,3808.73,4241.42,5260.76,1522.85,3285.87,4601.57,27757.23,4185.69,12396.8,18848.51
少数股东损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.88,-19.73,-22.65,-51.11,-92.93,-119.42,-78.79,-95.54,-102.28,-42.35,-11.69,-31.45,-44.52,-41.76,-8.43,-9.98,-0.13
基本每股收益(元/股),1.02,0.98,0.95,0.56,0.23,1.0,0.03,0.4,0.18,0.34,0.05,0.2,0.28,0.35,0.03,0.14,0.18,0.33,0.2,0.28,0.3,0.38,0.11,0.24,0.33,1.9,0.22,0.66,1.0
稀释每股收益(元/股),1.02,0.98,0.95,0.56,0.23,1.0,0.03,0.4,0.18,0.34,0.05,0.2,0.28,0.35,0.03,0.14,0.18,0.33,0.2,0.28,0.3,0.38,0.11,0.24,0.33,1.9,0.22,0.66,1.0
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
八、综合收益总额,3573.6,5082.8,4915.42,2912.66,3155.3,5182.33,378.97,2188.83,2523.06,4234.95,694.92,2703.2,3891.33,4837.65,456.88,1878.56,2517.29,4403.68,2680.33,3713.2,4139.15,5218.41,1511.16,3254.42,4557.05,27715.47,4177.26,12386.82,18848.38
归属于母公司所有者的综合收益总额,3573.6,5082.8,4915.42,2912.66,3155.3,5182.33,378.97,2188.83,2523.06,4234.95,694.92,2703.2,3899.21,4857.38,479.53,1929.67,2610.22,4523.1,2759.12,3808.73,4241.42,5260.76,1522.85,3285.87,4601.57,27757.23,4185.69,12396.8,18848.51
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.88,-19.73,-22.65,-51.11,-92.93,-119.42,-78.79,-95.54,-102.28,-42.35,-11.69,-31.45,-44.52,-41.76,-8.43,-9.98,-0.13
