报表日期,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
货币资金,1070.03,4237.71,10140.24,12170.51,17894.98,78147.83,75525.9,76120.08,65530.12,59106.85,66219.26,58209.43,55583.11,53279.93,53842.09,70001.2,63971.51,67536.21,51548.63,47048.78,35390.44,14568.66,54828.74,17476.96,21578.71,12069.11,15165.23,10059.85,32344.18,92921.64,109793.03,76556.75,66283.55,53961.4,60044.54,50684.4,56603.01,69102.62,57456.97,67129.85,113987.31,95203.56
交易性金融资产,1.29,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5726.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11746.97,0.0,17849.37,0.0,19275.68,0.0,18749.38,30375.49,35914.59,38743.93,38389.35,36517.44,38233.11,37679.42,33956.59,34575.67,36902.23,34705.39,25801.71,30854.77
应收票据,0.0,0.0,0.0,64.78,16.31,0.0,10.35,0.0,30.0,311.04,270.67,228.44,637.61,252.91,364.85,422.79,2438.59,1837.77,1772.17,2475.0,4398.06,2646.21,672.7,1024.7,2552.94,687.26,2096.53,1535.94,3750.2,4961.62,5198.97,6825.49,9598.59,7304.35,5513.91,6922.32,5124.79,2124.22,2151.87,3329.66,2410.92,1588.31
应收账款,694.76,598.18,884.24,988.19,632.87,1936.49,2996.11,3485.31,1390.04,3960.44,4448.44,6064.76,2550.44,5473.5,7270.04,9583.85,8251.28,10646.91,11822.15,11472.67,7866.67,11990.54,11074.27,13049.51,15296.44,19038.98,17179.15,18551.69,14999.18,25413.88,30715.62,31918.44,28790.76,29213.09,32719.2,30757.1,28831.8,32451.46,34750.35,31375.73,23390.79,29266.46
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2218.47,422.52,1282.79,0.0,1488.82,0.0
预付款项,290.59,199.78,375.71,411.98,550.94,586.8,770.57,856.88,658.42,1940.27,909.9,1069.54,516.68,927.16,900.03,725.19,803.2,1686.73,2119.9,1856.14,975.27,1004.97,1365.25,991.94,1356.14,1179.77,1407.97,1317.43,677.2,1516.02,1687.2,1583.75,1805.06,2632.68,2009.22,2280.64,1996.73,3862.35,3602.22,2917.17,2452.7,3635.19
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.55,0.0,523.8,0.0,764.49,0.0,409.69,870.62,6513.31,1076.25,292.65,548.04,716.25,2774.95,730.52,881.63,971.47,1130.35,1233.09,1486.45
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.84,1825.83,342.08,884.31,735.65,557.77,402.71,868.37,550.04,790.27,366.91,279.71,323.06,18.19,36.69,17.92,38.28,7.24,8.54,13.29,19.28,87.35,142.51,0.0,18.05,59.13,226.29,193.85,316.03,315.85,185.05,341.63,200.25,142.98
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,192.88,100.54,92.79,142.61,335.97,243.92,210.05,926.11,193.05,310.01,358.66,641.49,173.84,373.74,484.14,571.61,294.11,568.49,756.6,850.2,482.81,676.43,760.85,2826.85,485.52,946.7,755.95,793.21,390.4,783.27,6370.81,1076.25,274.6,0.0,489.96,0.0,414.49,0.0,786.42,0.0,1032.84,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
