报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
一、营业总收入,1080788.8,1334002.07,1341839.02,343725.77,623554.28,997669.78,1434390.35,374299.88,738775.95,1177930.86,1561659.3,429722.52,829785.06,1326638.22,1775043.19,412747.83,815414.3,1300771.78,1808093.0,438556.92,845321.05,1331009.69,1880074.37,636153.09,1289326.17,1996212.8,2620203.11,668183.54,1413098.1,2195166.98,3000874.17,796655.05,1623518.47,2535540.85,3358990.89,825527.0,1792606.24,2815536.99,3930540.23,1073911.89,2198810.54,3388573.33,4606715.51,1062608.23
营业收入,1080788.8,1334002.07,1341839.02,343725.77,623554.28,997669.78,1434390.35,374299.88,738775.95,1177930.86,1561659.3,429722.52,829785.06,1326638.22,1775043.19,412747.83,815414.3,1300771.78,1808093.0,438556.92,845321.05,1331009.69,1880074.37,636153.09,1289326.17,1996212.8,2620203.11,668183.54,1413098.1,2195166.98,3000874.17,796655.05,1623518.47,2535540.85,3358990.89,825527.0,1792606.24,2815536.99,3930540.23,1073911.89,2198810.54,3388573.33,4606715.51,1062608.23
二、营业总成本,904335.24,1115897.35,1044348.76,244994.86,480017.95,693772.36,1040579.41,269171.72,572350.44,856425.94,1225616.11,333786.82,658516.72,1063150.83,1462137.15,319670.35,669882.11,1061919.21,1510867.23,340800.54,704866.47,1042731.15,1474211.75,439921.63,896619.24,1459209.76,2019262.99,524887.48,1094567.07,1693046.52,2394939.22,604800.01,1239487.93,1899723.21,2648206.08,602360.58,1326874.34,2097252.92,3068429.51,791920.9,1704942.63,2691231.86,3712132.39,830825.82
营业成本,594429.84,758842.68,778896.18,172019.52,346593.03,548593.4,817951.68,194758.89,410865.32,664581.28,923099.25,232469.75,476861.4,762385.54,1060870.38,247928.24,528747.28,826868.58,1162055.92,248046.8,518001.08,782893.8,1137337.78,331919.35,680576.5,1062790.92,1462722.33,386139.34,796464.2,1242850.33,1770517.44,462030.83,948924.28,1465026.45,2028614.63,455223.03,1005629.6,1575436.69,2289327.68,611841.36,1240527.06,1931974.46,2678936.8,575734.78
营业税金及附加,19364.09,23771.28,23454.93,5778.96,10223.49,16599.7,23689.28,5789.37,12785.71,20495.8,27359.35,7588.1,15162.7,23601.78,33661.03,7667.8,15623.71,24247.2,34366.22,7883.38,15954.73,24286.03,35165.64,9003.72,18032.72,28706.66,39407.53,10634.01,22250.79,33171.67,55155.5,14443.84,28042.31,42297.63,56037.29,12460.09,23829.0,36678.98,51511.11,14934.92,29826.15,42405.86,55156.58,13470.38
销售费用,4328.64,3450.88,3510.9,621.95,1348.12,2242.03,4107.73,937.56,4403.98,6463.38,9085.8,2527.95,5088.37,7663.07,11212.71,2268.1,5056.58,7507.64,7984.67,1659.88,3207.67,5162.76,6976.9,1659.24,3777.99,5412.11,7406.87,1390.21,5686.38,11354.9,5759.45,6.09,67.93,1868.2,3011.79,756.39,1650.21,3042.32,4589.52,990.71,2459.39,3617.81,5558.23,1652.9
管理费用,72190.55,75618.26,82921.94,13529.1,26783.47,35882.31,83105.94,15695.38,30989.42,55996.42,98245.0,18447.08,44110.15,62748.2,100672.72,14866.13,41450.01,62477.86,98271.39,18428.2,42492.91,62227.36,98949.0,19661.16,41701.01,68037.53,108631.01,24977.89,50154.15,84013.75,129886.68,25232.43,51365.2,79710.22,136536.25,29289.65,68172.5,72835.09,138784.18,26087.05,57768.13,129799.25,202549.4,32343.09
财务费用,213919.4,254107.16,155542.36,53045.32,95030.18,90407.84,103178.63,51968.61,113304.14,108889.43,115408.71,72744.35,117284.87,206745.06,255136.33,46940.09,77518.19,140217.74,199329.94,64782.28,124785.78,168161.19,196169.84,77678.17,152442.75,294175.83,398891.85,101746.03,219625.04,321655.88,432510.01,102582.5,210643.44,310375.94,415339.19,104628.92,227126.7,381067.36,526658.64,129256.46,352703.39,549473.24,712965.62,189676.71
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27720.29,46120.28,8831.96,21658.52,33961.24,56965.75,17947.96
资产减值损失,102.72,107.08,22.44,0.0,39.67,47.09,8546.15,21.92,1.87,-0.36,52417.99,9.59,9.23,7.18,583.97,0.0,1486.34,600.19,8859.09,0.0,424.31,0.0,-387.4,0.0,88.28,86.71,2203.39,0.0,386.51,0.0,1110.12,504.32,444.78,444.78,8666.93,2.51,466.32,472.2,11438.11,0.0,0.0,0.0,0.0,0.0
