报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
一、营业总收入,10771.14,22509.33,36597.25,53050.47,10630.71,31912.92,51334.29,68270.04,16782.36,38257.47,46945.12,110025.3,26083.77,57444.87,86061.77,120226.14,25644.31,57423.73,103002.93,139439.53,32155.56,72904.17,101651.23,150235.12,38924.88,90134.68,134116.68,183650.41,45786.53,108329.23,153068.05,182655.11,35401.45,82413.39,124885.08,161798.6,36017.14,88057.85,135060.85,209573.43,52287.35,94417.06,129811.08,176516.97,55365.53,122028.92,205658.84,293105.87,70583.29,156033.83
营业收入,10771.14,22509.33,36597.25,53050.47,10630.71,31912.92,51334.29,68270.04,16782.36,38257.47,46945.12,110025.3,26083.77,57444.87,86061.77,120226.14,25644.31,57423.73,103002.93,139439.53,32155.56,72904.17,101651.23,150235.12,38924.88,90134.68,134116.68,183650.41,45786.53,108329.23,153068.05,182655.11,35401.45,82413.39,124885.08,161798.6,36017.14,88057.85,135060.85,209573.43,52287.35,94417.06,129811.08,176516.97,55365.53,122028.92,205658.84,293105.87,70583.29,156033.83
二、营业总成本,6296.72,14696.71,23088.39,34739.32,7499.68,21687.47,32997.67,45478.65,9553.31,24029.67,34197.09,74464.76,16536.3,39347.77,60678.71,94944.97,16286.67,39535.23,72167.83,106667.17,21672.29,51471.51,73920.75,109101.5,25623.4,57304.76,86563.37,129924.42,32116.74,75219.58,113197.01,154338.89,30876.11,67387.81,106682.84,143620.97,33248.58,74061.37,109246.63,173961.97,37867.08,66963.23,89939.73,120199.58,36283.84,80540.07,136802.61,206947.38,47662.17,104554.1
营业成本,3368.24,7150.73,12038.09,19978.16,3872.98,12142.45,18374.15,24031.97,4656.78,12727.04,15361.92,40320.86,10682.99,23458.99,35655.04,50260.7,9651.54,21900.55,40193.8,54359.28,12845.7,28532.87,40381.33,60656.48,16457.35,37181.3,57628.24,79278.2,18557.55,45834.51,66106.3,77299.66,18348.33,41104.81,61580.41,83170.07,21956.67,46320.13,66272.44,97999.52,24023.32,40609.9,56692.56,77796.86,28507.32,62166.7,106377.67,154823.38,35663.07,79419.98
营业税金及附加,61.12,134.9,222.03,329.56,66.71,207.06,328.39,459.0,96.54,263.61,319.57,1201.45,179.11,512.96,757.52,1064.51,342.77,717.77,1201.12,1561.71,275.35,768.36,1057.91,2453.17,328.84,763.52,1130.06,1644.9,375.21,875.43,1184.66,1220.95,150.29,396.35,609.24,874.66,190.24,410.89,603.37,2830.94,746.79,1541.55,1831.11,2625.86,550.66,1396.16,2167.88,3347.92,579.49,1454.03
销售费用,1058.85,3179.42,4320.04,5481.67,1183.59,3557.15,5477.79,8695.85,1690.7,4163.3,6768.21,11711.15,1729.44,5496.27,8696.25,16423.36,1013.02,3439.45,7940.34,18647.27,1409.58,7816.46,10431.25,17066.54,2481.9,5495.19,8905.97,16712.07,2002.65,6119.07,9039.16,14702.77,1693.63,4232.32,6054.82,9065.74,1324.42,2777.71,4493.06,12826.79,3219.65,5735.71,8043.7,10565.66,1449.58,6858.85,11450.74,19936.69,5122.74,10832.41
管理费用,1422.35,3597.45,5627.39,7710.29,1966.58,4591.39,6706.48,10047.89,2091.64,5540.77,10223.22,18413.78,3464.97,8174.32,13204.92,24337.67,4149.87,10645.7,17951.74,24262.02,4796.25,9888.33,15763.25,22566.72,4686.58,10352.28,15292.88,26147.53,9721.79,19373.18,28893.55,43317.28,7430.25,15789.92,22650.55,32141.64,7067.2,15180.25,26514.92,44509.04,7214.86,13812.17,17938.32,25263.33,5264.0,10360.91,12305.03,19481.06,4695.34,9965.21
财务费用,134.33,233.54,271.63,599.0,167.21,513.88,887.16,1261.69,152.77,438.35,602.05,1907.97,327.06,974.27,1494.17,2146.99,609.93,1770.38,3043.4,4672.44,1271.04,2892.62,4081.52,3570.62,689.34,1273.71,2064.6,2810.07,447.09,1732.83,4521.27,11531.83,2666.09,5549.43,8434.16,11140.86,2408.31,4714.73,7078.38,9599.2,2362.46,3422.7,3722.21,2257.46,510.97,-237.69,-511.59,-1076.15,-148.65,-939.64
资产减值损失,251.84,400.68,609.21,640.63,242.62,675.52,1223.7,982.23,864.88,896.59,922.12,909.54,152.73,730.95,870.81,711.74,519.54,1061.38,1837.42,3164.43,1074.37,1572.86,2205.49,2787.96,979.39,2238.77,1541.62,3331.64,1012.45,1284.56,3452.07,6266.4,587.52,314.97,7353.65,7228.0,301.73,4657.66,4284.45,6196.48,300.0,1841.19,1711.82,1690.43,1.31,-4.86,68.93,-101.86,0.11,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,-0.77,-0.17,-0.69,-1.13,-6.78,-10.74,-22.57,-51.61,-33.82,-63.22,-96.12,-128.57,-13.44,-52.05,-160.27,-160.27,430.0,430.0,430.0,430.0,0.0,0.0,0.0,831.38,0.0,0.0,0.0,0.0,47.56,173.68,173.68,173.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78240.77,78240.77,78240.77,0.0,0.0,17.5,17.5,0.0,0.0
其中:对联营企业和合营企业的投资收益,-0.77,-0.17,-0.69,-1.13,-6.78,-10.74,-22.57,-51.61,-33.82,-63.22,-96.12,-128.57,-13.44,-52.05,-160.27,-160.27,430.0,430.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,4473.64,7812.45,13508.17,18310.02,3124.24,10214.71,18314.05,22739.79,7195.24,14164.58,12651.9,35431.97,9534.04,18045.05,25222.79,25120.9,9787.64,18318.5,31265.11,33202.37,10483.27,21432.66,27730.48,41964.99,13301.47,32829.91,47553.31,53725.99,13717.35,33283.33,40044.72,28489.91,4525.34,15025.58,18202.24,18177.63,2768.57,13996.47,25814.22,35611.46,14420.28,105694.6,118112.13,135510.64,19104.53,41567.01,68970.86,86835.9,23027.75,51484.91
加:营业外收入,13.05,13.55,18.74,19.86,436.95,446.9,446.9,635.13,138.84,138.84,161.57,1140.77,83.58,536.58,569.3,2309.21,268.98,338.91,457.77,1286.84,26.48,116.79,555.26,2771.77,91.2,273.75,1105.46,2070.53,143.14,355.86,383.07,2043.47,411.3,875.61,1296.18,2520.73,365.82,917.63,1630.39,2501.07,381.53,456.36,979.51,914.35,395.87,417.18,424.61,428.12,3.53,12.85
减：营业外支出,13.5,52.85,314.23,352.86,25.98,122.58,146.35,175.94,77.59,1256.9,1347.81,1469.81,52.28,366.58,453.84,396.56,5.81,58.5,95.71,291.8,4.69,16.08,46.72,227.2,22.39,111.26,132.19,1116.69,18.28,71.28,72.39,176.24,69.16,807.61,817.3,905.21,27.43,78.43,171.36,350.8,39.88,46.71,58.03,114.92,28.12,55.24,172.66,471.09,1.38,91.22
其中：非流动资产处置损失,9.45,38.94,262.13,293.7,19.98,24.86,26.08,52.17,0.0,1071.34,1133.94,1179.29,16.75,336.14,342.85,241.5,5.71,8.39,25.69,68.75,0.19,1.84,11.3,37.15,16.26,45.12,62.29,991.48,0.0,0.0,1.06,105.09,3.32,3.32,12.05,85.7,11.4,14.1,17.74,65.17,0.0,0.12,0.12,0.0,0.0,1.09,0.0,0.0,0.0,0.0
四、利润总额,4473.19,7773.15,13212.67,17977.03,3535.21,10539.03,18614.6,23198.98,7256.49,13046.52,11465.66,35102.93,9565.33,18215.05,25338.26,27033.55,10050.81,18598.92,31627.17,34197.41,10505.06,21533.37,28239.02,44509.56,13370.28,32992.4,48526.59,54679.83,13842.2,33567.91,40355.39,30357.13,4867.48,15093.58,18681.12,19793.15,3106.96,14835.67,27273.26,37761.73,14761.92,106104.26,119033.62,136310.08,19472.28,41928.95,69222.81,86792.93,23029.9,51406.55
减：所得税费用,652.04,952.11,1920.67,3044.64,498.72,2371.6,4432.36,3670.93,1528.09,1944.78,1729.3,7084.45,1454.29,2130.76,3118.3,4698.24,1584.67,2488.71,4358.52,5013.78,1801.69,3682.94,5353.94,7513.97,2019.16,5183.68,7491.68,8531.65,2387.3,5225.15,6429.77,7741.54,1587.65,3858.75,6320.1,8235.0,1854.95,3844.46,5750.83,7461.19,2729.77,7801.1,9519.68,11706.66,3474.76,7592.46,12402.44,13203.28,3378.59,8157.91
