报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
一、营业总收入,87841.53,202466.01,335263.5,479177.29,165652.61,358899.71,546224.02,726306.15,144874.18,310936.56,500022.64,679746.92,164986.35,351084.94,559421.41,778516.52,218957.73,467278.19,737923.89,7164004.72,1726595.37,3586667.88,5566413.9,7323832.64,1451172.13,3090983.92,5082585.98,6939524.79,1474548.23,3207809.77,5094668.48,7001223.33,1318024.83,2949813.95,4658201.22,6151964.98,1223863.4,2778906.67,4433768.17,6087952.32,1461444.26,2978849.39,4586293.47,6256684.86,1480670.9,3164277.96,5081390.26,6906322.53,1621169.24,3529429.9,5691731.54,8205053.95,2056819.49,4469604.04,7478777.96,10982522.44,2923841.53,6151857.46
营业收入,87841.53,202466.01,335263.5,479177.29,165652.61,358899.71,546224.02,726306.15,144874.18,310936.56,500022.64,679746.92,164986.35,351084.94,559421.41,778516.52,218957.73,467278.19,737923.89,7164004.72,1726595.37,3586667.88,5566413.9,7323832.64,1451172.13,3090983.92,5082585.98,6939524.79,1474548.23,3207809.77,5094668.48,7001223.33,1318024.83,2949813.95,4658201.22,6151964.98,1223863.4,2778906.67,4433768.17,6087952.32,1461444.26,2978849.39,4586293.47,6256684.86,1480670.9,3164277.96,5081390.26,6906322.53,1621169.24,3529429.9,5691731.54,8205053.95,2056819.49,4469604.04,7478777.96,10982522.44,2923841.53,6151857.46
二、营业总成本,86745.56,202532.52,335188.27,491487.16,171628.48,370949.14,561550.35,742528.0,149188.0,322212.86,514166.63,691799.24,168776.74,356758.9,567022.38,788068.84,222357.05,470438.86,744344.39,6976053.23,1691416.09,3538467.93,5497712.05,7260893.83,1437189.56,3080484.82,5048827.74,6871046.43,1498041.95,3198076.99,5046966.55,6940388.37,1305464.35,2909815.01,4595335.85,6080842.59,1194304.59,2709351.54,4326236.8,5974593.07,1436716.42,2940448.02,4497389.46,6155027.37,1458699.71,3140496.79,5008447.54,6804265.67,1585069.89,3430089.37,5455919.75,7749899.8,1910408.45,4177192.15,6980413.61,10444087.16,2873528.52,6315708.72
营业成本,76980.22,182061.42,302541.2,435727.86,155918.52,333620.43,506985.8,663984.45,131000.23,277395.72,449398.11,608753.54,151548.27,321910.49,512384.96,712254.1,201302.2,424648.3,670142.53,6654960.94,1625523.44,3392284.27,5269845.07,6931636.34,1360677.01,2915383.29,4798346.37,6531140.07,1410178.94,3026790.64,4779938.62,6586001.28,1222984.14,2741091.16,4327043.18,5724253.31,1111850.3,2543402.64,4075547.55,5602748.51,1340943.33,2749831.46,4203574.37,5746820.27,1354626.11,2905014.48,4656155.58,6303332.88,1470159.73,3201049.94,5096966.9,7215006.11,1753804.97,3888322.67,6504527.04,9817515.06,2674183.82,5918101.27
营业税金及附加,108.11,262.75,401.29,515.75,115.46,315.09,502.07,2857.01,277.68,1709.26,2062.75,1372.68,161.1,610.58,1180.09,1386.39,164.9,506.75,817.17,2564.84,346.57,839.55,1366.44,2197.59,403.2,954.61,1585.89,2353.88,441.95,1048.47,1637.58,2135.06,513.25,1180.85,1837.02,2439.65,728.27,1209.93,1648.03,8958.42,3003.69,6161.61,9757.61,13351.53,3382.69,6875.0,10444.94,13847.96,3174.43,6451.87,10019.41,14165.74,3696.01,7762.89,12424.35,17463.73,4733.56,10314.19
销售费用,4960.97,11760.15,18182.05,28982.82,6794.6,17599.02,24705.54,32946.05,7679.88,22844.55,32942.98,39964.8,7567.55,16901.32,26303.98,36553.84,10006.16,21699.67,34417.07,135549.58,28242.17,59955.66,95962.99,131559.86,30073.32,62411.62,97354.02,131426.27,33665.72,66327.98,106221.17,142413.57,33125.89,66977.15,106529.16,141404.4,33523.87,68924.49,105916.22,144718.55,35850.9,71915.27,111092.66,154076.66,34551.32,75970.33,120778.53,164972.8,38733.41,85289.29,129131.75,181349.12,45974.85,64529.15,103192.19,145346.94,44641.85,88616.58
管理费用,2667.83,3958.03,8065.62,14159.22,4099.82,8150.05,12975.89,18692.78,5119.15,9443.18,14211.54,21613.8,4727.37,9411.87,14349.84,19743.01,5963.41,11794.57,19196.29,119425.71,30113.35,61059.98,97127.71,139118.0,35588.0,72151.55,107808.61,151141.79,40879.28,77387.62,115296.55,156720.64,39031.6,78014.75,120010.11,165407.49,39258.73,81100.06,125524.75,171000.47,45177.05,89604.82,137339.41,193830.33,49527.38,98033.09,146068.37,205164.74,55623.17,111228.03,178968.61,270209.84,81872.4,162071.52,266859.43,343056.53,105420.18,207124.19
财务费用,1913.03,4159.31,5659.24,11145.88,4493.21,10543.93,15520.69,21918.07,4493.53,8368.92,12500.95,18741.81,4084.07,8883.85,13398.33,18877.83,4224.46,9808.02,17105.89,39732.44,8595.76,18059.75,27721.27,36594.49,10548.82,22635.95,37278.33,50002.13,10953.27,20895.69,33473.5,41744.74,8257.26,16026.52,29124.37,31184.42,6766.78,7546.58,9711.51,22161.51,5387.64,12845.35,22979.04,30046.99,12322.92,19346.03,24909.61,34126.14,10454.81,18412.62,28773.14,43405.48,19799.09,43135.56,74067.44,89998.89,36127.55,75356.4
资产减值损失,115.4,330.85,338.88,955.64,206.88,720.62,860.36,2129.64,617.53,2451.23,3050.31,1352.62,688.38,-959.21,-594.82,-746.33,695.91,1981.54,2665.44,22386.56,-2205.56,5291.94,4586.57,18468.78,-508.5,6216.98,5599.71,4063.06,1689.5,5044.53,9567.83,9833.72,1171.23,5541.86,9513.55,14047.12,1813.28,6374.62,6642.71,21558.33,5865.11,9212.0,11510.82,15350.99,3990.48,34676.15,40891.55,69773.05,1516.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,30.48,-4588.05,356.53,2294.72,-1199.86,-1736.06,-2467.57,-2221.16,164.59,66.08,106.77,247.97,-80.95,-574.96,-400.07,-529.29,5.13,-259.47,-375.87,-694.03,96.26,646.28,861.54,857.09,44.7,38.47,287.92,26.36,372.64,-295.81,193.89,126.47,333.75,527.31,-1457.92,-168.54,394.35,13.04,-122.13,656.93,-113.95,-368.19,-758.0,12.9,210.91,-372.46,-616.09,157.76,267.25,-6.1,-517.56,-1179.95,-491.16,-411.19,-1407.66,3485.41,796.57,-1108.68
