报表日期,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,5996.55,6065.41,7248.22,9822.62,9390.66,10375.83,15304.56,9027.02,9801.9,21350.3,14069.39,9489.29,11142.34,11935.2,16105.28,17479.19,13458.74,9721.49,12962.48,9790.63,14906.56,12808.96
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.14,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8099.81,0.0,7476.47,6959.92,8453.2,8268.17,9259.91,7403.41
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,189.98
应收账款,7473.15,6702.83,7223.51,8464.51,7777.64,5646.54,8642.1,7802.34,7710.02,5163.85,6047.82,6609.2,6947.19,6074.8,8099.81,7832.74,7476.47,6959.92,8453.2,8268.17,9139.91,7213.42
预付款项,224.26,470.75,356.41,331.06,285.03,453.47,424.63,1419.39,651.6,2251.09,1319.97,1443.19,493.01,478.74,1227.52,1138.8,1115.15,1257.65,926.6,1485.88,1233.05,1391.92
应收利息,0.0,0.0,0.0,0.0,0.0,56.47,248.19,196.05,383.46,293.61,266.85,171.75,315.41,186.66,213.06,247.52,84.61,195.13,56.52,9.23,2.3,2.5
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,1289.47,1094.34,1352.42,1165.94,1422.12,784.6,651.49,1154.65,1151.56,994.09,695.04,644.17,696.73,606.16,732.25,868.11,790.51,1181.66,863.58,3844.79,856.45,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
