报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
货币资金,12264.72,13949.14,14791.46,22593.49,31640.43,36073.11,36708.83,32793.04,32763.01,34265.48,71946.01,52652.03,62378.39,110558.2,92529.5,125507.6,86941.08,64692.99,90756.17,170742.63,161990.29,122794.11,149492.39,98742.48,74440.13,212772.32,122490.18,118413.03,108839.23,85424.79,76761.87,65179.62,69414.25,119133.24,83299.13,100170.1,160060.4,160104.51,107059.57,146947.46,104477.91,189572.94,132101.77,153721.11,130829.32,115044.02,99679.6,114959.79,110430.53,95857.3,108026.99,130289.86,101952.29,95216.12,129350.13,155228.32,76997.15
交易性金融资产,1266.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.44,1653.12,1612.8,1864.8,2019.36,1861.44
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.24,0.0,9.81,189.94,0.0,0.0,0.0,0.0,69.59,180.83,0.0,28.4,0.0,0.0,92.49,0.0,0.0,9.47,39.99,176.85,0.0,203.73,0.0,532.58,303.75
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204943.23,0.0,205479.5,0.0,339816.89,0.0,357776.32,332268.78,305719.87,233427.34,256729.55,278043.34,308313.41,293516.92,171284.65,137608.79,155585.66,145603.19,107282.05,109621.25
应收票据,126.38,201.18,743.36,9602.91,11667.17,23290.59,21917.98,29548.12,14113.61,14790.67,17630.32,31876.51,39594.78,42889.03,47363.23,44852.34,44152.35,66333.37,43733.43,46903.98,24671.99,32406.28,40098.79,43003.57,24935.43,39790.65,69416.29,52080.06,62118.75,81878.35,74446.77,88404.13,91555.32,84486.32,66046.79,50389.05,46050.33,63889.46,74538.81,56144.18,114483.46,155608.03,146428.72,175493.57,126888.14,78160.04,28757.35,29010.21,48401.64,69210.02,59352.77,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,11063.73,11785.76,13023.56,32542.67,40884.75,52475.74,40685.63,28199.33,36306.14,44202.46,37053.02,45840.83,51379.27,68621.3,63336.97,64545.3,76811.17,84870.23,86049.94,85326.38,102496.06,119775.74,92785.6,98728.5,109798.7,122857.74,105342.2,107941.51,123327.14,123758.6,116675.09,123025.01,122979.29,131450.37,120385.94,107983.86,123947.06,141053.77,143423.99,149335.32,185723.75,184208.86,185143.06,182282.75,205380.64,227559.84,204669.99,227719.34,229641.7,239103.39,234164.16,171284.65,137608.79,155585.66,145603.19,107282.05,109621.25
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66682.52,54695.19,104055.05,124745.92,119784.5,95598.81
预付款项,945.11,940.28,968.98,4861.45,10444.44,4734.73,4898.1,5216.33,3262.36,2132.15,3633.69,2584.66,7057.05,20926.3,50550.31,11924.01,50795.44,43699.16,47378.55,32910.0,57593.11,52165.82,35526.68,31275.19,51822.83,50357.48,51765.92,22792.99,23674.06,22894.65,24317.34,13292.07,14707.11,10911.8,12665.89,4567.55,10595.56,9393.14,9777.84,4886.31,6576.52,10149.3,10894.7,8986.91,12689.98,12480.75,12217.23,11621.42,13153.3,9269.72,4445.31,4834.35,5751.6,7036.52,6144.24,5389.36,5968.89
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20098.28,0.0,14599.38,0.0,14082.69,0.0,18070.38,15974.66,17292.6,20460.07,13672.72,15228.47,13813.18,13840.03,108863.33,110589.21,97346.13,78001.43,81656.55,120305.95
应收利息,6.89,13.29,7.39,14.25,4.09,0.0,9.31,6.82,0.0,8.7,0.0,31.68,18.91,8.33,0.0,48.54,36.49,23.19,12.25,79.83,80.63,253.31,122.75,3.64,14.14,16.39,148.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
