报表日期,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,6529.74,10791.58,9951.77,13973.48,2184.41,8267.69,12607.9,20852.71,4076.41,12521.71,20327.7,34159.69,7854.24,17789.03,31317.0,49507.5,8439.21,20703.9,29531.81,49917.78,7777.44,28007.95,40200.77,67820.03,11435.59,34331.74,56285.01,97756.64,19340.9,53608.57,72038.79,112654.59,19497.67,50524.78,74903.22,123691.35,25879.65,89234.82,152347.28,231932.73,64914.47,137609.88,240201.47,302788.75,49593.22,119834.1,183427.5
营业收入,6529.74,10791.58,9951.77,13973.48,2184.41,8267.69,12607.9,20852.71,4076.41,12521.71,20327.7,34159.69,7854.24,17789.03,31317.0,49507.5,8439.21,20703.9,29531.81,49917.78,7777.44,28007.95,40200.77,67820.03,11435.59,34331.74,56285.01,97756.64,19340.9,53608.57,72038.79,112654.59,19497.67,50524.78,74903.22,123691.35,25879.65,89234.82,152347.28,231932.73,64914.47,137609.88,240201.47,302788.75,49593.22,119834.1,183427.5
二、营业总成本,3684.36,7776.53,7124.87,10550.07,1942.55,6053.07,9443.4,16062.96,3359.8,9565.42,16300.94,28324.99,6566.23,15360.77,27782.66,45743.89,8123.58,20249.51,28356.5,48815.07,7587.91,24216.29,37942.88,64500.06,11758.69,32767.86,55218.09,95212.79,19512.33,52029.17,72375.92,111366.87,19735.51,49603.01,73635.25,120570.64,27303.98,86671.3,143625.12,215564.9,59950.59,126197.09,218663.6,278561.14,47522.37,110929.68,170935.69
营业成本,2142.33,4653.7,3921.43,5779.16,867.73,3729.76,5876.62,9799.6,1803.72,5733.51,9470.57,16029.21,4060.93,9365.67,17807.98,29452.87,5803.4,13275.79,18463.49,30953.06,4462.43,16045.11,23398.37,38895.77,7030.62,21233.57,36064.72,60866.45,11610.67,32487.8,41958.11,63667.19,11730.78,30443.94,45221.91,75836.86,17501.59,61963.85,102208.41,157745.53,45569.53,98829.4,175862.58,217623.5,36543.18,88401.83,134707.31
营业税金及附加,115.33,92.58,89.28,120.17,10.28,53.29,81.37,158.79,59.15,169.99,285.37,547.91,78.45,195.54,343.92,645.2,56.15,153.76,236.86,420.9,49.74,185.5,302.9,512.98,129.21,363.5,604.25,878.15,124.92,367.35,643.1,1279.11,224.7,520.32,817.52,1373.43,256.48,588.01,929.35,1379.6,377.11,741.54,1114.19,1590.83,160.01,328.83,582.37
销售费用,631.61,1353.2,1406.48,2188.9,468.72,798.7,1251.76,3052.86,597.72,1566.44,3591.3,5996.96,1264.16,2917.29,4733.5,7565.34,1039.02,3318.05,4257.14,7646.1,1344.67,3470.76,5626.37,9829.55,1481.7,3376.99,6086.78,10817.59,2091.25,5139.28,7550.35,12521.01,1868.49,4674.43,7053.9,11354.72,2061.75,5327.62,9380.99,13701.39,3714.68,6771.31,11641.7,16600.24,2942.72,6538.99,10447.46
管理费用,737.69,1712.96,1707.33,2487.58,608.68,1338.24,2111.64,3129.66,822.67,1826.62,3542.46,6602.32,1421.06,3128.35,5318.38,9399.95,1942.91,4280.56,6654.02,10914.42,2254.11,5264.77,9336.87,15694.51,3324.26,7671.53,12119.42,21171.17,5202.1,12067.1,18892.35,26669.49,5100.98,12116.18,17982.45,26144.29,6355.58,16070.05,13480.61,15463.62,4184.09,8850.95,14044.05,19383.4,4031.9,7820.6,11948.84
财务费用,31.87,-70.28,-40.16,-37.37,-12.86,-26.99,-38.05,-313.55,-22.55,-101.97,-989.1,-1347.09,-135.36,-484.47,-943.55,-1956.2,-355.07,-620.55,-1112.49,-1476.62,-519.09,-933.93,-996.78,-1271.77,-259.46,-356.72,-328.22,491.79,221.46,1179.39,2228.66,3539.65,658.05,1238.05,1914.9,2863.87,1732.02,2988.73,4115.37,5290.13,1078.07,1285.55,1487.68,998.23,-178.14,-508.01,-202.47
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13635.8,20185.54,5021.24,9718.34,14513.4,22364.94,4022.7,8347.45,13452.17
资产减值损失,25.54,34.37,40.52,11.65,0.0,160.06,160.06,235.6,99.09,370.83,400.34,495.68,-123.01,238.39,522.43,636.72,-362.84,-158.11,-142.51,357.21,-3.95,184.09,275.15,839.03,52.36,478.99,671.13,987.63,261.93,788.25,1103.36,3690.43,152.5,610.08,644.57,2997.47,-603.44,-266.96,-125.42,1799.09,5.88,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14,4.81,0.0,0.0,-12.14,0.0,7.47,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,6.86,31.62,20.27,53.37,0.0,29.23,29.23,59.03,0.0,11.76,11.76,59.6,0.0,20.49,20.49,63.08,0.0,909.08,909.08,1128.35,-11.74,22.05,67.25,263.24,32.75,64.21,135.81,409.89,-124.8,-137.42,3671.87,4627.23,-22.08,-372.32,-480.58,44.82,555.19,1235.94,1435.3,3525.37,120.95,477.84,4935.05,13736.48,-91.55,-61.92,-191.83
其中:对联营企业和合营企业的投资收益,6.86,31.62,0.0,53.37,0.0,29.23,0.0,59.03,0.0,0.0,0.0,59.6,0.0,20.49,20.49,63.08,0.0,909.08,909.08,216.85,0.0,22.05,67.25,263.24,0.0,64.21,135.81,118.6,-170.1,-182.79,344.0,1576.24,-22.08,0.0,-465.94,-68.58,0.0,0.0,0.0,0.0,0.0,0.0,-54.06,-253.77,-153.11,-123.48,-253.39
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.66,0.0,0.0,0.0,0.0
三、营业利润,2852.23,3046.67,2847.17,3476.77,241.86,2243.85,3193.72,4848.78,716.61,2968.05,4038.52,5894.29,1288.01,2448.75,3554.83,3826.7,315.63,1363.47,2084.39,2231.06,177.79,3813.71,2325.13,3583.2,-290.35,1628.09,1202.73,2965.88,-291.42,1441.98,3334.74,5902.81,-259.92,3072.13,4732.93,9497.68,984.83,6823.83,14573.6,26157.76,6748.4,15541.56,32869.0,23938.43,4772.51,13531.65,18963.25
加:营业外收入,0.82,377.66,732.57,1182.77,111.29,348.8,830.83,1115.35,571.32,573.42,765.71,2512.95,425.47,1393.88,1862.89,3034.39,314.98,1490.21,2237.21,3447.15,419.55,1128.0,2342.88,4238.27,885.32,2083.12,3553.56,5834.81,797.62,2170.66,3873.93,7695.96,905.56,350.29,379.68,34.67,0.34,9.13,9.65,9.78,0.46,6.1,32.46,1.7,0.3,15.11,16.89
减：营业外支出,1.11,8.74,10.41,12.06,2.04,2.04,2.04,3.49,2.0,4.28,4.3,9.38,0.07,0.58,1.66,49.96,0.25,1.94,2.34,18.3,6.54,34.25,35.58,88.18,3.78,9.18,15.62,73.13,5.3,42.84,46.59,92.71,11.94,67.09,76.23,186.86,1.21,4.7,20.79,46.18,7.25,48.39,78.67,157.44,24.02,178.72,1139.41
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.94,0.0,0.0,0.0,0.58,1.52,26.52,26.52,42.82,0.0,23.69,23.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,2851.94,3415.59,3569.33,4647.48,351.11,2590.61,4022.52,5960.64,1285.93,3537.2,4799.94,8397.86,1713.4,3842.06,5416.06,6811.12,630.36,2851.73,4319.26,5659.91,590.8,4907.46,4632.44,7733.29,591.19,3702.02,4740.67,8727.55,500.9,3569.79,7162.08,13506.06,633.71,3355.33,5036.38,9345.49,983.96,6828.26,14562.46,26121.37,6741.6,15499.26,32822.79,23782.69,4748.8,13368.04,17840.74
减：所得税费用,-33.91,303.74,186.55,207.94,0.0,88.44,172.04,171.2,109.0,400.74,607.43,825.22,219.19,310.31,496.56,795.3,0.06,473.49,473.52,170.87,131.16,237.0,237.01,-223.9,103.53,103.59,111.52,86.82,2.35,89.0,-841.94,-924.73,60.75,180.49,271.93,2152.32,115.07,974.94,2543.48,1320.72,677.27,1312.07,2239.58,-520.72,397.71,818.51,1218.28
五、净利润,2885.85,3111.85,3382.78,4439.54,351.11,2502.17,3850.47,5789.44,1176.93,3136.45,4192.51,7572.64,1494.21,3531.75,4919.51,6015.82,630.3,2378.24,3845.74,5489.04,459.64,4670.46,4395.44,7957.2,487.65,3598.43,4629.15,8640.73,498.55,3480.8,8004.02,14430.8,572.96,3174.84,4764.45,7193.17,868.89,5853.32,12018.98,24800.64,6064.33,14187.2,30583.21,24303.41,4351.09,12549.53,16622.46
归属于母公司所有者的净利润,2885.85,3111.85,3382.78,4439.54,351.11,2502.17,3850.47,5789.44,1176.93,3136.45,4192.57,7574.19,1497.69,3535.15,4924.36,6016.04,624.81,2372.46,3840.2,5494.01,447.92,4651.74,4391.8,7958.14,450.76,3519.94,4545.64,8549.59,501.48,3435.34,7874.56,13902.17,556.18,3110.87,4723.58,7193.39,907.63,5927.62,12094.41,24787.99,6040.38,14162.76,30508.69,24249.3,4391.67,12535.87,16765.48
少数股东损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-1.55,-3.47,-3.4,-4.86,-0.23,5.49,5.78,5.54,-4.96,11.72,18.71,3.64,-0.94,36.89,78.49,83.51,91.14,-2.93,45.46,129.46,528.63,16.79,63.97,40.86,-0.22,-38.74,-74.31,-75.44,12.66,23.96,24.44,74.52,54.11,-40.58,13.66,-143.02
基本每股收益(元/股),0.0,0.71,0.71,0.93,0.07,0.53,0.81,1.15,0.19,0.27,0.37,0.66,0.13,0.31,0.43,0.53,0.06,0.21,0.34,0.48,0.04,0.41,0.38,0.7,0.04,0.15,0.2,0.37,0.02,0.15,0.33,0.6,0.02,0.13,0.18,0.29,0.03,0.15,0.31,0.52,0.13,0.3,0.64,0.51,0.09,0.26,0.35
稀释每股收益(元/股),0.0,0.71,0.71,0.93,0.07,0.53,0.81,1.15,0.19,0.27,0.37,0.66,0.13,0.31,0.43,0.53,0.06,0.21,0.34,0.48,0.04,0.41,0.38,0.7,0.04,0.15,0.2,0.37,0.02,0.15,0.33,0.6,0.02,0.13,0.18,0.29,0.03,0.15,0.31,0.52,0.13,0.3,0.64,0.51,0.09,0.26,0.35
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.77,2.65,-4.72,-10.91,-3.2,3.89,9.92,23.98,-957.12,0.0,939.32,892.77,894.82,-24.18,9.78,77.12,30.67,39.33,37.21,-26.73
八、综合收益总额,2885.85,3111.85,3382.78,4439.54,351.11,2502.17,3850.47,5789.44,1176.93,3136.45,4192.51,7572.64,1494.21,3531.75,4919.51,6015.82,630.3,2378.24,3845.74,5489.04,459.64,4670.46,4395.44,7957.2,487.65,3598.43,4629.15,8631.95,501.21,3476.08,7993.11,14427.6,576.85,3184.76,4788.43,6236.04,868.89,6792.63,12911.75,25695.46,6040.15,14196.97,30660.33,24334.08,4390.42,12586.74,16595.73
归属于母公司所有者的综合收益总额,2885.85,3111.85,3382.78,4439.54,351.11,2502.17,3850.47,5789.44,1176.93,3136.45,4192.57,7572.64,1494.21,3535.15,4924.36,6016.04,630.3,2372.46,3840.2,5494.01,447.92,4651.74,4391.8,7958.14,450.76,3519.94,4545.64,8540.81,504.14,3430.62,7863.65,13898.97,560.07,3120.79,4747.56,6236.26,907.63,6866.94,12987.18,25682.81,6016.2,14172.54,30585.82,24279.97,4430.99,12573.08,16738.75
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,-3.4,-4.86,-0.23,0.0,5.78,5.54,-4.96,11.72,18.71,3.64,-0.94,36.89,78.49,83.51,91.14,-2.93,45.46,129.46,528.63,16.79,63.97,40.86,-0.22,-38.74,-74.31,-75.44,12.66,23.96,24.44,74.52,54.11,-40.58,13.66,-143.02
