报表日期,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,18365.51,47628.36,53461.02,49895.52,263858.08,214588.21,169695.97,205534.11,201905.89,231044.14,211150.77,206167.11,139860.12,148369.72,163850.02,210897.18,189646.63,215483.98,196383.46,198540.77,209269.98,800543.76,655962.12,649167.87,429356.6,529787.3,510846.55,1136929.69,809748.34,751414.27,505823.92,577838.01,460778.83,562802.14,463323.1,575531.27,473252.44,531003.67,680995.78,620125.15
交易性金融资产,121.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2821.35,2140.86,1946.43,1881.73,1743.36,2054.44,25931.27,77642.85,98294.93,113439.84,5929.31,7751.58,10163.32,6215.64,8156.8,6529.36,6647.01,6705.83,144076.86,95258.65,6050.7,104000.23,187043.6,98950.49,74383.1,195338.47,315710.82,201089.47,92531.29,105003.2
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17766.86,0.0,0.0,0.0,9801.07,0.0,0.0,0.0,0.0,0.0,7677.74,0.0,0.0,0.0,15701.16,0.0,48690.47,0.0,64442.11,0.0,98003.74,78249.06,77202.4,119281.04,208505.09,210082.25,210682.75,326273.69
应收票据,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.48,148.1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,2184.77,2860.02,5970.97,3933.74,4828.69,6218.96,6655.53,12916.0,10958.45,13133.73,12439.09,9615.93,17766.86,16961.87,16079.45,20961.81,9801.07,10611.44,8592.7,7637.2,11124.54,10368.43,7557.74,10460.46,10154.84,11620.79,15701.16,21375.31,48690.47,63028.1,64442.11,86707.63,98003.74,78249.06,77202.4,119281.04,208505.09,210082.25,210682.75,326273.69
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,6360.25,21665.47,37954.48,37925.59,39851.36,41185.03,46841.0,53121.61,64940.98,83178.86,85780.81,80776.42,76159.14,67715.29,88411.36,95903.97,92565.01,113534.92,102617.94,114262.88,130237.67,112254.98,121396.86,143975.86,106304.43,128659.15,136618.41,137931.93,144299.74,151331.91,168077.25,144685.62,190423.18,227123.37,221800.79,251510.56,210500.96,276512.18,238525.21,251210.42
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99957.32,0.0,0.0,0.0,86354.52,0.0,0.0,0.0,0.0,0.0,109572.85,0.0,0.0,0.0,88177.18,0.0,122376.03,0.0,110294.38,0.0,83253.58,87018.39,84604.19,87022.55,83453.17,79555.18,88031.19,92202.44
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.2,81.67,123.52,60.17,39.95,20.74,34.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2628.49,1310.23,2727.15,2066.44,3608.13,274.0,3218.27,3644.59,3965.38,2048.03,1906.74,3035.45,3448.49,10967.81,3561.5,4779.72,6275.81
