报表日期,2007-12-31,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,51642.73,46305.0,10891.22,25352.06,36515.24,48296.61,18293.61,37592.88,50601.64,64917.05,18898.29,38875.96,54402.28,69421.26,0.0,34466.64,47249.62,60355.71,14505.84,33833.38,47484.81,61629.14,14689.62,31477.54,44527.05,57346.62,11189.91,26944.67,17005.94,39355.52,25401.99,56524.62,79848.59,121007.14,43178.87,105203.14,160557.12,246980.83,46463.18,97239.53,103750.06,137966.41,35154.41,56473.47,78474.85
营业收入,51642.73,46305.0,10891.22,25352.06,36156.14,48296.61,18293.61,37592.88,49707.14,64917.05,18898.29,38875.96,53564.95,69421.26,0.0,34466.64,47249.62,60355.71,14505.84,33833.38,47484.81,61629.14,14689.62,31477.54,44527.05,57346.62,11189.91,26944.67,17005.94,39355.52,25401.99,56524.62,79848.59,121007.14,43178.87,105203.14,160557.12,246980.83,46463.18,97239.53,103750.06,137966.41,35154.41,56473.47,78474.85
二、营业总成本,45513.4,42195.28,9921.33,21841.59,31187.88,41598.78,16361.12,33220.55,44929.93,57864.08,17375.77,34940.04,49156.59,63693.15,0.0,32731.53,45024.07,57771.74,13658.82,31512.59,44116.51,58897.11,13529.36,29050.88,41438.77,54183.8,10415.1,25819.84,23860.51,37373.39,12151.72,23350.99,37317.97,78061.62,23246.78,53162.67,81014.1,125405.19,28324.45,49385.07,68084.67,102315.73,23019.68,42221.05,65866.34
营业成本,42168.35,38742.31,9088.53,19677.51,27855.69,36910.01,14852.42,29764.0,40309.04,51425.35,16118.48,32728.16,45498.28,57820.57,0.0,29506.93,40183.43,50104.99,12020.92,28101.74,38768.35,50328.58,11916.92,25612.28,36080.07,47433.2,8964.59,22815.72,14089.76,19902.54,8105.11,14930.0,24645.3,51801.15,17882.87,40918.85,60992.07,79203.71,17425.34,29218.45,39133.2,53424.56,13815.24,24687.01,40518.5
营业税金及附加,88.23,96.6,39.19,71.44,110.16,128.3,19.37,101.48,152.03,158.5,56.43,166.68,204.74,204.14,0.0,101.2,103.33,136.99,19.77,120.37,196.98,246.25,35.69,117.64,169.58,189.95,36.79,192.38,27.44,41.66,83.92,99.55,177.46,1410.76,883.64,1556.92,2362.85,4794.13,243.28,597.41,828.18,1485.5,200.16,340.02,497.24
销售费用,1056.31,940.45,153.91,579.82,854.46,1069.88,416.47,888.13,1159.4,1447.3,382.66,754.36,1056.83,1382.95,0.0,835.67,1007.45,1416.99,403.4,886.08,1348.66,1683.2,327.2,869.97,1331.32,1691.77,346.39,783.08,733.95,1016.05,251.7,510.87,747.73,981.17,330.55,494.61,774.44,1767.34,92.35,697.17,977.66,1366.92,256.55,831.82,1079.74
管理费用,1776.71,1806.75,576.98,1421.06,2277.19,3313.88,1154.18,2633.2,3593.14,5231.28,877.55,1843.72,2938.81,4940.33,0.0,2604.87,4134.42,5380.74,1184.24,2726.55,4147.74,4530.07,1231.26,2882.05,4080.31,5162.57,1118.52,2137.1,2918.92,6446.87,2044.22,4280.54,6034.49,10151.5,1699.25,5090.37,7771.4,15943.13,6991.96,10257.24,5037.95,6847.47,1383.21,2590.45,4101.73
财务费用,364.22,572.59,62.72,67.8,53.66,73.5,-81.33,-169.22,-214.27,-362.59,-59.36,-630.09,-609.03,-785.88,0.0,-452.79,-593.5,-585.91,-114.94,-511.75,-429.94,-432.72,-131.64,-568.18,-781.97,-1047.93,-184.01,-390.91,5989.45,7676.28,1666.77,3530.03,5712.99,11047.88,2450.47,5666.35,10076.88,14172.13,3571.53,8617.54,13191.96,18184.33,4254.88,9331.71,13217.35
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8918.47,10059.13,3109.64,4440.04,6451.78
资产减值损失,59.57,36.59,0.0,23.95,36.7,103.22,0.0,2.97,-69.4,-35.75,0.0,77.3,66.96,131.05,0.0,135.64,188.93,1317.94,145.42,189.6,84.72,2541.74,149.93,137.13,559.46,754.24,132.83,282.48,101.0,2289.99,0.0,0.0,0.0,2669.16,0.0,-564.44,-963.55,9524.75,0.0,-2.75,-2.75,10947.81,0.0,0.0,0.0
