报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,626713.49,1285984.12,1981573.54,2732108.53,635778.87,1447785.27,2014219.9,2451285.73,558216.46,1086523.0,1676572.8,2278817.81,660482.08,1426322.38,2143955.87,2790598.09,356295.29,650905.06,950257.55,1251648.62,292155.51,560485.21,787159.07,1010338.22,284942.35,509798.31,700144.82,925019.08,656123.87,1266280.53,1848738.94,2398525.07,513713.44,992204.73,1380692.64,1784323.28,343397.19,1830245.38,2939511.79,4185040.8,1514347.19,2825689.06,4413946.1,6025015.43,1461232.25,3153657.21,4845587.81,6577666.05,1538759.38,3278361.35,5028840.93,6915143.27,1715076.39,3368682.96,5468566.82
营业收入,626713.49,1285984.12,1981573.54,2732108.53,635778.87,1447785.27,2014219.9,2451285.73,558216.46,1086523.0,1676572.8,2278817.81,660482.08,1426322.38,2143955.87,2790598.09,356295.29,650905.06,950257.55,1251648.62,292155.51,560485.21,787159.07,1010338.22,284942.35,509798.31,700144.82,925019.08,656123.87,1266280.53,1848738.94,2398525.07,513713.44,992204.73,1380692.64,1784323.28,343397.19,1830245.38,2939511.79,4185040.8,1514347.19,2825689.06,4413946.1,6025015.43,1461232.25,3153657.21,4845587.81,6577666.05,1538759.38,3278361.35,5028840.93,6915143.27,1715076.39,3368682.96,5468566.82
二、营业总成本,606705.5,1246548.06,1918387.47,2652384.14,607280.82,1372861.37,1932333.15,2394650.47,555091.02,1086456.85,1645836.62,2261750.72,652818.35,1416894.51,2150588.81,2793687.73,356340.63,677881.35,999226.55,1328144.69,313426.83,608269.29,864564.68,1094134.58,300375.92,539811.0,745453.24,980803.45,654441.77,1281093.85,1865304.2,2421239.79,549871.4,1058580.67,1488898.78,1968970.02,401488.63,1844587.15,2941842.59,4158442.23,1438016.7,2716575.05,4176412.95,5733145.5,1397668.09,2965796.28,4541236.58,6293905.06,1496960.45,3145777.71,4857835.71,6739949.87,1682271.56,3309945.7,5309063.98
营业成本,589398.4,1211284.01,1864421.56,2574165.36,591737.03,1342115.5,1885637.99,2312979.3,537313.99,1051822.84,1592223.39,2187293.89,630874.42,1371161.71,2084128.49,2697031.59,337885.86,638494.71,946131.95,1254882.35,292344.88,566880.38,806824.9,1022641.67,285590.41,508033.36,699497.58,916004.23,613097.19,1190631.79,1729051.71,2225415.98,501281.99,955994.29,1344829.73,1760717.82,336714.09,1606505.8,2600835.45,3700612.89,1308442.31,2461202.75,3797758.88,5231647.65,1265810.07,2707062.38,4160553.88,5724419.88,1370290.0,2897116.92,4489617.68,6213022.16,1556414.58,3037701.45,4887251.24
营业税金及附加,2027.77,4904.68,7380.37,9712.22,1752.48,4285.8,4563.7,7280.52,2097.73,3582.75,5527.44,7158.61,407.38,407.4,650.08,2021.0,354.04,371.44,417.93,516.92,422.72,897.88,1154.01,1585.59,152.81,422.62,422.83,491.56,136.23,1588.74,2941.64,4386.25,1688.98,3281.97,3644.39,5095.72,1836.08,11793.63,15944.25,31838.21,13329.34,25326.41,42423.13,54999.9,17166.0,31081.36,45078.76,59931.41,16068.39,28062.11,45311.64,66978.11,15072.92,34979.95,54827.93
销售费用,5950.7,10919.79,17658.91,25136.75,2908.05,6331.3,9523.58,13888.61,4050.55,8052.47,12238.11,16356.68,7049.7,16330.17,24463.04,38153.77,9245.24,18546.75,26654.88,35665.52,9580.25,18256.01,25708.4,29842.44,6221.62,14251.52,20872.75,29166.89,13720.68,30550.67,47220.33,67196.25,17939.59,32850.98,46907.94,61172.92,12761.57,41215.1,65721.35,96234.01,32045.05,61890.55,92569.42,126196.95,28431.63,57258.9,85190.37,121881.65,31225.21,65851.99,93977.05,127544.95,34507.43,72769.63,111794.11
管理费用,4761.05,9438.58,14199.23,24270.22,5758.63,10987.04,19519.6,27438.28,6359.51,12434.39,20301.34,32139.93,7114.91,14259.43,21387.12,31741.12,4488.78,8066.05,11273.18,15277.16,2869.1,5942.67,8679.19,12282.79,3376.82,6901.72,10242.93,13768.7,14347.31,31421.69,48895.7,70150.35,15206.17,31936.54,49378.94,70343.78,15012.85,52431.51,82067.97,100611.41,26914.75,52906.47,75907.76,96020.0,24813.44,47009.95,68133.17,97654.84,20431.8,41838.35,61093.6,86255.63,19679.1,45143.63,68761.99
财务费用,4567.57,9430.7,14157.1,16543.73,5124.62,10477.87,16202.66,19448.95,5269.23,10448.51,15430.45,18994.53,7371.94,14730.27,19954.54,25569.58,4576.45,9357.32,14384.43,19390.08,5398.36,10672.31,15976.41,20396.33,5041.17,10145.44,14361.71,19249.38,11199.53,23849.5,34146.66,48541.4,13754.67,21230.77,31167.31,46664.52,15737.77,98706.85,140764.95,184354.2,50613.57,99760.86,151072.09,201680.91,57810.08,117766.79,173601.52,229830.79,53258.3,103845.44,155131.81,207569.35,52841.65,102769.03,157508.1
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3421.11,39476.38,3286.77,9062.9,12703.93,38579.68,3755.9,16582.0,28920.6
资产减值损失,0.0,570.3,570.3,2555.85,0.0,-1336.14,-3114.38,13614.81,0.0,115.89,115.89,-192.92,0.0,5.54,5.54,-829.33,-209.73,3045.09,364.17,2412.66,2844.23,5620.03,6221.78,7385.75,-6.9,56.33,55.44,2122.69,1940.84,3051.47,3048.17,5549.56,0.0,13286.11,12970.46,24975.26,19426.28,33934.26,36508.62,44791.52,6671.68,15488.01,16681.67,22600.1,3636.86,5616.9,5257.75,20710.11,2399.98,0.0,0.0,0.0,0.0,0.0,0.0
