报表日期,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,6883.74,6446.34,20972.65,21657.45,21929.82,23020.85,24752.23,23744.05,22804.87,26064.32,27238.91,27039.69,26581.24,27882.95,29618.36,29890.42,30666.84,23479.38,24772.68,27161.13,26491.94,26269.22,28512.8,29110.05,27631.89,29127.11,29031.63,27969.88,30904.69,125086.11,37817.68,42507.13,58677.11,78963.59,108465.93,248699.75,241923.39,271604.62,355409.17,336592.61,270003.88,309106.5,359438.11,330235.77,244043.79,200681.72,348284.33,389712.09,316775.58,321232.0,299267.18,255670.04,217315.47
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280699.5,245602.25,231164.16,298253.69,276246.73
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47081.87,70916.61,60715.06,63417.38,62055.28,53632.92,39802.07,33699.29,44844.9,41823.3,61776.83
应收票据,0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,1267.49,1599.93,861.97,1427.08,1167.19,1499.08,930.44,1362.32,1572.41,1410.95,1530.31,1638.57,2082.36,2358.4,2538.81,1937.43,1329.41,2934.18,3084.99,3450.17,3862.06,4797.11,3623.61,3877.55,4224.31,3315.39,3838.75,4695.26,3882.35,9097.48,8740.78,11685.52,11661.75,11513.51,12321.45,13895.52,13236.82,15074.46,36643.13,63872.3,55607.76,62872.78,47081.87,70916.61,60715.06,63417.38,62055.28,53632.92,39802.07,33699.29,44844.9,41823.3,61776.83
预付款项,9.76,10.1,26.95,33.61,23.33,0.0,47.21,0.0,0.0,0.0,49.28,57.01,74.85,46.54,111.97,51.73,60.94,72.66,110.27,169.92,350.83,107.92,140.36,147.14,92.21,107.39,118.0,822.48,574.62,799.45,2906.26,3888.56,4005.28,2063.66,3983.71,4482.26,4523.01,5163.8,5231.47,3531.89,4590.77,4329.04,3800.93,5621.97,7582.26,5202.8,7249.63,5969.49,19503.68,11578.66,2777.99,5411.87,4687.62
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.97,157.89,108.94,300.41,630.61,1946.31,4727.73,6755.41,6178.53,3015.28,5798.83,7090.46,6890.43,3557.46,4267.29,0.0,660.21,752.33,115.52,300.46,317.47,311.11,768.95
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,449.55,753.88,365.13,320.62,446.59,477.48,299.97,311.19,292.33,555.91,318.59,401.34,430.53,1054.17,811.51,782.97,347.09,521.44,319.76,449.52,407.9,490.51,541.48,467.23,741.03,469.92,373.94,609.46,569.98,800.97,489.58,876.95,663.9,829.39,656.68,1734.58,3390.62,1739.9,1239.23,3113.19,10651.19,9764.38,3366.67,2179.89,7219.21,16615.06,8473.14,0.0,2677.5,0.0,817.9,0.0,938.97
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.06,165.37,299.23,524.21,495.1,135.8,585.27,311.03,257.51,136.3,385.33,191.0,191.7,435.98,323.46,465.22,347.59,126.95,441.58,210.43,300.44,382.76,562.67,924.91,471.47,227.8,836.81,407.98,633.67,0.0,0.0,0.0,0.0,0.0,0.0,2783.08,4954.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
