报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
一、营业总收入,894929.9,1898309.15,2804334.36,4015237.1,1263835.4,2591929.9,3910160.0,4989670.9,1265822.0,2733385.8,4157393.8,5830014.9,1671198.3,3605468.5,5430152.3,7550473.9,2058309.8,4423115.9,6762549.9,9388858.0,2264102.0,4719106.7,7243146.7,9835716.1,2720084.6,5553258.3,8014274.6,10529222.9,2286910.2,5115207.4,7967455.0,10892529.6,2944774.3,6303741.3,9356952.3,13554763.3,3184306.8,6871475.9,10386294.1,14858533.1,3737727.2,8374587.1,13188226.1,18792776.4,4962034.4,11067835.5,17296958.2,24495657.3,6224150.6,13557117.9,20100861.2,26922890.0,5783918.4
营业收入,894929.9,1898309.15,2804334.36,4015237.1,1263835.4,2591929.9,3910160.0,4989670.9,1265822.0,2733385.8,4157393.8,5830014.9,1671198.3,3605468.5,5430152.3,7550473.9,2058309.8,4423115.9,6762549.9,9388858.0,2264102.0,4719106.7,7243146.7,9835716.1,2720084.6,5553126.9,8014066.2,10529222.9,2286910.2,5115207.4,7965833.7,10892529.6,2944774.3,6303741.3,9356952.3,13554763.3,3184306.8,6871475.9,10386294.1,14858533.1,3737727.2,8374587.1,13188226.1,18792776.4,4962034.4,11067835.5,17296958.2,24495657.3,6224150.6,13557117.9,20100861.2,26922890.0,5783918.4
二、营业总成本,875900.32,1812063.94,2664909.62,3790231.1,1205013.0,2441170.3,3676307.6,4693233.5,1204089.0,2563145.5,3892528.5,5442116.5,1551482.6,3342021.3,5055647.7,7008341.6,1903598.0,4080474.6,6310512.2,8759669.1,2143415.4,4501315.2,6952622.9,9535224.0,2665721.7,5473457.9,7965967.6,10522523.3,2344530.6,5217907.1,8105378.6,11034505.2,3001120.9,6409705.8,9502631.0,13780549.8,3230410.1,6959203.3,10510238.0,14999501.3,3747425.8,8416331.5,13233091.3,18848012.5,4964352.4,11090570.4,17378186.3,24593427.3,6351970.2,13963996.6,20522544.5,27516037.2,5844173.8
营业成本,794572.37,1640848.44,2400352.65,3434674.0,1083608.3,2181936.2,3271935.0,4133475.6,1055771.9,2269389.6,3443611.1,4818578.9,1393927.3,2990532.1,4491591.3,6204071.2,1686375.0,3598497.1,5497994.4,7610465.6,1831192.1,3836577.9,5908332.6,8088464.6,2280494.9,4706551.4,6810729.9,8927906.1,1930267.0,4356686.9,6768556.8,9228457.2,2473179.7,5339818.9,7878089.0,11598118.2,2677700.4,5875531.9,8884110.7,12724754.1,3136860.3,7205589.8,11353771.9,16143179.1,4149747.1,9470743.9,14754586.6,20821660.6,5234641.1,11653236.0,17140852.5,23011738.5,4876457.9
营业税金及附加,3160.42,7330.03,11169.74,15445.5,3118.6,9325.0,14725.7,20349.1,5627.9,12281.0,18647.3,27151.6,3365.2,10240.8,18285.2,26812.9,7955.9,17135.5,25417.9,36975.1,5060.1,15519.7,23345.6,31308.1,5853.0,18175.7,24463.6,32994.2,7365.7,16865.0,26901.6,35716.0,8478.0,21093.8,36308.4,58579.6,8283.6,16354.7,30060.4,58345.5,14853.4,34510.9,51422.2,72929.4,16901.2,39643.6,61493.9,89433.7,17897.6,53328.8,77089.3,106090.7,22610.6
销售费用,65888.06,138392.26,215174.48,298553.8,100799.3,221617.2,343113.2,478046.8,122534.8,245084.3,371687.6,519235.6,137118.2,305050.3,485278.8,680910.9,185059.2,397058.4,668114.3,936734.6,250038.1,536022.4,856616.3,1181094.1,303240.5,600283.6,917317.4,1273971.1,319159.8,663907.0,1035586.8,1410502.5,389373.5,813642.0,1253266.7,1664467.6,409884.5,831084.0,1248120.3,1745141.6,449388.7,902910.3,1426556.0,2063578.0,590881.4,1154932.9,1858715.7,2606667.7,822382.2,1642881.3,2465339.7,3353201.8,713278.3
管理费用,10489.4,21956.21,34717.27,49358.1,16178.2,34183.8,53435.5,78452.1,22071.5,44753.3,68212.7,91209.3,23997.9,52369.7,84255.6,125031.1,31906.5,85584.7,138564.3,208863.7,65572.9,113371.9,170611.3,235010.7,71200.7,138619.9,198477.5,280566.7,75632.8,158020.4,240294.6,335657.0,115608.8,213945.0,315761.4,429147.5,114947.1,210489.0,315054.8,394627.4,116946.6,237001.2,358042.0,486405.0,155721.9,243024.9,380471.8,520068.4,120784.6,269617.9,398258.7,494503.2,101096.2
财务费用,1694.1,1910.93,1152.37,-8816.2,233.7,-9169.6,-10328.9,-22329.0,-2742.5,-10741.7,-12395.6,-17292.4,-9195.4,-19500.6,-28123.2,-36076.9,-12213.0,-23606.7,-30905.2,-40323.6,-14142.9,-6953.7,-16855.7,-18608.3,-7414.0,-7190.4,-9257.4,-14908.7,-567.8,3824.5,11581.8,6677.0,1896.0,7789.6,4578.5,10428.2,7160.9,14123.3,16857.3,41582.8,12072.7,20271.8,21171.7,30646.7,19319.0,27684.5,68108.8,123462.6,49846.0,146652.8,199812.5,223742.0,53427.7
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89874.9,149678.9,226187.5,86268.7,145764.0,241191.8,326761.0,77303.1
资产减值损失,95.97,1626.08,2343.1,1015.9,1074.9,3277.7,3427.1,5238.9,825.4,2379.0,2765.4,3233.5,2269.4,3329.0,4360.0,7592.4,4514.4,5805.6,11326.5,6953.7,5695.1,6777.0,10572.8,17954.8,12346.6,17017.7,24236.6,21993.9,12673.1,18603.3,22457.0,17495.5,12584.9,13416.5,14627.0,19808.7,12433.6,11620.4,16034.5,35049.9,17304.1,16047.5,22127.5,51274.3,31781.8,64665.7,105130.6,205946.8,20150.0,19416.3,0.0,0.0,0.0
