报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,206264.29,211802.35,268174.82,323971.39,256725.55,368484.6,89866.07,201194.77,324827.49,479453.5,138005.32,311105.16,484798.22,666544.4,185233.66,404901.25,639296.06,917211.8,245976.17,501018.17,777478.55,1109359.31,228772.49,486137.8,854471.99,1266599.07,378196.29
营业收入,206264.29,211802.35,268174.82,323971.39,256725.55,368484.6,89866.07,201194.77,324827.49,479453.5,138005.32,311105.16,484798.22,666544.4,185233.66,404901.25,639296.06,917211.8,245976.17,501018.17,777478.55,1109359.31,228772.49,486137.8,854471.99,1266599.07,378196.29
二、营业总成本,166487.49,180897.2,223458.41,272038.95,215956.47,312405.46,76977.54,168178.99,275875.07,414643.22,121208.19,271249.83,429487.89,591266.9,159718.96,354296.68,563218.42,812921.91,222299.06,444719.54,691566.95,997312.73,207744.73,431081.24,759984.43,1140312.88,336481.75
营业成本,129275.91,127932.08,160907.07,191957.07,149352.22,216929.5,52408.31,116525.2,189076.37,285580.81,85726.53,192111.66,306705.03,418197.95,117709.23,259208.82,410918.77,583587.2,160549.07,322449.85,504720.68,722620.18,153666.37,313706.77,555459.53,820649.42,253321.05
营业税金及附加,1979.34,2162.0,2538.17,2925.53,2787.28,3879.27,805.53,2191.19,2935.44,4803.54,1476.88,3447.29,5039.37,6732.66,2059.98,4072.21,6288.08,8168.43,1312.78,3629.32,5526.55,7920.27,1088.95,2811.65,4964.84,6729.73,2624.09
销售费用,27706.99,44479.13,50044.4,64953.28,53465.58,76979.11,19497.92,40473.32,69793.86,105773.41,29028.79,63892.89,98447.71,139733.21,30213.01,74888.99,118625.21,178896.97,46127.11,89762.19,139528.03,207316.1,39958.53,89290.35,155855.9,249383.68,68086.7
管理费用,5905.85,5935.76,8223.42,10120.0,8805.02,12571.36,3685.88,7350.22,11739.42,17214.67,4881.98,9347.96,14847.89,20326.06,7716.34,14642.91,17248.55,24378.26,7501.91,16113.05,27185.37,29222.71,6352.11,13736.24,23814.94,29696.09,7389.68
财务费用,223.19,387.95,1169.3,1378.18,1050.27,1536.8,561.24,1088.68,1690.96,312.28,43.98,1772.07,3836.73,4825.2,2236.63,894.71,470.71,2528.7,2646.48,5382.55,4507.13,10437.12,971.31,2274.54,7513.79,13175.37,-582.42
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8893.46,13689.72,4901.48,7382.59,10099.18,19796.35,5707.47,9261.69,12375.43,20678.58,5642.63
资产减值损失,1396.21,0.28,576.06,704.89,496.11,509.41,18.67,550.38,639.02,958.5,50.01,677.96,611.15,1451.82,-216.21,589.05,773.64,1672.63,-739.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,414.87,230.92,4633.59,-4390.39,-1555.69,-4579.65,1909.85,-837.47,-2716.82,2933.36,0.0,0.0,0.0,109.95,36.2,-766.05,-351.6,-143.88,1.41,-151.15,-69.05,1787.81,-1528.24,-565.63,581.34,489.88,-1593.91
投资收益,2802.85,2289.51,3456.66,5021.46,2780.1,3342.47,-25.36,328.23,-837.69,-7599.23,1266.55,2791.06,4604.48,7599.79,2442.72,4485.59,10042.06,10603.36,2519.74,4530.13,12185.99,13963.15,8534.57,8612.17,16419.65,19237.63,1276.06
其中:对联营企业和合营企业的投资收益,300.2,522.22,603.79,530.42,703.76,921.5,200.33,448.36,554.75,1054.22,131.59,466.69,695.1,1042.68,-6.86,577.19,858.16,1141.33,180.62,609.63,199.65,635.76,77.28,276.03,442.21,951.51,196.91
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,42994.51,33425.59,52806.65,52563.51,41993.49,54841.97,14773.02,32506.54,45397.92,60144.41,18063.68,42705.7,59994.49,83580.91,28015.05,54700.81,86657.12,115828.45,26239.11,62187.11,99184.65,129186.77,28653.01,64222.43,112242.31,103610.52,43413.77
加:营业外收入,1862.69,1642.26,1924.94,5108.44,3417.31,10410.79,3788.7,4057.44,10457.07,15035.03,5816.09,6705.91,16687.0,17543.01,6956.28,8428.65,16070.88,17759.43,13079.48,15643.74,23851.4,24028.0,12893.15,15312.9,21705.76,17531.64,9583.11
减：营业外支出,275.39,278.18,609.11,1363.24,948.89,1416.96,548.39,969.45,1262.38,1400.34,420.48,440.08,598.46,875.87,226.04,436.24,796.82,1742.14,547.57,1026.2,1250.42,997.93,135.33,228.16,361.75,1662.81,182.3
其中：非流动资产处置损失,44.03,36.74,86.42,482.21,29.89,188.93,101.49,106.81,115.31,200.93,8.88,17.24,91.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,44581.81,34789.66,54122.48,56308.71,44461.92,63835.8,18013.33,35594.53,54592.61,73779.09,23459.29,48971.53,76083.03,100248.05,34745.29,62693.22,101931.18,131845.75,38771.02,76804.65,121785.63,152216.83,41410.84,79307.18,133586.32,119479.35,52814.58
减：所得税费用,7025.04,5087.55,14056.77,14286.95,10521.35,14783.12,4192.07,8115.56,12150.09,16533.59,4294.56,9347.17,12451.94,17161.57,6839.63,12347.19,20407.58,31190.7,8998.66,18504.0,24952.19,30171.36,9919.2,19045.9,27778.09,32817.43,14377.93
五、净利润,37556.77,29702.11,40065.71,42021.77,33940.56,49052.69,13821.26,27478.97,42442.53,57245.5,19164.73,39624.36,63631.09,83086.47,27905.66,50346.04,81523.6,100655.05,29772.35,58300.65,96833.45,122045.48,31491.64,60261.28,105808.23,86661.91,38436.65
归属于母公司所有者的净利润,37556.77,29702.11,40363.05,42437.05,34446.11,49831.19,14009.22,27205.97,41963.15,57505.15,18784.87,38798.71,62000.81,82244.56,26843.98,48250.69,78554.06,98935.99,29538.5,55870.85,91711.88,116116.24,30662.87,57583.25,100978.96,84546.71,38505.15
少数股东损益,0.0,0.0,-297.34,-415.28,-505.55,-778.5,-187.97,273.0,479.38,-259.65,379.86,825.64,1630.28,841.92,1061.68,2095.35,2969.53,1719.07,233.86,2429.8,5121.57,5929.24,828.77,2678.03,4829.27,2115.21,-68.5
基本每股收益(元/股),1.14,0.9,1.22,1.29,1.04,1.51,0.42,0.82,1.27,1.67,0.46,0.94,1.5,1.99,0.65,1.17,1.9,2.36,0.69,0.94,1.56,1.98,0.52,0.96,1.69,1.39,0.62
稀释每股收益(元/股),1.14,0.9,1.22,1.29,1.04,1.51,0.42,0.82,1.27,1.67,0.46,0.94,1.5,1.99,0.64,1.15,1.87,2.36,0.68,0.94,1.56,1.97,0.52,0.96,1.69,1.39,0.61
七、其他综合收益,0.0,46.3,-118.42,-19.24,-7.01,-15.77,-60.58,-22.41,1028.83,927.44,7.18,1.92,6.73,20.03,-24.99,-882.2,-1540.05,-10304.41,4736.23,7540.9,13087.84,42983.84,-2041.16,-16886.61,-10143.97,-10286.81,-8940.7
八、综合收益总额,0.0,29748.41,39947.29,42002.53,33933.55,49036.91,13760.68,27456.56,43471.36,58172.94,19171.92,39626.27,63637.82,83106.5,27880.67,49463.84,79983.55,90350.64,34508.59,65841.55,109921.29,165029.32,29450.47,43374.67,95664.26,76375.1,29495.95
归属于母公司所有者的综合收益总额,0.0,0.0,40244.64,42417.81,34439.1,49815.42,13948.65,27181.7,42990.11,58427.11,18792.35,38800.63,62007.53,82260.07,26819.0,47368.37,77013.99,88631.39,34274.2,63411.58,104799.57,158984.07,28621.54,40696.38,90834.74,74309.41,29598.86
归属于少数股东的综合收益总额,0.0,0.0,-297.34,-415.28,-505.55,-778.5,-187.97,274.86,481.25,-254.17,379.57,825.64,1630.28,846.43,1061.68,2095.47,2969.55,1719.25,234.39,2429.97,5121.71,6045.25,828.93,2678.3,4829.52,2065.69,-102.91
