报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,46125.2,101034.78,152762.46,220882.56,80649.61,203981.92,313518.37,376102.93,73821.78,175591.08,297676.55,418374.08,118839.86,235669.41,356125.5,455826.52,119624.54,252351.73,358792.46,482596.84,142115.64,271702.04,398938.55,526400.61,128300.97,261757.4,379890.41,493292.02,123659.68,254431.3,370888.04,483229.18,104873.16,214564.01,338123.3,449666.24,130892.22,264250.66,397313.3,527920.4,118901.19,248522.11,391830.3,569258.04,192240.02,339256.03,510473.75,685874.16,171862.04,358565.14,531945.43,704392.76,160013.9,352849.68,542955.24
营业收入,46125.2,101034.78,152762.46,220882.56,80649.61,203981.92,313518.37,376102.93,73821.78,175591.08,297676.55,418374.08,118839.86,235669.41,356125.5,455826.52,119624.54,252351.73,358792.46,482596.84,142115.64,271702.04,398938.55,526400.61,128300.97,261757.4,379890.41,493292.02,123659.68,254431.3,370888.04,483229.18,104873.16,214564.01,338123.3,449666.24,130892.22,264250.66,397313.3,527920.4,118901.19,248522.11,391830.3,569258.04,192240.02,339256.03,510473.75,685874.16,171862.04,358565.14,531945.43,704392.76,160013.9,352849.68,542955.24
二、营业总成本,46197.89,100488.03,152016.35,217345.42,72017.3,149333.31,221589.64,264260.38,62359.84,138938.66,210914.13,274099.28,83518.64,166686.97,252922.12,320959.54,89144.32,182316.43,263672.93,364267.4,109000.12,207770.56,314597.35,426125.19,106945.44,220126.51,330849.58,438449.43,112707.25,228112.42,335633.92,456059.83,113921.65,221426.92,337338.88,455187.16,124474.5,240475.28,349492.13,473012.12,116170.31,238604.44,382117.02,544564.61,139545.75,286560.46,452668.59,642153.82,163969.58,328460.77,493852.75,666634.75,149374.75,308071.54,477759.81
营业成本,40396.81,88491.26,133193.61,186384.36,55818.19,116965.58,170173.1,208482.96,49361.06,117709.89,180685.05,229202.41,73037.64,138521.72,211526.46,267265.2,77799.78,159432.92,227831.28,301649.09,97510.63,181035.34,270889.27,361824.13,91741.61,186466.57,278855.85,368382.28,97924.67,195800.03,284281.06,379340.49,93543.27,179669.58,282590.19,374359.45,105492.55,197653.09,288331.45,378169.2,93571.47,189834.49,295074.08,400413.61,79791.63,172659.7,286325.25,398260.5,105204.88,214625.62,317731.29,417313.32,105109.31,211549.14,314417.83
营业税金及附加,280.21,322.74,752.41,919.99,256.96,900.27,1672.44,2479.5,947.24,1588.16,2392.57,3607.92,895.07,2035.84,2995.9,4108.25,459.57,1272.27,2259.21,2916.92,797.35,1551.4,2252.17,2881.2,524.81,1546.05,2625.66,3048.71,753.04,1377.61,1708.39,2596.93,678.26,876.6,1238.03,1834.22,673.24,1235.1,1787.86,3697.78,672.23,2760.71,3939.62,5594.91,2350.95,3480.58,5319.89,6968.5,1919.38,3632.35,5524.94,6995.07,1505.36,3350.1,5345.96
销售费用,874.32,3026.82,4917.42,8012.68,5736.26,11484.29,22113.54,16075.67,5893.88,9641.82,13563.43,15854.56,3499.17,11158.3,19717.39,20546.51,5074.47,9794.75,14169.06,20012.34,4529.89,10271.09,15256.99,21452.52,4223.99,9922.7,14427.01,20399.33,4531.78,10257.14,14800.15,20024.78,4705.4,9983.21,15145.13,21781.63,5344.23,12730.78,18616.88,23389.0,5398.89,14691.27,33893.57,65488.42,38282.6,71980.25,109045.85,152767.03,40409.81,81799.23,121450.98,158678.02,29269.55,55562.94,90233.65
管理费用,2205.79,4355.12,6628.62,8928.21,4824.82,10982.39,14841.05,18040.14,4619.52,8206.83,11960.2,18642.16,3971.28,9288.24,14361.81,21346.61,5390.25,10955.08,16218.48,33649.09,6262.52,14583.21,26928.48,40347.79,8804.49,18018.56,30516.67,43797.58,10235.91,20843.12,33699.36,50284.63,10805.38,21280.34,32336.97,46733.47,10039.12,24253.56,33535.7,53783.14,13304.82,28441.61,43888.99,63470.89,13543.5,29795.6,25837.7,37048.38,7026.6,16812.38,26434.54,38942.01,7610.42,16984.68,24855.16
财务费用,2132.54,5049.1,7601.93,10661.98,3626.86,7555.57,11222.82,14460.72,1517.15,1492.74,1549.24,2328.72,2233.71,5748.16,4048.92,4604.81,-873.26,-576.07,1642.0,2705.03,-1020.55,-595.0,-2645.43,-2622.28,265.87,88.71,-459.05,-1002.74,-1206.7,-1969.45,-584.33,-39.87,1344.26,814.49,-2101.73,-2195.1,137.31,-828.98,-1327.02,-2176.41,153.24,-93.25,868.51,2574.9,4277.39,2679.73,-82.67,879.7,2248.21,485.99,-856.93,-336.15,-712.19,-450.29,3384.65
资产减值损失,308.23,-757.01,-1077.63,2438.2,1754.21,1445.19,1566.7,4721.39,20.99,299.21,763.65,4463.52,-118.23,-65.29,271.63,3088.16,1293.52,1437.49,1552.89,3334.94,920.29,924.51,1915.86,2241.83,1384.67,4083.92,4883.44,3824.27,468.55,1803.98,1729.29,3852.87,2845.07,8802.7,8130.28,12673.49,2788.05,5431.73,8547.27,16149.41,3069.66,2969.62,4452.26,7021.88,1299.67,5964.59,6359.34,14074.07,735.9,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,-7.89,0.0,0.0,0.0,-356.17,134.09,356.17,356.17,356.17,0.0,0.0,0.0,37.1,0.0,-37.1,-37.1,-37.1,0.0,0.0,-15.3,89.18,606.23,329.73,15.13,-22.11,-197.99,-89.75,99.14,-67.07,0.0,0.0,0.0,-112.5,112.5,112.5,112.5,112.5,0.0,0.0,0.0,2.75,-2.75,-2.75,-0.11,-31.03,4287.7,1105.13,2282.19,6690.41,2895.78,-2038.34,-2103.5
