报表日期,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,11949.63,13344.11,14145.17,19199.31,3573.21,10085.4,14759.38,19201.79,5659.94,10340.24,15229.58,20559.3,6239.73,11909.25,18245.12,26559.01,4306.28,10487.49,13316.77,75505.0,15360.6,37081.07,61334.85,113916.95,14414.65,227354.68,408580.1,633445.26,200896.19,412656.81,612776.9,851468.43,182298.19,367393.58,562339.54,761736.45,142992.54,316880.62,548421.17,820630.18,257429.48,565224.98,881790.95,1116595.81,204318.12
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.65,0.0,0.0,0.0,0.0,558.75,0.0,0.0,0.0,0.0,0.0,1801.79,5151.56,7204.09,856.36,2232.42,3851.91,5876.12,1648.83,3809.23,3890.26,4822.7,1330.4,2789.07,3431.84,3631.84,800.0,1300.0,3377.0,7284.87,0.0
收到的其他与经营活动有关的现金,1760.08,898.29,182.34,228.34,40.03,940.21,958.61,1094.37,603.85,1387.88,1504.05,1074.37,41.64,250.74,281.75,378.54,17.69,224.69,99.5,2650.46,2361.54,2985.35,4174.77,8757.92,2427.58,10240.19,14786.36,30471.34,6097.54,14727.98,18519.89,27639.02,6281.29,8384.75,14974.75,22159.9,4195.89,9926.42,14174.24,16431.6,9797.85,11567.65,15436.28,30739.84,8262.91
经营活动现金流入小计,13709.71,14242.39,14327.51,19427.65,3613.24,11025.62,15717.99,20296.16,6263.8,11728.12,16733.63,21633.67,6281.37,12159.99,18622.53,26937.55,4323.97,10712.18,13416.27,78714.21,17722.13,40066.42,65509.62,122674.87,16842.23,239396.66,428518.01,671120.69,207850.1,429617.22,635148.7,884983.57,190228.32,379587.56,581204.56,788719.05,148518.83,329596.12,566027.25,840693.62,268027.33,578092.63,900604.23,1154620.52,212581.03
购买商品、接受劳务支付的现金,3618.31,3217.6,4364.75,5372.98,2354.08,2907.01,5238.99,7676.27,1680.81,3596.27,4993.8,9572.01,4075.68,3251.7,7823.7,12929.9,2198.09,5624.03,7689.44,69918.76,12185.73,29371.78,48430.66,72162.82,57568.46,124335.82,228300.8,334335.48,112834.51,236639.17,386681.61,513774.34,110637.45,226635.46,379714.98,478096.04,75568.56,163012.48,278131.71,368586.22,101210.54,186605.1,370017.68,478959.05,104278.78
支付给职工以及为职工支付的现金,1752.14,2308.23,2706.08,4216.79,1439.57,2512.54,3614.45,4661.71,1418.47,2410.95,3635.72,4778.95,1786.51,2997.29,4572.27,5731.71,2024.95,3669.25,5491.64,5254.98,1770.37,3149.58,4438.68,5695.61,2159.89,64069.32,93360.81,123672.73,62713.74,93499.32,131222.73,170317.08,76825.96,115562.57,156513.09,198911.24,67608.47,99985.56,140215.53,182423.91,83983.49,124357.03,168769.89,212804.62,78412.66
支付的各项税费,2120.43,3542.4,2247.06,2962.48,845.53,1700.09,2456.66,2762.71,488.52,1368.16,2132.73,2677.96,81.82,422.4,1192.65,1633.93,357.0,784.46,1326.33,11599.43,4044.43,6574.9,7960.28,10647.65,7143.07,29772.32,39691.33,51549.68,16846.22,34220.52,42805.6,52894.9,17076.61,30573.59,43095.68,54936.26,10407.35,27053.37,33304.4,40180.41,16170.91,31226.28,42419.34,47707.98,11664.87
支付的其他与经营活动有关的现金,2664.9,4575.63,2820.61,3878.93,957.53,1698.59,2860.54,3616.47,919.03,2691.29,4049.74,3146.01,1688.48,3834.83,4263.7,5735.16,1150.17,2429.22,3463.14,14705.94,4757.6,10368.01,11943.15,14335.11,4666.56,12833.53,22664.54,46072.77,17968.95,37733.08,53649.02,67559.02,15342.4,30925.92,50169.5,69774.41,12427.68,22827.7,32641.48,47159.03,9560.79,23063.47,33445.3,45893.94,14316.78
经营活动现金流出小计,10155.78,13643.87,12138.5,16431.18,5596.72,8818.22,14170.65,18717.16,4506.83,10066.66,14812.0,20174.93,7632.49,10506.22,17852.31,26030.69,5730.21,12506.96,17970.55,101479.1,22758.13,49464.27,72772.77,102841.19,71537.97,231010.99,384017.48,555630.66,210363.42,402092.1,614358.96,804545.34,219882.42,403697.54,629493.26,801717.94,166012.05,312879.11,484293.12,638349.56,210925.72,365251.88,614652.22,785365.59,208673.1
经营活动产生的现金流量净额,3553.93,598.52,2189.01,2996.47,-1983.48,2207.39,1547.34,1579.0,1756.97,1661.46,1921.63,1458.74,-1351.12,1653.77,770.21,906.87,-1406.24,-1794.78,-4554.28,-22764.89,-5036.0,-9397.84,-7263.16,19833.68,-54695.74,8385.67,44500.53,115490.03,-2513.32,27525.13,20789.75,80438.24,-29654.1,-24109.98,-48288.7,-12998.89,-17493.22,16717.01,81734.13,202344.06,57101.61,212840.75,285952.01,369254.94,3907.94
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,3000.0,3130.0,3130.0,23130.0,16000.0,13000.0,161555.6,19674.0,295134.12,330607.48,393007.48,478996.95,96730.83,138836.57,162450.34,256576.38,97504.61,111477.99,121706.87,431506.99,220395.65,376050.44,623870.74,821388.43,190013.88
取得投资收益所收到的现金,3.1,5.55,0.15,30.9,0.0,12.86,92.86,92.86,0.0,202.95,202.95,202.95,0.0,15.33,90.33,90.33,94.5,109.83,297.33,104.26,1.56,1.56,88.3,106.15,23.98,118.93,323.17,1029.56,1463.17,2019.76,8960.78,10307.22,1291.97,2053.14,24643.37,28198.44,703.52,1252.31,1658.04,6928.48,1594.98,9854.21,12667.06,14618.03,1737.85
处置固定资产、无形资产和其他长期资产所收回的现金净额,318.15,16.97,0.39,0.39,0.0,0.0,1.67,5.7,7.65,12.0,12.71,12.1,0.0,0.01,0.01,10.0,0.0,0.0,18.86,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.09,27.23,601.26,612.03,583.24,3858.76,4306.89,4477.91,4512.74,-2.23,27.6,460.77,415.43,20.69,45.39,63.34,114.58,326.62
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,0.0,47.6,47.6,124.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83266.05,76354.16,150770.21,0.0,0.0,0.0,0.0,0.0,1224.2,1224.2,1224.2,9750.16
收到的其他与投资活动有关的现金,0.0,0.0,38.0,90.0,0.0,0.0,0.0,321.8,610.0,2300.0,2300.0,674.64,0.0,990.0,1250.0,1862.19,0.0,17.0,17.0,0.0,0.0,0.0,800.0,2165.29,0.0,1099.44,1099.44,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0
投资活动现金流入小计,321.25,22.52,38.54,121.29,0.0,12.86,94.53,420.36,617.65,2514.95,2515.66,2889.69,0.0,1005.34,1340.34,1962.52,94.5,126.83,333.19,4684.26,3001.56,3179.16,4065.9,25526.08,16023.98,14218.36,162978.21,22962.65,296624.52,333228.49,402580.29,489887.4,101883.56,228462.65,267925.78,440057.76,98205.9,112757.9,123825.69,438850.91,222011.32,387174.25,637825.35,837345.25,218828.5
