报表日期,2016-12-31,2017-12-31,2018-12-31,2019-09-30
货币资金,426090.94,922287.64,984160.88,1025702.21
交易性金融资产,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0
应收票据及应收账款,119688.63,122608.45,119512.45,141717.98
应收票据,0.0,0.0,0.0,0.0
应收账款,119688.63,122608.45,119512.45,141717.98
应收款项融资,0.0,0.0,0.0,0.0
预付款项,0.0,7.41,7.0,62.84
其他应收款(合计),82549.86,63403.07,45074.61,27934.96
应收利息,0.0,844.86,0.0,0.0
应收股利,0.0,0.0,0.0,0.0
其他应收款,0.0,0.0,0.0,0.0
买入返售金融资产,0.0,0.0,0.0,0.0
存货,0.0,0.0,0.0,0.0
划分为持有待售的资产,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0
其他流动资产,11273.24,6636.43,4857.74,2466.6
流动资产合计,639602.66,1114943.0,1153612.67,1197884.58
发放贷款及垫款,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,0.0,0.0
投资性房地产,0.0,0.0,0.0,0.0
在建工程(合计),20888.89,18632.9,9607.07,8074.71
在建工程,0.0,0.0,0.0,0.0
工程物资,0.0,0.0,0.0,0.0
固定资产及清理(合计),13782486.97,13531119.98,13275307.1,13053218.43
固定资产净额,0.0,0.0,0.0,0.0
固定资产清理,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0
无形资产,2990475.45,2987109.22,3003243.4,4310203.15
开发支出,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0
长期待摊费用,0.0,0.0,0.0,0.0
递延所得税资产,4632.12,4304.15,2595.61,0.0
其他非流动资产,575948.35,116604.21,126609.31,138584.99
非流动资产合计,17374431.78,16657770.46,16417362.49,17510081.29
资产总计,18014034.44,17772713.46,17570975.17,18707965.86
短期借款,380000.0,350000.0,0.0,0.0
交易性金融负债,0.0,0.0,0.0,0.0
应付票据及应付账款,95932.86,112102.02,74127.33,51106.57
应付票据,0.0,0.0,0.0,0.0
应付账款,95932.86,112102.02,74127.33,51106.57
预收款项,24619.87,10898.82,17512.91,27898.43
应付手续费及佣金,0.0,0.0,0.0,0.0
应付职工薪酬,33.51,34.34,41.81,43.83
应交税费,9312.64,45453.93,58523.25,165606.22
其他应付款(合计),153901.28,215519.48,149844.27,243761.14
应付利息,89121.36,58541.7,53378.61,55181.93
应付股利,1959.44,13057.58,28928.91,47777.92
其他应付款,0.0,0.0,0.0,0.0
预提费用,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0
一年内到期的非流动负债,157650.0,151800.0,210250.0,150850.0
其他流动负债,0.0,0.0,0.0,0.0
流动负债合计,821450.16,885808.58,510299.56,639266.18
长期借款,2696386.79,2382475.24,2172225.24,2029875.24
应付债券,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0
递延所得税负债,32069.47,30401.56,28733.66,27482.73
长期递延收益,0.0,51.2,5257.66,9733.83
其他非流动负债,507868.91,35725.8,37137.0,28224.0
非流动负债合计,3236325.17,2448653.8,2243353.56,2095315.81
负债合计,4057775.32,3334462.39,2753653.12,2734581.99
实收资本(或股本),13062396.12,13062396.12,4000000.0,4282085.46
资本公积,2058.0,2058.0,9064454.12,10010433.99
减：库存股,0.0,0.0,0.0,0.0
其他综合收益,0.0,0.0,0.0,0.0
专项储备,0.0,0.0,0.0,0.0
盈余公积,107950.3,198484.72,300964.47,300964.47
一般风险准备,0.0,0.0,0.0,0.0
未分配利润,783854.69,1175312.24,1451903.46,1379899.96
归属于母公司股东权益合计,13956259.11,14438251.08,14817322.05,15973383.88
少数股东权益,0.0,0.0,0.0,0.0
所有者权益(或股东权益)合计,13956259.11,14438251.08,14817322.05,15973383.88
负债和所有者权益(或股东权益)总计,18014034.44,17772713.46,17570975.17,18707965.86
