报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,5875.0,4280.82,12895.6,15103.76,23288.77,52012.61,58563.26,36308.22,53305.59,33416.44,18575.84,190098.96,159255.9,122764.58,99925.09,92211.31,65090.76,59613.3,73135.47,65707.18,77885.88,60622.24,117230.73,81542.37,141714.69,99984.21,224592.63,192894.27,233621.32,459281.93,581656.68,505197.18,661786.9,636694.94,854604.03,721838.82,697470.86,720894.81,770790.55,843927.67,1451548.46,1647847.56,1933575.29,1812191.37,1870033.83
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,359.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613133.28,604935.97,657711.66,692453.69,845346.24,819712.59,1010665.48,894319.02,837914.6,853236.24,1101005.82
应收票据,355.0,0.0,3322.39,3419.92,7434.13,319.0,2812.02,2072.18,2726.53,3315.97,33451.26,28291.78,16715.51,19230.42,9517.48,5233.28,6865.7,5281.91,5507.95,4693.83,4929.84,12190.41,15759.97,10713.53,10111.93,11985.44,37261.12,41308.44,78128.13,101117.65,153318.57,180973.08,174226.22,230031.63,220556.9,176038.68,209087.23,291592.08,409082.07,430702.5,531773.9,509334.69,455340.08,527500.09,497663.93
应收账款,253.79,2637.61,11803.2,15992.09,8453.57,6126.28,8183.61,17594.07,17640.75,38408.18,18733.9,35508.79,34712.43,31343.75,36957.88,44212.88,36743.81,39705.96,23612.14,35478.55,39951.76,39928.36,50747.9,70318.39,70867.0,107741.42,170842.17,174668.14,256148.64,174887.63,229969.87,260034.24,326223.39,334901.18,392576.38,428897.29,448624.43,400861.61,436264.17,389010.09,478891.58,384984.33,382574.53,325736.15,603341.89
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17401.79,52518.12,82905.22,60081.98,31582.74
预付款项,967.87,23175.71,18187.64,15681.36,10279.17,8120.12,5943.19,9685.48,6359.78,6367.58,6113.39,7056.68,4725.62,3985.86,2463.14,12131.73,6467.71,3618.69,8159.19,7286.09,7024.54,9728.65,5516.52,5677.75,13474.64,14115.4,16577.87,53791.2,23753.72,31449.86,72778.6,87186.37,35966.45,54532.81,44367.29,93099.86,127002.68,96185.25,60868.55,106545.67,120341.07,144563.63,103140.24,121036.7,123813.18
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32421.15,46771.57,33379.11,35825.52,71523.22,66181.5,38845.24,36371.36,29599.76,32409.03,67640.26
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,0.0,0.0,0.0,327.66,673.09,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,2800.0,2800.0,2800.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2906.53,8041.21,1314.58,4777.03,2054.17,6437.19,4142.15,4142.15,4142.15,4016.17,11970.94
其他应收款,119.36,1825.81,1456.22,2704.61,3259.27,4596.78,4553.71,5355.19,6457.27,10299.21,7066.05,6544.6,6077.54,5868.8,8680.48,6628.26,6475.24,5629.23,4245.41,3893.76,4178.56,3922.56,6115.99,15706.07,34962.84,40850.9,20654.92,20007.95,7996.78,6921.41,5904.7,7495.78,6500.18,7251.51,29514.62,38724.77,32064.53,0.0,69469.05,0.0,34029.99,0.0,25457.61,0.0,55669.32
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,3021.26,18041.25,18517.83,22825.19,24607.23,19768.96,21036.86,36949.59,44578.02,35189.42,41364.45,41533.44,69438.77,77553.41,76486.32,79292.65,83875.64,79227.29,76691.11,81674.8,97694.39,96834.41,111383.1,129375.74,167042.69,219223.32,153416.84,169334.2,100691.73,178147.22,121341.59,170092.2,156199.28,203057.02,238039.82,422395.07,457199.24,484572.93,428254.41,513504.1,553250.23,600038.85,635614.48,801524.94,856021.0
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.78,0.0,0.0,0.0
