报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
一、营业总收入,40569.13,42439.92,54275.76,71620.72,51989.16,83060.77,18668.12,47047.51,78580.39,110319.5,29009.76,55147.27,89593.81,142303.34,36365.65,75763.81,120496.26,183487.76,47649.44,109307.07,174248.51,245998.55,47549.68,126593.31,208284.56,314968.97,77718.93,176018.71,292298.6
营业收入,40569.13,42439.92,54275.76,71620.72,51989.16,83060.77,18668.12,47047.51,78580.39,110319.5,29009.76,55147.27,89593.81,142303.34,36365.65,75763.81,120496.26,183487.76,47649.44,109307.07,174248.51,245998.55,47549.68,126593.31,208284.56,314968.97,77718.93,176018.71,292298.6
二、营业总成本,32851.58,35523.29,45653.08,59345.39,40037.52,63300.42,14357.68,34951.0,53337.7,78598.29,22013.71,42599.36,68414.24,105463.66,30863.57,60039.06,95535.2,144582.2,38751.7,86028.9,135752.69,190361.52,37719.89,93885.18,155226.19,240164.67,64545.36,137686.09,225706.89
营业成本,21720.34,22824.0,29953.18,40444.77,25547.62,43008.55,8868.78,23719.34,36302.15,53391.64,14990.32,26538.0,42340.13,68673.11,18256.93,40905.59,64765.61,98167.41,26570.65,60963.76,96553.57,134058.42,24870.4,65086.06,107408.96,168349.96,44404.74,97018.18,160978.89
营业税金及附加,240.08,190.58,445.47,465.42,963.41,1208.47,236.92,364.79,613.82,1575.64,149.75,655.81,1071.47,1597.55,428.52,1001.88,1403.18,1974.99,541.29,1343.3,1853.02,2313.33,698.66,1413.42,1853.36,2405.96,737.51,1242.69,1692.12
销售费用,2557.59,2490.77,2639.99,3100.75,2551.24,3658.71,751.92,1794.66,2877.42,4304.93,916.17,2253.64,3607.21,5353.27,1245.35,2787.29,4305.89,7436.94,1641.96,3754.57,5962.53,8752.93,2016.78,4199.25,6579.88,8425.29,1914.15,3956.43,6410.45
管理费用,7618.9,9543.46,11412.39,14635.2,12637.49,17198.21,4058.24,9318.85,14093.06,21292.37,5737.8,11661.42,18211.81,23770.39,6774.92,13768.39,15095.57,20693.46,5660.93,12290.76,19081.57,26428.67,5511.64,12883.02,20886.78,30719.67,9861.01,19059.81,31180.46
财务费用,475.8,272.61,1068.58,205.57,-1179.18,-1739.99,441.82,-397.15,-451.36,-2299.79,219.67,1650.52,3339.97,5173.81,4423.78,2019.8,-138.5,306.52,1008.85,-163.98,-1162.88,-444.0,-862.16,-573.51,1484.13,4370.35,-716.11,19.45,-274.78
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10141.25,15517.77,3697.58,7840.5,13464.87,19252.18,5484.57,10876.95,17013.08,25893.43,8344.07,16389.51,25719.75
资产减值损失,238.87,201.87,133.47,493.68,-483.07,-33.52,353.0,150.51,-97.39,333.49,0.0,-160.03,-156.36,895.54,-265.93,-443.88,-37.79,485.11,-369.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,50.26,-56.22,32.37,6.99,0.0,-95.66,-31.26,-1.04,0.0,0.0,0.0,-322.02,177.96,322.02,250.85,1032.98,-573.54,342.41,-710.96,-1242.01,383.21,483.17,461.64,531.05,0.0,0.0,0.0
投资收益,0.0,0.0,22.57,-94.89,244.17,278.65,-79.65,-153.32,-176.98,-227.85,16.09,16.09,16.09,-26.46,-96.85,8.32,143.11,651.25,1260.05,1714.44,832.63,-124.27,-577.98,-975.1,-817.31,-998.22,-8.79,1545.17,2548.01
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.93,0.0,147.4,147.4,208.39,0.0,0.0,-109.35
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,7717.56,6916.65,8695.51,12124.22,12228.18,20046.0,4230.79,11847.52,25034.45,31492.31,7012.14,16477.89,26196.91,41958.92,6861.11,17648.36,27389.67,46138.69,10289.91,25957.65,41245.87,62366.77,11934.96,36001.36,57771.09,81689.44,16515.29,48172.88,77256.62
加:营业外收入,1268.89,1490.06,1491.41,1180.52,826.48,1041.45,149.15,472.93,648.52,1067.12,294.42,2.07,2.27,386.27,63.32,98.11,38.08,0.0,4.0,4.2,0.32,0.34,1.75,1.75,4.13,2.38,15.06,26.5,227.02
减：营业外支出,30.6,25.37,107.28,54.57,2303.25,1132.01,0.0,0.83,0.94,12.5,1.3,14.37,27.59,137.19,2.94,3.58,62.68,76.51,5.16,6.81,8.93,8.44,87.69,247.74,250.98,256.2,1.28,6.89,40.61
其中：非流动资产处置损失,1.34,0.97,8.46,13.17,0.0,0.0,0.0,0.81,0.92,7.48,0.0,3.08,11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,8955.85,8381.34,10079.63,13250.17,10751.42,19955.43,4379.94,12319.61,25682.03,32546.93,7305.26,16465.58,26171.59,42208.0,6921.49,17742.89,27365.07,46062.18,10288.75,25955.04,41237.26,62358.67,11849.02,35755.37,57524.24,81435.62,16529.07,48192.5,77443.03
