报表日期,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,32419.48,36496.09,25440.44,36725.42,10873.47,28111.87,46928.7,63208.12,17993.92,39802.5,62185.21,79561.07,19780.68,44679.7,62031.19,78761.91,15259.45,36511.56,56581.06,78678.43,18361.85,41194.57,62520.2,83730.99,20726.22,46356.89,74029.19,102006.95,31207.02,60753.91,88101.79,114725.9,37777.05,72256.12,105408.24,137778.89,34712.96,71920.54,105749.17,140069.01,33408.03,67863.08,97160.46,126905.36,27089.42,53461.24
营业收入,32419.48,36496.09,25440.44,36725.42,10873.47,28111.87,46928.7,63208.12,17993.92,39802.5,62185.21,79561.07,19780.68,44679.7,62031.19,78761.91,15259.45,36511.56,56581.06,78678.43,18361.85,41194.57,62520.2,83730.99,20726.22,46356.89,74029.19,102006.95,31207.02,60753.91,88101.79,114725.9,37777.05,72256.12,105408.24,137778.89,34712.96,71920.54,105749.17,140069.01,33408.03,67863.08,97160.46,126905.36,27089.42,53461.24
二、营业总成本,30107.09,32374.41,22668.2,32318.19,10471.14,25619.79,41487.29,56585.97,15454.61,33795.79,51682.37,68224.94,16811.06,40067.72,56055.37,72495.15,13722.68,33296.77,52979.51,74620.72,16773.35,37832.15,58377.21,79631.79,17962.76,41108.27,68103.66,94591.92,26921.25,52533.04,78197.75,101309.73,30656.37,59061.86,89961.77,129181.62,31136.92,64376.3,96135.85,163367.25,30037.84,59561.44,87064.77,113164.52,23183.04,47355.2
营业成本,24345.99,25521.63,18027.32,25660.94,8547.15,21090.46,34249.77,45519.72,12680.2,27472.27,42745.83,55887.98,14448.14,34096.65,47455.1,60415.46,11401.1,26923.18,42410.69,59038.89,13667.04,30769.49,47950.9,64008.97,14689.02,32595.96,53702.24,74671.95,22457.33,43114.35,62550.3,80105.67,24336.69,47393.0,71083.03,94140.34,24889.04,50690.25,75160.75,99183.03,22436.54,44987.79,64325.51,84738.68,17688.38,34699.02
营业税金及附加,19.44,21.79,17.27,19.19,0.0,5.21,14.4,43.99,134.09,304.6,485.24,622.07,145.88,288.59,365.65,497.7,46.39,238.72,405.81,490.2,92.65,244.58,398.85,531.87,136.29,299.5,468.89,626.15,263.97,487.44,730.87,1062.36,399.07,742.62,1059.36,1360.63,328.03,746.74,1077.08,1423.38,332.32,657.37,931.06,1239.22,242.13,577.45
销售费用,2834.76,2876.1,1768.65,2700.3,552.25,1708.91,2559.97,4128.42,724.61,1791.43,2715.05,4373.05,774.42,2056.74,2909.79,3966.23,692.32,1588.17,2623.35,4647.67,840.66,1998.57,3180.83,4652.66,1071.35,2614.46,4021.03,5622.08,1288.54,3013.71,4946.88,6437.84,1612.76,3689.69,5418.23,7753.95,1335.19,3781.06,5972.22,8562.75,2196.42,4759.13,7420.57,10519.17,2249.8,5241.34
管理费用,2109.96,2784.27,2003.72,2970.99,1041.22,1920.43,3196.41,5168.58,1500.1,3316.15,4923.97,6419.66,1775.91,3810.26,5811.85,7775.05,1967.29,4626.06,7152.68,9599.06,2128.16,4471.98,6705.79,9596.81,2032.12,4320.38,7344.26,11146.66,2792.94,5643.14,9217.11,13762.08,3251.97,6427.54,10757.4,17057.82,3877.57,8012.04,9841.81,13430.27,3300.54,6347.76,8125.97,11036.26,2174.17,4427.75
财务费用,593.73,1066.67,452.0,695.51,198.65,541.58,1043.5,1422.22,189.22,502.85,441.76,668.79,-585.56,-541.95,-852.92,-726.38,-393.65,-248.95,-46.43,167.23,216.65,6.17,101.32,254.92,-84.95,-100.51,-349.2,-448.46,193.45,254.14,439.67,172.85,288.12,371.55,1247.52,2094.19,337.15,846.08,1177.49,1772.75,884.4,972.57,3304.77,1494.87,27.67,414.45
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2786.42,4393.49,836.98,1836.82,2956.9,4136.31,800.89,1995.2
资产减值损失,203.21,103.94,399.25,271.26,131.85,353.19,423.23,303.04,226.38,408.49,370.52,253.39,252.27,357.44,365.89,567.08,9.22,169.6,433.4,677.67,-171.82,341.35,39.52,586.56,118.94,1378.48,2916.43,2973.53,-74.99,20.26,312.93,-231.07,767.76,437.46,396.22,6774.69,369.95,300.12,120.08,34601.58,50.64,0.0,0.0,0.0,0.0,0.0
