报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2020-03-31
一、营业总收入,13852.22,30378.74,45989.18,62509.69,15843.66,35206.39,65083.97,102536.89,21895.5,58907.29,97364.78,147412.5,52690.93,125245.66,188015.73,252242.97,69237.52,147848.83,219527.98,305311.8,75350.46,164068.18,242637.49,336902.07,91950.47,196146.61,284065.17,416169.36,106534.06,227754.87,386236.97,504019.09,144474.68,318228.31,477028.52,654308.02,177183.53,363755.75,595125.84,838436.89,242839.33,538151.14,784254.03,1177047.97,304138.06,609816.58,875107.88,1236783.82,265732.39,558212.52,818236.2,251118.32
营业收入,13852.22,30378.74,45989.18,62509.69,15843.66,35206.39,65083.97,102536.89,21895.5,58907.29,97364.78,147412.5,52690.93,125245.66,188015.73,252242.97,69237.52,147848.83,219527.98,305311.8,75350.46,164068.18,242637.49,336902.07,91950.47,196146.61,284065.17,416169.36,106534.06,227754.87,386236.97,504019.09,144474.68,318228.31,477028.52,654308.02,177183.53,363755.75,595125.84,838436.89,242839.33,538151.14,784254.03,1177047.97,304138.06,609816.58,875107.88,1236783.82,265732.39,558212.52,818236.2,251118.32
二、营业总成本,11177.64,24435.6,38291.75,52574.94,13106.28,28916.97,56094.43,87225.09,18857.52,48821.58,80179.24,123725.23,43545.6,105199.88,157346.73,213369.17,58308.9,125361.67,187171.54,269977.16,63301.51,138877.15,207403.33,297717.98,79287.37,171661.79,247996.72,372484.37,90776.28,196558.91,334093.56,438234.77,123299.89,271257.31,406002.7,566765.52,149025.86,306754.63,500572.56,735027.97,204560.54,462240.8,672779.74,1052472.97,260833.02,530245.44,757155.86,1123518.19,230010.22,506828.58,749182.56,237083.75
营业成本,9849.84,21379.86,33270.18,44950.56,11072.62,24183.86,47623.2,72416.88,14627.09,39029.83,63806.07,96693.77,36151.29,87135.54,130833.13,173328.07,49548.58,104913.22,155276.39,219947.96,52869.71,113284.32,168483.05,238441.73,63905.58,136290.04,197425.29,298987.65,75520.5,158850.0,268172.02,354475.72,99992.6,219396.91,328688.09,453070.78,122184.23,248016.3,408992.3,589850.8,168631.57,377213.77,552767.61,842764.58,217281.39,435897.05,626032.72,898507.23,190826.97,406240.53,599017.4,189690.7
营业税金及附加,49.69,131.5,262.34,395.78,87.04,185.23,353.53,575.65,236.63,563.35,896.73,1329.75,317.62,668.59,981.01,1393.43,509.02,957.47,1491.76,2206.33,675.26,1301.94,2075.24,2752.12,754.71,1476.09,2183.39,3088.92,1022.59,1921.67,2677.98,3384.0,920.76,1989.82,2826.09,3730.0,1473.1,2418.19,3200.38,6290.33,1260.73,2251.59,3190.59,7017.73,2008.31,3550.05,4641.65,7319.54,2070.04,3462.67,4616.19,2029.66
销售费用,415.12,997.45,1614.41,2479.65,565.31,1438.53,2446.55,4962.88,1367.96,3104.65,5081.92,8792.42,2528.33,6961.0,10544.55,12725.55,3229.05,7426.7,10421.49,16112.91,3611.8,8348.66,13052.0,19502.25,4960.41,10801.39,15684.87,26187.16,5552.89,12927.16,21853.53,29940.4,7867.3,15522.91,24249.88,32849.96,7790.12,16543.88,26816.24,40290.37,10553.91,22743.84,32071.69,53969.64,12040.77,23675.16,33950.56,64153.79,9651.17,24416.9,37765.98,12487.25
管理费用,701.54,1502.98,2539.81,3791.76,1049.65,2330.64,4142.16,6529.09,2469.16,5259.13,8648.76,13993.07,3396.2,7461.16,11337.39,19860.45,3936.94,8730.82,14640.99,22765.22,4942.86,11840.17,18852.1,27485.84,6867.68,14416.3,23186.68,33962.95,7774.16,18110.44,33464.66,38541.61,11963.61,28961.7,44361.5,66256.79,15450.05,33887.51,54062.87,83551.7,21626.38,50994.51,72223.88,127973.62,25619.82,62701.38,44663.75,90254.92,10872.21,39081.1,53919.47,14040.33
财务费用,161.45,282.46,463.65,767.08,246.85,579.95,1072.99,1819.43,613.69,1031.92,1456.4,2109.36,825.76,2158.93,2594.18,3830.01,888.05,2449.67,4650.13,7529.34,972.74,3282.1,4008.2,5917.15,2638.38,4355.15,5584.34,6801.79,429.36,1566.49,4258.88,5945.07,1105.15,2840.74,3346.01,7691.94,1106.9,3873.01,5361.64,5895.66,2023.9,6825.48,9217.03,16419.26,3216.56,2497.51,3617.73,1793.48,3946.57,3648.74,5794.64,5094.51
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41544.57,55027.0,12128.19,29978.63,48068.9,13741.3
资产减值损失,0.0,141.35,141.35,190.12,84.81,198.77,456.0,921.16,-457.02,-167.3,289.36,806.86,326.4,814.67,1056.47,2231.66,197.27,883.8,690.78,1415.39,229.14,819.96,932.75,3618.89,160.63,4322.83,3932.15,3455.91,476.78,3183.16,3666.5,5947.97,1450.48,2545.22,2531.14,3166.06,1021.47,2015.74,2139.12,9149.1,464.04,2211.61,3308.94,4328.14,666.18,1924.29,2704.87,6462.23,515.07,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-783.91,252.31,329.36,380.94,146.4,-57.14,-121.7,80.19,319.72,-12.79,410.95,444.33,405.38,-99.24,-98.69,-456.16,-184.02,-79.19,-113.31,-232.76,-20.67
投资收益,0.0,0.0,0.0,0.0,0.0,0.0,51.15,52.36,24.95,156.51,420.02,432.49,251.54,387.65,563.8,667.08,300.4,528.38,813.39,0.0,0.0,0.0,-15.08,23564.15,0.0,4452.63,4452.63,4446.78,0.0,3180.4,3180.4,3180.4,0.0,0.0,0.0,-86.97,0.0,164.44,547.79,1880.13,998.06,1650.84,4091.96,7872.77,1649.34,4053.11,5363.34,7326.88,776.58,1859.88,2566.08,1386.98
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.49,0.0,0.0,0.0,667.08,300.4,528.38,813.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.97,0.0,-34.11,-1.87,-6.7,22.05,268.49,175.91,235.54,-38.49,-38.25,-35.29,696.25,3.96,-183.13,-194.62,-29.3
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2063.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,2674.57,5943.14,7697.44,9934.74,2737.37,6289.41,9040.69,15364.16,3062.94,10242.23,17605.56,24119.76,9396.88,20433.42,31232.8,39540.89,11229.02,23015.53,33169.83,35334.64,12048.95,25191.02,35219.07,62748.24,12663.1,28937.45,40521.07,48131.76,15757.77,34376.35,55323.81,68180.81,21427.1,47300.36,71406.76,87601.92,28100.53,57043.85,95181.26,105608.77,39264.06,79122.91,115530.79,135584.89,45664.81,85061.6,125820.01,128082.62,37050.91,55165.15,73380.71,16758.38
加:营业外收入,262.31,297.35,1972.95,3279.31,866.63,1385.1,2862.43,2044.58,1321.41,1557.65,2145.54,2421.61,325.53,734.61,858.2,748.62,177.56,479.49,735.08,4635.32,438.17,705.05,1771.87,2007.07,1951.8,3150.57,3656.84,4800.85,364.72,863.48,1634.66,2712.09,697.53,1322.05,2408.65,3789.56,719.77,3676.76,5509.03,6217.59,1117.04,885.68,4054.95,5706.13,615.95,609.77,1037.8,9364.04,450.71,1204.78,1481.19,2847.5
减：营业外支出,55.33,81.94,156.77,191.83,1.39,4.78,56.1,156.86,14.75,52.04,57.12,39.92,7.34,43.04,97.2,493.32,55.6,88.15,101.17,420.95,50.91,98.88,122.26,185.77,22.84,104.86,234.06,2062.9,11.96,46.28,155.55,982.48,109.96,147.77,589.25,286.09,13.65,652.81,1833.52,1743.21,630.21,628.44,1516.39,548.0,489.65,103.06,196.55,1073.73,68.92,767.39,1567.91,107.24
其中：非流动资产处置损失,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.07,0.0,0.0,0.0,334.09,0.0,38.63,38.63,285.19,0.0,21.62,21.67,66.86,11.43,46.99,46.99,0.0,0.0,0.0,14.78,0.0,0.05,0.0,0.0,138.23,1.08,252.78,362.47,959.67,139.15,173.81,236.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,2881.55,6158.55,9513.62,13022.22,3602.61,7669.73,11847.01,17251.88,4369.59,11747.84,19693.98,26501.46,9715.07,21125.0,31993.79,39796.18,11350.98,23406.86,33803.74,39549.01,12436.21,25797.19,36868.69,64569.54,14592.06,31983.15,43943.86,50869.7,16110.54,35193.54,56802.92,69910.42,22014.66,48474.64,73226.15,91105.39,28806.65,60067.8,98856.77,110083.14,39750.89,79380.15,118069.35,140743.02,45791.11,85568.31,126661.27,136372.93,37432.71,55602.54,73293.98,19498.64
减：所得税费用,0.0,2032.32,3289.74,3235.62,754.0,1732.52,2383.74,2591.81,432.65,1808.3,3023.44,3738.78,1445.75,3337.5,5117.61,5699.07,1573.05,3441.29,4831.0,6197.98,1700.44,3154.83,4935.63,9699.8,1542.79,5168.26,7625.69,10503.15,2405.45,5945.22,10374.71,11144.14,3252.21,7802.31,9450.71,16112.35,4849.07,11261.26,16049.01,17203.58,7706.89,15358.85,20686.62,25385.57,7011.21,14407.43,20418.02,22581.71,5878.9,9577.19,12982.97,3452.73
五、净利润,2881.55,4126.23,6223.87,9786.6,2848.61,5937.22,9463.27,14660.08,3936.94,9939.54,16670.53,22762.67,8269.32,17787.5,26876.18,34097.12,9777.93,19965.57,28972.74,33351.02,10735.76,22642.36,31933.06,54869.74,13049.27,26814.89,36318.17,40366.55,13705.09,29248.33,46428.21,58766.28,18762.45,40672.33,63775.44,74993.04,23957.58,48806.54,82807.76,92879.56,32044.01,64021.3,97382.73,115357.45,38779.9,71160.88,106243.25,113791.22,31553.81,46025.35,60311.01,16045.91
归属于母公司所有者的净利润,2881.55,4126.23,6223.87,9786.6,2848.61,5938.36,9467.63,13349.17,3552.72,8848.57,14814.18,20004.86,7517.05,16144.13,24519.23,31070.64,9058.77,18467.44,26823.49,29594.42,9894.99,20658.6,29090.19,51674.17,12997.52,26444.18,35441.4,38841.42,13436.52,28614.9,44737.81,56658.94,17861.58,38668.14,61362.15,71370.59,23576.74,47302.41,79866.24,90104.69,31331.51,62404.37,95115.16,112744.49,37671.49,70151.27,105058.53,111644.27,30895.96,45615.38,60030.86,16345.29
少数股东损益,0.0,0.0,0.0,0.0,0.0,-1.14,-4.36,1310.91,384.22,1090.97,1856.35,2757.82,752.27,1643.37,2356.95,3026.47,719.16,1498.13,2149.25,3756.6,840.77,1983.76,2842.87,3195.57,51.75,370.71,876.76,1525.13,268.57,633.43,1690.4,2107.34,900.87,2004.19,2413.29,3622.44,380.84,1504.13,2941.52,2774.88,712.5,1616.93,2267.57,2612.97,1108.41,1009.61,1184.72,2146.95,657.85,409.97,280.15,-299.38
基本每股收益(元/股),0.09,0.131,0.198,0.31,0.09,0.19,0.301,0.42,0.1,0.21,0.348,0.48,0.1766,0.3794,0.5760000000000001,0.73,0.213,0.31,0.45,0.5,0.17,0.35,0.49,0.87,0.2182,0.25,0.331,0.36,0.12,0.26,0.409,0.52,0.16,0.35,0.55,0.64,0.21,0.41,0.68,0.76,0.26,0.51,0.78,0.93,0.31,0.57,0.86,0.92,0.2531,0.37,0.49,0.13
稀释每股收益(元/股),0.0,0.131,0.0,0.31,0.09,0.19,0.301,0.0,0.1,0.21,0.348,0.48,0.1766,0.3794,0.5760000000000001,0.73,0.213,0.31,0.45,0.5,0.17,0.35,0.49,0.86,0.21600000000000003,0.24,0.32799999999999996,0.36,0.12,0.26,0.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.25,0.51,0.77,0.92,0.31,0.57,0.86,0.92,0.2531,0.37,0.49,0.12
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.63,0.02,0.0,-15.41,32.43,-135.2,10.57,174.67,104.68,-552.91,59.47,365.18,522.52,525.97,-32.05,-866.39,-1111.37,-1602.55,-10.09,-55.28,-1507.96,-4457.36,-4088.6,-2423.91,-2514.76,6232.2,-323.31,374.0,5723.11,6283.7,-449.47,-212.83,-6095.18,3296.77,5988.49,-4803.4,8417.75,974.54,-10993.71,-2429.03,-2985.58,-1504.31
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16645.9,22762.69,8269.32,17772.09,26908.61,33961.92,9788.5,20140.24,29077.43,32798.12,10795.24,23007.54,32455.57,55395.72,13017.22,25948.5,35206.79,38764.0,13695.0,29193.04,44920.24,54308.92,14673.84,38248.42,61260.68,81225.24,23634.28,49180.54,88530.87,99163.27,31594.53,63808.47,91287.54,118654.22,44768.39,66357.48,114661.0,114765.76,20560.1,43596.32,57325.43,14541.6
