报表日期,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,3561.2,7614.56,18487.38,3759.94,9692.36,16434.31,24760.41,6534.99,15108.54,24953.96,37416.96,7754.7,18749.27,32255.26,45428.29,9007.43,22974.27,36294.62,51571.94,12523.58,29074.86,48877.35,66672.78,17904.8,38612.22,61308.17,84466.67,21891.19,52507.22,78437.97,112027.46,26396.14,68308.94,106193.29,146065.65,37714.45,84088.84,130009.35,182716.26,44164.72,100847.19,157124.27,219968.34,48615.6
收到的税费返还,108.58,296.24,407.57,0.0,0.0,0.0,62.15,201.97,201.97,201.97,1010.7,0.0,0.0,968.88,1861.76,143.49,194.26,1398.48,2496.72,0.0,0.0,1561.09,2063.04,2067.54,2067.54,3992.09,5541.07,0.0,0.0,3751.51,3751.51,2999.21,3005.41,5560.05,7105.31,0.0,2318.48,2447.61,6357.81,0.0,1335.82,3602.95,6592.62,0.0
收到的其他与经营活动有关的现金,262.96,1579.36,852.09,287.0,355.36,511.17,842.13,276.48,729.86,971.0,789.6,283.72,2112.14,2192.59,2388.05,585.26,1500.17,1518.8,2246.31,138.09,2507.46,1582.32,2044.06,512.44,1160.28,1481.7,1658.98,6048.11,6529.59,6794.81,1305.36,205.96,1387.95,1226.77,17210.49,209.68,642.41,1616.38,4894.98,604.82,1263.2,2258.36,4565.8,1424.54
经营活动现金流入小计,3932.74,9490.15,19747.04,4046.93,10047.72,16945.47,25664.69,7013.44,16040.38,26126.93,39217.26,8038.42,20861.41,35416.72,49678.1,9736.18,24668.69,39211.9,56314.96,12661.67,31582.32,52020.76,70779.88,20484.77,41840.04,66781.97,91666.72,27939.3,59036.8,88984.29,117084.33,29601.32,72702.3,112980.1,170381.45,37924.13,87049.73,134073.34,193969.05,44769.55,103446.22,162985.57,231126.76,50040.14
购买商品、接受劳务支付的现金,1854.27,2158.85,7080.57,1360.06,2922.57,4616.63,7421.96,1653.23,4242.21,7530.87,12022.25,2010.16,6211.39,11849.34,16086.75,2849.99,9272.85,14625.92,16887.7,3715.31,8323.6,16022.22,21054.42,4555.87,9976.23,15631.82,21431.86,7305.93,14664.19,22675.47,28998.62,9960.3,20865.88,35756.98,44875.24,12707.05,19804.49,33772.76,41480.49,15634.59,28401.93,46200.41,63548.92,18692.97
支付给职工以及为职工支付的现金,301.74,663.58,1162.68,581.63,1051.94,1551.85,2253.11,1053.28,1929.31,2927.16,4153.1,1710.63,3021.74,4371.89,5651.91,1688.34,3149.01,4649.4,6600.47,2712.57,5317.8,8407.57,11190.54,4253.63,7958.89,11520.03,15237.71,5558.76,9577.65,14372.31,18487.29,9917.93,19513.45,27736.43,41682.09,11711.19,23032.12,31120.6,46101.03,13771.79,26007.23,38012.92,50726.43,17840.39
支付的各项税费,352.04,842.13,1794.85,668.82,2274.69,2763.37,4088.85,762.21,2289.02,3572.16,3053.25,2724.1,6029.4,7601.35,8507.85,1886.08,4355.69,5928.48,9307.36,2549.01,5523.05,7877.08,10999.56,1487.18,4698.65,7168.3,11006.32,2376.84,7588.21,11779.19,16412.91,3772.65,9393.25,15112.79,19465.42,3420.42,8414.56,12982.37,17963.63,3376.82,10241.43,16118.63,23442.62,3444.66
支付的其他与经营活动有关的现金,661.92,1523.01,3000.62,574.22,1325.32,2428.28,3307.47,1834.61,3369.18,5584.8,7076.6,1922.81,4005.22,5933.23,7989.95,2256.55,4401.62,6692.58,8204.55,3196.86,7195.82,11293.39,15383.44,3509.44,8096.54,13142.41,23649.12,4071.52,9285.55,14169.8,28796.4,5920.89,23536.54,21162.82,32432.1,5227.25,14977.57,27533.28,36143.15,7707.87,20028.6,29708.05,42944.66,12714.31
经营活动现金流出小计,3169.98,5187.57,13038.71,3184.73,7574.52,11360.13,17071.39,5303.33,11829.73,19614.99,26305.19,8367.7,19267.75,29755.82,38236.46,8680.96,21179.17,31896.38,41000.08,12173.74,26360.27,43600.26,58627.96,13806.12,30730.31,47462.56,71325.01,19313.04,41115.61,62996.77,92695.22,29571.78,73309.12,99769.02,138454.85,33065.91,66228.75,105409.01,141688.3,40491.07,84679.18,130040.01,180662.63,52692.34
经营活动产生的现金流量净额,762.76,4302.58,6708.33,862.21,2473.2,5585.35,8593.29,1710.11,4210.65,6511.94,12912.06,-329.28,1593.66,5660.91,11441.64,1055.22,3489.52,7315.53,15314.89,487.93,5222.05,8420.5,12151.92,6678.65,11109.72,19319.41,20341.71,8626.26,17921.2,25987.52,24389.11,29.54,-606.82,13211.08,31926.6,4858.22,20820.98,28664.33,52280.75,4278.48,18767.04,32945.56,50464.13,-2652.2
