报表日期,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,2040724.78,3288841.56,9387996.3,2802528.9,6216332.65,9538157.28,11496833.49,1075792.29,2285068.54,3867847.7,5573463.13,1740537.97,3819316.58,5974349.89,8057843.38,1643736.92,3422760.52,5245674.24,6890817.89,1569028.56,3464718.84,5370570.57,7205680.26,1523441.47,3020447.34,4608305.01,6193413.65,1420850.97,2994038.25,4742707.37,6437445.62,1483479.04,2997212.07,4410824.21,5748991.9,1460880.18,3094120.84,4987448.73,7116018.09,2010144.8,4346865.67,6759875.31,9046395.79,2192336.63,4507520.47,8213006.79,12082952.88,3507509.55,7210116.14,11161728.83,15105668.21,3610889.54,7405293.0,11770873.68,17125883.38,6484280.95
营业收入,2040724.78,3288841.56,9387996.3,2802528.9,6216332.65,9538157.28,11496833.49,1075792.29,2285068.54,3867847.7,5573463.13,1740537.97,3819316.58,5974349.89,8057843.38,1643736.92,3422760.52,5245674.24,6890817.89,1569028.56,3464718.84,5370570.57,7205680.26,1523441.47,3020447.34,4608305.01,6193413.65,1420850.97,2994038.25,4742707.37,6437445.62,1483479.04,2997212.07,4410824.21,5748991.9,1460880.18,3094120.84,4987448.73,7116018.09,2010144.8,4346865.67,6759875.31,9046395.79,2192336.63,4507520.47,8213006.79,12082952.88,3507509.55,7210116.14,11161728.83,15105668.21,3610889.54,7405293.0,11770873.68,17125883.38,6484280.95
二、营业总成本,2040582.62,3245844.44,7545648.31,2049000.83,4574456.28,7088183.26,9279730.07,1336717.81,2754425.23,4381461.16,6361607.37,1589135.67,3377593.05,5297354.49,7255603.01,1657314.81,3603849.88,5661536.18,7807834.43,1786561.06,3864352.02,5937135.55,7982334.77,1709932.83,3364976.39,5029481.02,6745869.01,1520101.35,3137102.67,4862914.96,6649094.43,1555437.84,3154487.33,4734074.91,6174550.43,1656420.44,3554444.13,5651846.61,7811134.88,1995082.07,4265992.21,6645528.67,8974525.48,2176214.85,4523833.22,8249868.71,12077154.41,3466297.44,7134987.56,11024581.06,15018141.11,3633299.87,7378052.64,11448518.55,16115528.27,4668796.62
营业成本,1796718.6,2850933.15,6826545.01,1869259.23,4225350.32,6574200.1,8654612.23,1221164.2,2504224.1,3992297.18,5775993.94,1443016.61,3096478.49,4839820.14,6630956.83,1515619.63,3328295.54,5243335.24,7188881.31,1619563.7,3506676.21,5399423.98,7244203.53,1529789.78,3059108.18,4581857.27,6142553.81,1347552.76,2808469.35,4366443.92,5985221.86,1401849.25,2875856.25,4268618.75,5510822.75,1488460.12,3267183.39,5215734.23,7186580.04,1855585.62,3961548.67,6177442.55,8260463.66,2019323.86,4210874.0,7612146.78,11060488.29,3115499.64,6423225.25,9942067.97,13482966.13,3289244.83,6712898.74,10416054.06,14692502.32,4330939.79
营业税金及附加,34134.06,56138.23,92165.26,25747.6,51142.17,76942.1,91265.31,11000.44,24437.6,36826.18,52289.3,9150.54,18700.73,28771.17,77290.61,10773.79,22547.42,34337.91,46027.61,10664.35,22363.99,32989.21,40893.73,5000.17,8656.05,11739.05,15606.84,1956.87,4016.27,6436.49,8945.09,1698.22,3609.3,5490.37,7599.76,1548.78,3058.21,3901.96,12484.49,3925.14,8272.11,12079.31,16559.66,3722.16,8097.71,13934.97,23075.16,5350.09,11408.67,18437.2,22630.52,3655.14,8063.76,12293.53,19204.06,5328.45
销售费用,2074.4,3425.29,10659.92,2728.55,4134.77,6774.32,8514.45,1978.16,3959.2,6178.29,13312.1,3170.67,6523.88,10046.43,14080.57,3295.8,6955.65,11163.47,16185.54,3015.91,6073.83,9478.76,13502.9,2694.12,5677.71,8847.23,13800.83,3223.84,6760.86,10203.26,15106.26,2600.61,5813.08,8846.52,13126.06,2017.17,3414.9,4994.35,6545.99,1252.45,2587.43,3881.97,5308.65,972.88,2124.88,3473.35,6145.89,1308.28,2759.52,4690.13,6760.68,1484.57,2627.13,3947.36,5763.64,1343.57
管理费用,152402.33,251429.65,491633.66,110556.85,229083.63,344523.9,430396.85,105635.29,210336.81,311962.3,457654.9,112568.92,220564.7,349067.5,479346.47,120521.31,237744.73,355161.2,535778.31,120448.54,241032.75,360119.06,504526.54,120556.82,221664.05,317352.29,434198.77,91490.58,191341.32,293300.94,413169.26,91338.97,177001.51,272538.96,415322.19,98981.1,174858.75,268266.81,413001.67,96678.31,197910.17,319910.95,517922.05,103126.73,201197.91,423932.83,683340.62,212550.79,443352.13,686095.95,976589.72,218250.32,436119.81,685734.44,958843.14,244135.33
财务费用,54469.98,82960.77,124511.61,39902.03,65661.88,85940.84,65564.07,13011.73,30099.46,50735.97,66400.36,25775.38,36604.15,71202.26,55495.93,7637.16,7813.35,17716.8,10200.17,31666.9,86617.66,134645.3,162758.33,52531.29,73576.3,112707.36,136400.71,77721.31,128403.72,187277.79,219779.02,58578.05,92486.88,179738.36,228233.81,65002.43,108693.59,154467.41,181556.16,37133.55,94910.22,130961.63,172994.39,48378.56,99540.54,194709.41,296729.38,130831.62,254072.33,372882.51,501452.58,113668.76,203308.77,309290.46,413176.93,82814.91
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.28,268.61,1969.43,65.42,169.66,407.3,27741.48,6996.25,15034.43,21198.7,26038.2,4234.58
资产减值损失,783.25,957.35,132.84,806.56,-916.49,-198.0,29377.17,-16072.02,-18631.94,-16538.76,-4043.23,-4546.46,-1278.9,-1553.01,-1567.39,-532.88,493.2,-178.44,10761.48,1201.66,1587.58,479.24,16449.74,-639.35,-3705.89,-3022.18,3308.06,-1844.01,-1888.86,-747.43,6872.95,-627.25,-279.69,-1158.05,-554.14,410.83,-2764.71,4481.86,10966.53,507.01,763.61,1252.26,1277.06,690.67,30.6,94.28,202.67,71.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
