报表日期,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一、营业总收入,116046.46,180624.6,326437.77,166366.42,430910.13,427674.46,599605.75,145179.27,338836.91,605772.41,823794.16,161901.03,372763.42,746285.86,1086760.8,266038.35,621889.73,1200242.51,1698368.98,336085.04
营业收入,116046.46,180624.6,326437.77,166366.42,430910.13,427674.46,599605.75,145179.27,338836.91,605772.41,823794.16,161901.03,372763.42,746285.86,1086760.8,266038.35,621889.73,1200242.51,1698368.98,336085.04
二、营业总成本,110974.39,170467.32,309773.6,154762.55,407227.3,393827.04,562972.45,135190.6,309608.2,546005.79,755909.3,147978.03,340967.98,677632.87,1009858.7,252140.66,580652.09,1106324.81,1590373.79,317853.03
营业成本,96182.62,143778.4,266225.88,132857.76,348449.16,345638.9,483869.42,116881.95,269825.61,479158.92,652632.0,126630.31,291978.97,588751.76,869550.63,217478.79,498964.93,948799.38,1357494.92,261303.08
营业税金及附加,365.18,508.93,1047.94,330.02,1213.35,978.84,2198.38,400.88,635.47,988.93,2696.85,257.29,690.87,2399.69,4319.06,839.54,2057.39,4165.32,6258.6,2400.08
销售费用,3686.83,9151.0,14940.86,6852.38,21559.41,17915.45,31146.88,6859.82,15038.72,25783.06,37626.29,8444.29,18259.21,33388.18,50317.87,11166.48,28559.66,52241.7,80153.76,19695.37
管理费用,10805.11,16109.31,27145.76,12837.88,33812.26,25358.32,40569.71,9594.31,20899.7,34903.17,55453.06,13431.86,29609.55,52756.29,84790.82,23036.67,46760.32,35376.75,49798.34,18308.91
财务费用,-400.73,-109.66,-800.74,-395.16,-718.31,2155.35,2074.56,719.63,1066.14,1708.09,3292.35,-275.78,-1330.77,-2705.26,-4002.62,-1884.37,-84.06,2053.57,2156.87,-2751.87
资产减值损失,335.37,1029.35,1213.89,2279.67,2911.43,1780.17,3113.5,734.03,2142.57,3463.62,4208.75,-509.95,1760.14,3042.2,4882.93,1503.55,4393.87,12043.12,15746.49,-194.96
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.28,1962.38,1017.81,7005.4,-3724.67,-8826.07,-10376.3,-8961.36,1453.39,1955.96,1955.96,1955.96,0.0
投资收益,-45.61,18.81,630.34,178.07,720.15,1101.58,1332.42,546.83,4562.85,5385.41,7411.98,1186.56,8213.97,5322.7,2990.85,-2033.86,-1781.38,-1125.25,-379.3,158.74
其中:对联营企业和合营企业的投资收益,-72.36,-70.24,-34.62,178.07,720.15,1101.58,1332.42,0.0,815.52,796.34,834.26,0.0,-48.37,-72.18,-50.17,0.0,7.51,-7.71,-33.22,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,5026.45,10176.09,17294.51,11781.94,24402.98,34949.01,37965.72,10514.22,35753.94,66169.84,82302.24,11384.88,34462.81,66822.01,75970.92,13470.73,42605.4,96598.29,114557.98,19888.09
加:营业外收入,801.85,1600.75,1225.92,531.82,950.54,1393.5,3197.71,46.87,1318.93,2526.08,3100.48,2104.83,298.57,1169.39,1569.74,172.43,1016.14,1117.24,2078.38,438.96
减：营业外支出,2.04,5.56,26.6,19.91,76.57,3.9,833.73,1.88,118.86,338.21,494.44,6.26,310.99,677.3,764.32,94.4,152.87,233.61,774.14,202.02
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,14.36,0.77,1.55,0.0,15.09,79.62,95.94,1.5,53.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,5826.26,11771.29,18493.83,12293.85,25276.95,36338.61,40329.69,10559.21,36954.01,68357.71,84908.28,13483.45,34450.39,67314.09,76776.34,13548.76,43468.66,97481.92,115862.21,20125.03
减：所得税费用,602.03,1356.79,2081.97,1346.67,2687.98,3399.43,4866.51,1142.96,4593.27,8910.41,10700.8,2254.68,3518.99,7748.13,7782.21,899.58,3865.7,8468.14,9757.9,968.04
五、净利润,5224.23,10414.49,16411.86,10947.18,22588.96,32939.18,35463.19,9416.25,32360.74,59447.3,74207.48,11228.77,30931.4,59565.96,68994.13,12649.18,39602.96,89013.79,106104.31,19156.99
归属于母公司所有者的净利润,5224.23,10414.49,16388.56,10958.38,22588.22,32932.06,35446.35,9416.25,32403.01,59464.23,74195.62,11220.6,30981.73,59630.33,69108.16,12784.89,38528.65,84989.61,100427.41,18843.77
少数股东损益,0.0,0.0,23.3,-11.2,0.74,7.12,16.83,0.0,-42.27,-16.92,11.86,8.17,-50.33,-64.38,-114.04,-135.71,1074.3,4024.18,5676.9,313.22
基本每股收益(元/股),0.79,1.58,0.45,1.66,0.62,0.91,0.98,0.23,0.89,1.64,2.04,0.28,0.78,1.49,1.72,0.32,0.6,1.31,1.55,0.29
稀释每股收益(元/股),0.79,1.58,0.45,1.66,0.62,0.91,0.98,0.23,0.89,1.64,2.04,0.28,0.78,1.49,1.72,0.32,0.6,1.31,1.56,0.29
七、其他综合收益,-1.32,-0.67,-11.95,4.56,0.3,89.12,117.0,387.67,59.38,83.98,208.0,284.62,-111.49,-197.61,-271.07,-183.46,65.41,370.12,262.27,323.61
八、综合收益总额,5222.9,10413.83,16399.91,10951.73,22589.26,33028.3,35580.19,9803.92,32420.12,59531.29,74415.48,11513.39,30819.91,59368.35,68723.06,12465.72,39668.37,89383.9,106366.58,19480.6
