报表日期,2007-12-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,2598844.3,2273004.4,2275612.41,3415577.2,3348259.37,3991724.7,8469883.9,7897382.4,6323760.2,6175471.5,6592582.9,8209859.9,7393174.9,7304689.8,7165051.4,8995079.5,7861605.9,9549602.2,9420441.2,11735956.7,11146883.4,12225798.4,10541108.2,12340069.5,8758984.1,11707007.5,11065017.4,15406925.9,12312502.8,15326467.5,15368241.3,21640981.6,18665211.4,22613799.8,25811945.6,32086045.5,25291074.3,25136887.7,23402575.6,27325296.2,21582618.7,28893448.6,26922130.2,31750067.5,26934288.2,27241646.8,22534913.6
交易性金融资产,11067.7,4534.5,2664.86,2356.4,7956.8,2612.7,2175.7,104343.8,114830.1,109061.9,115471.9,109666.5,112105.8,114306.3,80640.8,78038.5,77373.5,75882.7,73962.0,100568.2,91970.5,67604.7,75902.2,81510.2,62963.2,69708.7,76195.9,103776.2,32794.3,8143.2,59271.0,113022.7,18474.3,18024.0,144483.6,112682.6,111660.9,93694.2,261286.2,456674.0,480867.0,449160.7,465188.6,462263.3,482316.1,271582.3,226525.8
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8835270.1,0.0,0.0,0.0,9927990.4,0.0,12013822.6,0.0,12378548.5,0.0,0.0,0.0,0.0,0.0,16647302.5,0.0,14749799.8,0.0,16338986.3,0.0,15465149.7,15532681.8,16555290.0,16522704.1,18899122.3,17436790.5,16116826.2,17335775.2
应收票据,15737.5,25504.9,16166.03,17423.8,18211.04,20307.3,16886.0,25857.0,26676.3,25434.8,27950.2,64398.4,51525.4,51709.1,112135.0,228174.9,170836.3,251027.6,270443.3,718820.6,533696.3,506694.8,655601.5,1568609.5,1352109.2,712505.0,581920.2,535511.6,658175.3,640387.6,446055.8,673134.4,722469.8,641875.7,555225.7,884868.8,886206.8,849721.7,851655.5,1693782.8,1804028.6,0.0,1494247.5,2143828.2,2372913.8,1890735.3,1712975.1
应收账款,3089151.0,3151221.0,3417189.08,3310335.6,3262408.41,3643957.0,3850648.2,3928444.3,3906560.3,4703039.0,4946328.8,4806384.3,4788385.7,5860254.2,6586696.2,6748539.6,7046042.3,8051136.8,8456393.1,8116449.5,8208477.9,9475250.1,9352971.5,8359380.9,8858706.3,11301317.6,12592128.5,11843036.9,12131161.8,14250853.1,15477050.8,11555690.3,13317065.3,16005426.8,15791320.4,13864931.0,13375263.8,15489264.6,15706407.8,13771366.9,13728653.2,0.0,15028456.6,16755294.1,15063876.8,14226090.9,15622800.1
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260298.8,247019.5
预付款项,962624.8,1173942.6,1214446.46,1074358.6,1314638.03,1294149.5,1256659.3,2768486.8,4179785.0,2136198.5,2249309.4,1782342.9,2039202.8,2111646.0,2584554.0,2262371.7,2436457.9,2315828.9,2757147.2,3154713.1,3618434.8,3248768.3,3024406.1,3401102.1,4674569.9,3902759.0,4324537.4,3112901.2,2991982.9,2762808.0,2456463.7,2746485.6,3321671.3,2882647.3,3173620.1,3091751.3,3430489.1,2795538.7,2967104.3,3296720.1,4936045.4,5206810.9,4600240.4,4861160.9,5244277.1,4928655.5,4904472.0
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679426.3,0.0,0.0,0.0,1877420.4,0.0,2415851.3,0.0,2516186.1,0.0,0.0,0.0,0.0,0.0,4112247.6,0.0,4962387.4,0.0,6536497.9,0.0,5571000.5,6976572.9,5387315.7,5498612.3,5648919.3,5022976.5,4539806.4,5633593.5
应收利息,192.5,201.6,1526.75,181.7,617.89,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4466.9,0.0,16777.1,16162.9,17440.3,18168.3,10979.6,14505.1,18262.6,20765.4,29866.0,34624.0,29566.5,26791.4,16604.4,18804.1,21637.8,18884.1,32494.6,24509.3,8467.7,9034.9,9483.0,7866.5,8276.5,15596.9,14048.8,8161.8,0.0,16455.8,0.0,20973.1,0.0,16678.2
