报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
货币资金,0.0,177607.97,196226.09,271581.28,275465.09,404473.79,398601.19,586394.66,624519.16,819376.34,763932.57,657827.12,717063.21,771702.13,749233.07,1115856.55,1037540.72,994037.39,1239533.77,1661274.08,1285985.37,1300740.94,1328187.43,1672697.01,1477688.07,1481803.87,1419799.38,1958012.76,1686149.73,1984194.78,2068035.89,2443441.42,1981367.52,2212083.77,2392025.96,2460134.6,2237677.43,2555474.06,2191517.95,2712298.19,2680485.81,2988297.04,3479118.18,3422183.78,3268846.64,3704034.48,3062346.77,3820995.26,3222619.99,4050782.17,3565695.85,4881762.22,3801022.78,4576852.89,4289612.91,6221611.15,5701342.93,7739344.4,6632689.93
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.9,367.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13705.07,13244.86,26737.95,27550.36,5107.75,0.0,1681.44,1560.39,6699.6,11310.17,2238.9,895.1,3786.71,4699.3,10361.14,10153.73,12929.6,11522.6,28561.93,25730.83,38406.71,39930.05,109076.31,276136.03,411519.96,711283.48,655825.03,591550.3,445105.95,423917.84,982823.93,945153.34,585239.78,643497.63,491775.13,977226.88
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341075.75,1901163.56,2349107.53,0.0,1856748.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2807906.72,0.0,0.0,0.0,3886377.43,4604723.56,4309907.49,4356149.41,3814802.82,4800256.31,4623217.73,4414475.46,3020540.43,3842646.0,4340433.73,4671995.54,3471837.02,4435279.46,4524880.11,4147371.29
应收票据,0.0,534692.81,460469.29,422045.07,545722.72,654317.1,560074.89,399570.92,295579.94,498364.07,707712.64,803214.43,1128407.04,1598842.63,1209519.43,1128922.72,1309632.62,1523208.88,972044.86,955135.08,1174300.48,1178687.44,915478.52,924223.21,1067228.92,1735903.36,1664538.78,1412695.08,1531357.49,1769932.32,1435391.28,1378088.04,1066036.88,1025223.47,959256.97,892793.91,924946.86,1288431.25,1324118.15,1674287.43,2106335.96,2343710.96,2384810.9,2529123.89,2527287.48,0.0,2633878.69,2499266.47,2693370.71,2746799.03,2484885.1,1592014.2,1737792.33,2491434.77,2851706.0,1929649.16,2018442.46,2334625.73,1740899.82
应收账款,0.0,305109.34,342112.12,188424.74,397160.64,324463.67,410246.42,293429.91,498563.5,477826.3,554756.24,332080.11,643718.44,488830.39,655793.57,457750.57,846212.75,598509.55,669230.38,473750.98,720556.09,557276.68,610993.46,416852.54,833934.64,613204.16,775350.93,444053.43,939979.02,1245561.85,1321922.05,966003.16,1283826.57,1039570.99,1188033.45,897661.53,1213219.53,1054928.37,1297787.64,1133619.3,1733515.83,1372969.73,1940345.37,1357253.54,2077436.08,0.0,1722270.72,1315536.35,2106885.6,1876418.7,1929590.36,1428526.23,2104853.66,1848998.96,1820289.54,1542187.86,2416837.0,2190254.38,2406471.47
预付款项,0.0,86358.28,98673.33,106647.2,123464.06,128426.88,129272.59,90565.8,122291.3,83477.04,104491.22,88510.76,109058.83,119809.75,128465.73,67702.88,177482.88,71851.27,53611.69,43153.79,52884.98,46049.74,47292.04,36539.71,51279.98,42820.13,49098.39,40548.11,56446.86,61680.61,64005.12,48798.51,54317.25,57018.62,62559.69,40164.24,42774.52,43249.72,46172.98,59583.22,85060.84,59641.04,76228.89,55980.25,78640.58,89287.84,101194.61,110922.73,123867.97,99399.63,115973.41,99671.02,191481.49,149716.87,117332.66,109501.61,140196.02,124648.41,138490.32
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.05,30.05,0.0,0.0,741.88,68.43,76.2,77.11,1543.9,686.75,104.08,100.53,13424.62,18942.8,13900.61,7939.96,5390.66,7925.78,9360.12,5207.35,2628.4,2875.18,4202.51,5026.44,2526.45,5023.17,0.0,0.0,2374.78,6527.98,8493.27,13370.86,3791.21,5976.06,15971.47,18370.98,1812.04,6776.53,11609.17,17831.94
应收股利,0.0,321.49,304.0,304.0,304.0,348.17,348.17,304.0,304.0,304.0,304.0,429.31,429.31,304.0,304.0,304.0,304.0,452.92,452.92,3952.92,2927.92,452.92,304.0,7054.0,7054.0,1061.5,304.0,304.0,304.0,304.0,304.0,304.0,304.0,2552.86,476.0,648.0,648.0,1394.76,1411.48,971.11,304.0,1389.25,304.0,522.83,54.0,0.0,0.0,160.87,0.0,1621.25,1608.14,500.95,500.78,303.99,5169.94,5335.39,5719.49,4283.49,304.0
其他应收款,0.0,22848.77,38318.99,26425.69,56185.83,33967.89,48103.87,39146.48,42623.66,54484.47,46635.87,49391.78,48762.5,54466.91,64223.54,22120.36,32570.72,40605.45,47925.31,24064.68,78265.43,54539.16,54946.46,44410.59,53960.24,45932.38,58744.33,38247.68,41487.29,88874.04,108213.75,87164.26,98730.63,74069.58,74969.23,64577.15,76303.25,93607.63,170270.9,82099.85,109409.81,129047.25,141236.25,85762.92,124478.02,110364.98,118121.43,106179.2,0.0,89285.65,0.0,63867.96,0.0,88922.9,0.0,133838.46,0.0,90693.4,0.0
