报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
一、营业总收入,390538.1,935414.96,1473734.74,1935969.49,474731.08,1151095.53,1911000.4,2165859.03,512229.18,1226079.04,1929531.27,2432354.75,701438.17,1475073.42,2352463.1,2966498.73,906104.83,1894576.49,2920062.3,3745137.22,1025791.12,2118097.75,3290919.4,4199069.21,1172445.37,2402122.33,3657122.15,4777886.58,1311048.35,2747073.82,4206952.41,5443642.68,1499223.57,3015108.77,4587945.77,6035987.38,1532611.85,3008653.53,4617136.88,6060922.15,1579026.69,3349350.94,5247118.33,6805817.43,1975306.62,3994274.8,6132733.08,7955327.75,2313012.43,4507071.57,6867661.65,9022307.55,2065256.7,4752843.46,7377035.97,9688564.2,2736277.97,5650551.02,8500683.22,11059520.32,3104745.79,6346332.19
营业收入,390538.1,935414.96,1473734.74,1935969.49,474731.08,1151095.53,1911000.4,2165859.03,512229.18,1226079.04,1929531.27,2432354.75,701438.17,1475073.42,2352463.1,2966498.73,906104.83,1894576.49,2920062.3,3745137.22,1025791.12,2118097.75,3290919.4,4199069.21,1172445.37,2402122.33,3657122.15,4777886.58,1303554.36,2728630.52,4173895.26,5395929.87,1483857.14,2985562.17,4547858.4,5986348.57,1522512.84,2992553.1,4592294.25,6031200.97,1571629.05,3330176.63,5212689.56,6754744.95,1957565.39,3958851.97,6084627.67,7897638.87,2307737.36,4496513.42,6851717.69,9000913.29,2054442.56,4734413.33,7350569.31,9652396.32,2725885.42,5629359.1,8467421.93,11014398.64,3091290.62,6321300.54
二、营业总成本,376192.81,906661.94,1428585.27,1927213.2,468364.71,1136187.76,1923390.7,2372861.66,498798.74,1195240.26,1873886.49,2367325.91,690440.62,1439343.12,2294157.78,2907106.68,891567.61,1837425.56,2798585.8,3595919.07,979666.53,2052984.18,3157946.28,4040155.77,1118523.72,2271803.89,3455413.42,4525123.99,1196629.72,2504381.78,3828171.62,5015447.98,1351309.72,2720512.35,4198143.17,5565189.94,1367400.44,2713876.65,4200571.87,5548807.03,1388495.77,2985955.91,4717333.86,6187713.45,1743304.12,3621609.36,5594250.34,7283166.37,2055255.59,4102446.53,6265936.56,8282645.85,1924194.58,4328913.83,6724747.39,8944109.69,2428704.7,5074026.14,7629642.3,10119402.67,2713428.83,5660251.26
营业成本,283435.23,680729.8,1080502.76,1434727.27,346890.6,814677.22,1358309.35,1584914.29,332758.43,791483.19,1238428.75,1577807.37,475920.38,1006658.24,1638816.96,2068630.88,617168.3,1296736.5,2036662.76,2648566.62,712714.09,1482228.61,2304491.87,2950494.92,792937.83,1660779.31,2587038.02,3408275.81,863935.26,1824813.02,2815073.86,3639999.11,933606.96,1947319.22,2962357.01,3837557.81,887045.93,1826768.14,2812074.88,3742743.54,980069.31,2058321.2,3235856.53,4236240.27,1198029.19,2427943.68,3792721.42,4910603.44,1385839.42,2761962.66,4269461.86,5639171.27,1284801.28,2927517.98,4635265.3,6180556.25,1697926.99,3523753.55,5350792.96,7641670.55,2026642.96,4204909.99
营业税金及附加,1401.05,4237.57,6429.02,8260.83,2903.22,5630.72,8334.13,12151.58,2158.88,5025.28,7114.41,10883.28,3239.4,6850.17,9740.99,8778.49,5342.45,10510.95,15594.34,23292.23,7725.17,13839.88,20906.6,24947.97,6429.58,15307.52,18901.39,23390.76,5841.51,13098.33,20146.41,18538.87,10010.85,12715.49,18169.29,25103.96,9247.95,17640.4,26344.98,42007.24,11900.96,27336.54,41899.71,51157.02,14449.11,29308.34,42957.91,53095.24,16791.15,33046.77,44809.91,57698.77,12518.21,28994.13,42474.41,54650.24,15528.16,35102.66,51379.46,66358.01,20030.37,40081.06
销售费用,77245.48,194876.53,301717.55,391126.81,92178.89,258783.23,456001.59,553239.0,141794.02,345640.72,540603.53,649609.15,180070.38,360762.56,538376.74,680706.73,232098.29,448868.2,619058.99,729095.54,211324.88,417281.14,630011.84,777771.28,257874.89,480552.04,670371.51,854607.27,272140.23,522188.85,760928.62,1007455.09,318335.34,601489.33,966870.44,1325833.42,388157.09,707615.59,1076343.0,1411431.65,335903.02,764785.59,1181204.19,1552186.25,449659.39,1016990.84,1533388.56,1977268.38,556626.68,1110200.02,1625113.51,2106965.75,520301.75,1131825.37,1668143.78,2153759.91,589654.18,1242468.5,1811307.73,1931480.97,563327.36,1163879.87
管理费用,12926.65,24481.63,37096.1,88439.09,25972.95,54540.76,85870.18,191543.09,20672.83,50329.92,84256.58,119096.31,30652.59,62797.82,105925.28,152080.91,36855.72,81820.63,128952.3,197069.37,45521.62,134373.3,196695.85,280968.57,61430.97,114941.47,181798.93,239183.1,59907.53,148446.42,219842.94,316323.05,77133.14,134866.73,218223.41,345616.39,78709.34,155812.11,279429.6,345666.6,59359.82,129013.42,245830.03,331704.87,75228.38,139805.93,206035.5,297973.55,94338.01,191623.19,297589.15,428492.77,91515.45,211851.99,336055.93,487624.3,117695.62,250884.31,377187.35,422707.31,103087.59,244609.57
财务费用,1215.22,1867.71,2392.39,2915.3,422.24,-147.76,-454.81,1445.45,1416.29,2213.94,2653.37,2240.27,597.03,164.24,-984.48,-2070.75,-548.16,-2533.07,-3401.35,-4915.94,1509.12,3525.32,4290.98,4915.63,-185.99,-734.4,-4267.87,-3309.35,-5394.46,-5196.14,9932.93,15488.65,10514.58,21367.98,30155.63,29716.28,1713.07,1834.58,1725.97,2387.97,-1409.42,2783.09,7745.41,11348.53,4135.48,3607.43,328.82,-6027.12,-10515.45,-14521.06,-4383.14,800.21,6677.03,8377.08,10107.39,18809.01,-2481.12,-3604.09,-1271.21,-2915.88,-11235.79,-23998.69
资产减值损失,-30.81,468.71,447.45,1743.91,-3.2,2703.59,15330.26,29568.25,-1.7,547.21,829.84,7689.53,-39.17,2110.08,2282.3,-1019.57,651.01,2022.35,1718.77,2811.26,871.65,1735.93,1549.13,1057.38,36.43,957.94,1571.44,2976.4,199.65,1031.3,2246.85,17643.21,1708.85,2753.6,2367.39,1362.08,2527.06,4205.84,4653.44,4570.02,2657.93,3701.89,4783.82,5062.34,1802.58,3953.14,4972.95,7565.58,-2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.11,23.1,2673.97,1544.16,2396.8,7816.31,-11741.84,-3148.41,7120.02,17108.89,1430.47,2460.82,599.61,12059.31,-1346.05,-11568.24
