报表日期,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,446.41,3535.54,5625.81,8372.07,2550.8,6006.24,9074.68,14080.24,3341.01,7227.53,11278.73,17269.09,4145.91,11343.5,19148.91,27380.31,5912.55,14242.98,23390.87,34692.97,10141.48,22407.94,39560.21,64902.98,16883.14,40049.04,67185.54,102214.73,30669.37,68596.26,119972.66,170173.41,34598.16,68626.93,119223.21,181580.93,57523.86,100435.25,153380.6,198486.26,39415.11,72755.76,121881.01,157233.28,22987.46,43663.72
营业收入,446.41,3535.54,5625.81,8372.07,2550.8,6006.24,9074.68,14080.24,3341.01,7227.53,11278.73,17269.09,4145.91,11343.5,19148.91,27380.31,5912.55,14242.98,23390.87,34692.97,10141.48,22407.94,39560.21,64902.98,16883.14,40049.04,67185.54,102214.73,30669.37,68596.26,119972.66,170173.41,34598.16,68626.93,119223.21,181580.93,57523.86,100435.25,153380.6,198486.26,39415.11,72755.76,121881.01,157233.28,22987.46,43663.72
二、营业总成本,215.22,1557.84,3046.1,5012.35,1987.19,4116.72,6451.79,9715.13,2449.51,5076.69,6854.3,10691.78,2565.41,7612.35,12209.53,17388.44,4553.0,9474.57,15289.9,24311.63,9079.62,18549.38,29192.53,51370.63,13206.01,29017.64,47366.92,70779.68,19732.63,38713.33,69177.76,106163.79,18937.0,41037.75,71777.22,117029.63,36354.57,66955.66,96752.04,155631.82,23715.65,45808.89,77788.83,121278.04,18163.78,36650.71
营业成本,28.92,249.81,438.08,635.01,180.05,389.88,576.72,863.73,248.2,632.9,983.15,1401.29,390.87,1300.6,2287.18,3122.32,1009.21,2025.83,2998.5,6963.71,2757.77,4985.77,8419.89,14269.89,4100.19,8330.72,13723.86,21822.51,5370.37,11991.61,24086.48,42176.64,6734.96,15745.93,28980.48,54444.27,20454.68,37153.09,52112.09,71112.18,11398.42,22354.88,38231.55,54321.34,6732.06,13644.55
营业税金及附加,15.59,215.54,348.32,535.36,0.0,398.42,621.61,938.38,0.0,470.3,762.86,1156.26,275.13,745.39,1269.5,1748.8,171.11,486.5,780.24,972.3,300.29,563.8,904.16,1394.68,244.95,650.33,1055.99,1616.82,415.74,922.07,1549.92,2161.38,515.42,714.53,1248.66,1831.73,574.38,1049.54,1400.29,1801.45,307.62,555.39,745.34,946.25,162.81,301.26
销售费用,54.69,559.72,1155.29,1814.53,883.3,1592.06,2529.03,3686.48,890.16,1520.56,2433.16,3797.88,664.06,2257.6,3889.64,5379.78,1420.02,2963.63,5481.02,5698.55,2729.27,5689.3,9053.2,14428.81,4154.57,10650.94,17495.23,20420.99,6703.79,12768.7,22535.22,25071.99,5417.19,11096.59,19178.17,26157.46,7788.03,14503.76,19663.87,24944.09,3811.65,6932.71,13622.86,18356.31,2807.09,6960.86
管理费用,111.03,561.41,1057.13,2001.92,714.83,1738.32,2733.0,4280.7,1178.05,2511.39,3845.84,5892.53,1370.01,3790.54,5760.65,8789.64,2126.75,4416.43,6985.23,11871.86,3860.76,7877.42,12030.82,20636.99,5053.42,10014.3,15790.62,26539.54,7531.78,13226.07,21221.04,36233.37,6801.43,14501.94,23588.38,36053.17,8271.43,16011.18,14588.09,22056.31,4865.04,9951.91,15215.92,25705.29,4770.45,9535.4
财务费用,-0.16,-53.51,-6.01,-8.27,-2.64,-6.92,-98.49,-212.82,-149.71,-189.86,-1296.03,-2092.52,-133.0,-710.55,-1268.95,-2064.15,-174.83,-535.41,-1125.91,-1814.7,-313.25,-566.15,-1216.12,-1118.69,-305.08,-630.08,-868.84,-717.43,-349.46,-732.03,-928.21,-1312.8,-641.34,-1143.07,-1592.95,-1963.14,-741.61,-1770.68,-2416.2,-3053.72,-1148.42,-2195.65,-2916.21,-1675.09,-860.87,-1964.29
资产减值损失,5.14,24.86,53.29,33.8,29.71,4.96,89.93,158.66,61.31,131.4,125.33,536.35,-1.66,228.77,271.51,412.05,0.73,117.59,170.82,619.91,-255.22,-0.75,0.58,1758.95,-42.05,1.43,170.06,1097.25,60.41,536.92,713.31,1833.2,109.33,121.83,374.48,506.14,7.65,8.78,-116.89,15851.08,314.19,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.77,72.5,138.74
