报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
货币资金,67361.41,71475.18,79282.67,57249.03,55112.06,52870.08,43355.37,38518.23,66773.84,75941.09,67199.68,70724.53,75180.92,76318.42,92264.26,99504.96,95240.7,97391.78,95986.4,94938.98,96239.44,107264.47,124618.25,132946.5,159833.82,167551.8,180709.49,216913.85,236808.0,281731.18,309894.87,344900.91,382900.4,414305.97,463954.51,513311.97,550532.74,579216.72,620262.35,491215.47,596443.57,470502.35,358223.27,426708.67,442004.87,352629.85,456141.78,388971.13,426650.48,434844.48
交易性金融资产,1043.9,1112.08,1473.87,27088.33,18433.78,17293.54,14876.2,8003.71,11903.12,15055.12,13244.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12830.17,744941.63
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327922.55,0.0,344729.97,0.0,385083.53,0.0,417737.63,444364.01,490465.73,452053.41,443156.28,486768.69,475903.4
应收票据,4745.2,4675.84,5363.15,4804.84,4846.86,7499.41,11371.8,20502.95,8288.86,13773.37,28369.04,31887.71,40571.96,42455.54,48902.82,47088.82,63677.16,69440.83,66457.72,76894.61,71069.21,77270.97,75519.16,83894.34,81126.99,87580.53,90882.48,86103.55,96253.22,98251.53,106214.91,104466.37,118855.38,104326.86,95112.74,118451.74,122332.42,103805.47,95671.46,112270.99,126778.86,94996.66,87728.03,98880.03,92249.3,122183.76,48168.51,65887.0,102411.98,52162.34
应收账款,16491.0,20809.82,25454.22,42725.57,50540.44,53294.57,57016.92,61240.49,65667.45,64462.43,72551.18,85456.39,94957.46,104474.17,110068.73,116247.35,118281.64,118918.79,130223.19,125075.25,153408.32,137068.4,146964.25,144342.06,151177.68,152811.38,159553.48,155983.2,166477.91,165383.41,171328.94,179573.71,197080.92,192181.54,226448.24,209227.55,211541.92,224117.08,254748.83,232458.97,240931.3,290086.87,291927.22,318857.6,352114.71,368281.98,403884.9,377269.28,384356.71,423741.05
预付款项,563.31,652.3,1099.91,836.17,495.97,1924.43,2333.39,3640.1,4972.85,3759.88,4267.67,3011.1,3213.99,767.62,7336.47,9384.82,16370.25,21145.75,30583.89,30863.48,37749.63,33360.16,32433.69,35459.29,29945.56,37891.76,31383.53,20387.34,21180.81,19135.22,21086.17,21270.63,16399.0,26081.07,22653.34,25063.21,26741.13,32280.5,35326.66,45523.7,49376.87,41641.17,42425.77,33006.94,39080.27,47151.56,71587.0,56889.94,46100.17,80254.04
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.84,2937.44,4237.91,5431.29,8014.54,10159.7,10763.56,11007.27,12667.07,14440.95,16162.09,14449.85,13917.76,6684.88,2722.94,2949.75,3427.75,4327.8,4353.96,5541.65,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,7402.8,4055.39,4495.21,5270.22,6017.79,7154.79,9314.05,7197.99,5168.32,8325.44,3209.01,6046.83,12512.76,6613.74,5403.82,9301.59,13515.99,15663.71,21402.71,15343.57,24656.94,26080.8,26329.86,20946.93,27847.05,27216.09,26750.11,18802.81,22569.48,22549.07,17165.29,10451.18,12341.8,13073.74,12490.24,8720.64,9387.37,17197.4,17032.98,18630.84,23038.28,23963.21,24076.08,23277.92,29754.97,30115.78,33751.81,97041.08,0.0,109458.03
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,10401.52,9794.94,11760.81,11513.1,11924.3,11700.67,11025.26,16230.8,16132.93,16545.5,17129.33,17712.5,16840.92,17700.39,16568.49,17618.35,22590.47,22959.52,26828.67,29999.32,32861.21,35879.14,34705.21,33784.05,35777.52,31242.23,39504.72,42992.7,42082.73,44462.74,51183.9,55089.12,55349.23,58933.83,59487.55,52296.7,67064.43,58118.98,60095.98,63658.92,78460.85,65929.95,75699.43,78971.75,83365.36,91792.74,99082.02,103057.37,120337.42,140351.26
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159401.2,98490.09,251794.71,433953.39,464427.22,487013.9,626984.8,583974.55,713469.44,677360.41,18048.58
