报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,25666.11,67372.65,95056.16,114351.24,26449.45,45602.23,74707.0,91951.05,46401.29,94718.22,149799.85,198308.16,47143.46,90056.56,143104.3,220387.44,56327.21,111121.04,167045.85,573410.3,137317.96,292345.49,496286.55,785227.71,245514.22,483320.98,742573.6,1037648.14,278536.63,526620.68,808349.0,1059081.15,257558.02,481156.6,915184.05,1223344.57,357381.66,657691.38,972974.31,1383358.9,631034.39,1217623.71,1688192.14,2222137.41,626074.98,1180614.47,1678388.35,2217939.88,651322.2,1286880.88,1771982.21,2340354.24,648632.71,1296661.32,1795908.69,2386671.66,675973.67
营业收入,25666.11,67372.65,95056.16,114351.24,26449.45,45602.23,74707.0,91951.05,46401.29,94718.22,149799.85,198308.16,47143.46,90056.56,143104.3,220387.44,56327.21,111121.04,167045.85,573410.3,137317.96,292345.49,496286.55,785227.71,245514.22,483320.98,742573.6,1037648.14,278536.63,526620.68,808349.0,1059081.15,257558.02,481156.6,915184.05,1223344.57,357381.66,657691.38,972974.31,1383358.9,631034.39,1217623.71,1688192.14,2222137.41,626074.98,1180614.47,1678388.35,2217939.88,651322.2,1286880.88,1771982.21,2340354.24,648632.71,1296661.32,1795908.69,2386671.66,675973.67
二、营业总成本,26190.57,66278.82,93806.02,114391.58,25725.45,47314.23,77844.3,100027.28,47812.45,97545.08,153722.53,218312.68,48198.07,92143.19,146331.39,226010.09,57266.75,113779.56,172469.67,578501.73,135290.68,290224.79,491609.01,777534.0,241685.4,475129.63,732824.96,1024382.38,274018.38,517439.7,797528.26,1047925.78,253437.6,473950.11,905397.08,1202191.9,338815.53,626065.57,927415.56,1339812.84,597639.68,1175761.89,1650604.74,2193108.74,601599.96,1133844.06,1639639.79,2182441.78,623461.89,1234888.82,1716646.94,2270373.49,591671.8,1216673.87,1705401.29,2286892.61,639559.4
营业成本,22526.06,56568.87,79177.46,95386.5,20214.7,37159.11,62876.06,80595.4,42892.3,87274.96,138608.87,183523.48,42646.27,81863.81,130971.13,204944.4,51350.02,102010.02,153827.73,496947.07,115710.32,245256.73,423063.45,672172.22,207467.68,411936.21,636401.46,891050.88,235623.03,448402.9,696246.65,901703.55,214752.84,405646.05,794570.81,1044495.61,298113.57,551537.64,817329.14,1156579.04,534161.58,1041171.76,1466358.77,1923354.38,541199.49,1014922.1,1464167.79,1931223.0,554916.42,1109610.76,1533294.7,2009345.0,526084.32,1076329.05,1517100.55,2098911.56,599194.19
营业税金及附加,30.47,982.85,1458.1,1476.49,568.29,637.87,670.63,223.32,19.07,100.26,256.55,396.82,45.86,117.98,207.28,308.91,179.17,311.1,580.79,2563.7,985.86,1608.75,2350.76,3567.7,1107.92,1630.12,2394.76,3489.14,1312.79,1977.7,2695.39,3957.61,1238.63,1845.89,2872.54,4030.67,1371.87,2107.32,2858.92,5572.86,1370.12,2295.57,3384.21,5619.8,1557.34,2647.19,3523.3,5080.2,1529.74,2462.49,3385.49,4883.3,1082.17,2411.31,3183.79,4522.67,1060.26
销售费用,1365.13,3619.29,5521.35,6538.99,1809.18,3061.54,4455.73,5298.3,1484.31,2919.99,4508.01,6012.0,1472.46,2677.09,4313.88,6278.4,1686.3,3533.6,5595.12,45973.21,12476.94,28019.92,43754.29,69590.11,22858.29,41184.76,63580.2,87669.12,25836.81,45845.27,66417.48,93557.75,26577.34,46529.96,74520.87,104640.24,28733.88,51150.29,74651.03,109228.54,47426.69,89551.61,122403.25,161488.61,43936.66,83560.77,117622.44,163120.94,49394.73,84679.67,121657.47,165784.52,53617.81,91962.69,125334.47,87080.27,26661.35
管理费用,1839.78,3721.06,5255.65,6918.54,1729.42,3634.4,5372.38,7461.9,1878.98,4135.57,5930.2,8140.36,2215.21,4298.69,6312.48,7876.24,2462.58,4507.49,6834.76,21561.77,4993.24,12578.07,18411.05,26280.26,8079.44,15799.69,23637.66,33112.47,8383.92,16499.02,24351.0,33992.23,8560.58,16864.6,28439.54,39773.38,9214.97,19214.11,28969.37,46110.87,16195.05,32823.66,49258.1,70258.55,16803.44,33234.68,46851.98,69315.87,15831.26,33089.79,52275.09,74350.08,16998.87,33564.8,53828.84,83783.27,22259.48
财务费用,429.14,1386.75,2393.46,3999.0,1403.86,2808.08,4456.26,5761.05,1537.79,3114.3,4418.89,5087.03,1818.28,3185.62,4526.61,6004.03,1588.68,3417.35,5631.26,8244.64,1121.7,2761.32,4029.45,4963.28,2112.76,4431.08,6782.52,8632.2,2867.45,4728.38,7832.84,10662.79,2308.21,3063.61,4062.56,4256.39,1415.35,2141.4,4140.15,2799.99,-1450.5,7943.43,7115.17,12249.43,-1868.62,-977.56,3516.17,3760.15,1518.41,4432.22,5025.78,11666.94,-6311.72,11942.79,4752.54,6983.44,-10336.94
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3658.2,4135.9,287.69,613.89,1008.4,4343.64,200.33,463.24,1201.09,5611.41,721.06
资产减值损失,0.0,0.0,0.0,72.08,0.0,13.24,13.24,687.32,0.0,0.0,0.0,15153.0,0.0,0.0,0.0,598.11,0.0,0.0,0.0,3211.34,2.6,0.0,0.0,960.43,59.31,147.76,28.36,428.57,-5.63,-13.57,-15.09,4051.83,-0.01,-0.01,930.76,4995.62,-34.12,-85.19,-533.04,19521.53,-63.26,1975.87,2085.24,20137.97,-28.36,456.87,299.9,5805.72,-16.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
