报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
应付票据,12284.54,10499.05,11206.18,8161.63,14241.81,14608.06,14166.23,13606.12,15734.37,13296.31,10211.72,8608.26,22086.91,13639.1,7870.23,0.0,13311.24,45310.15,22061.79,45900.49,52267.41,71072.5,85859.38,68540.52
应付账款,6250.62,6625.88,7779.7,9174.58,8522.08,9682.47,13331.17,11658.16,11531.6,10576.22,11142.91,13578.78,24635.28,12606.85,11204.14,0.0,37389.53,46577.53,26732.55,31734.2,38269.16,43108.57,44606.62,54883.54
预收款项,719.96,767.4,620.9,601.56,468.25,723.07,694.09,951.96,1459.74,1128.98,516.59,893.16,587.96,409.41,390.98,2635.05,778.19,1024.4,688.97,2555.13,924.11,1332.62,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,209.55,214.42,223.38,195.02,194.43,82.2,74.99,77.3,54.89,101.72,68.58,75.14,1753.25,128.1,69.71,1088.1,2025.75,1187.63,1673.0,1896.91,2019.41,2808.05,2670.5,2842.44
应交税费,708.86,1603.99,1842.93,1403.28,998.82,1696.42,961.64,1050.57,2291.3,511.61,1663.65,1334.4,9043.13,679.56,1055.71,5581.79,10705.44,4978.75,3171.4,10097.03,7725.47,3035.83,6263.83,12663.76
其他应付款(合计),932.91,318.79,595.8,352.92,1155.66,141.36,163.06,325.44,198.25,478.26,9544.68,7930.08,7775.66,22811.83,8035.99,6023.4,26739.42,21187.84,41734.73,20036.41,9865.8,47968.67,28703.84,4430.8
应付利息,52.93,48.37,64.15,37.76,38.22,30.74,36.07,2.66,0.0,0.0,0.0,0.0,153.18,0.0,0.0,0.0,294.61,205.84,296.03,525.43,0.0,0.0,240.0,368.46
应付股利,0.0,0.0,0.0,0.0,796.7,0.0,0.0,0.0,0.0,0.0,2216.98,189.13,189.13,15198.63,471.83,0.0,826.28,326.28,18785.88,771.3,757.47,0.0,757.47,496.0
其他应付款,879.98,270.41,531.65,315.15,320.74,110.62,126.99,322.78,198.25,478.26,7327.7,7740.95,7433.35,7613.19,7564.16,6023.4,25618.53,0.0,22652.83,0.0,9108.33,0.0,27706.37,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,6077.72,0.0,0.0,6077.72,15770.69,15770.69,19400.0,23815.88,44824.36,44580.38,54499.55,54309.98
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流动负债合计,46616.43,44667.91,39671.21,40990.57,50501.42,49733.58,54428.18,29669.54,31270.62,26093.57,33148.59,32420.29,104753.04,50274.85,28626.76,119767.07,199735.91,265433.2,312305.21,354949.95,422932.22,515532.39,502033.92,480321.3
长期借款,0.0,0.0,0.0,0.0,0.0,1214.74,2265.82,0.0,0.0,0.0,0.0,0.0,42020.0,0.0,0.0,93819.65,78419.65,78419.65,89469.04,168748.72,196781.38,249795.88,253584.53,195894.53
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141524.65,142917.47,130091.34
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.44,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7016.21,1325.3,1840.17,2762.43,3475.22,6069.7,6433.18,6809.45,6310.59
长期递延收益,0.0,0.0,524.17,490.17,1673.17,966.17,439.17,477.33,468.83,459.08,449.33,439.58,8137.35,578.91,565.45,0.0,5331.28,5167.35,8167.4,5007.62,43504.21,71095.37,70067.39,71764.61
其他非流动负债,548.63,558.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.83,78214.5,78214.5,78214.5,61918.74,61918.74,45551.77,45551.77,45551.77
非流动负债合计,548.63,558.17,524.17,490.17,1673.17,2180.91,2704.99,477.33,468.83,459.08,449.33,439.58,50157.35,578.91,565.45,101267.69,163290.73,163641.67,178613.37,239150.3,308274.03,516023.28,518930.61,449612.84
负债合计,47165.06,45226.08,40195.37,41480.74,52174.58,51914.49,57133.17,30146.87,31739.45,26552.65,33597.93,32859.87,154910.39,50853.76,29192.22,221034.76,363026.64,429074.87,490918.58,594100.25,731206.25,1031555.66,1020964.54,929934.14
实收资本(或股本),10040.0,10040.0,10040.0,10040.0,10040.0,10040.0,10040.0,13388.0,13388.0,13388.0,13645.0,13645.0,13645.0,13645.0,27290.0,47386.79,47386.79,47386.79,47386.79,80537.08,80537.08,80537.08,80537.08,87723.76
资本公积,23727.27,23727.27,23727.27,23727.27,23727.27,23727.27,23727.27,95155.97,95155.97,95155.97,102262.02,102262.02,173138.21,104770.29,91416.21,216484.14,219812.07,219812.07,221579.78,188674.25,189402.71,178264.36,178838.11,655389.32
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7173.92,7173.92,7173.92,7173.92,7173.92,4970.13,5021.74,5021.74,5021.74,4849.28,2813.73,2813.73,2813.73,0.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,3162.32,4296.63,4900.23,7192.64,7192.64,7914.23,7914.23,7914.23,8912.45,8912.45,8912.45,8912.45,9759.77,9759.77,9759.77,9759.77,11575.35,11575.35,11575.35,11575.35,13515.36,13515.36,13515.36,13515.36
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,10851.45,14604.84,23484.4,27972.92,24257.83,32256.58,31805.16,35300.82,39797.56,42045.91,36300.61,39970.59,74339.04,31912.12,33702.06,91600.94,109363.03,130593.08,130296.22,154581.78,174463.86,188286.96,196535.99,228748.5
归属于母公司股东权益合计,47781.04,52668.75,62151.9,68932.84,65217.75,73938.09,73486.67,151759.03,157253.98,159502.33,153946.16,157616.15,263708.1,152913.27,154994.12,360261.53,383115.5,404345.55,405816.4,430519.18,455105.29,475531.98,484354.77,1001353.71
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84145.73,0.0,0.0,22225.31,24104.72,26256.48,28245.07,30599.59,33007.3,56677.85,58109.34,41538.54
所有者权益(或股东权益)合计,47781.04,52668.75,62151.9,68932.84,65217.75,73938.09,73486.67,151759.03,157253.98,159502.33,153946.16,157616.15,347853.83,152913.27,154994.12,382486.83,407220.22,430602.03,434061.47,461118.77,488112.59,532209.83,542464.11,1042892.25
负债和所有者权益(或股东权益)总计,94946.1,97894.83,102347.28,110413.57,117392.33,125852.58,130619.84,181905.9,188993.43,186054.98,187544.09,190476.02,502764.23,203767.02,184186.34,603521.59,770246.85,859676.9,924980.04,1055219.02,1219318.84,1563765.49,1563428.65,1972826.39
