报表日期,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,123011.45,140391.26,73556.81,111282.17,167481.03,54550.56,96373.88,147830.8,225733.12,66865.53,119101.27,178181.78,260055.68,70007.74,116378.86,176059.85,250153.93,54503.51,97109.18,149523.39,206781.91,56273.88,102565.37,160211.06,225660.12,58460.36,98375.26,154279.62,227132.85,66409.1,113940.32,178350.07,256513.37,74692.24,126103.86,192145.64,273321.71,80066.53,135347.97,202471.09,285704.08,57942.72,112208.5,176060.99
营业收入,123011.45,140391.26,73556.81,111282.17,167481.03,54550.56,96373.88,147830.8,225733.12,66865.53,119101.27,178181.78,260055.68,70007.74,116378.86,176059.85,250153.93,54503.51,97109.18,149523.39,206781.91,56273.88,102565.37,160211.06,225660.12,58460.36,98375.26,154279.62,227132.85,66409.1,113940.32,178350.07,256513.37,74692.24,126103.86,192145.64,273321.71,80066.53,135347.97,202471.09,285704.08,57942.72,112208.5,176060.99
二、营业总成本,102585.55,114931.26,54671.04,82173.12,125538.62,36120.76,69498.24,106409.89,166090.11,43414.9,81025.76,125333.08,184589.28,44613.98,78540.27,122894.89,186006.37,39193.76,73293.66,117131.13,170997.35,41374.21,77730.91,125600.88,183533.57,42801.08,81053.64,127489.3,190814.17,48193.43,91201.03,143549.89,208921.87,51982.14,99494.08,157757.84,231924.77,59242.31,110899.56,167425.99,245924.22,48293.21,95031.45,151976.08
营业成本,64781.32,73145.78,31378.72,48630.51,74424.14,23742.94,41964.31,64717.64,100117.56,28790.66,50537.81,75558.03,109762.1,30264.5,49305.5,73572.06,108037.87,23770.64,41531.44,66031.13,90470.24,24354.23,42915.67,67578.49,94857.22,24889.31,41064.37,65167.76,97988.05,28071.16,47442.39,75700.68,109244.25,31202.21,52863.03,82466.98,118599.66,34693.03,58364.14,87360.98,123590.83,24626.61,45651.66,71667.65
营业税金及附加,142.2,177.15,129.19,302.97,390.06,434.76,991.77,1725.61,2710.47,727.7,1687.72,2233.76,2722.12,952.28,1532.36,2095.67,3065.37,639.22,1226.96,1861.07,2523.34,725.96,1322.2,1936.9,2679.16,702.35,1155.01,1758.26,2878.2,865.02,1575.73,2273.0,3336.93,1122.36,1936.44,2658.86,3753.09,979.99,1672.4,2388.08,3424.75,615.2,1295.44,1992.98
销售费用,25201.9,32486.06,18152.21,25601.49,39052.9,9067.25,19607.37,30129.23,47563.3,10242.23,23695.31,37760.86,55826.32,10289.26,23292.71,36941.73,58161.94,10835.49,23400.27,36337.1,56785.3,11305.51,23393.14,36350.08,57971.22,12566.04,27518.99,41897.96,63495.38,14543.1,31113.24,45909.98,69428.89,14642.0,31795.92,49584.82,75878.32,18273.65,38863.83,59374.06,92376.61,17670.29,36164.15,59130.03
管理费用,8974.99,8191.76,4127.43,6786.38,10493.86,2796.69,7093.77,10363.6,15531.34,3322.73,7485.18,11892.85,18655.36,3660.47,8962.67,13664.81,18334.98,4713.83,9810.02,14713.32,20588.41,4539.92,9253.11,14126.05,20563.66,4472.7,9185.44,13985.05,19650.42,4075.29,8300.23,13101.92,18245.3,4855.21,10397.03,13488.02,19040.84,4150.22,9193.79,14001.39,20465.84,5233.42,10420.53,16293.87
财务费用,1425.25,256.28,35.64,3.93,33.23,-46.69,-191.95,-800.37,-1929.36,-355.46,-4150.53,-5513.88,-6980.47,-1025.16,-5763.72,-6112.42,-7998.02,-1022.2,-4916.9,-7228.81,-7506.19,-195.38,-1933.57,-430.97,301.16,-343.6,-365.52,-879.84,-621.06,182.5,457.83,525.1,832.45,-40.64,193.8,679.16,-140.61,228.17,615.79,1029.44,1748.71,-665.04,-380.43,3.14
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580.94,3487.95,720.71,2189.6,3272.03,4317.48,812.73,1880.11,2888.41
资产减值损失,2059.89,674.24,847.84,847.84,1144.43,125.81,32.97,274.18,2096.8,687.03,1770.26,3401.45,4603.86,472.64,1210.74,2733.05,6404.23,256.78,2241.87,5417.32,8136.24,643.98,2780.37,6040.34,7161.14,514.28,2495.34,5560.12,7423.18,456.36,2311.62,6039.22,7834.05,200.99,2307.86,6299.06,11305.53,479.75,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2493.75,-3150.08,382.0,-1.11,65.58,-405.5,-397.59,15.26,13.87,13.87,14.18,2.79,-53.29,21.56,-1346.73,-5676.1,-5159.13,-5832.26,10880.95,1817.55,10245.3,22129.77
投资收益,-29.7,35.35,27.44,27.44,30.37,21.33,37.02,58.98,173.99,83.11,375.87,454.36,491.45,238.97,1043.17,1406.18,2446.11,1369.86,3000.18,5409.37,7242.4,1288.01,5018.84,2831.41,5750.23,298.06,3200.51,7753.42,9273.98,1540.17,4792.95,7050.87,11199.06,1478.34,5540.28,6597.13,24713.35,20253.57,22418.45,25296.97,10036.92,681.67,4832.54,-355.08
其中:对联营企业和合营企业的投资收益,-29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.65,0.0,-162.96,-162.96,-352.96,0.0,-181.19,-181.19,-590.42,0.0,-243.86,-88.11,-6105.31,0.0,-368.65,-368.65
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,20396.2,25495.35,18913.21,29136.48,41972.78,18451.13,26912.66,41479.89,59817.0,23533.74,38451.38,53303.07,75957.85,25632.73,38881.76,54571.14,66593.66,16679.61,26815.71,37801.63,43026.96,16187.68,27359.54,34291.52,48258.78,15956.22,20587.7,34138.25,45195.07,19771.1,27943.48,42267.29,60987.79,24657.8,32959.29,42668.12,66588.63,35489.24,38823.86,46269.27,45727.61,7650.66,25012.67,32807.85
