报表日期,2007-03-31,2007-09-30,2007-12-31,2008-03-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,22441.33,73207.86,42712.93,101495.63,92247.24,159778.92,48526.59,128755.48,152420.26,196412.97,56585.8,166599.11,84886.75,89887.2,79499.1,141407.28,269440.84,276117.85,84711.01,286276.33,238195.46,319714.01,69238.4,271580.92,372927.34,271097.98,124968.19,172310.82,108469.44,169355.43,111949.05,179979.23,98322.88,137205.02,96366.2,162894.48,76226.97,212759.93,172296.02,278908.36,219885.1,244262.68,149783.12,187759.43,217990.61,154170.3
交易性金融资产,12000.0,15050.0,14650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31331.55,28992.51
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224561.65,0.0,0.0,0.0,245367.87,276337.33,310719.01,210313.8,174789.17,0.0,0.0,0.0,0.0,276900.65,336965.3,0.0,276306.13,268624.22,302213.9,375285.55,373634.53,470479.78,560889.93,540389.81
应收票据,490.68,0.0,1138.0,701.0,835.0,0.0,0.0,0.0,0.0,0.0,519.02,310.09,0.0,0.0,525.0,50.0,3812.56,0.0,5773.59,1411.26,6642.91,11636.48,34355.09,13704.83,23429.94,23103.9,51220.28,35190.37,71254.57,98898.32,57681.47,45250.0,90895.14,7550.91,31656.0,88099.63,109035.76,75013.18,74806.66,89176.66,131168.47,117195.31,135814.23,151401.09,220228.38,186034.74
应收账款,3703.11,18459.81,22083.02,21445.87,22390.2,82535.33,67901.34,45318.45,105915.29,153918.77,73104.95,96268.07,144711.27,134039.13,88369.09,93623.34,118469.79,158388.33,155690.43,168465.77,191082.2,168369.46,190206.56,230048.05,198438.69,182215.86,194147.59,241146.96,239464.43,111415.48,117107.7,162512.4,83499.36,207703.54,106664.72,188801.02,227929.54,193067.76,201499.47,179447.56,171045.43,258090.23,237820.3,319078.69,340661.55,354355.08
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,7715.06,16729.14,3377.08,104724.88,80078.76,76287.01,5329.16,25746.45,5195.73,2804.2,2638.85,3859.9,2519.1,1513.84,826.49,1214.26,655.74,1712.06,4203.07,4352.38,3370.23,11009.57,2830.67,3759.16,4066.04,4463.62,4341.24,4093.31,3878.49,3583.69,1553.75,1892.71,1913.73,1902.26,1223.1,1422.94,1572.81,1794.86,1273.01,3039.73,3102.23,2340.37,1741.29,4675.84,3869.95,3292.27
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13794.54,0.0,0.0,0.0,2552.47,5482.01,18315.62,5802.63,2347.31,0.0,0.0,0.0,0.0,4268.1,23316.78,0.0,19134.68,2513.3,28010.79,24691.49,267749.47,272801.37,22722.38,24225.18
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.07,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
