报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
一、营业总收入,102415.55,128512.66,145386.21,147832.3,131484.15,157720.14,23662.3,58418.84,132948.59,159164.36,26624.83,66029.1,140097.51,177724.11,27276.02,71682.47,163169.35,195821.59,34067.93,83282.14,178899.89,222266.81,31393.18,83503.65,186390.95,230326.84,40362.85,100277.46,208435.2
营业收入,102415.55,128512.66,145386.21,147832.3,131484.15,157720.14,23662.3,58418.84,132948.59,159164.36,26624.83,66029.1,140097.51,177724.11,27276.02,71682.47,163169.35,195821.59,34067.93,83282.14,178899.89,222266.81,31393.18,83503.65,186390.95,230326.84,40362.85,100277.46,208435.2
二、营业总成本,85543.73,111196.5,130218.39,136303.44,115008.32,142075.65,26943.94,62135.21,114612.6,143631.38,28956.59,65715.98,117014.65,154054.4,31054.63,70473.55,134998.69,169894.31,35152.04,77677.24,144103.56,189788.61,34883.75,80094.48,150440.28,193639.5,39806.22,92125.35,166948.42
营业成本,39663.62,50069.25,56701.06,56848.76,49508.55,58904.42,9934.77,23544.63,47819.25,57717.16,10487.38,25297.51,48499.62,59841.71,10768.6,27597.06,57617.15,68908.75,11833.89,29751.96,60984.67,81000.07,12176.57,31748.55,64798.95,79231.82,14213.37,35889.97,67249.65
营业税金及附加,1100.22,1492.59,1669.78,1716.32,1775.83,2050.66,267.39,714.84,1667.76,1980.94,238.5,758.41,1724.31,2123.98,176.75,759.03,1603.69,1930.06,267.34,750.12,1565.09,1948.53,307.06,808.18,1755.85,2084.16,283.13,898.3,2033.33
销售费用,36266.7,46077.27,56728.23,61627.14,52833.01,65833.5,14647.52,32315.91,55829.79,70659.03,15437.88,33638.09,57137.0,76177.24,17308.82,36359.83,65868.3,84952.77,19955.67,41340.06,72316.15,94286.14,19784.32,42051.1,74813.05,98743.42,21959.68,48667.19,86101.34
管理费用,6962.48,9951.78,11237.89,11253.57,8861.06,12874.22,2192.09,5006.61,8264.06,11813.59,2838.46,5733.12,9192.86,12773.61,2640.61,5481.98,9123.36,11002.84,2533.84,5158.8,8183.31,11118.74,2309.48,4791.88,7829.35,11879.77,2543.96,5078.97,9025.74
财务费用,385.26,479.44,407.99,-9.48,20.34,4.72,-97.84,-9.69,37.82,18.95,-45.64,-67.7,-53.73,-102.03,-14.85,16.19,33.87,-21.47,-14.6,-1.1,-22.4,-52.38,-39.43,-28.19,6.14,-1.25,473.03,887.46,1253.29
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.05,346.11,677.4,1076.74,1487.51,345.75,722.96,1236.93,1701.58,333.05,703.45,1285.07
资产减值损失,1165.46,3126.18,3473.44,4867.13,2009.52,2408.12,0.0,562.91,993.92,1441.72,0.0,356.54,514.59,3239.9,174.7,259.47,752.32,1769.31,229.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.53,663.21,1665.15,517.45,1020.2,327.11,521.22,684.75,1565.15,920.06
投资收益,2604.23,6636.62,218.4,453.0,237.08,489.7,285.78,359.53,544.27,860.74,196.8,822.77,1612.32,2731.53,720.19,1511.4,2258.7,3622.2,735.93,778.85,1135.93,1051.66,-63.77,-267.75,539.84,1554.62,-288.42,-883.45,-6.75
