报表日期,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
一、营业总收入,12594.71,31604.73,50835.35,70641.87,18656.52,46239.13,73810.2,101547.44,25277.43,62523.4,99753.29,133510.01,32891.79,81322.62,130789.38,185818.09,63551.09,162824.7,259638.96,382398.06,104419.04,231907.78,367553.32,500412.42,120930.0,295505.06,488573.29,696685.74,183566.48,399435.37,621000.27,845320.7,153279.96,447334.64,747240.95,1064916.18,286827.2,579121.36,933814.95
营业收入,12594.71,31604.73,50835.35,70641.87,18656.52,46239.13,73810.2,101547.44,25277.43,62523.4,99753.29,133510.01,32891.79,81322.62,130789.38,185818.09,63551.09,162824.7,259638.96,382398.06,104419.04,231907.78,367553.32,500412.42,120930.0,295505.06,488573.29,696685.74,183566.48,399435.37,621000.27,845320.7,153279.96,447334.64,747240.95,1064916.18,286827.2,579121.36,933814.95
二、营业总成本,11356.58,28040.29,46025.8,63482.3,17033.24,40653.37,65937.07,90607.46,22899.14,54312.32,87915.74,118747.21,30594.55,72380.39,117907.73,168915.3,59066.67,144994.52,233076.7,345000.67,95538.48,206160.2,328884.97,461472.91,110533.43,261798.36,438750.72,633130.38,169627.9,354662.15,557669.46,761318.19,147301.59,374235.75,617329.47,886264.8,236813.7,485136.49,761985.95
营业成本,8174.01,20268.78,33334.98,45414.28,12030.45,28616.67,46318.15,63865.09,16226.33,39026.48,63267.37,84778.41,21690.79,51680.72,84920.56,123346.09,44964.4,110987.75,177918.98,261963.7,71048.08,153898.38,243145.92,333213.44,81987.25,196321.09,324528.57,459510.01,126627.83,267933.63,420519.95,573539.89,108853.35,281969.91,467581.06,657870.57,177782.23,368039.55,573417.26
营业税金及附加,55.78,89.86,152.44,187.86,37.87,81.35,140.76,207.62,68.3,127.42,197.26,247.75,62.37,164.27,240.9,320.76,170.14,437.88,783.11,1125.36,404.82,770.12,1332.85,1889.39,395.77,1006.26,1801.56,2633.96,771.06,1526.89,2114.54,2917.72,525.15,1251.06,2212.32,3684.72,975.51,1996.35,3187.96
销售费用,1317.05,3173.67,5291.4,7911.42,2363.76,5180.27,8059.86,11584.17,2932.96,6105.98,10006.59,13438.11,3750.2,7768.79,12290.48,16411.49,5348.6,12387.4,21013.56,32682.68,9399.81,17855.96,30647.64,46418.46,10907.76,23419.97,42275.04,64865.08,16042.73,33401.58,53128.94,76077.46,14120.14,38202.35,64138.53,96637.4,25944.37,47190.23,78031.42
管理费用,1807.98,4506.64,7488.32,10302.62,2615.5,6782.39,11495.03,15008.56,3790.22,9143.44,14510.87,20233.72,4885.72,11843.54,18826.44,26292.14,8086.23,19834.68,30760.91,45131.28,12584.96,28479.84,44977.12,63857.86,13493.24,31990.47,43807.79,61665.04,15516.45,31813.67,50958.27,66720.48,14320.58,30151.16,48763.26,76574.17,20260.77,40855.97,64322.15
财务费用,-43.03,-125.43,-408.6,-535.58,-79.86,-166.78,-275.61,-230.74,-200.75,-264.64,-319.74,-280.85,169.69,751.12,1404.84,2251.51,330.97,970.62,1957.58,3383.61,2162.73,4571.21,7593.46,11160.82,3443.17,7627.6,12154.83,17105.05,5670.81,10397.66,15819.27,20871.5,4810.85,10178.64,14711.75,19587.51,4313.94,10393.39,14851.07
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11778.4,16626.54,3825.03,9588.71,15128.5,21191.15,4671.53,12482.65,19922.55,31910.42,7536.88,16661.0,28176.09
资产减值损失,44.79,126.77,167.26,201.7,65.53,159.48,198.89,172.75,82.08,173.65,253.38,330.07,35.77,171.96,224.5,293.3,166.32,376.2,642.55,714.03,-61.93,584.69,1187.99,4932.94,306.23,1432.98,2404.53,10724.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
