报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,129950.85,272305.01,448029.0,2488677.66,595770.45,1206976.28,1912300.45,2794805.44,721883.8,1517420.67,2279023.53,3322324.71,691853.14,1691136.78,2596750.51,3808011.22,857746.44,1975921.45,3009086.32,4291661.83,963075.67,2001148.83,2969896.53,3807920.25,834633.61,2046710.67,3038828.29,4239079.67,825960.64,1898416.83,2847354.27,3903616.48,768555.91,1820494.23,2600079.99,3601794.37,928720.3,1821961.43,2363971.28,3328572.38,558597.83,1457770.24,2091333.5,3083023.04,659414.45,1654197.46,2206016.68,3070614.54,785052.22,1584116.56,2298927.09,3284032.11,819009.78,1775297.05
营业收入,129950.85,272305.01,448029.0,2488677.66,595770.45,1206976.28,1912300.45,2794805.44,721883.8,1517420.67,2279023.53,3322324.71,691853.14,1691136.78,2596750.51,3808011.22,857746.44,1975921.45,3009086.32,4291661.83,963075.67,2001148.83,2969896.53,3807920.25,834633.61,2046710.67,3038828.29,4239079.67,825960.64,1898416.83,2847354.27,3903616.48,768555.91,1820494.23,2600079.99,3601794.37,928720.3,1821961.43,2363971.28,3328572.38,558597.83,1457770.24,2091333.5,3083023.04,659414.45,1609891.79,2133378.24,2972965.56,758516.95,1530989.14,2218402.26,3177758.58,791642.88,1722049.34
二、营业总成本,106088.13,223880.12,361490.82,2243905.81,494650.5,1123695.13,1796672.11,2639698.3,681445.34,1432914.0,2142321.75,3159634.48,640755.35,1580730.21,2411288.39,3544250.05,788575.27,1812417.8,2755618.13,3966079.69,881425.61,1860293.89,2766581.82,3574680.64,783902.16,1916879.88,2833126.09,3986259.53,778690.4,1806997.62,2739205.22,3795520.46,760592.73,1799677.02,2577257.0,3580485.8,926089.77,1869686.67,2490075.58,3552129.63,553862.46,1423053.49,2057461.05,3050830.34,643134.87,1604474.51,2118833.92,2992669.17,746661.14,1452986.03,2122759.39,3069795.32,750977.36,1634270.15
营业成本,96752.91,203319.69,326949.46,2008866.96,494650.5,1018536.03,1604665.51,2338992.2,614187.4,1284506.67,1921464.83,2751082.87,555888.86,1388856.79,2104183.82,3037987.79,683867.83,1563277.03,2386739.32,3395439.76,770565.02,1609589.2,2386453.87,3000192.27,679873.14,1671311.92,2449711.81,3374286.67,694616.8,1595965.72,2403364.84,3249580.57,678591.26,1603535.22,2264713.52,2995976.14,838681.82,1620903.5,2100743.57,2927776.61,474520.37,1207713.09,1737977.59,2530329.19,549368.36,1350550.13,1752697.92,2356828.65,590409.27,1199390.91,1731915.14,2493843.79,654195.35,1395274.86
营业税金及附加,13.72,896.98,1890.45,5824.67,964.69,2287.96,2495.99,5863.63,532.48,1482.48,3405.52,7464.93,3587.39,10875.88,16321.68,22747.84,2858.84,9477.82,17412.4,23783.09,5928.75,15926.65,23389.46,28480.56,7608.78,15459.21,21510.96,30246.77,6049.82,11423.8,15663.44,23786.26,5735.63,14612.76,26125.38,33007.68,5197.25,10964.61,16193.12,37771.18,4666.82,16927.08,20749.73,30868.34,7527.83,17449.66,20701.98,33451.74,8083.6,13323.77,15139.23,24009.93,4037.74,9876.16
销售费用,697.52,3291.81,4271.15,38524.67,7337.81,20005.17,34060.81,46440.0,15385.4,34842.94,54041.99,78812.8,14846.0,33732.08,62744.57,80697.28,15311.79,35300.47,55543.82,88869.71,16652.11,37478.66,56547.81,85052.16,15588.21,43168.83,59165.42,96062.82,13441.37,31260.86,49714.91,89192.93,12584.99,34405.33,51217.24,96488.35,24039.9,51065.39,69202.17,144695.79,19789.21,53816.97,67022.64,85393.53,16656.15,45172.93,69829.93,135797.21,19617.19,46106.12,96620.64,130849.98,13861.29,36524.57
管理费用,7899.46,16426.85,27438.99,165912.94,30337.39,61562.3,107922.35,168363.11,35436.49,80224.17,124093.34,226088.46,51621.53,112508.44,173460.98,308152.41,73154.33,151172.15,229082.16,339772.5,73362.48,157226.28,236793.66,357833.36,72978.59,155812.45,236611.96,372879.38,65251.33,145025.59,225111.82,360966.03,69799.8,144557.2,216839.38,336176.27,62577.56,146712.99,228965.38,356268.02,61261.12,146341.55,218952.84,360986.41,62948.86,114859.31,188825.24,250140.21,63585.17,114470.31,169000.55,238052.38,53286.72,103230.5
财务费用,-1115.04,-1366.74,-2824.54,-4534.14,2866.89,9506.63,15632.36,18249.92,6223.09,8421.58,8695.55,13521.46,1441.6,-898.11,2855.4,-4019.81,-1198.61,-2755.19,-3582.64,-8790.76,-1754.78,-1127.42,-1082.21,-8462.92,1051.5,-4506.07,-2978.05,-13357.23,-2999.41,-10578.55,-9180.96,-18127.7,-2008.5,-9212.08,-25869.8,-47700.14,-6999.67,-25359.14,-35605.1,-64145.72,-4959.67,-21887.62,-31091.47,-30969.46,-4340.13,-15502.98,-34559.0,-38054.29,8153.25,-3029.75,-16753.34,-13965.97,-5760.25,-3644.63
资产减值损失,1839.55,1311.53,3765.32,29310.71,10251.92,11797.04,31895.08,61789.44,9680.48,23436.15,30620.52,82663.96,13369.98,35655.14,51721.94,98684.55,14581.1,55945.51,70423.07,127005.39,16672.03,41200.51,64479.25,111585.21,6801.94,35633.53,69103.98,126141.11,2330.48,33900.2,54531.18,90122.37,-4110.46,11778.59,44231.28,166537.49,2592.91,65399.33,110576.45,149763.75,-1415.4,20142.42,43849.72,74222.32,10973.8,44806.83,50211.45,52400.3,-668.27,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,84.16,0.0,-56.9,-66.92,-71.21,9.97,14.87,16.92,161.95,-9.57,1158.63,1336.31,2666.29,10.31,3213.51,2301.34,-4108.72,-812.19,-5665.46,-6718.44,-2984.6,1192.65,2178.44,2609.85,2217.23,341.82,-58.17,792.73,3261.32,-838.86,-10.74,-666.51,-2093.99,-293.9,-453.62,-285.76,-489.53,235.47,-387.15,-535.35,-563.25,-31.48,-827.61,-281.16,8364.54,-4592.88,-7888.43,-12243.3,-12607.32,-7207.22,-11014.68
