报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,280355.29,1534035.95,2171841.77,2926096.83,913628.37,2097874.62,2843207.76,3312778.44,616598.26,1579726.57,2543550.26,3552518.25,1517341.27,3322440.64,4691536.58,6327956.44,1845480.09,3662741.38,4718037.42,6001926.51,1353581.68,2705967.56,3626785.82,4816539.48,1315633.19,3092161.9,4333267.0,5831171.34,1663764.7,3411143.46,5614638.29,7963716.15,1753892.55,3645525.99,5457171.38,7371991.58,1887931.0,4228651.12,6289187.57,9318352.14,3498830.1,7231326.56,11155067.77,15156939.22,3921205.74,8226390.69,11818246.13,15925583.23,4521163.33,9086249.65,12670825.79,17436089.25,3899920.83,9449455.91,14738364.52,19749109.29,6547081.58
营业收入,280355.29,1534035.95,2171841.77,2926096.83,913628.37,2097874.62,2843207.76,3312778.44,616598.26,1579726.57,2543550.26,3552518.25,1517341.27,3322440.64,4691536.58,6327956.44,1845480.09,3662741.38,4718037.42,6001926.51,1353581.68,2705967.56,3626785.82,4816539.48,1315633.19,3092161.9,4333267.0,5831171.34,1663764.7,3411143.46,5614638.29,7963716.15,1753892.55,3645525.99,5457171.38,7371991.58,1887931.0,4228651.12,6289187.57,9318352.14,3498830.1,7231326.56,11155067.77,15156939.22,3921205.74,8226390.69,11818246.13,15925583.23,4521163.33,9086249.65,12670825.79,17436089.25,3899920.83,9449455.91,14738364.52,19749109.29,6547081.58
二、营业总成本,0.0,1360950.31,1925532.04,2594771.93,798389.61,1855837.57,2543370.37,3047697.66,570569.26,1420618.78,2227055.75,3103723.41,1293414.59,2875622.25,4036491.62,5410941.41,1589883.41,3196770.99,4138848.63,5300712.73,1228296.15,2473536.73,3343862.89,4469803.76,1215853.56,2835527.44,4006609.19,5401714.4,1543037.88,3129053.39,5213400.67,7460568.37,1664155.37,3492719.39,5261066.07,7123339.63,1802373.52,4042274.81,6024123.92,8903038.31,3309192.52,6830290.94,10447508.71,14168594.95,3600976.45,7549726.96,10881617.05,14652767.32,4123805.56,8266613.94,11578854.79,16061977.68,3595617.93,8788067.32,13703262.51,18504780.89,6046351.89
营业成本,0.0,1179473.07,1659356.9,2235236.35,690579.5,1642557.01,2246432.86,2642903.18,495390.36,1239714.68,1940030.0,2686747.56,1136383.66,2544609.82,3581509.69,4770405.39,1420551.31,2873285.89,3693114.83,4680660.66,1088087.75,2187017.82,2934001.13,3877504.41,1038612.91,2463998.71,3458335.08,4628777.71,1307630.17,2714379.97,4439218.88,6254777.55,1344571.73,2802894.48,4196396.78,5676011.61,1455661.85,3262510.19,4832647.53,7209998.31,2776984.09,5698741.12,8735950.33,11846763.01,3015886.27,6433584.92,9260759.66,12368641.37,3541965.99,7110114.25,9875382.24,13635323.54,3024673.22,7598964.32,11865680.01,15935264.91,5292871.11
营业税金及附加,0.0,7845.82,10090.53,12832.54,5349.95,9713.97,10691.99,13412.54,2479.91,6652.99,11070.84,15666.39,9284.44,17817.45,23245.15,29504.95,10628.27,16522.06,18291.52,22200.93,6082.01,11370.45,14512.11,18722.87,7095.24,14131.49,19468.45,27244.4,8693.25,14679.06,19074.27,26608.55,4457.77,9605.26,13359.08,18407.25,7325.61,14281.71,20784.32,45085.82,18760.77,37319.0,56685.34,73806.87,21699.07,39929.44,50642.75,72321.6,18905.03,37502.04,46960.46,66396.11,16541.7,43262.82,60135.81,83067.12,26969.29
销售费用,0.0,77150.81,117146.31,153698.16,48490.65,98132.37,136996.49,163139.45,28456.73,69338.61,115201.13,169682.81,73061.7,154512.18,207285.73,292522.75,73163.04,153109.85,209959.45,290685.56,51925.27,128441.39,174765.75,243347.85,64108.4,153546.05,223142.71,315278.06,82488.14,154328.73,318493.89,508807.6,136745.76,287001.07,448671.96,624616.95,150819.69,347783.3,518765.27,764462.9,242946.4,502742.44,779634.75,1033777.05,263847.13,547359.55,787995.83,1061917.24,273561.79,536973.64,794488.82,1125407.36,271795.84,531250.28,815714.91,1086245.75,340822.56
管理费用,0.0,73172.78,106107.85,154346.71,32749.2,76183.18,113090.49,162401.06,27077.31,74130.74,109577.17,173996.97,50091.0,121272.5,165089.58,258426.22,65835.68,143527.39,203871.09,302227.57,67916.91,139474.38,210413.66,323266.64,85201.18,174937.11,262903.65,385630.23,111370.2,207845.47,378944.93,640526.31,169004.91,355654.85,545906.27,717382.14,174461.88,373851.17,557403.68,765167.96,210469.92,459309.33,694509.97,960158.77,228045.48,319617.91,460965.22,625950.55,157289.6,328115.57,489336.49,690019.94,170456.31,339739.62,533346.6,770993.18,222675.78
财务费用,0.0,12900.71,18543.7,23574.84,7752.0,16692.64,23547.55,28633.21,3533.64,9286.87,13794.39,14657.12,4102.06,6784.53,8569.94,9508.09,481.91,347.09,1121.28,3078.07,-304.29,47.16,-1448.79,-984.44,-1166.26,6385.0,14866.17,21666.61,3546.47,10474.73,12047.65,2308.47,-11191.11,18303.41,25827.91,48583.72,-11425.14,8925.38,22895.96,19882.29,18515.66,36871.65,60048.75,59075.3,20031.23,5664.55,9958.99,7534.39,10817.85,14134.26,14109.21,22033.38,-1441.77,16619.53,23644.76,27901.59,-9834.76
资产减值损失,0.0,10407.12,14286.75,15083.33,13468.31,12558.41,12610.98,37208.22,13631.32,21494.9,37382.22,42972.57,20491.74,30625.77,50791.53,50574.01,19223.19,9978.7,12490.46,1859.95,14588.49,7185.53,11619.02,7946.43,22002.09,22529.08,27893.14,23117.39,29309.66,27345.43,45621.05,27539.89,20566.32,19260.32,30904.07,38337.97,25529.63,34923.06,71627.16,98441.04,41515.69,95307.4,120679.56,195013.95,51467.27,17932.62,26641.24,63351.93,2540.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.9,367.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13297.45,13301.93,15013.79,-853.07,-15013.79,-15849.66,-15627.1,-222.4,-916.34,-1538.38,-2335.31,-11423.34,-8622.51,-10837.78,-15532.08,-4954.35,14246.01,16853.66,10076.89,-16428.94,2687.38,2799.27,17706.23,4292.82,2550.7,12743.72,7125.95,9825.76,12967.56,-22233.69,-40959.83,13436.94
