报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
一、营业总收入,17902.54,35717.19,54594.8,76880.79,21734.56,45883.95,72083.87,98217.11,26652.5,56272.81,89778.43,136605.22,41227.68,74979.93,107576.27,137687.99,27908.22,54528.58,83421.76,106308.84,19984.2,42435.6,71887.1,109120.05,23357.5,46660.99,67790.09,90280.45,18720.21,38091.14,59457.07,87149.17,22791.67,43280.9,60459.72,72976.15,15454.03,32446.03,49319.07,67984.75,11292.12,27892.99,48104.3,68696.94,23128.15,44360.06,64272.23,85911.0,29808.87,55393.42,84469.1,104960.95,28680.42,58521.82,80603.05,111627.73,30403.53,58104.89
营业收入,17902.54,35717.19,54594.8,76880.79,21734.56,45883.95,72083.87,98217.11,26652.5,56272.81,89778.43,136605.22,41227.68,74979.93,107576.27,137687.99,27908.22,54528.58,83421.76,106308.84,19984.2,42435.6,71887.1,109120.05,23357.5,46660.99,67790.09,90280.45,18720.21,38091.14,59457.07,87149.17,22791.67,43280.9,60459.72,72976.15,15454.03,32446.03,49319.07,67984.75,11292.12,27892.99,48104.3,68696.94,23128.15,44360.06,64272.23,85911.0,29808.87,55393.42,84469.1,104960.95,28680.42,58521.82,80603.05,111627.73,30403.53,58104.89
二、营业总成本,17398.76,35362.03,53878.83,85725.46,21131.35,44723.55,70779.39,96942.02,25988.26,52085.19,81075.43,114194.22,29563.34,54487.21,80728.86,104576.55,25521.5,54181.14,84123.7,114757.22,24274.84,57179.83,92476.59,142498.92,29757.65,62405.13,89630.15,116433.52,24089.32,50704.83,77984.3,117536.85,27327.9,52714.38,74688.74,109874.27,18003.67,35720.93,53015.84,71840.47,14232.3,32964.05,52645.21,83301.59,22474.74,43024.65,61582.5,82345.27,26110.37,47615.93,71414.57,88552.4,25313.02,50244.23,70074.21,97277.72,27115.32,52041.67
营业成本,13473.02,28728.99,44259.52,63340.28,17767.37,37688.11,59820.56,77697.62,20069.19,40765.11,62723.14,89020.13,22007.24,42188.46,63226.37,82139.24,19736.18,40814.17,65554.63,86763.73,18428.41,42865.38,72862.86,106767.19,23547.65,44901.54,65968.5,84054.17,16308.3,33478.62,52969.3,80991.52,21777.65,42023.72,57765.45,69052.52,14349.95,28992.92,42033.28,54096.43,9015.33,23668.47,39864.56,56837.75,18777.78,34266.83,47964.55,63710.22,20288.01,36472.05,55032.31,68134.11,18469.99,37445.85,51903.07,74727.99,21452.21,41295.67
营业税金及附加,55.49,129.05,247.75,336.92,80.89,198.02,317.98,466.47,238.77,420.88,616.72,957.53,222.5,451.82,721.88,960.5,48.04,61.3,133.02,846.13,71.61,390.71,404.14,449.33,36.05,57.86,120.08,501.25,63.15,76.08,99.41,223.28,86.85,142.83,170.36,229.01,120.82,197.16,223.23,686.45,199.89,394.08,696.36,891.51,299.24,550.19,823.98,1048.36,346.22,606.02,935.97,1187.73,345.45,677.76,929.18,1313.86,357.56,669.71
销售费用,1100.57,1559.35,2158.8,2785.57,892.55,2072.86,2978.33,4753.41,1677.53,2967.86,4044.29,4636.05,2000.54,2962.11,3726.66,4103.39,654.32,2136.31,2901.21,4084.75,525.89,1363.11,2530.34,4273.71,476.04,1430.13,1886.53,2738.1,326.03,1192.73,1735.17,2861.98,965.23,1777.0,2333.64,2660.43,368.83,817.79,1291.23,1962.65,345.4,867.46,1417.82,2106.58,703.04,1668.54,2519.41,3128.88,762.62,1363.94,2040.66,2512.49,805.13,1227.78,1625.95,1057.79,184.62,398.36
管理费用,2245.4,3692.91,5252.06,6939.0,1441.76,2942.3,4863.89,10711.39,3242.67,6689.6,12596.68,17281.83,4619.39,7992.56,11669.44,15593.43,3990.66,9427.9,12898.25,17726.27,4317.61,8557.7,12435.64,18808.69,3825.06,8325.57,12147.51,15180.83,3125.96,6703.14,10401.83,15365.4,2516.19,5275.04,9359.95,13953.44,1950.79,4158.33,6977.46,9857.83,3684.64,6365.61,8634.37,11136.59,2088.59,5096.55,5257.37,7445.56,2834.52,6333.78,9078.7,10207.45,4592.15,8172.05,10844.25,12881.41,3417.25,6018.14
财务费用,524.28,1167.35,1876.31,2789.93,948.76,1790.74,2767.09,3551.97,760.09,1259.86,921.18,1195.66,286.08,645.2,1039.55,1616.69,792.11,1520.77,2874.93,4227.49,1368.8,2642.19,3986.26,5817.7,1781.89,3629.34,5469.11,6603.77,1076.81,2378.36,3626.18,4864.38,863.78,1818.53,2443.03,3346.97,1011.99,1878.26,2635.16,3240.31,755.13,1620.38,2029.38,2473.5,513.08,783.39,1017.88,1381.68,389.22,603.7,772.44,1155.53,324.74,637.57,1089.5,1428.75,117.52,495.08
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2754.02,3646.7,942.19,2236.45,3554.48,5355.09,775.54,2083.21,3682.27,5867.92,1586.15,3164.71
资产减值损失,0.0,84.39,84.39,9533.76,0.0,31.52,31.52,-238.84,0.0,-18.13,173.42,1103.01,427.58,247.06,344.97,163.3,300.19,220.69,-238.34,1108.86,-437.48,1360.73,257.34,6382.3,90.96,4060.69,4038.41,7355.4,3189.07,6875.9,9152.42,13230.29,1118.19,1677.26,2616.32,20631.89,201.28,-323.53,-144.53,1996.8,231.91,48.05,2.72,9855.65,93.0,659.15,1245.29,1983.86,547.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
