报表日期,2007-12-31,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,11106.9,15408.35,21795.61,6982.59,14695.55,21398.94,28995.27,6438.72,13782.08,22175.5,32386.66,10212.07,21846.98,37079.74,54557.56,13882.31,33094.73,52597.48,81670.0,20900.5,44488.52,72672.3,111333.59,35024.84,73815.88,126140.53,190616.23,46271.01,114414.15,204341.82,271345.66,83552.05,195860.76,304416.46,441180.63,99354.72,233638.1,376595.83,522909.05,130780.22,286837.26,424289.08,625949.56,155299.73,279208.88,417551.94
收到的税费返还,77.67,0.0,277.8,0.0,45.0,0.0,499.41,0.0,0.0,0.0,509.5,0.0,0.0,0.0,642.0,0.0,0.0,0.0,490.0,0.0,0.0,0.0,358.36,0.0,0.0,0.0,716.31,0.0,0.0,0.0,2316.07,0.0,0.0,0.0,3653.89,0.0,0.0,0.0,1557.04,0.0,1560.81,2960.85,2960.85,0.0,56.23,56.23
收到的其他与经营活动有关的现金,61.27,134.15,240.43,120.13,139.47,329.66,677.88,148.97,700.48,1073.05,1446.68,589.87,1414.76,1207.01,1947.97,366.4,1473.44,1787.45,2790.48,48.98,273.62,2230.84,4669.06,820.44,4257.43,4741.81,4745.58,188.03,1598.63,7011.04,6182.24,3895.53,8094.28,9039.29,6989.17,287.91,9591.71,16856.83,19578.91,4200.81,6948.09,7041.07,19286.9,1507.45,2869.85,5826.57
经营活动现金流入小计,11245.84,15542.5,22313.84,7102.72,14880.02,21728.6,30172.57,6587.69,14482.56,23248.55,34342.85,10801.94,23261.73,38286.75,57147.53,14248.71,34568.17,54384.93,84950.49,20949.49,44762.14,74903.14,116361.01,35845.29,78073.31,130882.34,196078.12,46459.03,116012.78,211352.87,279843.97,87447.58,203955.04,313455.75,451823.69,99642.63,243229.81,393452.66,544045.0,134981.04,295346.16,434290.99,648197.31,156807.18,282134.95,423434.74
购买商品、接受劳务支付的现金,6011.08,10576.71,15510.2,3951.0,8719.38,12553.9,17334.0,3665.18,8807.48,14622.19,21766.99,6935.9,15039.52,23428.97,34570.9,10261.11,20956.91,33481.48,47866.49,12128.32,26336.64,40348.12,61828.62,20931.69,46332.18,70520.45,103146.59,26670.73,66409.62,125742.46,154332.25,54387.8,112625.05,187787.65,270445.17,66807.05,141123.11,229931.0,319817.33,81411.56,185749.47,285424.92,409738.6,104859.58,180618.97,278991.07
支付给职工以及为职工支付的现金,667.74,1032.98,1580.51,597.13,1257.42,2100.61,3323.01,1285.59,2420.8,3771.65,5488.17,1860.27,3337.3,5062.57,7060.69,3159.39,6208.95,8748.03,10388.33,4161.21,7246.62,10703.9,14811.54,6757.71,12597.57,19200.62,24813.11,11142.53,19004.69,27839.76,38560.5,15008.86,29641.37,44644.97,54035.48,24027.74,49798.53,74313.71,90431.49,33471.79,51899.71,81547.19,112165.84,32701.63,58685.37,86558.87
支付的各项税费,455.66,979.88,1505.21,277.79,806.38,1251.42,1637.6,404.49,893.84,1394.25,1614.26,618.99,1235.07,2208.53,2709.21,1133.55,1946.13,3008.85,4138.2,1189.51,2807.17,4384.67,6743.27,1953.39,4439.82,5570.58,7912.64,1391.48,3619.46,5203.77,6779.38,1009.06,5499.19,6643.93,6653.37,6501.01,8608.75,12029.1,13647.33,3695.6,15007.59,16785.11,20738.24,2585.31,7586.44,13707.43
支付的其他与经营活动有关的现金,1149.3,1581.38,1507.97,299.66,969.72,2124.94,2316.5,604.52,1261.55,2024.38,2696.61,773.06,1854.33,2534.2,2985.82,710.14,1829.44,3078.1,4060.47,1101.83,2116.97,3362.88,5419.97,1885.3,3348.24,5318.5,8016.23,1945.43,3654.97,5586.36,8373.4,2496.57,4845.94,8412.45,13549.24,4487.71,12812.09,17947.44,56290.81,7648.77,16009.74,23106.49,32044.48,7621.68,13758.37,23668.96
经营活动现金流出小计,8283.79,14170.94,20103.89,5125.59,11752.9,18030.88,24611.1,5959.78,13383.67,21812.47,31566.03,10188.23,21466.22,33234.27,47326.62,15264.19,30941.42,48316.46,66453.48,18580.87,38507.41,58799.58,88803.4,31528.09,66717.8,100610.15,143888.58,41150.17,92688.75,164372.36,208045.53,72902.28,152611.55,247488.99,344683.27,101823.51,212342.48,334221.24,480186.96,126227.72,268666.5,406863.71,574687.16,147768.2,260649.16,402926.34
经营活动产生的现金流量净额,2962.05,1371.56,2209.95,1977.14,3127.12,3697.73,5561.46,627.91,1098.89,1436.08,2776.82,613.71,1795.51,5052.47,9820.91,-1015.48,3626.74,6068.48,18497.0,2368.61,6254.73,16103.56,27557.61,4317.2,11355.52,30272.19,52189.55,5308.86,23324.03,46980.51,71798.44,14545.3,51343.49,65966.76,107140.42,-2180.88,30887.33,59231.42,63858.04,8753.32,26679.66,27427.29,73510.15,9038.98,21485.8,20508.4
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48600.0,100450.0,168900.0,238150.0,48450.0,57050.0,121443.28,163050.0,34850.0,61960.0,109170.0,173020.0,68400.0,166725.0,265591.24,310651.24,118620.0,221145.2,347250.0,559281.62,267868.54,507196.7,648266.31,828529.01,212786.78,324815.26,534244.3,897601.72,340946.0,592214.18,1000796.28
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.48,80.16,121.67,164.54,47.95,92.27,153.36,354.72,272.83,473.72,845.36,2924.72,860.91,1907.86,3052.65,4893.37,1078.82,1754.79,3163.83,4679.03,1901.87,5381.26,6449.17,8235.8,1764.08,6931.12,10491.83,12202.15,10606.99,16151.1,18907.66
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.45,0.0,0.0,0.11,9.94,0.0,10.0,10.0,20.2,0.0,8.74,9.61,9.61,0.02,1.02,1.05,18.41,0.54,4.11,4.28,4.28,0.31,0.48,1.13,176.12,17.82,113.64,183.49,790.41,7.43,280.41,283.12,850.53,55.62,63.95,978.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,19.0,57.69,57.69,57.69,57.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154657.35,154657.35
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31619.61,0.0,2370.77,7431.77,289.91,3505.79,3575.79,1187.79,0.0,0.0,0.0
