报表日期,2007-12-31,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,418480.8,444209.33,87385.01,209963.92,352834.9,480151.74,116989.98,284125.29,465976.21,633910.97,164479.75,400189.89,632667.15,828819.83,178529.97,435272.84,776665.01,1070316.34,207015.54,541464.86,856569.55,1195650.72,239069.51,584959.0,930742.63,1276723.0,226138.38,558994.94,877496.74,1202646.65,238152.05,563055.38,910859.42,2016454.53,398095.27,990542.78,1593658.55,2341655.0,509514.27,1190231.6,1911055.82,2742083.27,599486.29,1442754.09,2247716.53
营业收入,418480.8,444209.33,87385.01,209963.92,352834.9,480151.74,116989.98,284125.29,465976.21,633910.97,164479.75,400189.89,632667.15,828819.83,178529.97,435272.84,776665.01,1070316.34,207015.54,541464.86,856569.55,1195650.72,239069.51,584959.0,930742.63,1276723.0,226138.38,558994.94,877496.74,1202646.65,238152.05,563055.38,910859.42,2016454.53,398095.27,990542.78,1593658.55,2341655.0,509514.27,1190231.6,1911055.82,2742083.27,599486.29,1442754.09,2247716.53
二、营业总成本,360688.29,385564.66,72422.43,171150.92,289847.48,410052.55,96919.76,235472.15,391655.81,550266.11,142202.41,346715.28,551426.1,720647.51,152505.03,370553.92,656461.94,906445.68,176308.13,455119.13,715497.73,1001734.11,201904.22,483577.24,766773.34,1051761.8,188172.54,460956.16,720728.86,989953.79,199122.64,466186.11,754341.43,1744569.59,359006.16,856453.23,1380969.67,2045969.48,463128.41,1029211.7,1650096.24,2403729.87,541803.55,1247379.51,1932491.73
营业成本,320671.66,332381.78,61588.15,146379.43,246311.03,344929.41,84196.91,206187.19,339088.95,469676.19,127584.62,310494.35,489841.03,629673.32,130160.48,318457.41,553883.05,749873.17,146612.05,379998.85,596771.32,817872.0,164955.62,398849.49,631830.69,853042.89,150315.72,369704.13,577200.17,783481.52,158185.91,370667.97,605678.51,1413340.83,285074.81,697745.97,1116545.03,1655086.92,372178.74,839824.42,1342176.63,1928562.52,438270.03,1037017.37,1586740.73
营业税金及附加,2013.51,2666.81,794.77,1687.21,2549.76,3144.49,823.45,1764.42,2787.55,3448.04,1009.43,2110.93,3258.85,3938.77,1129.98,2960.61,4992.57,7086.59,1413.92,3468.87,5272.62,7234.18,1645.61,4027.32,6468.58,8681.75,1659.71,4011.71,5999.21,8006.59,1622.42,3686.47,6155.48,14095.34,3929.84,8473.07,12564.31,17284.79,3353.09,8003.29,12049.0,16565.1,3510.74,8799.71,13101.89
销售费用,20516.24,23594.83,4586.86,9836.53,17286.34,24237.83,4625.68,10980.5,17304.84,30408.73,6157.35,14458.33,22668.84,33949.24,9050.37,19248.74,37639.77,64048.83,11111.97,28673.73,44242.48,70010.24,13478.77,33840.09,51911.76,79911.02,13217.78,34762.92,55707.74,79996.07,15518.58,37671.85,58591.73,101228.8,23811.48,53679.32,94322.07,134146.98,30092.7,69807.06,118107.79,174281.99,36485.18,84327.59,140083.09
管理费用,16489.07,24309.12,5227.29,12117.63,23489.79,36409.54,7417.84,16430.43,33561.92,49333.02,11434.48,24417.72,40139.63,58790.51,14465.72,30176.82,58942.99,82388.18,16801.02,39089.11,62529.64,87643.75,18472.64,40563.58,64822.82,91487.51,18311.84,41731.13,68996.74,102178.67,20549.2,49537.12,78909.14,159943.62,33100.23,71000.79,119579.59,180975.78,39903.88,88181.4,89553.32,126125.37,29678.81,61161.95,93630.19
财务费用,2147.42,1605.88,225.36,-57.31,-313.29,-519.94,-75.11,59.74,-1308.71,-2008.69,-4744.82,-5683.69,-5287.96,-6285.09,-3416.6,-2355.15,-1548.85,448.91,-1137.55,1290.08,3633.5,6461.14,1575.19,4060.06,8368.9,11694.88,3699.35,6187.69,6002.41,8696.15,2644.03,2596.51,2270.61,41570.09,11651.64,20111.38,32294.19,50533.32,16042.66,19704.33,24311.44,38931.14,15889.08,21098.15,34399.57
资产减值损失,-1149.6,1006.23,0.0,1187.43,523.85,1851.23,-69.01,49.87,221.27,-591.17,761.36,917.64,805.71,580.75,1115.09,2065.49,2552.41,2600.0,1506.72,2598.49,3048.16,12512.81,1776.39,2236.71,3370.59,6943.74,968.15,4558.57,6822.6,7594.8,602.51,2026.18,2735.96,14390.91,1438.15,5442.7,5664.48,7941.68,1557.35,3691.2,7181.05,24626.67,0.0,0.0,0.0
公允价值变动收益,14.08,-5.25,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8,194.12,-1079.08,-3356.48,302.19,505.06,809.93,-920.07
投资收益,-761.16,513.15,-55.1,154.91,-47.65,-52.07,-36.6,-5.03,136.9,242.41,-74.18,13.33,342.55,454.28,294.49,366.64,347.06,2729.79,491.28,1610.86,3299.41,4154.55,1277.82,2427.77,5087.59,5956.01,1449.77,3150.76,5088.87,5970.5,1069.53,2057.09,3229.19,15832.71,4004.37,8103.45,11064.77,21402.26,23572.62,42145.83,55893.4,72859.98,4926.23,13791.69,23798.89
其中:对联营企业和合营企业的投资收益,-881.43,464.69,-55.1,-37.99,-47.65,-99.86,-36.6,-5.03,136.9,167.41,-74.18,13.33,29.61,141.34,-18.44,53.7,125.28,158.66,18.68,320.21,635.47,899.69,199.37,377.28,585.86,808.41,152.3,473.02,587.64,637.44,197.8,375.54,555.81,7386.72,2081.93,1083.23,7811.44,9837.51,2169.55,9546.34,13793.47,19731.58,4990.44,12513.46,17366.03
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,57045.42,59152.58,14907.48,38967.91,62939.76,70052.37,20033.61,48648.11,74457.29,83887.27,22203.16,53487.93,81583.6,108626.6,26319.43,65085.55,120550.13,166607.67,31198.69,87956.59,144371.23,198071.16,38443.1,103809.53,169056.88,230917.22,39415.61,101189.54,161856.75,218663.35,40098.94,98926.36,159747.17,287717.65,43093.48,147849.79,232149.25,338319.37,73510.93,209200.64,326109.53,424988.68,67637.88,214039.81,344130.04
加:营业外收入,438.76,448.05,78.87,7666.9,7854.91,7916.66,56.79,161.25,263.75,1256.29,88.01,150.11,230.97,587.88,105.43,213.11,3186.89,2591.33,701.89,301.26,1611.24,4757.59,335.98,781.4,1481.18,2677.31,239.32,976.77,1481.73,3690.78,507.08,1437.32,2538.42,20636.95,3210.15,3975.2,4903.55,2796.08,521.99,1106.42,1834.48,1298.76,495.67,1052.33,1378.62
减：营业外支出,1006.87,2412.37,148.49,1296.32,8530.76,8988.07,208.5,424.59,710.63,998.61,215.64,575.88,923.66,1356.64,246.35,611.88,1799.52,2182.44,278.85,734.94,1259.45,2682.8,313.69,849.09,1322.17,1209.2,271.29,2284.93,2819.9,2841.68,399.71,889.37,1067.76,4843.98,147.17,291.83,1400.52,1654.53,240.07,632.1,705.12,1986.02,101.02,603.34,791.23
其中：非流动资产处置损失,129.36,94.05,1.24,31.5,75.01,213.06,30.22,46.53,57.58,88.47,10.68,61.5,78.89,124.65,8.88,26.0,725.67,780.19,24.15,111.87,139.76,188.84,14.3,41.39,72.12,128.5,8.49,59.03,134.85,214.13,43.05,91.35,259.61,1216.03,7.07,60.79,833.73,0.0,0.0,58.2,0.0,0.0,0.0,0.0,0.0
