报表日期,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,100564.48,114146.04,140767.16,198327.12,46236.65,104470.82,161337.34,216076.95,39824.43,91452.74,161823.29,240591.63,82027.58,189542.83,311343.25,396350.94,72317.12,154950.47,940597.34,1363167.06,381654.4,804287.87,1396886.88,1982396.54,621180.9
营业收入,100564.48,114146.04,140767.16,198327.12,46236.65,104470.82,161337.34,216076.95,39824.43,91452.74,161823.29,240591.63,82027.58,189542.83,311343.25,396350.94,72317.12,154950.47,940597.34,1363167.06,381654.4,804287.87,1396886.88,1982396.54,621180.9
二、营业总成本,90329.68,100324.05,130591.21,187129.18,43021.08,97479.93,151253.69,203130.3,37591.73,87487.41,153241.95,228179.08,75647.2,171884.99,283240.05,384946.32,69868.03,162870.27,875648.25,1260358.8,328264.29,690197.76,1197055.37,1706254.42,509208.62
营业成本,81674.91,85905.52,113950.17,160128.95,36617.31,83346.04,128795.09,172609.12,32166.96,73939.65,130920.43,191185.28,59150.22,136218.07,228598.52,303561.97,56328.42,127875.21,690448.64,989770.81,258659.5,544184.37,971447.46,1389419.81,419748.52
营业税金及附加,64.27,118.52,191.86,317.48,59.13,217.44,242.46,328.82,53.85,117.33,188.17,502.82,146.95,570.74,957.13,1209.53,102.24,167.7,1071.04,1677.99,302.16,1039.94,1413.66,1870.76,502.13
销售费用,2218.65,3220.15,4204.7,6102.34,1241.43,3433.03,4925.72,6247.39,1549.74,3500.03,5274.34,7371.53,1868.45,4360.2,6250.63,8642.38,2290.15,4363.12,27820.69,40151.41,8256.75,16646.85,24859.07,37136.97,10534.83
管理费用,4692.31,7795.93,9926.06,16364.82,3938.42,7794.75,13071.32,18662.24,3966.29,8348.6,13135.77,21961.28,12128.76,24909.1,39156.99,44500.27,9697.85,16657.97,46416.01,73061.94,16876.89,34363.55,56218.37,77593.97,20835.73
财务费用,995.98,1936.02,2144.22,2707.91,998.3,1724.06,2646.5,3390.06,956.72,1828.78,3043.04,4827.42,1419.26,2151.68,2769.35,5287.24,104.72,6500.11,16550.95,27448.22,8598.18,13146.5,20250.79,27545.8,10681.04
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12734.45,2610.44,7306.15,93340.92,128248.44,35570.82,80816.54,122866.01,172687.1,46906.38
资产减值损失,683.55,1347.91,174.2,1507.68,166.49,964.61,1572.6,1892.68,-1101.83,-246.98,680.2,2330.75,933.56,3675.21,5507.43,9010.49,-1265.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.33,160.0,191.0,207.0,6053.84,665.79,3280.77,10753.91,45085.59,-9954.65
投资收益,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,279.01,1802.18,4612.33,-9.61,78.33,0.0,-140.61,-146.57,2107.7,19179.6
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-24.53,0.0,0.0,0.0,-1018.81,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,10234.8,13821.98,10175.95,11200.91,3215.57,6990.89,10083.65,12946.65,2232.7,4032.36,8778.13,13212.96,6611.4,18069.96,28520.71,12082.32,4547.2,-706.53,43721.88,78510.66,48898.09,104839.6,184584.57,295625.67,117543.62
加:营业外收入,295.68,364.17,1577.13,1314.38,73.79,427.62,1153.78,1433.18,1398.36,1544.07,1589.17,1424.11,29.32,120.58,300.94,337.11,18.49,171.67,461.67,555.07,112.62,2883.17,4844.19,4359.55,137.17
减：营业外支出,437.69,154.47,111.0,68.12,101.98,205.31,230.87,190.03,0.01,0.14,30.52,98.29,8.16,64.06,67.32,141.01,33.26,35.82,389.96,619.81,54.18,195.8,590.6,871.96,41.13
其中：非流动资产处置损失,5.19,8.75,0.04,0.04,0.0,0.38,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,10092.79,14031.67,11642.08,12447.17,3187.39,7213.19,11006.55,14189.8,3631.05,5576.28,10336.78,14538.77,6632.56,18126.48,28754.33,12278.42,4532.43,-570.69,43793.59,78445.93,48956.53,107526.97,188838.17,299113.25,117639.66
减：所得税费用,1462.88,1299.56,1844.88,1664.51,441.61,681.54,974.29,1045.78,343.75,324.18,1313.14,2198.38,2773.17,3679.4,5694.05,710.27,75.24,-1951.07,5917.58,7918.27,4312.55,9880.27,18071.26,30801.08,9781.18
五、净利润,8629.91,12732.11,9797.2,10782.67,2745.77,6531.65,10032.26,13144.02,3287.3,5252.1,9023.64,12340.4,3859.39,14447.08,23060.28,11568.15,4457.19,1380.38,37876.02,70527.65,44643.98,97646.7,170766.91,268312.17,107858.48
归属于母公司所有者的净利润,8629.91,12732.11,9797.2,11536.98,2837.04,6906.57,10648.36,14169.09,3596.67,5881.01,10035.78,13715.63,4288.0,15578.72,24592.72,13880.44,5106.89,2528.44,13512.65,46563.22,44510.91,99009.59,172657.34,270610.93,104083.22
少数股东损益,0.0,0.0,0.0,-754.31,-91.27,-374.92,-616.1,-1025.07,-309.37,-628.91,-1012.14,-1375.23,-428.62,-1131.64,-1532.44,-2312.29,-649.7,-1148.06,24363.37,23964.43,133.07,-1362.9,-1890.43,-2298.76,3775.27
