报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,356524.58,835505.3,1297165.85,1877609.8,461499.08,1019758.66,1667536.83,2422826.81,514516.05,1123605.61,1766792.96,2499800.67,607005.47,1386827.41,2235834.9,3450828.17,931451.97,2232726.46,3497481.39,4865380.88,885949.99,2055915.49,3224689.01,4576620.34,990579.88,2358708.83,3700801.53,5526167.66,1262962.85,2878448.34,4367454.47,6075850.09,1122933.77,2422332.32,3796886.79,5097603.6,1060719.29,2397310.94,3794900.32,5593190.1,1363897.72,3190791.63,5003862.6,7531081.98,1876652.2,4574224.72,7779205.18,12840262.57,3050053.25,7164382.58,11075638.28,15703032.81,2320707.77,7400689.51,12398357.16
营业收入,356524.58,835505.3,1297165.85,1877609.8,461499.08,1019758.66,1667536.83,2422826.81,514516.05,1123605.61,1766792.96,2499800.67,607005.47,1386827.41,2235834.9,3450828.17,931451.97,2232726.46,3497481.39,4865380.88,885949.99,2055915.49,3224689.01,4576620.34,990579.88,2358708.83,3700801.53,5526167.66,1262962.85,2878448.34,4367454.47,6075850.09,1122933.77,2422332.32,3796886.79,5097603.6,1060719.29,2397310.94,3794900.32,5593190.1,1363897.72,3190791.63,5003862.6,7531081.98,1876652.2,4574224.72,7779205.18,12840262.57,3050053.25,7164382.58,11075638.28,15703032.81,2320707.77,7400689.51,12398357.16
二、营业总成本,321781.36,712864.22,1099438.13,1560975.14,418044.84,880077.53,1446420.02,2129800.87,465388.59,973772.85,1503663.57,2075379.23,524739.72,1181349.32,1866146.41,2692140.51,648916.47,1475259.19,2344090.29,3380736.19,755558.53,1743165.04,2786641.14,3875721.99,878850.91,1994570.62,3040081.87,4352433.85,949360.67,2139174.91,3338579.93,4693492.62,948998.23,2066717.27,3278099.82,4416516.66,946723.37,1994237.23,3092235.45,4557712.65,1143808.99,2507185.05,3936222.16,5708194.68,1288711.28,2942311.57,5182367.08,8997946.11,2304719.45,5261301.58,8140343.15,11416989.75,1731294.34,5414745.61,9398828.71
营业成本,267882.15,591156.83,910440.12,1292570.56,344690.46,732756.95,1222063.06,1819165.64,400712.52,838140.66,1297129.61,1786540.28,460444.31,1036931.27,1638117.59,2343666.99,561028.0,1284476.62,2043811.09,2924582.54,650197.16,1502621.93,2402406.99,3306191.62,742778.01,1692376.45,2589419.08,3701808.22,813170.84,1847209.55,2891545.43,4026433.0,794071.73,1739247.83,2787937.56,3688785.52,796558.14,1669033.64,2591448.06,3776995.9,967849.57,2158060.83,3380817.88,4888773.03,1102489.16,2551171.56,4559606.61,8123003.14,2109664.04,4839850.98,7484976.74,10476009.01,1509984.8,5076418.07,8816164.44
营业税金及附加,2000.83,0.0,9181.58,13407.92,2964.31,6300.35,10345.24,14843.55,2581.95,5774.94,9169.08,13395.17,2741.34,5839.22,9380.72,16272.97,4428.98,12286.97,19370.87,27834.5,3247.42,10259.51,15991.28,24050.77,4621.74,11905.74,18917.11,29678.76,5802.3,14817.01,22993.62,33999.48,4772.02,26512.88,35160.54,42526.12,4524.35,12385.98,20962.5,67245.0,23634.92,46038.49,66407.28,94698.77,31120.37,68860.3,102581.83,145766.78,31467.12,66955.16,99395.65,140304.91,23568.55,60266.36,90359.87
销售费用,25972.89,5241.59,88422.02,121922.77,30556.13,63391.91,98648.9,136642.49,33315.42,70411.82,106588.37,141956.87,32911.47,71173.07,111008.5,154645.06,35877.98,80061.49,124882.84,185920.53,40206.77,96285.57,156286.13,227976.59,55471.0,120947.12,187283.39,268450.47,55826.98,131947.16,200273.71,293683.47,59780.31,137013.57,212420.32,310509.38,68031.95,150521.96,231511.11,327641.37,74398.24,159172.66,248370.02,357193.0,72808.09,166927.02,265931.98,373329.47,89320.48,198312.46,313715.74,441657.46,77660.5,179165.11,289293.27
管理费用,11638.95,57942.24,47062.51,72075.67,17547.35,34421.82,54690.16,84123.32,19727.83,41013.14,62222.18,97617.03,18531.13,44302.56,73091.51,125414.57,34461.65,70222.92,112568.54,178941.33,41025.73,88988.6,140032.55,217304.61,48505.6,100061.58,154580.96,239576.65,54928.65,108125.94,174652.96,267985.77,66829.98,131446.51,194262.77,317759.61,70541.24,144094.08,224085.79,314359.98,72760.5,136373.19,222827.14,345969.05,76398.22,159073.07,269476.35,375216.73,99382.14,216501.24,333981.89,474115.42,95069.74,177255.45,295634.62
财务费用,14286.54,28415.95,44331.91,60712.7,22286.59,43206.5,60672.66,75123.59,9050.86,18432.29,28554.33,35646.94,10141.53,23232.02,34905.56,48098.6,13121.86,28214.0,43459.75,62908.93,20881.45,45011.43,71926.2,100205.91,27424.89,53210.98,73812.57,96851.0,19631.92,37080.64,49119.61,71448.91,23544.19,32496.47,48332.67,56950.07,7067.7,18210.02,24236.44,33685.67,5165.75,7539.87,17799.84,21561.97,5895.42,-6554.73,-19777.14,-47409.08,-26676.67,-62972.28,-95742.5,-133816.92,23736.21,-86413.04,-122008.27
资产减值损失,0.0,30107.61,0.0,285.52,0.0,0.0,0.0,-97.73,0.0,0.0,0.0,222.95,-30.06,-128.82,-357.48,4042.33,-2.0,-2.8,-2.8,548.37,0.0,-2.0,-2.0,-7.51,49.68,16068.75,16068.75,16068.75,0.0,-5.39,-5.39,-58.0,0.0,0.0,-14.04,-14.04,0.0,-8.45,-8.45,37784.73,0.0,0.0,0.0,-1.15,0.0,0.0,0.0,20699.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,175.3,239.92,685.04,-707.89,-1488.81,-289.3,-934.9,-1216.7,270.69,253.65,1331.88,1075.11,798.17,-115.16,-161.72,227.67,2131.71,3551.09,1600.54,-4895.23,-2526.36,380.34,377.96,574.99,639.31,0.0,0.0,-27.59,230.66,766.86,2998.49,2790.74,2283.36,-749.79,-1123.57,-967.06,25759.69,18416.06,-2127.28,290.16
投资收益,-43.92,115.59,241.4,423.76,36.53,1893.18,2410.41,5688.38,585.15,652.04,2049.64,1594.05,23.52,257.76,1212.62,2725.34,513.71,8772.9,12425.95,12873.54,-290.36,-735.25,-2546.93,411.24,-734.32,-1946.91,-603.46,-264.07,1113.5,-2560.59,-1008.35,-2141.31,7244.6,188515.38,191311.06,188090.21,-2275.34,-6675.81,21000.14,39908.85,48281.66,188164.74,193419.23,202668.69,8534.63,26990.05,40485.9,65848.51,27028.04,68282.4,106829.2,120908.09,16078.41,81104.81,122799.37
其中:对联营企业和合营企业的投资收益,-43.92,0.0,0.0,370.57,36.53,250.97,377.21,400.48,-26.77,13.94,182.21,-128.59,23.52,257.76,1212.62,2725.34,513.71,2043.4,2259.8,2707.39,-290.36,-783.41,-2882.91,-2282.86,-744.69,-4241.55,-2907.5,-2568.11,1008.88,-2665.21,-4062.17,-5947.78,5483.3,118394.56,118994.29,-3817.92,-6555.34,-6759.48,-5524.73,0.0,-2782.04,-75.88,4997.83,12006.32,7601.19,21021.88,30763.14,46038.07,16337.03,43442.55,62926.51,85362.27,14179.78,42283.73,65583.8
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,34699.3,122756.66,197969.12,317058.42,43490.77,141574.3,223527.22,298714.32,49711.4,150484.8,265179.03,426015.49,82289.26,205735.85,370901.11,761588.31,283289.11,766925.2,1165109.16,1496029.42,129811.8,311080.3,434284.24,701580.28,111248.31,363523.19,661191.32,1174267.91,314600.52,736551.12,1028093.86,1382347.86,184731.23,545730.97,705202.81,866650.79,112100.91,396775.86,724239.99,1076025.6,268370.39,896054.13,1298737.5,2082529.79,619169.18,1701143.71,2701492.59,3988235.59,793040.79,2013601.83,3111255.67,4405733.76,648080.83,2114506.26,3255140.91
加:营业外收入,4948.02,17175.02,25645.92,32397.74,4988.75,14338.75,19970.12,26732.2,3147.23,9862.93,14697.58,25728.11,18770.68,28676.74,38455.67,48946.67,17886.65,38229.22,52678.94,70332.73,35096.47,53351.34,69210.21,109573.94,17389.67,43176.14,69104.02,91384.84,18643.75,48713.92,79419.39,107426.99,30712.72,83479.99,111276.97,144448.66,40998.95,55476.03,79429.85,98119.83,26574.23,26491.91,39385.98,47989.78,12898.33,23418.43,52692.02,59068.18,11048.96,25117.48,48126.52,64812.67,20127.59,39781.32,68209.98
减：营业外支出,37.79,236.23,894.61,957.33,146.04,286.02,537.72,871.67,63.6,187.71,462.76,4089.34,53.9,140.59,175.8,2701.77,51.26,171.28,186.26,1142.83,277.82,576.59,877.63,2372.53,300.61,617.33,1009.38,2526.13,332.18,744.13,895.05,1493.86,237.59,5015.52,5811.43,7159.76,258.4,1952.99,2901.61,8824.83,253.69,2092.35,4555.81,7643.97,868.15,5996.43,7143.38,84384.17,1422.65,5119.24,10293.79,14861.9,1395.95,4641.54,6995.82
其中：非流动资产处置损失,0.0,0.0,0.0,599.44,0.0,88.33,256.78,536.69,6.41,95.55,125.18,3643.68,9.89,29.7,47.5,1568.92,32.76,91.63,93.27,209.96,186.42,219.42,284.61,561.18,68.57,68.57,312.76,856.27,285.38,370.83,517.68,937.68,161.5,64.51,745.35,1040.68,31.04,49.34,126.28,692.88,43.29,441.33,2465.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,39609.52,139695.45,222720.43,348498.82,48333.48,155627.03,242959.62,324574.86,52795.03,160160.02,279413.85,447654.26,101006.05,234272.0,409180.98,807833.2,301124.5,804983.15,1217601.84,1565219.31,164630.45,363855.05,502616.82,808781.7,128337.36,406081.99,729285.95,1263126.62,332912.09,784520.9,1106618.2,1488281.0,215206.36,624195.44,810668.35,1003939.68,152841.47,450298.9,800768.23,1165320.6,294690.93,920453.69,1333567.67,2122875.61,631199.36,1718565.72,2747041.24,3962919.59,802667.09,2033600.06,3149088.4,4455684.53,666812.46,2149646.04,3316355.07
减：所得税费用,11675.78,38505.47,57275.46,78097.73,1245.9,19088.31,34769.75,56622.66,10784.61,27039.62,49758.16,81459.63,18774.2,46812.25,80780.41,172400.48,75359.47,195147.54,293018.93,382784.91,38391.36,66832.91,101295.2,162558.72,28282.57,89084.86,165158.67,281981.23,74025.77,170227.49,239792.61,329521.42,43381.14,150082.75,197440.25,241144.52,35419.5,104278.94,178028.8,270256.34,66601.57,214701.01,308320.94,480002.22,140991.03,387577.51,616718.58,899318.14,182279.76,471752.17,709827.94,1020483.86,172079.9,487821.03,756794.26
五、净利润,27933.74,101189.98,165444.97,270401.09,47087.58,136538.72,208189.87,267952.19,42010.43,133120.4,229655.69,366194.63,82231.84,187459.75,328400.56,635432.72,225765.03,609835.6,924582.92,1182434.4,126239.09,297022.14,401321.62,646222.97,100054.79,316997.13,564127.29,981145.39,258886.31,614293.42,866825.59,1158759.58,171825.22,474112.69,613228.1,762795.17,117421.97,346019.96,622739.43,895064.26,228089.36,705752.68,1025246.73,1642873.39,490208.33,1330988.21,2130322.65,3063601.45,620387.34,1561847.89,2439260.46,3435200.67,494732.56,1661825.02,2559560.81
