报表日期,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一、营业总收入,830321.28,1403952.64,1751802.59,3173745.59,2069338.04,4296604.57,3467782.8,4426006.18,917193.91,1944523.72,2818466.81,4321852.25,980772.23,2111956.24,3049062.26,4115015.06,858402.71,1898375.97,2707274.87,3251120.09,583850.34,1227424.62,2030469.16,3313174.64,1227393.35,2558595.17,3940361.42,5092700.2,1258743.07,2624270.8,4113130.5,5722372.6,1440475.52
营业收入,0.0,1403952.64,1751802.59,3173745.59,2069338.04,4296604.57,3467782.8,4426006.18,917193.91,1944523.72,2818466.81,4321852.25,980772.23,2111956.24,3049062.26,4115015.06,858402.71,1898375.97,2707274.87,3251120.09,583850.34,1227424.62,2030469.16,3313174.64,1227393.35,2558595.17,3940361.42,5092700.2,1258743.07,2624270.8,4113130.5,5722372.6,1440475.52
二、营业总成本,753886.38,1170032.59,1449448.96,2268863.03,1371857.2,2807826.15,0.0,3285180.95,742892.22,1460718.03,0.0,3643837.7,852311.59,1911465.04,2811715.18,3817447.0,858085.12,1916290.72,2805127.98,3409033.81,571133.31,1189836.27,1865317.06,2853692.2,805237.05,1690031.84,2639956.55,3394498.53,790801.45,1657785.7,2681261.68,3964929.01,1053873.89
营业成本,0.0,817202.43,1019594.8,1678460.51,1011904.59,2095300.48,0.0,2540334.84,548719.67,1106726.66,0.0,2877250.94,632407.54,1365583.9,1986124.44,2693779.16,632982.43,1347322.82,1933152.08,2204138.97,364328.3,794872.34,1149386.19,1875628.05,543430.02,1165414.16,1803696.23,2271191.79,570072.82,1189369.51,1955761.81,2936104.71,802655.42
营业税金及附加,0.0,23669.26,33356.38,52816.34,31687.26,71928.52,0.0,83061.31,17837.48,40646.54,0.0,77121.59,17493.92,36405.31,53286.14,78189.18,32021.69,63411.01,91391.24,119009.57,26681.48,55845.94,90973.7,153787.99,64902.25,128822.24,197591.75,266907.88,69512.61,145929.4,216227.55,288186.35,80109.53
销售费用,0.0,73353.79,68693.26,76072.33,55175.74,85685.3,0.0,89141.9,24577.51,45936.72,0.0,166183.32,79122.29,237497.87,368027.96,516579.34,68927.53,253721.62,403888.79,565649.45,72620.68,137948.76,308421.1,393721.1,85696.28,192241.1,297247.75,359266.17,41957.38,103806.58,178009.38,219456.89,54020.27
管理费用,0.0,203490.31,285920.11,427953.49,248809.82,528299.26,0.0,528194.17,118661.25,212293.16,0.0,441524.43,99140.52,207429.62,321456.82,427363.2,89785.07,194285.18,301298.61,417807.85,88352.54,166250.62,276467.62,372399.31,97382.34,186302.58,293169.74,429750.96,105534.56,208083.01,327014.2,518399.18,113621.18
财务费用,0.0,40354.51,43155.96,25484.75,15674.39,22011.22,0.0,37597.21,20411.77,37672.48,0.0,74944.37,11280.41,35627.73,48503.44,63862.36,23780.5,44846.35,64900.08,81190.5,16031.53,27160.37,38604.15,45846.28,8349.33,13975.31,20896.58,27316.03,1402.74,6950.17,7364.81,5817.85,6398.82
资产减值损失,0.0,11962.3,-1271.54,8075.62,8605.39,4601.37,0.0,6851.52,12684.53,17442.47,0.0,6813.05,12866.91,28920.6,34316.39,37673.76,10587.9,12703.73,10497.18,21237.46,3118.77,7758.25,1464.3,12309.46,5476.82,3276.46,27354.49,40065.7,2321.34,3647.04,-3358.36,-4032.21,-2953.01
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170.94,108.78,108.78,108.78,81.44,29141.98
投资收益,0.0,25233.55,26960.33,65743.23,76101.62,127221.61,0.0,94427.82,19545.16,39779.97,0.0,76705.39,14674.86,31130.33,46803.05,60939.57,6234.49,13868.32,21053.16,43235.25,3872.78,21794.72,29165.96,52554.56,25531.0,48480.61,80369.06,123215.18,29785.71,66633.74,104756.31,145241.9,19002.51
其中:对联营企业和合营企业的投资收益,0.0,25145.54,26846.64,65198.25,76101.62,126481.51,0.0,93627.9,19545.16,39779.97,0.0,75939.12,14674.86,31130.33,46803.05,60939.57,5631.06,13450.05,20255.51,28485.98,3872.78,9352.44,16723.67,40558.65,25531.0,48480.61,80042.4,122982.3,28422.95,64583.21,102637.56,141769.44,18923.68
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,78351.11,259153.6,329313.95,970625.79,773582.47,1616000.03,1016767.86,1235253.06,193846.85,523585.66,640667.09,754719.94,143135.5,231621.53,284150.13,358507.63,6552.07,-4046.43,-76799.95,-114678.48,16589.8,59383.06,194318.05,512037.0,447687.3,918140.09,1382290.65,1823268.69,498113.65,1033987.05,1538074.46,1906149.41,435136.11
加:营业外收入,0.0,764.14,1706.15,3754.3,373.19,2866.04,0.0,7484.01,245.47,1070.53,0.0,7107.15,417.64,1055.84,2388.72,4980.15,985.4,3562.58,6358.45,16970.55,2563.24,4072.14,5860.48,8106.8,1212.07,1296.81,3293.03,3923.99,574.39,1410.81,2534.59,4422.27,706.88
减：营业外支出,0.0,3814.92,4272.71,9687.78,11341.24,26584.97,0.0,23295.1,10470.64,11702.55,0.0,14950.94,715.9,3327.37,3597.61,11679.73,10138.15,30822.36,44986.79,62254.6,1797.38,3550.84,5958.34,7618.67,287.33,2417.73,3243.32,5589.75,1419.45,4948.98,6531.52,35782.41,2936.51
其中：非流动资产处置损失,0.0,440.75,1228.51,4033.71,804.0,3836.49,0.0,856.5,0.04,845.44,0.0,1893.67,397.93,1115.61,1120.92,3105.23,1.59,1272.41,1604.2,2174.45,0.87,6.94,10.82,346.12,0.0,24.1,98.91,0.0,0.0,1506.41,0.0,0.0,0.0
四、利润总额,81095.58,256102.82,326747.39,964692.31,762614.41,1592281.1,997612.25,1219441.96,183621.69,512953.64,630121.71,746876.15,142837.25,229350.0,282941.24,351808.05,-2600.68,-31306.21,-115428.28,-159962.53,17355.65,59904.36,194220.19,512525.14,448612.04,917019.17,1382340.36,1821602.93,497268.59,1030448.88,1534077.53,1874789.28,432906.48
减：所得税费用,0.0,48806.58,48822.85,138742.57,105002.43,224551.36,0.0,170915.56,25756.58,81427.67,0.0,119852.44,24058.62,41014.81,51239.75,70597.45,4068.4,27613.07,27971.44,75043.66,7152.51,5838.8,27586.2,74554.14,50151.91,112905.66,181341.5,249035.63,68433.82,147713.75,213752.63,281873.53,54696.35
五、净利润,52909.91,207296.24,277924.54,825949.74,657611.99,1367729.74,858136.44,1048526.41,157865.11,431525.96,532693.98,627023.71,118778.63,188335.18,231701.49,281210.6,-6669.08,-58919.29,-143399.73,-235006.19,10203.14,54065.56,166633.99,437971.0,398460.13,804113.51,1200998.86,1572567.3,428834.76,882735.13,1320324.9,1592915.75,378210.13
归属于母公司所有者的净利润,52909.91,185385.5,219419.44,546954.56,448542.84,907411.81,536388.64,641680.38,83710.38,270315.1,319082.71,348622.38,59940.38,82580.85,92322.8,95149.7,-29104.73,-95482.86,-180566.07,-298854.16,-3884.72,25064.55,102633.01,275488.53,267378.49,547280.71,806833.73,1044940.0,284141.69,594415.79,886411.5,1099282.98,277453.99
少数股东损益,0.0,21910.74,58505.1,278995.18,209069.15,460317.93,0.0,406846.02,74154.73,161210.86,0.0,278401.33,58838.26,105754.34,139378.69,186060.91,22435.65,36563.58,37166.34,63847.97,14087.86,29001.01,64000.98,162482.47,131081.64,256832.8,394165.13,527627.29,144693.07,288319.34,433913.4,493632.78,100756.13
基本每股收益(元/股),0.0,0.25,0.24,0.61,0.5,1.01,0.0,0.71,0.0,0.3,0.0,0.39,0.06,0.08,0.09,0.1,-0.03,-0.0955,-0.18,-0.3,-0.0039,0.0251,0.1,0.28,0.27,0.55,0.81,1.04,0.28,0.59,0.89,1.1,0.2819
稀释每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,1331.49,-1106.37,-5590.03,0.0
八、综合收益总额,0.0,207296.24,277924.54,825949.74,657611.99,1367729.74,0.0,1048526.41,0.0,431525.96,0.0,627023.71,118778.63,188335.18,231701.49,281210.6,-6669.08,-58919.29,-143399.73,-235006.19,10203.14,54065.56,166633.99,437971.0,398460.13,804113.51,1200998.86,1572567.61,428834.76,884066.61,1319218.53,1587325.73,378210.13
归属于母公司所有者的综合收益总额,0.0,185385.5,219419.44,546954.56,448542.84,907411.81,0.0,641680.38,0.0,270315.1,0.0,348622.38,59940.38,82580.85,92322.8,95149.7,-29104.73,-95482.86,-180566.07,-298854.16,-3884.72,25064.55,102633.01,275488.53,267378.49,547280.71,806833.73,1044940.32,284141.69,595747.27,885305.13,1093692.95,277453.99
归属于少数股东的综合收益总额,0.0,21910.74,58505.1,278995.18,209069.15,460317.93,0.0,406846.02,0.0,161210.86,0.0,278401.33,58838.26,105754.34,139378.69,186060.91,22435.65,36563.58,37166.34,63847.97,14087.86,29001.01,64000.98,162482.47,131081.64,256832.8,394165.13,527627.29,144693.07,288319.34,433913.4,493632.78,100756.13
