报表日期,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
货币资金,1400.45,7256.81,4782.74,4300.9,3276.2,24727.81,19419.15,20557.17,12692.3,10154.8,7047.57,6483.63,3868.71,2057.92,1622.15,4147.2,831.88,25108.04,31840.1,60000.62,39067.05,109799.55,183153.83,179085.07,136249.61,209710.71,466776.93,235197.11,231143.76,323642.03,332084.27,375510.98,263057.75,422890.95,468671.43,444607.64,413835.6,252550.38,219851.78,193495.34,237257.75,294319.17,293848.24
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12538.32,16629.4,60137.02,224905.0,151999.93,299483.41,225157.04,175328.42,127701.87
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115673.19,0.0,193197.36,0.0,146984.19,0.0,166151.91,132735.81,164799.3,167762.76,196438.73,253385.34,271267.74,303999.23,235470.43,276004.72,221085.48,209118.78,141140.35,151865.37
应收票据,940.5,2542.3,3198.1,3558.79,1275.79,2231.26,1600.0,1818.79,2427.7,4342.3,2068.97,2988.53,4547.72,4795.61,3568.43,1769.13,2096.3,2340.33,1397.83,20.0,200.0,160.32,45.32,200.0,0.0,0.0,0.0,0.0,0.0,6707.37,2103.65,2913.78,2634.34,0.0,850.0,850.0,6450.0,8458.84,2310.35,4661.51,8900.0,11212.06,6693.75
应收账款,5240.68,5671.17,8576.34,10866.79,13973.4,13734.0,12519.1,13680.18,14604.94,14989.19,16280.75,15786.35,15550.67,15989.25,18816.92,19478.01,19581.26,69438.96,60097.5,58726.61,64149.89,67764.19,66151.71,115473.19,135671.75,193197.36,173209.14,146984.19,165902.75,159444.54,130632.16,161885.51,165128.43,196438.73,252535.34,270417.74,297549.23,227011.59,273694.37,216423.97,200218.78,129928.29,145171.62
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,453.32,245.62,272.19,2119.15,365.7,1347.17,1959.11,2139.09,3383.04,1013.72,1209.61,250.61,290.9,183.27,212.89,135.24,4.77,4850.82,8004.57,6290.63,7439.02,9303.6,48376.81,30627.45,43190.42,48328.48,57618.1,80619.02,111929.2,85164.78,86070.46,90874.87,105930.67,78974.22,81559.66,81466.26,81198.72,54187.73,43183.84,46339.01,43433.76,33092.49,35419.78
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8626.36,0.0,9583.1,0.0,18889.48,0.0,16722.46,11198.72,5722.36,79547.24,12091.85,14085.75,11932.58,10902.79,18337.71,21707.72,16010.57,12036.47,7219.18,8289.47
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,156.77,126.68,121.28,0.0,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.14,380.48,512.19,505.98,1005.76,754.08,769.8,766.11,992.91,1051.69,1256.32,628.79,0.0,650.39,978.34,996.41,434.27,699.74,808.12,593.4,348.17,0.0,0.0
应收股利,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,187.5,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6317.5,0.0,0.0,0.0,0.0
其他应收款,307.2,155.07,52.54,93.21,84.98,91.9,475.03,178.33,228.73,259.88,259.13,284.87,264.63,314.72,321.93,257.47,320.9,1155.34,2119.83,3267.48,2255.65,11038.74,11436.42,8120.38,8362.35,8829.03,11502.24,12123.37,13949.29,15670.77,9942.4,5093.57,79547.24,11441.46,0.0,10936.17,0.0,17637.96,0.0,15417.17,0.0,7219.18,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,3362.73,4048.13,6527.36,7143.1,7535.61,8368.16,9028.16,8781.18,8612.2,8417.6,9908.84,9172.12,8934.57,11435.15,13411.9,14706.93,16250.6,45158.55,50137.37,46739.94,47324.14,34434.63,47077.39,62007.58,74028.47,49598.08,62849.76,105089.25,148115.57,157556.74,187206.42,208775.83,237990.3,214179.99,208872.52,230833.62,230022.02,176021.49,169984.69,147458.21,125063.96,102718.87,79882.7
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184422.89,184955.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.89,701.52,684.31,681.0,73.25,59.52,112.1,102.14,5406.12,5774.69,5796.68,6103.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.35,60.13,18.12,0.0,0.17,0.17,2.6,55.33,6167.81,9644.0,2776.94,16739.43,16867.01,8557.67,465961.12,515224.65,605011.54,359201.76,398477.08,335385.11,275393.81,200939.87,197221.55,174169.94,153751.97,47659.02,65577.59,85123.46,51738.23,44965.35,34221.17,37156.56,34643.21,32971.81
流动资产合计,11704.89,19919.09,23409.28,28161.94,26511.68,50500.3,45157.32,47281.41,42115.5,39532.84,36867.1,35059.24,33457.21,34776.09,38141.88,40684.08,39141.04,154921.74,163942.72,178506.54,178078.33,249821.77,365370.86,862092.86,913835.15,1120835.4,1137702.43,991052.82,1013521.96,1024631.73,1134658.44,1227860.67,1028458.67,1078327.72,1086772.04,1122314.83,1185218.84,1013210.97,927698.03,958093.2,889224.31,788461.7,729979.25
