报表日期,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一、营业总收入,1542.28,5889.62,11730.89,3299.33,7594.12,13266.97,18364.45,4160.31,9587.08,15926.18,22536.3,5525.71,12839.87,24444.09,38050.41,13395.68,33949.97,56067.75,77476.42,21702.26,45743.1,72489.58,112377.86,50854.9,95441.02,135577.98,185468.78,45653.6,82696.24,127903.29,176821.45,48278.66,114443.58,158198.32,197032.36,35578.84
营业收入,1542.28,5889.62,11730.89,3299.33,7594.12,13266.97,18364.45,4160.31,9587.08,15926.18,22536.3,5525.71,12839.87,24444.09,38050.41,13395.68,33949.97,56067.75,77476.42,21702.26,45743.1,72489.58,112377.86,50854.9,95441.02,135577.98,185468.78,45653.6,82696.24,127903.29,176821.45,48278.66,114443.58,158198.32,197032.36,35578.84
二、营业总成本,1371.35,4288.67,7253.95,2408.34,4980.65,9014.72,12106.46,2891.95,5967.9,10248.53,13580.53,3969.45,8006.68,14463.52,22119.42,8430.84,21393.59,33698.25,44942.76,12202.48,25488.06,40465.58,65565.72,26732.32,50594.21,75230.41,138620.65,27380.57,56281.59,89868.72,182650.87,34468.92,73395.55,104198.54,510580.73,22696.05
营业成本,1028.52,3278.46,4743.62,1465.13,3274.99,6387.33,8625.08,1737.98,3738.97,6924.34,10507.46,3324.91,6948.16,11559.95,17337.47,6406.31,15343.37,22915.47,29631.33,8094.63,17016.08,27380.98,43340.91,20049.01,37064.1,52449.27,81332.53,17241.06,31998.84,50677.88,72545.01,20574.52,43212.08,60245.35,76308.24,13076.53
营业税金及附加,50.93,167.38,363.25,116.61,264.91,432.31,582.45,132.23,327.05,518.89,778.59,172.04,404.82,747.24,1192.75,419.58,728.58,806.61,917.39,72.44,178.53,264.97,468.13,114.22,235.92,373.77,974.43,98.37,188.34,248.78,576.33,107.04,587.89,2702.08,897.09,104.63
销售费用,56.85,191.15,262.91,95.23,174.19,292.79,386.07,130.33,209.7,308.57,428.72,151.35,304.55,673.02,828.73,342.85,871.81,1739.53,2617.04,882.54,1631.89,2336.66,2897.9,900.3,1458.98,1970.54,2756.15,681.22,1454.03,1996.35,2637.6,792.56,1415.91,2080.11,3139.83,679.44
管理费用,201.85,609.2,1956.16,745.71,1347.34,2002.31,2684.08,949.58,1778.34,2622.49,3317.81,809.0,1330.27,3060.1,4923.17,2009.93,5644.91,9921.26,14097.43,3872.47,7529.2,11533.88,18437.62,5896.23,12184.42,19829.46,34259.3,7992.23,18804.14,30965.02,49847.68,11157.42,26181.5,8836.71,14000.63,2485.6
财务费用,-0.4,-4.06,-19.45,-14.34,-90.19,-109.44,-181.9,-58.17,-106.7,-146.31,-1484.49,-487.86,-1010.87,-1606.55,-2386.75,-777.29,-1299.6,-1792.53,-2315.2,-719.6,-935.4,-1122.83,-1225.43,-227.43,-557.53,399.14,1026.72,1367.69,3206.32,4854.37,5825.92,1837.39,1793.58,2110.85,1554.58,-652.48
资产减值损失,33.6,46.54,-52.53,0.0,9.42,9.42,10.68,0.0,20.55,20.55,32.44,0.0,29.76,29.76,224.06,29.46,104.53,107.91,-5.22,0.0,67.76,71.92,1646.58,0.0,208.32,208.23,18271.52,0.0,629.93,1126.31,51218.33,0.0,204.58,189.59,368154.52,0.0
公允价值变动收益,0.0,-0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.82,0.0,0.0,0.0,2844.75,0.0,0.0,0.0,5243.55,0.0,70.48,70.48,6104.49,0.0,0.0,94.29,16748.21,0.0,0.0,0.0,0.0,4476.91
投资收益,0.0,-73.01,125.37,8.41,8.41,8.41,8.41,0.0,9.48,9.48,178.34,0.0,-7.88,-13.2,-48.47,-206.74,-252.83,-480.0,-712.31,-204.89,-534.03,-467.75,-881.94,-216.22,-359.8,-721.85,973.17,1563.03,6383.62,9362.16,12831.75,2044.76,4081.53,6115.65,8668.44,4258.97
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.89,-91.51,-130.04,-206.74,-347.09,-677.41,-1131.43,-204.89,-534.03,-467.75,-881.94,-216.22,-138.1,-500.14,1388.17,666.41,1648.28,1858.83,3012.57,2044.76,3569.24,5603.36,6291.42,700.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,170.93,1527.82,4602.41,899.41,2621.88,4260.65,6266.4,1268.37,3628.66,5687.13,9134.12,1556.26,4825.32,9967.38,15944.32,4758.1,12303.55,21889.51,34666.09,9294.89,19721.0,31556.24,51173.75,23906.36,44557.48,59696.21,53925.8,19836.06,33567.11,48535.86,25317.33,16152.51,45796.5,61479.61,-302594.48,21858.03
加:营业外收入,84.8,55.54,60.54,20.01,71.41,141.61,149.77,19.0,119.0,327.47,413.44,408.42,466.84,625.25,1413.87,193.1,445.01,1432.58,2228.83,220.36,952.25,1541.72,2474.1,292.75,928.58,1488.93,3447.04,240.55,62.19,564.32,842.27,29.98,35.11,0.3,13.86,0.0
减：营业外支出,0.75,0.22,5.55,0.0,0.38,0.4,0.4,0.01,0.01,11.69,12.47,2.7,102.7,102.75,108.8,0.16,0.74,1.35,44.73,0.0,5.02,4.02,94.88,41.4,71.96,134.13,450.66,0.63,34.89,40.47,2783.32,2.87,67.72,67.72,2544.23,9.8
其中：非流动资产处置损失,0.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.36,2.7,2.7,2.75,8.78,0.16,0.74,1.35,5.98,0.0,0.0,0.0,5.43,20.55,21.81,36.07,60.28,0.06,25.44,30.83,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,254.98,1583.15,4657.4,919.41,2692.91,4401.86,6415.77,1287.36,3747.65,6002.9,9535.08,1961.97,5189.45,10489.88,17249.39,4951.04,12747.82,23320.74,36850.18,9515.26,20668.23,33093.94,53552.97,24157.7,45414.1,61051.01,56922.19,20075.98,33594.41,49059.7,23376.29,16179.61,45763.88,61412.18,-305124.85,21848.23
