报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
一、营业总收入,20288.55,22605.22,24414.4,23979.51,21881.48,4532.22,13751.96,17947.59,28336.08,5405.67,16582.79,23916.47,37756.81,9895.14,21980.86,36810.03,58764.94,13171.56,35777.96,54350.99,80884.34,12100.73,32380.26,55903.3,87930.7
营业收入,20288.55,22605.22,24414.4,23979.51,21881.48,4532.22,13751.96,17947.59,28336.08,5405.67,16582.79,23916.47,37756.81,9895.14,21980.86,36810.03,58764.94,13171.56,35777.96,54350.99,80884.34,12100.73,32380.26,55903.3,87930.7
二、营业总成本,13770.86,15395.72,16979.08,18933.17,18057.9,4049.43,10657.47,14756.88,22834.72,4932.67,12707.26,18476.91,28578.31,7221.29,16446.57,27652.26,40739.39,7776.77,20932.74,31973.38,51336.6,7984.88,22427.72,36915.16,60459.47
营业成本,10097.77,10805.46,11887.35,13289.54,13313.89,3045.5,8398.94,11368.27,17807.24,3730.91,9797.83,13634.53,20566.32,4813.55,11134.74,18311.16,27041.22,5071.2,13627.73,20773.26,33608.35,5156.57,14798.45,23503.62,38148.97
营业税金及附加,250.65,267.24,244.59,305.71,291.59,25.97,238.19,319.58,691.38,143.51,483.17,785.64,1259.49,343.2,860.29,1421.6,2293.24,486.32,1319.49,2150.36,3257.69,414.56,1259.21,2189.79,3681.27
销售费用,1210.77,1386.47,1528.69,1124.51,682.57,126.65,400.99,624.92,1075.1,222.35,705.47,1190.45,2173.56,581.97,1419.64,2437.49,3782.38,834.08,2413.42,3609.83,5114.57,602.25,1851.32,3304.33,5345.98
管理费用,2057.53,2144.43,2577.91,2928.89,2448.78,527.58,1073.18,1578.42,2124.15,540.42,1040.32,1824.62,2886.82,993.05,2215.86,2941.09,4488.6,1208.73,2525.05,3757.33,5919.98,1426.52,3140.43,4983.96,7619.77
财务费用,395.95,564.34,660.88,1375.34,1320.24,302.53,551.32,822.17,1130.18,292.9,602.96,898.2,1398.99,490.7,890.32,2356.76,2401.95,165.3,683.74,1224.0,1937.05,311.88,1071.16,1977.9,2841.17
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.85,559.83,40.38,363.31,458.6,1498.97,73.1,307.15,955.55,2822.31
资产减值损失,-241.82,227.78,79.67,-90.82,0.83,21.2,-5.16,43.53,6.67,2.57,77.51,143.48,293.12,-1.18,-74.29,31.31,172.17,-29.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,-193.85,-995.84,-1222.23,0.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127.48,0.0,0.0,0.0,-1.08
其中:对联营企业和合营企业的投资收益,-112.22,-351.89,-765.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,6323.84,6213.66,6213.08,5046.34,3867.68,482.79,3094.49,3190.71,5501.36,472.99,4477.33,6417.53,10308.27,2885.55,5948.53,9806.58,19037.49,5697.6,15169.2,22915.21,30142.12,4481.02,11492.68,20862.98,29383.09
加:营业外收入,235.62,1003.84,1212.13,1285.66,1171.64,484.3,753.51,1044.67,1314.6,347.52,8.67,10.82,11.45,3.05,5.74,8.86,10.22,8.98,18.12,28.11,32.29,16.0,23.23,31.43,25.44
减：营业外支出,162.1,217.37,88.72,1177.94,955.69,262.9,216.57,312.53,352.66,21.06,17.67,20.75,28.05,58.63,78.73,180.57,318.58,16.12,36.63,353.72,423.75,55.44,79.31,99.55,270.25
其中：非流动资产处置损失,0.04,13.85,0.0,43.95,12.99,0.0,38.65,72.94,134.08,0.0,0.0,0.0,0.0,0.0,32.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,6397.37,7000.12,7336.49,5154.06,4083.63,704.19,3631.43,3922.85,6463.31,799.45,4468.33,6407.6,10291.68,2829.98,5875.53,9634.86,18729.13,5690.45,15150.69,22589.6,29750.65,4441.57,11436.6,20794.86,29138.27
减：所得税费用,1876.89,1784.47,1963.06,1517.76,622.6,187.88,840.72,859.31,1446.79,136.54,1082.06,1504.32,2584.83,798.76,1651.88,2555.63,4974.14,1517.53,4011.34,5871.41,7232.34,987.33,2082.2,3447.88,4519.75
五、净利润,4520.47,5215.65,5373.44,3636.3,3461.03,516.31,2790.71,3063.54,5016.52,662.9,3386.27,4903.28,7706.84,2031.22,4223.65,7079.23,13754.99,4172.92,11139.36,16718.19,22518.32,3454.24,9354.41,17346.97,24618.53
归属于母公司所有者的净利润,4273.57,5158.85,5378.14,3673.5,3463.56,517.55,2792.21,3054.26,5019.77,663.71,3386.5,4905.16,7711.46,2043.82,4247.67,7095.93,13763.87,4149.66,11072.51,16573.6,22246.13,3411.33,9030.3,16757.16,23795.83
少数股东损益,246.91,56.8,-4.71,-37.2,-2.53,-1.23,-1.5,9.28,-3.26,-0.81,-0.23,-1.89,-4.62,-12.6,-24.02,-16.7,-8.88,23.27,66.84,144.6,272.19,42.91,324.1,589.82,822.7
基本每股收益(元/股),0.0,0.29,0.3,0.2,0.19,0.03,0.16,0.17,0.28,0.04,0.17,0.23,0.35,0.09,0.18,0.3,0.57,0.17,0.46,0.69,0.93,0.14,0.38,0.71,1.0
稀释每股收益(元/股),0.0,0.29,0.3,0.2,0.19,0.03,0.16,0.17,0.28,0.04,0.17,0.23,0.35,0.09,0.18,0.3,0.57,0.17,0.46,0.69,0.93,0.14,0.38,0.71,1.0
七、其他综合收益,-15.4,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1920.37,0.0,0.0,0.0,-2.34
八、综合收益总额,4505.08,5215.87,5373.44,3636.3,3461.03,516.31,2790.71,3063.54,5016.52,662.9,3386.27,4903.28,7706.84,2031.22,4223.65,7079.23,13754.99,4172.92,11139.36,16718.19,20597.95,3454.24,9354.41,17346.97,24616.19
归属于母公司所有者的综合收益总额,4258.17,5159.07,5378.14,3673.5,3463.56,517.55,2792.21,3054.26,5019.77,663.71,3386.5,4905.16,7711.46,2043.82,4247.67,7095.93,13763.87,4149.66,11072.51,16573.6,20325.76,3411.33,9030.3,16757.16,23793.49
归属于少数股东的综合收益总额,246.91,56.8,-4.71,-37.2,-2.53,-1.23,-1.5,9.28,-3.26,-0.81,-0.23,-1.89,-4.62,-12.6,-24.02,-16.7,-8.88,23.27,66.84,144.6,272.19,42.91,324.1,589.82,822.7
